statename,stateabb,year,imports,exports
United States of America,USA,2006,1919239.9,1037032.9
Canada,CAN,2006,385000.3616,388288.9754
Bahamas,BHM,2006,11043.33546,2010.056769
Cuba,CUB,2006,9282.3658,2409.129993
Haiti,HAI,2006,2313.764469,597.1370118
Dominican Republic,DOM,2006,13391.30138,6609.753756
Jamaica,JAM,2006,5748.6989,2002.304327
Trinidad and Tobago,TRI,2006,5816.62599,13394.93401
Barbados,BAR,2006,1620.792525,323.93272
Dominica,DMA,2006,302.5252993,90.62234845
Grenada,GRN,2006,366.7345144,62.97571344
St. Lucia,SLU,2006,855.5667495,291.2939791
St. Vincent and the Grenadines,SVG,2006,573.7603027,217.0732194
Antigua & Barbuda,AAB,2006,,357.265144
St. Kitts and Nevis,SKN,2006,391.5494672,83.48906944
Mexico,MEX,2006,281664.1871,249925.1428
Belize,BLZ,2006,737.8016758,353.4701546
Guatemala,GUA,2006,11914.5101,6012.8402
Honduras,HON,2006,5642.335486,2095.94622
El Salvador,SAL,2006,7662.580146,3705.583084
Nicaragua,NIC,2006,3026.386736,1049.927956
Costa Rica,COS,2006,11536.55286,8197.584494
Panama,PAN,2006,4679.752218,1001.880573
Colombia,COL,2006,25468.11477,23729.84242
Venezuela,VEN,2006,30558.747,65577.99976
Guyana,GUY,2006,970.9264479,683.8377514
Suriname,SUR,2006,329.0528642,410.2966593
Ecuador,ECU,2006,12113.55976,12728.24222
Peru,PER,2006,16254.21568,23743.7273
Brazil,BRA,2006,101173.4027,138372.6784
Bolivia,BOL,2006,2925.549199,4088.314728
Paraguay,PAR,2006,4969.137822,3469.819384
Chile,CHL,2006,38977.96712,59379.87277
Argentina,ARG,2006,34153.68649,46546.20902
Uruguay,URU,2006,6068.144317,4235.380108
United Kingdom,UKG,2006,613177.1018,453625.552
Ireland,IRE,2006,73063.2812,108855.8161
Netherlands,NTH,2006,417103.1159,463863.8003
Belgium,BEL,2006,351569.0789,366756.649
Luxembourg,LUX,2006,27124.0487,22985.3113
France,FRN,2006,541810.8273,495530.672
Monaco,MNC,2006,,
Liechtenstein,LIE,2006,,
Switzerland,SWZ,2006,141284.1099,147718.662
Spain,SPN,2006,328870.4793,212644.3002
Andorra,AND,2006,,
Portugal,POR,2006,70710.7206,44778.0761
Germany,GMY,2006,907448.0815,1108898.954
Poland,POL,2006,127209.5277,110896.4514
Austria,AUS,2006,137319.9553,136865.7334
Hungary,HUN,2006,78366.1232,75370.1944
Czech Republic,CZR,2006,93342.8863,95034.90913
Slovakia,SLO,2006,45101.6385,41966.4535
Italy,ITA,2006,442601.1869,417188.6336
San Marino,SNM,2006,,
Malta,MLT,2006,4306.7912,2802.3626
Albania,ALB,2006,3008.057616,748.5194325
Montenegro,MNG,2006,1828.210405,553.3938462
Macedonia,MAC,2006,3479.118783,1841.76303
Croatia,CRO,2006,21420.19076,10181.35716
Yugoslavia,YUG,2006,,
Bosnia and Herzegovina,BOS,2006,6072.525721,2745.702278
Slovenia,SLV,2006,24179.9232,23252.711
Greece,GRC,2006,66379.0033,21711.3672
Cyprus,CYP,2006,6931.7801,1330.6915
Bulgaria,BUL,2006,19559.55103,15142.97879
Moldova,MLD,2006,2689.2407,1047.3537
Romania,ROM,2006,51329.9608,32479.0134
Russia,RUS,2006,132517.4817,291883.0326
Estonia,EST,2006,13465.2218,9699.9243
Latvia,LAT,2006,11580.7787,6145.375
Lithuania,LIT,2006,19413.0624,14153.5245
Ukraine,UKR,2006,44962.2848,38117.5299
Belarus,BLR,2006,22340.5941,19726.8228
Armenia,ARM,2006,2191.19022,985.108176
Georgia,GRG,2006,3672.495807,972.8753162
Azerbaijan,AZE,2006,5266.730564,6372.087496
Finland,FIN,2006,69448.8057,77287.9895
Sweden,SWD,2006,127691.5995,147870.4739
Norway,NOR,2006,64273.65899,122115.2812
Denmark,DEN,2006,85557.16746,92611.0753
Iceland,ICE,2006,6139.696655,3453.1864
Cape Verde,CAP,2006,,
Sao Tome and Principe,STP,2006,80.79616243,8.390960316
Guinea-Bissau,GNB,2006,200.3413744,87.10428007
Equatorial Guinea,EQG,2006,1625.347041,7458.931205
Gambia,GAM,2006,698.7124017,35.1516453
Mali,MLI,2006,2370.177627,387.0357148
Senegal,SEN,2006,3424.324413,1365.114252
Benin,BEN,2006,3647.568858,381.8950671
Mauritania,MAA,2006,1388.594491,1452.975735
Niger,NIR,2006,997.4005899,430.6119052
Ivory Coast,CDI,2006,5816.252937,8138.408204
Guinea,GUI,2006,2281.652203,1542.9652
Burkina Faso,BFO,2006,1289.978693,384.6552006
Liberia,LBR,2006,7560.137165,1634.050282
Sierra Leone,SIE,2006,555.2851424,208.2130606
Ghana,GHA,2006,7000.512958,2846.993747
Togo,TOG,2006,729.4704257,387.7793628
Cameroon,CAO,2006,2918.211837,4712.268773
Nigeria,NIG,2006,29228.07533,57683.67653
Gabon,GAB,2006,1947.990738,4633.873548
Central African Republic,CEN,2006,302.0346071,113.6503177
Chad,CHA,2006,537.896229,2281.251056
