"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1991","Trinidad and Tobago","TTO","United States of America","USA","656.02319","920.5"
"1991","Trinidad and Tobago","TTO","Canada","CAN","82.826523","39.676254"
"1991","Trinidad and Tobago","TTO","Bahamas","BHS","0.12146612","14.776414"
"1991","Trinidad and Tobago","TTO","Cuba","CUB","0.024901412","4.9868436"
"1991","Trinidad and Tobago","TTO","Haiti","HTI","0.029494824","6.6893435"
"1991","Trinidad and Tobago","TTO","Dominican Republic","DOM","2.1647358","12.002309"
"1991","Trinidad and Tobago","TTO","Jamaica","JAM","34.340862","43.76429"
"1991","Trinidad and Tobago","TTO","Barbados","BRB","21.474051","68.549515"
"1991","Trinidad and Tobago","TTO","Dominica","DMA","1.6774074","10.997778"
"1991","Trinidad and Tobago","TTO","Grenada","GRD","1.457536","18.639999"
"1991","Trinidad and Tobago","TTO","St. Lucia","LCA","0","0"
"1991","Trinidad and Tobago","TTO","St. Vincent and the Grenadines","VCT","8.3544445","22.301851"
"1991","Trinidad and Tobago","TTO","Antigua & Barbuda","ATG","0","0"
"1991","Trinidad and Tobago","TTO","St. Kitts and Nevis","KNA","0","0"
"1991","Trinidad and Tobago","TTO","Mexico","MEX","6.0674329","14.9831"
"1991","Trinidad and Tobago","TTO","Belize","BLZ","3.3601079","1.3115"
"1991","Trinidad and Tobago","TTO","Guatemala","GTM","6.1679153","4.2512999"
"1991","Trinidad and Tobago","TTO","Honduras","HND","0.11750423","0.53052473"
"1991","Trinidad and Tobago","TTO","El Salvador","SLV","0.010516236","0.02271153"
"1991","Trinidad and Tobago","TTO","Nicaragua","NIC","0","0.01148"
"1991","Trinidad and Tobago","TTO","Costa Rica","CRI","1.3340657","3.605"
"1991","Trinidad and Tobago","TTO","Panama","PAN","0.39931035","4.1044178"
"1991","Trinidad and Tobago","TTO","Colombia","COL","4.0072975","20.74"
"1991","Trinidad and Tobago","TTO","Venezuela","VEN","232.10274","63.4799"
"1991","Trinidad and Tobago","TTO","Guyana","GUY","5.9682136","33.472534"
"1991","Trinidad and Tobago","TTO","Suriname","SUR","5.747613","57.063354"
"1991","Trinidad and Tobago","TTO","Ecuador","ECU","0.19417177","9.3582668"
"1991","Trinidad and Tobago","TTO","Peru","PER","0.3839066","2.3001001"
"1991","Trinidad and Tobago","TTO","Brazil","BRA","61.530273","47.940201"
"1991","Trinidad and Tobago","TTO","Bolivia","BOL","0.002448941","0.019837176"
"1991","Trinidad and Tobago","TTO","Paraguay","PRY","0.02","0"
"1991","Trinidad and Tobago","TTO","Chile","CHL","0.55036587","7.7568207"
"1991","Trinidad and Tobago","TTO","Argentina","ARG","10.201809","4.7810001"
"1991","Trinidad and Tobago","TTO","Uruguay","URY","0.26187152","0.017999999"
"1991","Trinidad and Tobago","TTO","United Kingdom","GBR","122.43303","73.723427"
"1991","Trinidad and Tobago","TTO","Ireland","IRL","10.903618","1.8264426"
"1991","Trinidad and Tobago","TTO","Netherlands","NLD","29.292601","3.968087"
"1991","Trinidad and Tobago","TTO","Belgium","BEL","10.90221","22.01137"
"1991","Trinidad and Tobago","TTO","Luxembourg","LUX","0.68778712","1.38863"
"1991","Trinidad and Tobago","TTO","France","FRA","18.145208","30.666727"
"1991","Trinidad and Tobago","TTO","Liechtenstein","LIE","-9","-9"
"1991","Trinidad and Tobago","TTO","Switzerland","CHE","9.8482656","1.5425473"
"1991","Trinidad and Tobago","TTO","Spain","ESP","4.2601757","20.94088"
"1991","Trinidad and Tobago","TTO","Portugal","PRT","0.71663505","0.12222236"
"1991","Trinidad and Tobago","TTO","Germany","DEU","32.333393","14.050883"
"1991","Trinidad and Tobago","TTO","Poland","POL","2.0038335","0.01752753"
"1991","Trinidad and Tobago","TTO","Austria","AUT","4.3700085","0.75263464"
"1991","Trinidad and Tobago","TTO","Hungary","HUN","0.158364","0.00232"
