"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1995","Czech Republic","CZE","United States of America","USA","845.55341","439.29999"
"1995","Czech Republic","CZE","Canada","CAN","75.599716","60.891739"
"1995","Czech Republic","CZE","Bahamas","BHS","0.041788548","0.083145648"
"1995","Czech Republic","CZE","Cuba","CUB","0.54223186","2.9107513"
"1995","Czech Republic","CZE","Haiti","HTI","0","0.63447785"
"1995","Czech Republic","CZE","Dominican Republic","DOM","2.6185751","2.4841635"
"1995","Czech Republic","CZE","Jamaica","JAM","0","0.21331865"
"1995","Czech Republic","CZE","Trinidad and Tobago","TTO","0.040854223","3.6484103"
"1995","Czech Republic","CZE","Barbados","BRB","0.000169045","0.95803338"
"1995","Czech Republic","CZE","Dominica","DMA","0.1691657","0.038008362"
"1995","Czech Republic","CZE","Grenada","GRD","0","0"
"1995","Czech Republic","CZE","St. Lucia","LCA","0","0"
"1995","Czech Republic","CZE","St. Vincent and the Grenadines","VCT","0","-9"
"1995","Czech Republic","CZE","Antigua & Barbuda","ATG","1.1378725","-9"
"1995","Czech Republic","CZE","St. Kitts and Nevis","KNA","0","0.040854223"
"1995","Czech Republic","CZE","Mexico","MEX","9.872983","10.0115"
"1995","Czech Republic","CZE","Belize","BLZ","0","0.005025"
"1995","Czech Republic","CZE","Guatemala","GTM","1.7011616","1.1745042"
"1995","Czech Republic","CZE","Honduras","HND","5.3202939","0.90447408"
"1995","Czech Republic","CZE","El Salvador","SLV","2.2128716","1.856392"
"1995","Czech Republic","CZE","Nicaragua","NIC","0.45636511","0.11442593"
"1995","Czech Republic","CZE","Costa Rica","CRI","13.746912","1.954645"
"1995","Czech Republic","CZE","Panama","PAN","3.955492","1.005492"
"1995","Czech Republic","CZE","Colombia","COL","16.302015","19.648878"
"1995","Czech Republic","CZE","Venezuela","VEN","0.37631702","1.128476"
"1995","Czech Republic","CZE","Guyana","GUY","1.1225302","0.24799027"
"1995","Czech Republic","CZE","Suriname","SUR","0.12486116","0.021430112"
"1995","Czech Republic","CZE","Ecuador","ECU","11.813437","5.3808103"
"1995","Czech Republic","CZE","Peru","PER","10.718955","6.1875"
"1995","Czech Republic","CZE","Brazil","BRA","99.523178","55.447701"
"1995","Czech Republic","CZE","Bolivia","BOL","0.41584527","1.48317"
"1995","Czech Republic","CZE","Paraguay","PRY","0","2.3814442"
"1995","Czech Republic","CZE","Chile","CHL","3.8017588","15.7"
"1995","Czech Republic","CZE","Argentina","ARG","10.629229","12.246473"
"1995","Czech Republic","CZE","Uruguay","URY","4.2374969","0.74199998"
"1995","Czech Republic","CZE","United Kingdom","GBR","728.06165","511.50732"
"1995","Czech Republic","CZE","Ireland","IRL","76.148865","32.968391"
"1995","Czech Republic","CZE","Netherlands","NLD","652.36127","365.58014"
"1995","Czech Republic","CZE","Belgium","BEL","440.39349","279.16791"
"1995","Czech Republic","CZE","Luxembourg","LUX","30.79653","19.522091"
"1995","Czech Republic","CZE","France","FRA","975.15796","470.19598"
