"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1995","Dominica","DMA","United States of America","USA","38.934471","7.0999999"
"1995","Dominica","DMA","Canada","CAN","2.4162722","7.8927608"
"1995","Dominica","DMA","Bahamas","BHS","0.022504814","0.13750856"
"1995","Dominica","DMA","Cuba","CUB","0","0"
"1995","Dominica","DMA","Haiti","HTI","0.000746296","0.038695555"
"1995","Dominica","DMA","Dominican Republic","DOM","0.18870778","0.039233334"
"1995","Dominica","DMA","Jamaica","JAM","1.8354748","5.8026633"
"1995","Dominica","DMA","Trinidad and Tobago","TTO","13.013365","2.6033173"
"1995","Dominica","DMA","Barbados","BRB","4.2634625","1.877913"
"1995","Dominica","DMA","Grenada","GRD","0.89259446","0.72121114"
"1995","Dominica","DMA","St. Lucia","LCA","5.9354477","2.8258493"
"1995","Dominica","DMA","St. Vincent and the Grenadines","VCT","3.0635855","1.0324311"
"1995","Dominica","DMA","Antigua & Barbuda","ATG","0.54786962","1.8707396"
"1995","Dominica","DMA","St. Kitts and Nevis","KNA","0.54501927","0.95565432"
"1995","Dominica","DMA","Mexico","MEX","0.071799628","0.0319"
"1995","Dominica","DMA","Belize","BLZ","0.16707593","0.044860002"
"1995","Dominica","DMA","Guatemala","GTM","0.57962298","0"
"1995","Dominica","DMA","Honduras","HND","0","0"
"1995","Dominica","DMA","El Salvador","SLV","0.000338148","0.100709"
"1995","Dominica","DMA","Nicaragua","NIC","0","0"
"1995","Dominica","DMA","Costa Rica","CRI","0.45111409","0.006608"
"1995","Dominica","DMA","Panama","PAN","0.34114999","0"
"1995","Dominica","DMA","Colombia","COL","0.16849074","0.04823"
"1995","Dominica","DMA","Venezuela","VEN","1.0559152","0.18866999"
"1995","Dominica","DMA","Guyana","GUY","1.2848755","3.0111718"
"1995","Dominica","DMA","Suriname","SUR","0","0.022205729"
"1995","Dominica","DMA","Ecuador","ECU","0.000635556","0"
"1995","Dominica","DMA","Peru","PER","0.002943333","0.17380001"
"1995","Dominica","DMA","Brazil","BRA","0.81020296","0"
"1995","Dominica","DMA","Bolivia","BOL","0","0.01015"
"1995","Dominica","DMA","Paraguay","PRY","-9","0"
"1995","Dominica","DMA","Chile","CHL","0.002512593","0.40000001"
"1995","Dominica","DMA","Argentina","ARG","0.015187408","0"
"1995","Dominica","DMA","Uruguay","URY","0.032000002","0"
"1995","Dominica","DMA","United Kingdom","GBR","15.857517","24.330387"
"1995","Dominica","DMA","Ireland","IRL","0.02771","1.1029534"
"1995","Dominica","DMA","Netherlands","NLD","1.502287","0.84948683"
"1995","Dominica","DMA","Belgium","BEL","0.093464099","0"
"1995","Dominica","DMA","Luxembourg","LUX","0.0065359","0"
"1995","Dominica","DMA","France","FRA","8.695137","0.23960817"
"1995","Dominica","DMA","Monaco","MCO","-9","-9"
"1995","Dominica","DMA","Liechtenstein","LIE","-9","-9"
"1995","Dominica","DMA","Switzerland","CHE","0.86330742","0.43037042"
"1995","Dominica","DMA","Spain","ESP","0.18164222","1.8999511"
"1995","Dominica","DMA","Andorra","AND","-9","-9"
"1995","Dominica","DMA","Portugal","PRT","0.054680001","0.7969662"
"1995","Dominica","DMA","Germany","DEU","3.1286244","0.48493177"
"1995","Dominica","DMA","Poland","POL","0.007283333","0.41"
"1995","Dominica","DMA","Austria","AUT","0.025125926","0.11030109"
"1995","Dominica","DMA","Hungary","HUN","0.02875926","0"
"1995","Dominica","DMA","Czech Republic","CZE","0.038008362","0.1691657"
"1995","Dominica","DMA","Slovakia","SVK","0.17554501","0.3840881"
"1995","Dominica","DMA","Italy","ITA","0.40575963","0.75939274"
"1995","Dominica","DMA","San Marino","SMR","-9","-9"
"1995","Dominica","DMA","Malta","MLT","0.11146182","0.016622279"
"1995","Dominica","DMA","Albania","ALB","-9","-9"
"1995","Dominica","DMA","Macedonia","MKD","0","0"
"1995","Dominica","DMA","Croatia","HRV","0","0.032000002"
"1995","Dominica","DMA","Yugoslavia","YUG","-9","-9"
"1995","Dominica","DMA","Bosnia and Herzegovina","BIH","-9","-9"
"1995","Dominica","DMA","Slovenia","SVN","0.006","0.101"
"1995","Dominica","DMA","Greece","GRC","0.001168519","0"
"1995","Dominica","DMA","Cyprus","CYP","0","0.021707663"
"1995","Dominica","DMA","Bulgaria","BGR","0.00853","0"
"1995","Dominica","DMA","Moldova","MDA","-9","-9"
"1995","Dominica","DMA","Romania","ROU","0.024495926","0"
"1995","Dominica","DMA","Russia","RUS","-9","-9"
"1995","Dominica","DMA","Estonia","EST","0.077699311","0.002767682"
"1995","Dominica","DMA","Latvia","LVA","0","0"
"1995","Dominica","DMA","Lithuania","LTU","0","0"
"1995","Dominica","DMA","Ukraine","UKR","0.040927406","-9"
"1995","Dominica","DMA","Belarus","BLR","0","0"
"1995","Dominica","DMA","Armenia","ARM","-9","-9"
"1995","Dominica","DMA","Georgia","GEO","-9","-9"
"1995","Dominica","DMA","Azerbaijan","AZE","-9","-9"
"1995","Dominica","DMA","Finland","FIN","0.05071852","0.038372435"
"1995","Dominica","DMA","Sweden","SWE","0.10390815","0"
"1995","Dominica","DMA","Norway","NOR","0.38806853","0.031816736"
"1995","Dominica","DMA","Denmark","DNK","0.17536704","0.00178496"
"1995","Dominica","DMA","Iceland","ISL","0","0"
"1995","Dominica","DMA","Cape Verde","CPV","-9","-9"
"1995","Dominica","DMA","Sao Tome and Principe","STP","-9","-9"
"1995","Dominica","DMA","Guinea-Bissau","GNB","-9","-9"
"1995","Dominica","DMA","Equatorial Guinea","GNQ","-9","-9"
"1995","Dominica","DMA","Gambia","GMB","-9","-9"
"1995","Dominica","DMA","Mali","MLI","0.006262963","-9"
"1995","Dominica","DMA","Senegal","SEN","0","0"
"1995","Dominica","DMA","Benin","BEN","0","0.001202047"
"1995","Dominica","DMA","Mauritania","MRT","-9","-9"
"1995","Dominica","DMA","Niger","NER","-9","-9"
"1995","Dominica","DMA","Ivory Coast","CIV","0","0.043093394"
"1995","Dominica","DMA","Guinea","GIN","0.000678148","4.3190947"
"1995","Dominica","DMA","Burkina Faso","BFA","-9","-9"
"1995","Dominica","DMA","Liberia","LBR","0.000388519","-9"
"1995","Dominica","DMA","Sierra Leone","SLE","0","-9"
"1995","Dominica","DMA","Ghana","GHA","0","0"
"1995","Dominica","DMA","Togo","TGO","-9","0"
"1995","Dominica","DMA","Cameroon","CMR","0","0"
"1995","Dominica","DMA","Nigeria","NGA","0","0"
"1995","Dominica","DMA","Gabon","GAB","0","0"
"1995","Dominica","DMA","Central African Republic","CAF","0","0"
"1995","Dominica","DMA","Chad","TCD","-9","-9"
"1995","Dominica","DMA","Congo","COG","-9","-9"
"1995","Dominica","DMA","Democratic Republic of the Congo","COD","-9","-9"
"1995","Dominica","DMA","Uganda","UGA","-9","-9"
"1995","Dominica","DMA","Kenya","KEN","0","0"
"1995","Dominica","DMA","Tanzania","TZA","0.002555556","0"
"1995","Dominica","DMA","Burundi","BDI","-9","-9"
"1995","Dominica","DMA","Rwanda","RWA","-9","-9"
"1995","Dominica","DMA","Somalia","SOM","0","0"
"1995","Dominica","DMA","Djibouti","DJI","-9","-9"
"1995","Dominica","DMA","Ethiopia","ETH","0","0"
"1995","Dominica","DMA","Eritrea","ERI","-9","-9"
"1995","Dominica","DMA","Angola","AGO","-9","-9"
"1995","Dominica","DMA","Mozambique","MOZ","0","0"
"1995","Dominica","DMA","Zambia","ZMB","0.003362963","0.13860758"
"1995","Dominica","DMA","Zimbabwe","ZWE","0.06510222","1.126"
