"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1995","St. Kitts and Nevis","KNA","United States of America","USA","64.129997","23.6"
"1995","St. Kitts and Nevis","KNA","Canada","CAN","5.1819582","2.3873343"
"1995","St. Kitts and Nevis","KNA","Bahamas","BHS","0","0.016966032"
"1995","St. Kitts and Nevis","KNA","Cuba","CUB","0","-9"
"1995","St. Kitts and Nevis","KNA","Haiti","HTI","0","0"
"1995","St. Kitts and Nevis","KNA","Dominican Republic","DOM","0","0"
"1995","St. Kitts and Nevis","KNA","Jamaica","JAM","3.2961354","0"
"1995","St. Kitts and Nevis","KNA","Trinidad and Tobago","TTO","18.543995","0.10289526"
"1995","St. Kitts and Nevis","KNA","Barbados","BRB","4.5705924","1.1037699"
"1995","St. Kitts and Nevis","KNA","Dominica","DMA","0.95565432","0.54501927"
"1995","St. Kitts and Nevis","KNA","Grenada","GRD","0.20262977","0.14823297"
"1995","St. Kitts and Nevis","KNA","St. Lucia","LCA","0.45506999","0.34917814"
"1995","St. Kitts and Nevis","KNA","St. Vincent and the Grenadines","VCT","2.1604843","0.23478149"
"1995","St. Kitts and Nevis","KNA","Antigua & Barbuda","ATG","-9","-9"
"1995","St. Kitts and Nevis","KNA","Mexico","MEX","0","0"
"1995","St. Kitts and Nevis","KNA","Belize","BLZ","0","0.00014"
"1995","St. Kitts and Nevis","KNA","Guatemala","GTM","-9","-9"
"1995","St. Kitts and Nevis","KNA","Honduras","HND","-9","-9"
"1995","St. Kitts and Nevis","KNA","El Salvador","SLV","-9","-9"
"1995","St. Kitts and Nevis","KNA","Nicaragua","NIC","-9","0"
"1995","St. Kitts and Nevis","KNA","Costa Rica","CRI","0.090933703","0.00307"
"1995","St. Kitts and Nevis","KNA","Panama","PAN","-9","-9"
"1995","St. Kitts and Nevis","KNA","Colombia","COL","0.0065538","0"
"1995","St. Kitts and Nevis","KNA","Venezuela","VEN","305.56903","3.4476321"
"1995","St. Kitts and Nevis","KNA","Guyana","GUY","0.54944497","0.004301515"
"1995","St. Kitts and Nevis","KNA","Suriname","SUR","0","0"
"1995","St. Kitts and Nevis","KNA","Ecuador","ECU","-9","-9"
"1995","St. Kitts and Nevis","KNA","Peru","PER","0","0"
"1995","St. Kitts and Nevis","KNA","Brazil","BRA","0.1221","0"
"1995","St. Kitts and Nevis","KNA","Bolivia","BOL","0","0"
"1995","St. Kitts and Nevis","KNA","Paraguay","PRY","-9","0"
"1995","St. Kitts and Nevis","KNA","Chile","CHL","0","6.6999998"
"1995","St. Kitts and Nevis","KNA","Argentina","ARG","0","0"
"1995","St. Kitts and Nevis","KNA","Uruguay","URY","0","0"
"1995","St. Kitts and Nevis","KNA","United Kingdom","GBR","19.160576","13.78815"
"1995","St. Kitts and Nevis","KNA","Ireland","IRL","0.021562967","0"
"1995","St. Kitts and Nevis","KNA","Netherlands","NLD","0.91003406","0"
"1995","St. Kitts and Nevis","KNA","Belgium","BEL","0.28973871","0"
"1995","St. Kitts and Nevis","KNA","Luxembourg","LUX","0.020261301","0"
"1995","St. Kitts and Nevis","KNA","France","FRA","4.3678818","0.00621058"
"1995","St. Kitts and Nevis","KNA","Monaco","MCO","-9","-9"
"1995","St. Kitts and Nevis","KNA","Liechtenstein","LIE","-9","-9"
"1995","St. Kitts and Nevis","KNA","Switzerland","CHE","0.028651455","0.097709574"
"1995","St. Kitts and Nevis","KNA","Spain","ESP","0.17643899","0.008356792"
"1995","St. Kitts and Nevis","KNA","Andorra","AND","-9","-9"
"1995","St. Kitts and Nevis","KNA","Portugal","PRT","0","0"
"1995","St. Kitts and Nevis","KNA","Germany","DEU","0.22708268","0.12977317"
"1995","St. Kitts and Nevis","KNA","Poland","POL","0","0"
"1995","St. Kitts and Nevis","KNA","Austria","AUT","0.33562478","0.16455892"
"1995","St. Kitts and Nevis","KNA","Hungary","HUN","-9","-9"
"1995","St. Kitts and Nevis","KNA","Czech Republic","CZE","0.040854223","0"
"1995","St. Kitts and Nevis","KNA","Slovakia","SVK","0","0"
"1995","St. Kitts and Nevis","KNA","Italy","ITA","0.54783779","0.033150531"
"1995","St. Kitts and Nevis","KNA","San Marino","SMR","-9","-9"
"1995","St. Kitts and Nevis","KNA","Malta","MLT","0","0.000353402"
"1995","St. Kitts and Nevis","KNA","Albania","ALB","-9","-9"
"1995","St. Kitts and Nevis","KNA","Macedonia","MKD","-9","-9"
"1995","St. Kitts and Nevis","KNA","Croatia","HRV","0.002128779","0"
"1995","St. Kitts and Nevis","KNA","Yugoslavia","YUG","-9","-9"
"1995","St. Kitts and Nevis","KNA","Bosnia and Herzegovina","BIH","-9","-9"
"1995","St. Kitts and Nevis","KNA","Slovenia","SVN","-9","-9"
"1995","St. Kitts and Nevis","KNA","Greece","GRC","0.062646098","-9"
"1995","St. Kitts and Nevis","KNA","Cyprus","CYP","0","0"
"1995","St. Kitts and Nevis","KNA","Bulgaria","BGR","-9","-9"
"1995","St. Kitts and Nevis","KNA","Moldova","MDA","0","0"
"1995","St. Kitts and Nevis","KNA","Romania","ROU","0","0"
"1995","St. Kitts and Nevis","KNA","Russia","RUS","0","0"
"1995","St. Kitts and Nevis","KNA","Estonia","EST","0","0"
"1995","St. Kitts and Nevis","KNA","Latvia","LVA","0","0"
"1995","St. Kitts and Nevis","KNA","Lithuania","LTU","0","0"
"1995","St. Kitts and Nevis","KNA","Ukraine","UKR","-9","-9"
"1995","St. Kitts and Nevis","KNA","Belarus","BLR","0","0.278"
"1995","St. Kitts and Nevis","KNA","Armenia","ARM","-9","-9"
"1995","St. Kitts and Nevis","KNA","Georgia","GEO","0","0"
"1995","St. Kitts and Nevis","KNA","Azerbaijan","AZE","0","0.071560003"
"1995","St. Kitts and Nevis","KNA","Finland","FIN","0.03169705","0.11311923"
"1995","St. Kitts and Nevis","KNA","Sweden","SWE","0.63224876","0.15420701"
"1995","St. Kitts and Nevis","KNA","Norway","NOR","0.52297699","0.032068521"
"1995","St. Kitts and Nevis","KNA","Denmark","DNK","1.0127505","0"
"1995","St. Kitts and Nevis","KNA","Iceland","ISL","-9","-9"
"1995","St. Kitts and Nevis","KNA","Cape Verde","CPV","-9","-9"
"1995","St. Kitts and Nevis","KNA","Sao Tome and Principe","STP","-9","-9"
"1995","St. Kitts and Nevis","KNA","Guinea-Bissau","GNB","-9","-9"
"1995","St. Kitts and Nevis","KNA","Equatorial Guinea","GNQ","-9","-9"
"1995","St. Kitts and Nevis","KNA","Gambia","GMB","0","0.000628519"
"1995","St. Kitts and Nevis","KNA","Mali","MLI","-9","-9"
"1995","St. Kitts and Nevis","KNA","Senegal","SEN","-9","-9"
"1995","St. Kitts and Nevis","KNA","Benin","BEN","-9","0"
"1995","St. Kitts and Nevis","KNA","Mauritania","MRT","-9","-9"
"1995","St. Kitts and Nevis","KNA","Niger","NER","-9","-9"
"1995","St. Kitts and Nevis","KNA","Ivory Coast","CIV","-9","-9"
"1995","St. Kitts and Nevis","KNA","Guinea","GIN","0","0"
"1995","St. Kitts and Nevis","KNA","Burkina Faso","BFA","-9","-9"
"1995","St. Kitts and Nevis","KNA","Liberia","LBR","-9","-9"
"1995","St. Kitts and Nevis","KNA","Sierra Leone","SLE","-9","-9"
"1995","St. Kitts and Nevis","KNA","Ghana","GHA","-9","-9"
"1995","St. Kitts and Nevis","KNA","Togo","TGO","-9","-9"
"1995","St. Kitts and Nevis","KNA","Cameroon","CMR","-9","-9"
"1995","St. Kitts and Nevis","KNA","Nigeria","NGA","-9","-9"
"1995","St. Kitts and Nevis","KNA","Gabon","GAB","-9","-9"
"1995","St. Kitts and Nevis","KNA","Central African Republic","CAF","-9","-9"
"1995","St. Kitts and Nevis","KNA","Chad","TCD","-9","-9"
"1995","St. Kitts and Nevis","KNA","Congo","COG","-9","-9"
"1995","St. Kitts and Nevis","KNA","Democratic Republic of the Congo","COD","-9","-9"
"1995","St. Kitts and Nevis","KNA","Uganda","UGA","-9","-9"
"1995","St. Kitts and Nevis","KNA","Kenya","KEN","-9","-9"
"1995","St. Kitts and Nevis","KNA","Tanzania","TZA","-9","-9"
"1995","St. Kitts and Nevis","KNA","Burundi","BDI","-9","-9"
"1995","St. Kitts and Nevis","KNA","Rwanda","RWA","-9","-9"
"1995","St. Kitts and Nevis","KNA","Somalia","SOM","-9","-9"
"1995","St. Kitts and Nevis","KNA","Djibouti","DJI","-9","-9"
"1995","St. Kitts and Nevis","KNA","Ethiopia","ETH","-9","-9"
"1995","St. Kitts and Nevis","KNA","Eritrea","ERI","-9","-9"
"1995","St. Kitts and Nevis","KNA","Angola","AGO","-9","-9"
"1995","St. Kitts and Nevis","KNA","Mozambique","MOZ","-9","-9"
"1995","St. Kitts and Nevis","KNA","Zambia","ZMB","-9","-9"
"1995","St. Kitts and Nevis","KNA","Zimbabwe","ZWE","0.0033","0"
"1995","St. Kitts and Nevis","KNA","Malawi","MWI","-9","-9"
"1995","St. Kitts and Nevis","KNA","South Africa","ZAF","40.612148","0"
"1995","St. Kitts and Nevis","KNA","Namibia","NAM","0","0"
"1995","St. Kitts and Nevis","KNA","Lesotho","LSO","-9","-9"
"1995","St. Kitts and Nevis","KNA","Botswana","BWA","-9","-9"
"1995","St. Kitts and Nevis","KNA","Swaziland","SWZ","-9","-9"
"1995","St. Kitts and Nevis","KNA","Madagascar","MDG","-9","-9"
"1995","St. Kitts and Nevis","KNA","Comoros","COM","-9","-9"
"1995","St. Kitts and Nevis","KNA","Mauritius","MUS","-9","0"
"1995","St. Kitts and Nevis","KNA","Seychelles","SYC","-9","-9"
"1995","St. Kitts and Nevis","KNA","Morocco","MAR","-9","-9"
"1995","St. Kitts and Nevis","KNA","Algeria","DZA","-9","-9"
"1995","St. Kitts and Nevis","KNA","Tunisia","TUN","-9","-9"
"1995","St. Kitts and Nevis","KNA","Libya","LBY","-9","-9"
"1995","St. Kitts and Nevis","KNA","Sudan","SDN","-9","-9"
"1995","St. Kitts and Nevis","KNA","Iran","IRN","-9","-9"
"1995","St. Kitts and Nevis","KNA","Turkey","TUR","0","0"
"1995","St. Kitts and Nevis","KNA","Iraq","IRQ","-9","-9"
"1995","St. Kitts and Nevis","KNA","Egypt","EGY","0.1110626","0"
"1995","St. Kitts and Nevis","KNA","Syria","SYR","-9","-9"
"1995","St. Kitts and Nevis","KNA","Lebanon","LBN","0","0"
"1995","St. Kitts and Nevis","KNA","Jordan","JOR","-9","-9"
"1995","St. Kitts and Nevis","KNA","Israel","ISR","-9","-9"
"1995","St. Kitts and Nevis","KNA","Saudi Arabia","SAU","-9","-9"
"1995","St. Kitts and Nevis","KNA","Yemen","YEM","-9","-9"
"1995","St. Kitts and Nevis","KNA","Kuwait","KWT","-9","-9"
"1995","St. Kitts and Nevis","KNA","Bahrain","BHR","-9","0.003066"
"1995","St. Kitts and Nevis","KNA","Qatar","QAT","-9","-9"
"1995","St. Kitts and Nevis","KNA","United Arab Emirates","ARE","-9","-9"
"1995","St. Kitts and Nevis","KNA","Oman","OMN","-9","-9"
"1995","St. Kitts and Nevis","KNA","Afghanistan","AFG","-9","-9"
"1995","St. Kitts and Nevis","KNA","Turkmenistan","TKM","-9","-9"
"1995","St. Kitts and Nevis","KNA","Tajikistan","TJK","-9","-9"
"1995","St. Kitts and Nevis","KNA","Kyrgyzstan","KGZ","-9","-9"
"1995","St. Kitts and Nevis","KNA","Uzbekistan","UZB","-9","-9"
"1995","St. Kitts and Nevis","KNA","Kazakhstan","KAZ","-9","-9"
"1995","St. Kitts and Nevis","KNA","China","CHN","0.0297","0"
"1995","St. Kitts and Nevis","KNA","Mongolia","MNG","-9","-9"
"1995","St. Kitts and Nevis","KNA","Taiwan","TWN","0.53240001","0.006363636"
"1995","St. Kitts and Nevis","KNA","North Korea","PRK","0","-9"
"1995","St. Kitts and Nevis","KNA","South Korea","KOR","0","0"
"1995","St. Kitts and Nevis","KNA","Japan","JPN","6.1655002","0.077"
"1995","St. Kitts and Nevis","KNA","India","IND","0.055","0"
"1995","St. Kitts and Nevis","KNA","Bhutan","BTN","-9","-9"
"1995","St. Kitts and Nevis","KNA","Pakistan","PAK","-9","-9"
"1995","St. Kitts and Nevis","KNA","Bangladesh","BGD","0","-9"
"1995","St. Kitts and Nevis","KNA","Myanmar","MMR","-9","-9"
"1995","St. Kitts and Nevis","KNA","Sri Lanka","LKA","0","0"
"1995","St. Kitts and Nevis","KNA","Maldives","MDV","-9","-9"
"1995","St. Kitts and Nevis","KNA","Nepal","NPL","-9","-9"
"1995","St. Kitts and Nevis","KNA","Thailand","THA","-9","-9"
"1995","St. Kitts and Nevis","KNA","Cambodia","KHM","-9","0"
"1995","St. Kitts and Nevis","KNA","Laos","LAO","-9","-9"
"1995","St. Kitts and Nevis","KNA","Vietnam","VNM","-9","-9"
"1995","St. Kitts and Nevis","KNA","Malaysia","MYS","0.060484484","0.051384907"
"1995","St. Kitts and Nevis","KNA","Singapore","SGP","-9","-9"
