"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1995","Lesotho","LSO","United States of America","USA","1.8","65.199997"
"1995","Lesotho","LSO","Canada","CAN","0.14227323","3.0029867"
"1995","Lesotho","LSO","Bahamas","BHS","-9","-9"
"1995","Lesotho","LSO","Cuba","CUB","-9","-9"
"1995","Lesotho","LSO","Haiti","HTI","-9","-9"
"1995","Lesotho","LSO","Dominican Republic","DOM","-9","-9"
"1995","Lesotho","LSO","Jamaica","JAM","0","0"
"1995","Lesotho","LSO","Trinidad and Tobago","TTO","0","0"
"1995","Lesotho","LSO","Barbados","BRB","0","-9"
"1995","Lesotho","LSO","Dominica","DMA","0","0"
"1995","Lesotho","LSO","Grenada","GRD","0","-9"
"1995","Lesotho","LSO","St. Lucia","LCA","-9","-9"
"1995","Lesotho","LSO","St. Vincent and the Grenadines","VCT","-9","-9"
"1995","Lesotho","LSO","Antigua & Barbuda","ATG","-9","-9"
"1995","Lesotho","LSO","St. Kitts and Nevis","KNA","-9","-9"
"1995","Lesotho","LSO","Mexico","MEX","-9","-9"
"1995","Lesotho","LSO","Belize","BLZ","0","0"
"1995","Lesotho","LSO","Guatemala","GTM","-9","0"
"1995","Lesotho","LSO","Honduras","HND","-9","-9"
"1995","Lesotho","LSO","El Salvador","SLV","-9","-9"
"1995","Lesotho","LSO","Nicaragua","NIC","-9","-9"
"1995","Lesotho","LSO","Costa Rica","CRI","0","-9"
"1995","Lesotho","LSO","Panama","PAN","-9","-9"
"1995","Lesotho","LSO","Colombia","COL","0","0.007303"
"1995","Lesotho","LSO","Venezuela","VEN","-9","-9"
"1995","Lesotho","LSO","Guyana","GUY","-9","-9"
"1995","Lesotho","LSO","Suriname","SUR","-9","-9"
"1995","Lesotho","LSO","Ecuador","ECU","-9","-9"
"1995","Lesotho","LSO","Peru","PER","0","0"
"1995","Lesotho","LSO","Brazil","BRA","0","0"
"1995","Lesotho","LSO","Bolivia","BOL","0","0"
"1995","Lesotho","LSO","Paraguay","PRY","0","0"
"1995","Lesotho","LSO","Chile","CHL","0","0"
"1995","Lesotho","LSO","Argentina","ARG","0","0"
"1995","Lesotho","LSO","Uruguay","URY","-9","-9"
"1995","Lesotho","LSO","United Kingdom","GBR","2.0936694","0.63159347"
"1995","Lesotho","LSO","Ireland","IRL","0.009841958","0"
"1995","Lesotho","LSO","Netherlands","NLD","1.277967","0.63649237"
"1995","Lesotho","LSO","Belgium","BEL","0.1028105","11.15961"
"1995","Lesotho","LSO","Luxembourg","LUX","0.0071895","0.78038698"
"1995","Lesotho","LSO","France","FRA","15.397029","0.22678633"
"1995","Lesotho","LSO","Monaco","MCO","-9","-9"
"1995","Lesotho","LSO","Liechtenstein","LIE","-9","-9"
"1995","Lesotho","LSO","Switzerland","CHE","0.3805635","2.8843396"
"1995","Lesotho","LSO","Spain","ESP","0","0"
"1995","Lesotho","LSO","Andorra","AND","-9","-9"
"1995","Lesotho","LSO","Portugal","PRT","0.000238244","0.10123388"
"1995","Lesotho","LSO","Germany","DEU","7.3175044","11.834677"
"1995","Lesotho","LSO","Poland","POL","0","0"
