"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1996","Senegal","SEN","United States of America","USA","69.70105","5.9000001"
"1996","Senegal","SEN","Canada","CAN","11.577771","1.3475856"
"1996","Senegal","SEN","Bahamas","BHS","0.003377953","0"
"1996","Senegal","SEN","Cuba","CUB","0.054690387","0.10551607"
"1996","Senegal","SEN","Haiti","HTI","0","0"
"1996","Senegal","SEN","Dominican Republic","DOM","0","0"
"1996","Senegal","SEN","Jamaica","JAM","0.007021763","0"
"1996","Senegal","SEN","Trinidad and Tobago","TTO","2.9030964","9.83E-06"
"1996","Senegal","SEN","Barbados","BRB","0.006960672","0"
"1996","Senegal","SEN","Dominica","DMA","0","0"
"1996","Senegal","SEN","Grenada","GRD","0","0"
"1996","Senegal","SEN","St. Lucia","LCA","0","0"
"1996","Senegal","SEN","St. Vincent and the Grenadines","VCT","0","0.01168037"
"1996","Senegal","SEN","Antigua & Barbuda","ATG","-9","-9"
"1996","Senegal","SEN","St. Kitts and Nevis","KNA","-9","-9"
"1996","Senegal","SEN","Mexico","MEX","1.0300547","0"
"1996","Senegal","SEN","Belize","BLZ","0","0"
"1996","Senegal","SEN","Guatemala","GTM","0","0"
"1996","Senegal","SEN","Honduras","HND","0","0"
"1996","Senegal","SEN","El Salvador","SLV","0","0"
"1996","Senegal","SEN","Nicaragua","NIC","0","0"
"1996","Senegal","SEN","Costa Rica","CRI","0.005782398","0"
"1996","Senegal","SEN","Panama","PAN","0","0"
"1996","Senegal","SEN","Colombia","COL","0.17490681","0"
"1996","Senegal","SEN","Venezuela","VEN","0.022302698","0"
"1996","Senegal","SEN","Guyana","GUY","0","0"
"1996","Senegal","SEN","Suriname","SUR","0.40336043","0"
"1996","Senegal","SEN","Ecuador","ECU","0.00164988","0"
"1996","Senegal","SEN","Peru","PER","0.77788115","0.011250068"
"1996","Senegal","SEN","Brazil","BRA","30.113888","16.299601"
"1996","Senegal","SEN","Bolivia","BOL","0.0035","0"
"1996","Senegal","SEN","Paraguay","PRY","0.016449926","0"
"1996","Senegal","SEN","Chile","CHL","0.55803466","0.02"
"1996","Senegal","SEN","Argentina","ARG","10.658525","0.026859"
"1996","Senegal","SEN","Uruguay","URY","12.657641","1.154"
"1996","Senegal","SEN","United Kingdom","GBR","25.898359","20.913166"
"1996","Senegal","SEN","Ireland","IRL","10.538815","1.0111212"
"1996","Senegal","SEN","Netherlands","NLD","42.265991","13.624797"
"1996","Senegal","SEN","Belgium","BEL","35.06073","10.51169"
"1996","Senegal","SEN","Luxembourg","LUX","2.529269","0.7583099"
"1996","Senegal","SEN","France","FRA","392.0831","180.25653"
"1996","Senegal","SEN","Monaco","MCO","-9","-9"
"1996","Senegal","SEN","Liechtenstein","LIE","-9","-9"
"1996","Senegal","SEN","Switzerland","CHE","8.8754711","2.2919118"
"1996","Senegal","SEN","Spain","ESP","57.10981","36.435673"
"1996","Senegal","SEN","Andorra","AND","-9","-9"
"1996","Senegal","SEN","Portugal","PRT","6.2576871","9.6079674"
"1996","Senegal","SEN","Germany","DEU","85.352829","8.5490503"
"1996","Senegal","SEN","Poland","POL","1.5923295","0.15899999"
"1996","Senegal","SEN","Austria","AUT","3.5173638","0.1440506"
"1996","Senegal","SEN","Hungary","HUN","0.45440307","0.016000001"
"1996","Senegal","SEN","Czech Republic","CZE","1.1015735","0.72677147"
"1996","Senegal","SEN","Slovakia","SVK","0.193639","0.1929367"
