"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1998","Kyrgyzstan","KGZ","United States of America","USA","40.799999","0.2"
"1998","Kyrgyzstan","KGZ","Canada","CAN","14.4","0.02151845"
"1998","Kyrgyzstan","KGZ","Bahamas","BHS","0","0"
"1998","Kyrgyzstan","KGZ","Cuba","CUB","12.1","0"
"1998","Kyrgyzstan","KGZ","Haiti","HTI","-9","-9"
"1998","Kyrgyzstan","KGZ","Dominican Republic","DOM","-9","-9"
"1998","Kyrgyzstan","KGZ","Jamaica","JAM","-9","-9"
"1998","Kyrgyzstan","KGZ","Trinidad and Tobago","TTO","0","-9"
"1998","Kyrgyzstan","KGZ","Barbados","BRB","0","0"
"1998","Kyrgyzstan","KGZ","Dominica","DMA","-9","-9"
"1998","Kyrgyzstan","KGZ","Grenada","GRD","0.1","-9"
"1998","Kyrgyzstan","KGZ","St. Lucia","LCA","-9","-9"
"1998","Kyrgyzstan","KGZ","St. Vincent and the Grenadines","VCT","-9","-9"
"1998","Kyrgyzstan","KGZ","Antigua & Barbuda","ATG","-9","-9"
"1998","Kyrgyzstan","KGZ","St. Kitts and Nevis","KNA","-9","-9"
"1998","Kyrgyzstan","KGZ","Mexico","MEX","0","0"
"1998","Kyrgyzstan","KGZ","Belize","BLZ","0","-9"
"1998","Kyrgyzstan","KGZ","Guatemala","GTM","-9","-9"
"1998","Kyrgyzstan","KGZ","Honduras","HND","-9","-9"
"1998","Kyrgyzstan","KGZ","El Salvador","SLV","-9","0.151677"
"1998","Kyrgyzstan","KGZ","Nicaragua","NIC","-9","-9"
"1998","Kyrgyzstan","KGZ","Costa Rica","CRI","0.1","-9"
"1998","Kyrgyzstan","KGZ","Panama","PAN","0","0"
"1998","Kyrgyzstan","KGZ","Colombia","COL","0","0.082892999"
"1998","Kyrgyzstan","KGZ","Venezuela","VEN","0","0"
"1998","Kyrgyzstan","KGZ","Guyana","GUY","-9","-9"
"1998","Kyrgyzstan","KGZ","Suriname","SUR","-9","-9"
"1998","Kyrgyzstan","KGZ","Ecuador","ECU","0.1","-9"
"1998","Kyrgyzstan","KGZ","Peru","PER","0","0"
"1998","Kyrgyzstan","KGZ","Brazil","BRA","13.8","0.064900003"
"1998","Kyrgyzstan","KGZ","Bolivia","BOL","-9","-9"
"1998","Kyrgyzstan","KGZ","Paraguay","PRY","-9","-9"
"1998","Kyrgyzstan","KGZ","Chile","CHL","0.1","0"
