"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1998","Kuwait","KWT","United States of America","USA","1328.7102","1470.7"
"1998","Kuwait","KWT","Canada","CAN","139.16216","1.7760773"
"1998","Kuwait","KWT","Bahamas","BHS","0","0"
"1998","Kuwait","KWT","Cuba","CUB","0.16112253","0"
"1998","Kuwait","KWT","Haiti","HTI","0.039585814","0"
"1998","Kuwait","KWT","Dominican Republic","DOM","0.23556578","2.5996454"
"1998","Kuwait","KWT","Jamaica","JAM","0.050378066","0"
"1998","Kuwait","KWT","Trinidad and Tobago","TTO","0.052596238","0"
"1998","Kuwait","KWT","Barbados","BRB","0","0"
"1998","Kuwait","KWT","Dominica","DMA","0.016117832","-9"
"1998","Kuwait","KWT","Grenada","GRD","-9","0"
"1998","Kuwait","KWT","St. Lucia","LCA","0","0"
"1998","Kuwait","KWT","St. Vincent and the Grenadines","VCT","0","0"
"1998","Kuwait","KWT","Antigua & Barbuda","ATG","-9","-9"
"1998","Kuwait","KWT","St. Kitts and Nevis","KNA","-9","-9"
"1998","Kuwait","KWT","Mexico","MEX","97.061333","0.064900003"
"1998","Kuwait","KWT","Belize","BLZ","0","0"
"1998","Kuwait","KWT","Guatemala","GTM","4.4647937","0"
"1998","Kuwait","KWT","Honduras","HND","0.30769241","0"
"1998","Kuwait","KWT","El Salvador","SLV","0.15702416","0.004453"
"1998","Kuwait","KWT","Nicaragua","NIC","0.011753679","-9"
"1998","Kuwait","KWT","Costa Rica","CRI","0.42645314","0"
"1998","Kuwait","KWT","Panama","PAN","0.009985049","0"
"1998","Kuwait","KWT","Colombia","COL","1.0948247","0.072448"
"1998","Kuwait","KWT","Venezuela","VEN","0.01173071","0.071400002"
"1998","Kuwait","KWT","Guyana","GUY","0","0"
"1998","Kuwait","KWT","Suriname","SUR","-9","-9"
"1998","Kuwait","KWT","Ecuador","ECU","1.2372339","0"
"1998","Kuwait","KWT","Peru","PER","0.58643705","0"
"1998","Kuwait","KWT","Brazil","BRA","63.168015","32.099098"
"1998","Kuwait","KWT","Bolivia","BOL","0.014765928","0.023290001"
"1998","Kuwait","KWT","Paraguay","PRY","0.000626732","0"
"1998","Kuwait","KWT","Chile","CHL","7.1740265","0"
"1998","Kuwait","KWT","Argentina","ARG","31.868664","2.026"
"1998","Kuwait","KWT","Uruguay","URY","0.28484461","0.75199997"
"1998","Kuwait","KWT","United Kingdom","GBR","506.49399","307.29147"
"1998","Kuwait","KWT","Ireland","IRL","55.454857","0.11022452"
"1998","Kuwait","KWT","Netherlands","NLD","165.82069","728.24567"
"1998","Kuwait","KWT","Belgium","BEL","75.523491","26.638119"
"1998","Kuwait","KWT","Luxembourg","LUX","1.7825495","0.002669589"
"1998","Kuwait","KWT","France","FRA","319.76022","136.99007"
"1998","Kuwait","KWT","Monaco","MCO","-9","-9"
"1998","Kuwait","KWT","Liechtenstein","LIE","-9","-9"
"1998","Kuwait","KWT","Switzerland","CHE","174.24008","4.1389489"
"1998","Kuwait","KWT","Spain","ESP","118.1074","14.265401"
"1998","Kuwait","KWT","Andorra","AND","-9","-9"
"1998","Kuwait","KWT","Portugal","PRT","15.162269","0.55457813"
"1998","Kuwait","KWT","Germany","DEU","600.82147","80.19223"
"1998","Kuwait","KWT","Poland","POL","10.428444","0.57099998"
"1998","Kuwait","KWT","Austria","AUT","53.090176","0.75870025"
"1998","Kuwait","KWT","Hungary","HUN","17.240597","0.005"
"1998","Kuwait","KWT","Czech Republic","CZE","17.798998","0"
"1998","Kuwait","KWT","Slovakia","SVK","0.70169336","8.80E-05"
"1998","Kuwait","KWT","Italy","ITA","498.32681","25.945646"
"1998","Kuwait","KWT","San Marino","SMR","-9","-9"
"1998","Kuwait","KWT","Malta","MLT","3.0643337","0"
"1998","Kuwait","KWT","Albania","ALB","0.027743539","0"
"1998","Kuwait","KWT","Macedonia","MKD","1.0104948","0"
"1998","Kuwait","KWT","Croatia","HRV","0.77896178","0"
"1998","Kuwait","KWT","Yugoslavia","YUG","-9","-9"
"1998","Kuwait","KWT","Bosnia and Herzegovina","BIH","0.19315475","-9"
"1998","Kuwait","KWT","Slovenia","SVN","2.4443486","0.47299999"
"1998","Kuwait","KWT","Greece","GRC","22.182232","0.27850685"
"1998","Kuwait","KWT","Cyprus","CYP","6.791461","0.094896667"
"1998","Kuwait","KWT","Bulgaria","BGR","1.3853689","0.015"
"1998","Kuwait","KWT","Moldova","MDA","0.015084216","0"
"1998","Kuwait","KWT","Romania","ROU","31.620518","0"
"1998","Kuwait","KWT","Russia","RUS","9.6327143","0"
"1998","Kuwait","KWT","Estonia","EST","0.11799946","0.039999999"
"1998","Kuwait","KWT","Latvia","LVA","0.25055155","0"
"1998","Kuwait","KWT","Lithuania","LTU","0.81606364","0"
"1998","Kuwait","KWT","Ukraine","UKR","0.60000002","0.2"
"1998","Kuwait","KWT","Belarus","BLR","0.046939246","0"
"1998","Kuwait","KWT","Armenia","ARM","0.001053303","0"
"1998","Kuwait","KWT","Georgia","GEO","0.00819345","0.12154"
"1998","Kuwait","KWT","Azerbaijan","AZE","0.004170555","0.2323"
"1998","Kuwait","KWT","Finland","FIN","44.294964","9.6982136"
"1998","Kuwait","KWT","Sweden","SWE","52.538868","6.849925"
"1998","Kuwait","KWT","Norway","NOR","6.2547917","0.13382852"
"1998","Kuwait","KWT","Denmark","DNK","60.465977","41.879608"
"1998","Kuwait","KWT","Iceland","ISL","0.050000716","0"
"1998","Kuwait","KWT","Cape Verde","CPV","-9","-9"
"1998","Kuwait","KWT","Sao Tome and Principe","STP","-9","-9"
"1998","Kuwait","KWT","Guinea-Bissau","GNB","-9","-9"
"1998","Kuwait","KWT","Equatorial Guinea","GNQ","-9","-9"
"1998","Kuwait","KWT","Gambia","GMB","0.00032485","0.020195765"
"1998","Kuwait","KWT","Mali","MLI","0.001164868","0"
"1998","Kuwait","KWT","Senegal","SEN","0.38450807","0.13430589"
"1998","Kuwait","KWT","Benin","BEN","0.58673239","0.057123315"
"1998","Kuwait","KWT","Mauritania","MRT","0.13341509","0"
"1998","Kuwait","KWT","Niger","NER","0","0.001695054"
"1998","Kuwait","KWT","Ivory Coast","CIV","0.39761364","0.82201636"
"1998","Kuwait","KWT","Guinea","GIN","0","0.00970221"
"1998","Kuwait","KWT","Burkina Faso","BFA","0.000695639","0.025533412"
"1998","Kuwait","KWT","Liberia","LBR","0","0"
"1998","Kuwait","KWT","Sierra Leone","SLE","0","0"
"1998","Kuwait","KWT","Ghana","GHA","0.28708574","0"
"1998","Kuwait","KWT","Togo","TGO","0","0.015192768"
"1998","Kuwait","KWT","Cameroon","CMR","0.15091763","0"
"1998","Kuwait","KWT","Nigeria","NGA","0","0"
"1998","Kuwait","KWT","Gabon","GAB","0.003543823","0.0166208"
"1998","Kuwait","KWT","Central African Republic","CAF","-9","-9"
"1998","Kuwait","KWT","Chad","TCD","0.00206723","-9"
"1998","Kuwait","KWT","Congo","COG","0","0"
"1998","Kuwait","KWT","Democratic Republic of the Congo","COD","0","0"
"1998","Kuwait","KWT","Uganda","UGA","0.005368236","0.011067144"
"1998","Kuwait","KWT","Kenya","KEN","0.79570633","4.0982351"
"1998","Kuwait","KWT","Tanzania","TZA","0.094780855","0.92479408"
"1998","Kuwait","KWT","Burundi","BDI","0","0"
"1998","Kuwait","KWT","Rwanda","RWA","0","0"
"1998","Kuwait","KWT","Somalia","SOM","3.1762924","0"
"1998","Kuwait","KWT","Djibouti","DJI","0.004413372","0"
"1998","Kuwait","KWT","Ethiopia","ETH","0.22772343","14.981221"
"1998","Kuwait","KWT","Eritrea","ERI","0.22512135","-9"
"1998","Kuwait","KWT","Angola","AGO","0.001591439","0"
"1998","Kuwait","KWT","Mozambique","MOZ","0.012285252","0"
"1998","Kuwait","KWT","Zambia","ZMB","4.6739349","0.008635303"
"1998","Kuwait","KWT","Zimbabwe","ZWE","0.26805082","64.136337"
"1998","Kuwait","KWT","Malawi","MWI","0.002841621","0"
"1998","Kuwait","KWT","South Africa","ZAF","87.544937","486.93463"
"1998","Kuwait","KWT","Namibia","NAM","0.038174849","-9"
"1998","Kuwait","KWT","Lesotho","LSO","-9","-9"
"1998","Kuwait","KWT","Botswana","BWA","0.000820329","-9"
"1998","Kuwait","KWT","Swaziland","SWZ","0","0"
"1998","Kuwait","KWT","Madagascar","MDG","0.070994586","0"
"1998","Kuwait","KWT","Comoros","COM","0","0"
"1998","Kuwait","KWT","Mauritius","MUS","0.76858956","0.009867004"
"1998","Kuwait","KWT","Seychelles","SYC","0","0"
"1998","Kuwait","KWT","Morocco","MAR","6.9310451","0"
"1998","Kuwait","KWT","Algeria","DZA","0.12499195","0.3894349"
"1998","Kuwait","KWT","Tunisia","TUN","2.2207859","9.948514"
"1998","Kuwait","KWT","Libya","LBY","0","0.12073036"
"1998","Kuwait","KWT","Sudan","SDN","0.98298097","0"
"1998","Kuwait","KWT","Iran","IRN","72.511086","0"
"1998","Kuwait","KWT","Turkey","TUR","126.00258","80.699997"
"1998","Kuwait","KWT","Iraq","IRQ","0","0"
"1998","Kuwait","KWT","Egypt","EGY","62.25732","10.815924"
"1998","Kuwait","KWT","Syria","SYR","73.097908","10.41755"
"1998","Kuwait","KWT","Lebanon","LBN","53.791718","9.3970003"
"1998","Kuwait","KWT","Jordan","JOR","41.268803","5.8949223"
"1998","Kuwait","KWT","Israel","ISR","-9","-9"
