"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1999","Georgia","GEO","United States of America","USA","73.040001","17.9"
"1999","Georgia","GEO","Canada","CAN","6.8254428","0.61516297"
"1999","Georgia","GEO","Bahamas","BHS","1.2495277","0"
"1999","Georgia","GEO","Cuba","CUB","-9","0"
"1999","Georgia","GEO","Haiti","HTI","0","0"
"1999","Georgia","GEO","Dominican Republic","DOM","-9","-9"
"1999","Georgia","GEO","Jamaica","JAM","0","0"
"1999","Georgia","GEO","Trinidad and Tobago","TTO","0","0.042817634"
"1999","Georgia","GEO","Barbados","BRB","0","0"
"1999","Georgia","GEO","Dominica","DMA","-9","-9"
"1999","Georgia","GEO","Grenada","GRD","0","0"
"1999","Georgia","GEO","St. Lucia","LCA","-9","-9"
"1999","Georgia","GEO","St. Vincent and the Grenadines","VCT","-9","-9"
"1999","Georgia","GEO","Antigua & Barbuda","ATG","-9","-9"
"1999","Georgia","GEO","St. Kitts and Nevis","KNA","0","0"
"1999","Georgia","GEO","Mexico","MEX","5.9066391","0"
"1999","Georgia","GEO","Belize","BLZ","-9","-9"
"1999","Georgia","GEO","Guatemala","GTM","-9","-9"
"1999","Georgia","GEO","Honduras","HND","0","0"
"1999","Georgia","GEO","El Salvador","SLV","-9","0"
"1999","Georgia","GEO","Nicaragua","NIC","-9","-9"
"1999","Georgia","GEO","Costa Rica","CRI","0","0"
"1999","Georgia","GEO","Panama","PAN","0","0.004253"
"1999","Georgia","GEO","Colombia","COL","0.056364","0.000725"
"1999","Georgia","GEO","Venezuela","VEN","0","0"
"1999","Georgia","GEO","Guyana","GUY","-9","-9"
"1999","Georgia","GEO","Suriname","SUR","0","-9"
"1999","Georgia","GEO","Ecuador","ECU","0.000785664","0.001102409"
"1999","Georgia","GEO","Peru","PER","0","0"
"1999","Georgia","GEO","Brazil","BRA","2.4981","0.4939"
"1999","Georgia","GEO","Bolivia","BOL","-9","0"
"1999","Georgia","GEO","Paraguay","PRY","-9","-9"
"1999","Georgia","GEO","Chile","CHL","0","8.5"
"1999","Georgia","GEO","Argentina","ARG","2.8001401","0.202777"
"1999","Georgia","GEO","Uruguay","URY","0.02475","0"
"1999","Georgia","GEO","United Kingdom","GBR","26.178045","5.979351"
"1999","Georgia","GEO","Ireland","IRL","1.4025","0.0003"
"1999","Georgia","GEO","Netherlands","NLD","12.51558","7.9993"
"1999","Georgia","GEO","Belgium","BEL","8.2870016","0.64104146"
"1999","Georgia","GEO","Luxembourg","LUX","1.57454","0"
"1999","Georgia","GEO","France","FRA","19.451521","31.172001"
"1999","Georgia","GEO","Monaco","MCO","-9","-9"
"1999","Georgia","GEO","Liechtenstein","LIE","-9","-9"
"1999","Georgia","GEO","Switzerland","CHE","2.6400001","0.093004487"
"1999","Georgia","GEO","Spain","ESP","4.4244199","3.5973001"
"1999","Georgia","GEO","Andorra","AND","-9","-9"
"1999","Georgia","GEO","Portugal","PRT","0.57441998","0.064900003"
"1999","Georgia","GEO","Germany","DEU","53.5755","22.356001"
"1999","Georgia","GEO","Poland","POL","16.91338","0.62330002"
"1999","Georgia","GEO","Austria","AUT","3.1510601","1.8358999"
"1999","Georgia","GEO","Hungary","HUN","1.9657","0.021"
"1999","Georgia","GEO","Czech Republic","CZE","6.4356403","1.1285375"
"1999","Georgia","GEO","Slovakia","SVK","0.161799","0.039809"
"1999","Georgia","GEO","Italy","ITA","33.25069","29.176901"
"1999","Georgia","GEO","San Marino","SMR","-9","-9"
"1999","Georgia","GEO","Malta","MLT","5.39E-05","0.008391229"
"1999","Georgia","GEO","Albania","ALB","0","0.15977854"
"1999","Georgia","GEO","Macedonia","MKD","0.3805142","0.103063"
"1999","Georgia","GEO","Croatia","HRV","0","0"
"1999","Georgia","GEO","Yugoslavia","YUG","-9","-9"
"1999","Georgia","GEO","Bosnia and Herzegovina","BIH","0","0"
"1999","Georgia","GEO","Slovenia","SVN","2.129226","0.49558201"
"1999","Georgia","GEO","Greece","GRC","11.10725","12.2191"
"1999","Georgia","GEO","Cyprus","CYP","3.4055805","0.50262767"
"1999","Georgia","GEO","Bulgaria","BGR","44.894299","0.472"
"1999","Georgia","GEO","Moldova","MDA","0.034650002","0.112"
"1999","Georgia","GEO","Romania","ROU","56.221001","0.69"
"1999","Georgia","GEO","Russia","RUS","63.513565","49.821686"
"1999","Georgia","GEO","Estonia","EST","0.55000001","0.52999997"
"1999","Georgia","GEO","Latvia","LVA","0","0"
"1999","Georgia","GEO","Lithuania","LTU","2.8037901","0.57340002"
"1999","Georgia","GEO","Ukraine","UKR","46.310001","6"
"1999","Georgia","GEO","Belarus","BLR","1.40206","1.4428"
"1999","Georgia","GEO","Armenia","ARM","12.21011","26.8557"
"1999","Georgia","GEO","Azerbaijan","AZE","78.895523","9.4856005"
"1999","Georgia","GEO","Finland","FIN","3.6019499","0.0075"
"1999","Georgia","GEO","Sweden","SWE","10.110951","0.034458593"
"1999","Georgia","GEO","Norway","NOR","0.82853311","0.18074855"
"1999","Georgia","GEO","Denmark","DNK","5.7486","1.6950001"
"1999","Georgia","GEO","Iceland","ISL","0","0.004158598"
"1999","Georgia","GEO","Cape Verde","CPV","-9","-9"
"1999","Georgia","GEO","Sao Tome and Principe","STP","-9","-9"
"1999","Georgia","GEO","Guinea-Bissau","GNB","0","0"
"1999","Georgia","GEO","Equatorial Guinea","GNQ","-9","-9"
"1999","Georgia","GEO","Gambia","GMB","0","0"
"1999","Georgia","GEO","Mali","MLI","-9","-9"
"1999","Georgia","GEO","Senegal","SEN","-9","-9"
"1999","Georgia","GEO","Benin","BEN","-9","-9"
"1999","Georgia","GEO","Mauritania","MRT","0","0"
"1999","Georgia","GEO","Niger","NER","-9","-9"
"1999","Georgia","GEO","Ivory Coast","CIV","0","0"
"1999","Georgia","GEO","Guinea","GIN","0","0"
"1999","Georgia","GEO","Burkina Faso","BFA","-9","-9"
"1999","Georgia","GEO","Liberia","LBR","0.13013403","0"
"1999","Georgia","GEO","Sierra Leone","SLE","-9","-9"
"1999","Georgia","GEO","Ghana","GHA","0.001204945","-9"
"1999","Georgia","GEO","Togo","TGO","-9","-9"
"1999","Georgia","GEO","Cameroon","CMR","0","-9"
"1999","Georgia","GEO","Nigeria","NGA","-9","-9"
"1999","Georgia","GEO","Gabon","GAB","-9","-9"
"1999","Georgia","GEO","Central African Republic","CAF","0","0"
"1999","Georgia","GEO","Chad","TCD","-9","-9"
"1999","Georgia","GEO","Congo","COG","0","0"
"1999","Georgia","GEO","Democratic Republic of the Congo","COD","-9","-9"
"1999","Georgia","GEO","Uganda","UGA","0","0.001325439"
"1999","Georgia","GEO","Kenya","KEN","-9","0"
"1999","Georgia","GEO","Tanzania","TZA","0","0"
"1999","Georgia","GEO","Burundi","BDI","-9","-9"
"1999","Georgia","GEO","Rwanda","RWA","0","0"
"1999","Georgia","GEO","Somalia","SOM","-9","-9"
"1999","Georgia","GEO","Djibouti","DJI","-9","-9"
"1999","Georgia","GEO","Ethiopia","ETH","0","0"
"1999","Georgia","GEO","Eritrea","ERI","-9","-9"
"1999","Georgia","GEO","Angola","AGO","-9","-9"
"1999","Georgia","GEO","Mozambique","MOZ","-9","-9"
"1999","Georgia","GEO","Zambia","ZMB","0.16900447","0.21518289"
"1999","Georgia","GEO","Zimbabwe","ZWE","7.06E-05","0.058458008"
"1999","Georgia","GEO","Malawi","MWI","-9","-9"
"1999","Georgia","GEO","South Africa","ZAF","1.86291","0.56806988"
"1999","Georgia","GEO","Namibia","NAM","-9","-9"
"1999","Georgia","GEO","Lesotho","LSO","-9","-9"
"1999","Georgia","GEO","Botswana","BWA","0.015664281","0"
"1999","Georgia","GEO","Swaziland","SWZ","-9","-9"
"1999","Georgia","GEO","Madagascar","MDG","-9","0"
"1999","Georgia","GEO","Comoros","COM","-9","-9"
"1999","Georgia","GEO","Mauritius","MUS","0","0.002264966"
"1999","Georgia","GEO","Seychelles","SYC","-9","-9"
"1999","Georgia","GEO","Morocco","MAR","0","0"
"1999","Georgia","GEO","Algeria","DZA","0","5.3955398"
"1999","Georgia","GEO","Tunisia","TUN","0","0"
"1999","Georgia","GEO","Libya","LBY","0","-9"
"1999","Georgia","GEO","Sudan","SDN","-9","-9"
"1999","Georgia","GEO","Iran","IRN","0","0"
"1999","Georgia","GEO","Turkey","TUR","125.62054","93.289238"
"1999","Georgia","GEO","Iraq","IRQ","0","0"
"1999","Georgia","GEO","Egypt","EGY","0.0056782","2.972657"
"1999","Georgia","GEO","Syria","SYR","0","0"
"1999","Georgia","GEO","Lebanon","LBN","0.066","0.01"
"1999","Georgia","GEO","Jordan","JOR","0.062059239","0.24118477"
"1999","Georgia","GEO","Israel","ISR","4.0700002","0.2"
"1999","Georgia","GEO","Saudi Arabia","SAU","0","0"
"1999","Georgia","GEO","Yemen","YEM","0","0"
"1999","Georgia","GEO","Kuwait","KWT","0.12056768","0.016769888"
"1999","Georgia","GEO","Bahrain","BHR","0.004819779","0.006133794"
"1999","Georgia","GEO","Qatar","QAT","-9","-9"
"1999","Georgia","GEO","United Arab Emirates","ARE","16.190809","0"
"1999","Georgia","GEO","Oman","OMN","0","0.000749106"
"1999","Georgia","GEO","Afghanistan","AFG","0","0"
"1999","Georgia","GEO","Turkmenistan","TKM","39.490002","33.900002"
"1999","Georgia","GEO","Tajikistan","TJK","0.01518","0.3351"
"1999","Georgia","GEO","Kyrgyzstan","KGZ","0.44","0.2"
"1999","Georgia","GEO","Uzbekistan","UZB","0.92298764","6.3064394"
"1999","Georgia","GEO","Kazakhstan","KAZ","3.6300001","1.4"
"1999","Georgia","GEO","China","CHN","6.4594798","1.9208713"
"1999","Georgia","GEO","Mongolia","MNG","0","0.25"
"1999","Georgia","GEO","Taiwan","TWN","1.2298","0.11636364"
"1999","Georgia","GEO","North Korea","PRK","1.3989408","0"
