"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2003","Philippines","PHL","United States of America","USA","7407.2593","10496.1"
"2003","Philippines","PHL","Canada","CAN","229.08409","766.0791"
"2003","Philippines","PHL","Bahamas","BHS","0.016085999","0.9994545"
"2003","Philippines","PHL","Cuba","CUB","0.091714002","0.017273299"
"2003","Philippines","PHL","Haiti","HTI","0.163904","0.89873266"
"2003","Philippines","PHL","Dominican Republic","DOM","0.007238","0.54314947"
"2003","Philippines","PHL","Jamaica","JAM","0.141914","9.5362597"
"2003","Philippines","PHL","Trinidad and Tobago","TTO","0.033767998","0.23998369"
"2003","Philippines","PHL","Barbados","BRB","0.094869003","1.50464"
"2003","Philippines","PHL","Dominica","DMA","0.083269","0"
"2003","Philippines","PHL","Grenada","GRD","0","0"
"2003","Philippines","PHL","St. Lucia","LCA","0.004204","0"
"2003","Philippines","PHL","St. Vincent and the Grenadines","VCT","0","0.005747407"
"2003","Philippines","PHL","Antigua & Barbuda","ATG","0.062928997","0.213257"
"2003","Philippines","PHL","St. Kitts and Nevis","KNA","0","0"
"2003","Philippines","PHL","Mexico","MEX","17.824766","862.13525"
"2003","Philippines","PHL","Belize","BLZ","0.48803601","2.4714713"
"2003","Philippines","PHL","Guatemala","GTM","0.104809","0.81449997"
"2003","Philippines","PHL","Honduras","HND","0.312195","1.42733"
"2003","Philippines","PHL","El Salvador","SLV","0.013436","0.3388021"
"2003","Philippines","PHL","Nicaragua","NIC","0.26073799","0.64665222"
"2003","Philippines","PHL","Costa Rica","CRI","20.133274","5.1307015"
"2003","Philippines","PHL","Panama","PAN","4.7559462","0.270417"
"2003","Philippines","PHL","Colombia","COL","5.5216789","7.05439"
"2003","Philippines","PHL","Venezuela","VEN","1.2955281","1.402"
"2003","Philippines","PHL","Guyana","GUY","0","0.13935681"
"2003","Philippines","PHL","Suriname","SUR","0.42615199","0.14717376"
"2003","Philippines","PHL","Ecuador","ECU","0.249431","1.809018"
"2003","Philippines","PHL","Peru","PER","10.024684","1.6102253"
"2003","Philippines","PHL","Brazil","BRA","145.7684","265.59128"
"2003","Philippines","PHL","Bolivia","BOL","0.01545","0.43729299"
"2003","Philippines","PHL","Paraguay","PRY","0.37636399","0.22908381"
"2003","Philippines","PHL","Chile","CHL","53.120804","11.479578"
"2003","Philippines","PHL","Argentina","ARG","202.356","14.049056"
"2003","Philippines","PHL","Uruguay","URY","16.199184","0.86757201"
"2003","Philippines","PHL","United Kingdom","GBR","466.22186","1196.8138"
"2003","Philippines","PHL","Ireland","IRL","220.84816","141.7571"
"2003","Philippines","PHL","Netherlands","NLD","309.93839","2325.0195"
"2003","Philippines","PHL","Belgium","BEL","180.50323","220.91585"
"2003","Philippines","PHL","Luxembourg","LUX","0.87562603","24.3137"
"2003","Philippines","PHL","France","FRA","281.12085","266.50311"
"2003","Philippines","PHL","Monaco","MCO","-9","-9"
"2003","Philippines","PHL","Liechtenstein","LIE","-9","-9"
"2003","Philippines","PHL","Switzerland","CHE","211.10799","66.597237"
"2003","Philippines","PHL","Spain","ESP","110.23735","147.8889"
"2003","Philippines","PHL","Andorra","AND","-9","-9"
"2003","Philippines","PHL","Portugal","PRT","6.4079261","18.5604"
"2003","Philippines","PHL","Germany","DEU","926.88531","2397.717"
"2003","Philippines","PHL","Poland","POL","7.4674902","71.811302"
"2003","Philippines","PHL","Austria","AUT","47.551086","145.7328"
"2003","Philippines","PHL","Hungary","HUN","26.340919","199.01801"
"2003","Philippines","PHL","Czech Republic","CZE","12.457131","351.84869"
"2003","Philippines","PHL","Slovakia","SVK","1.3879679","0.1261711"
"2003","Philippines","PHL","Italy","ITA","156.65118","163.8091"
"2003","Philippines","PHL","San Marino","SMR","-9","-9"
"2003","Philippines","PHL","Malta","MLT","1.312096","25.506943"
"2003","Philippines","PHL","Albania","ALB","0.13957401","0.04903901"
"2003","Philippines","PHL","Macedonia","MKD","0.00263","0.4127332"
"2003","Philippines","PHL","Croatia","HRV","0.331155","5.267695"
"2003","Philippines","PHL","Yugoslavia","YUG","-9","-9"
"2003","Philippines","PHL","Bosnia and Herzegovina","BIH","0.667548","1.5037903"
"2003","Philippines","PHL","Slovenia","SVN","0.44244999","7.4237561"
"2003","Philippines","PHL","Greece","GRC","5.1904478","18.733299"
"2003","Philippines","PHL","Cyprus","CYP","0.68867302","2.2287118"
"2003","Philippines","PHL","Bulgaria","BGR","1.657786","6.1586595"
"2003","Philippines","PHL","Moldova","MDA","0.34714001","0.13609999"
"2003","Philippines","PHL","Romania","ROU","1.8888201","32.029999"
"2003","Philippines","PHL","Russia","RUS","345.11862","38.118782"
"2003","Philippines","PHL","Estonia","EST","0.023832999","29.68"
"2003","Philippines","PHL","Latvia","LVA","0.023699","0.347565"
"2003","Philippines","PHL","Lithuania","LTU","0.000352","5.9638"
"2003","Philippines","PHL","Ukraine","UKR","126.00303","2.8907101"
"2003","Philippines","PHL","Belarus","BLR","0.26948401","1.2568001"
"2003","Philippines","PHL","Armenia","ARM","0.017000001","0.109892"
"2003","Philippines","PHL","Georgia","GEO","0.122421","0.02913153"
"2003","Philippines","PHL","Azerbaijan","AZE","0","0.047200002"
"2003","Philippines","PHL","Finland","FIN","181.62073","26.998501"
"2003","Philippines","PHL","Sweden","SWE","87.759895","31.901989"
"2003","Philippines","PHL","Norway","NOR","5.8805451","27.844637"
"2003","Philippines","PHL","Denmark","DNK","36.493004","63.041985"
"2003","Philippines","PHL","Iceland","ISL","0.13758899","1.2031623"
"2003","Philippines","PHL","Cape Verde","CPV","-9","-9"
"2003","Philippines","PHL","Sao Tome and Principe","STP","0.88950598","0.43176541"
"2003","Philippines","PHL","Guinea-Bissau","GNB","0.009806","1.8145611"
"2003","Philippines","PHL","Equatorial Guinea","GNQ","0.011413","0.0004576"
"2003","Philippines","PHL","Gambia","GMB","0","0"
"2003","Philippines","PHL","Mali","MLI","1.662818","0.97566921"
"2003","Philippines","PHL","Senegal","SEN","0.15152401","0.086248219"
"2003","Philippines","PHL","Benin","BEN","0.741606","0.77515602"
"2003","Philippines","PHL","Mauritania","MRT","1.118472","0.0087549"
"2003","Philippines","PHL","Niger","NER","1.010893","0.11011694"
"2003","Philippines","PHL","Ivory Coast","CIV","1.144972","0.46642813"
"2003","Philippines","PHL","Guinea","GIN","0.1415","3.033597"
"2003","Philippines","PHL","Burkina Faso","BFA","0.20938499","0.14883"
"2003","Philippines","PHL","Liberia","LBR","0.032935001","0.2378871"
"2003","Philippines","PHL","Sierra Leone","SLE","0.002116","0"
"2003","Philippines","PHL","Ghana","GHA","0.061159998","0.5692929"
"2003","Philippines","PHL","Togo","TGO","0.022174001","0.186754"
"2003","Philippines","PHL","Cameroon","CMR","0.024670651","0.23705682"
"2003","Philippines","PHL","Nigeria","NGA","0.14443099","6.4586577"
"2003","Philippines","PHL","Gabon","GAB","0.052204002","0.1988844"
"2003","Philippines","PHL","Central African Republic","CAF","0.009638","0"
"2003","Philippines","PHL","Chad","TCD","0","0"
"2003","Philippines","PHL","Congo","COG","0.023438999","0.11011694"
"2003","Philippines","PHL","Democratic Republic of the Congo","COD","0.064406998","0.085202701"
"2003","Philippines","PHL","Uganda","UGA","0.015525","0.11785938"
"2003","Philippines","PHL","Kenya","KEN","4.0681448","0.46603575"
"2003","Philippines","PHL","Tanzania","TZA","0.011286","1.0598203"
"2003","Philippines","PHL","Burundi","BDI","0.166465","0.55329198"
"2003","Philippines","PHL","Rwanda","RWA","0.021798","0.00011"
"2003","Philippines","PHL","Somalia","SOM","0.152202","0.0020625"
"2003","Philippines","PHL","Djibouti","DJI","0","0.0001474"
"2003","Philippines","PHL","Ethiopia","ETH","0.013645","0.017518001"
"2003","Philippines","PHL","Eritrea","ERI","0","0"
"2003","Philippines","PHL","Angola","AGO","0.36017299","0.44352111"
"2003","Philippines","PHL","Mozambique","MOZ","0.65362501","0.73484099"
"2003","Philippines","PHL","Zambia","ZMB","0.066587001","0.19104278"
"2003","Philippines","PHL","Zimbabwe","ZWE","0.053582001","0.01221112"
"2003","Philippines","PHL","Malawi","MWI","1.127198","0"
"2003","Philippines","PHL","South Africa","ZAF","30.308443","74.922577"
"2003","Philippines","PHL","Namibia","NAM","0.041228","0.101194"
"2003","Philippines","PHL","Lesotho","LSO","0.128868","2.3063481"
"2003","Philippines","PHL","Botswana","BWA","0.0008","0.011646"
"2003","Philippines","PHL","Swaziland","SWZ","0.25721699","0.43764099"
"2003","Philippines","PHL","Madagascar","MDG","0.00739","1.54869"
"2003","Philippines","PHL","Comoros","COM","0.113126","0.0040524"
"2003","Philippines","PHL","Mauritius","MUS","0.92032403","10.128671"
"2003","Philippines","PHL","Seychelles","SYC","0.397802","0.018516062"
"2003","Philippines","PHL","Morocco","MAR","1.300766","7.8692274"
"2003","Philippines","PHL","Algeria","DZA","0.74895","2.7985363"
"2003","Philippines","PHL","Tunisia","TUN","0.012455","1.922905"
"2003","Philippines","PHL","Libya","LBY","0.16003799","0.47941631"
"2003","Philippines","PHL","Sudan","SDN","0.024969","0.39777541"
"2003","Philippines","PHL","Iran","IRN","592.81989","26"
"2003","Philippines","PHL","Turkey","TUR","22.776894","59.557934"
"2003","Philippines","PHL","Iraq","IRQ","0.001169","0.0080652"
"2003","Philippines","PHL","Egypt","EGY","2.3227551","1.91978"
"2003","Philippines","PHL","Syria","SYR","0.144282","0.9768638"
"2003","Philippines","PHL","Lebanon","LBN","0.053114001","7.871737"
"2003","Philippines","PHL","Jordan","JOR","14.71209","3.7361708"
"2003","Philippines","PHL","Israel","ISR","161.83311","36.599998"
"2003","Philippines","PHL","Saudi Arabia","SAU","1198.0331","59.865028"
"2003","Philippines","PHL","Yemen","YEM","68.587173","1.839684"
"2003","Philippines","PHL","Kuwait","KWT","9.5764093","16.798986"
"2003","Philippines","PHL","Bahrain","BHR","7.0945878","2.772022"
"2003","Philippines","PHL","Qatar","QAT","127.03553","7.9261899"
"2003","Philippines","PHL","United Arab Emirates","ARE","477.2731","68.900002"
"2003","Philippines","PHL","Oman","OMN","25.714769","3.5968115"
"2003","Philippines","PHL","Afghanistan","AFG","0.089823999","0.37772349"
"2003","Philippines","PHL","Turkmenistan","TKM","0","0"
"2003","Philippines","PHL","Tajikistan","TJK","0","0"
"2003","Philippines","PHL","Kyrgyzstan","KGZ","0","0.011109"
"2003","Philippines","PHL","Uzbekistan","UZB","0.27814099","1.8287643"
"2003","Philippines","PHL","Kazakhstan","KAZ","0.20947","0.58819997"
"2003","Philippines","PHL","China","CHN","3399.1262","10064.896"
"2003","Philippines","PHL","Mongolia","MNG","0.006471","0.52679998"
"2003","Philippines","PHL","Taiwan","TWN","1860.8451","2492.2244"
"2003","Philippines","PHL","North Korea","PRK","0.00122","0.39681509"
"2003","Philippines","PHL","South Korea","KOR","2400.76","1963.979"
"2003","Philippines","PHL","Japan","JPN","7640.1699","7032.9927"
"2003","Philippines","PHL","India","IND","304.17834","122.52429"
"2003","Philippines","PHL","Bhutan","BTN","1.763941","1.56996"
"2003","Philippines","PHL","Pakistan","PAK","12.107048","8.4248648"
"2003","Philippines","PHL","Bangladesh","BGD","0.55247599","18.010769"
"2003","Philippines","PHL","Myanmar","MMR","2.289906","4.3279743"
"2003","Philippines","PHL","Sri Lanka","LKA","6.6035628","6.3899999"
"2003","Philippines","PHL","Maldives","MDV","0.46292099","0.58561528"
"2003","Philippines","PHL","Nepal","NPL","0.24007399","2.2141349"
"2003","Philippines","PHL","Thailand","THA","1360.6111","1351.9188"
"2003","Philippines","PHL","Cambodia","KHM","1.481243","6.478385"
"2003","Philippines","PHL","Laos","LAO","0.058306001","0.1436369"
"2003","Philippines","PHL","Vietnam","VNM","303.69479","140.89999"
"2003","Philippines","PHL","Malaysia","MYS","1358.9913","3114.5898"
"2003","Philippines","PHL","Singapore","SGP","2541.9407","2827.0847"
"2003","Philippines","PHL","Brunei","BRN","0.50097799","2.7812388"
"2003","Philippines","PHL","Indonesia","IDN","829.02942","182.60327"
"2003","Philippines","PHL","East Timor","TLS","-9","-9"
"2003","Philippines","PHL","Australia","AUS","491.74054","568.92438"
"2003","Philippines","PHL","Papua New Guinea","PNG","74.337372","2.6466067"
"2003","Philippines","PHL","New Zealand","NZL","255.82196","73.733574"
"2003","Philippines","PHL","Vanuatu","VUT","0.00024","0.13990571"
"2003","Philippines","PHL","Solomon Islands","SLB","10.900996","0.1196459"
"2003","Philippines","PHL","Kiribati","KIR","0.62230301","0.030833"
"2003","Philippines","PHL","Tuvalu","TUV","0.198938","0.015399"
"2003","Philippines","PHL","Fiji","FJI","0.21245401","0.72443688"
"2003","Philippines","PHL","Tonga","TON","0","0.012683"
"2003","Philippines","PHL","Nauru","NRU","0.059181001","0.037023999"
"2003","Philippines","PHL","Marshall Islands","MHL","-9","-9"
"2003","Philippines","PHL","Palau","PLW","0","0"
"2003","Philippines","PHL","Federated States of Micronesia","FSM","-9","-9"
"2003","Philippines","PHL","Samoa","WSM","0.067613997","0.039292"
