"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2004","Ivory Coast","CIV","United States of America","USA","133.46016","761.59998"
"2004","Ivory Coast","CIV","Canada","CAN","103.75037","94.119652"
"2004","Ivory Coast","CIV","Bahamas","BHS","0.005375167","1.3079941"
"2004","Ivory Coast","CIV","Cuba","CUB","0.010083951","0"
"2004","Ivory Coast","CIV","Haiti","HTI","0","0.009975906"
"2004","Ivory Coast","CIV","Dominican Republic","DOM","0.0248583","0.00162965"
"2004","Ivory Coast","CIV","Jamaica","JAM","0.050425194","0.012243195"
"2004","Ivory Coast","CIV","Trinidad and Tobago","TTO","0","0.20210324"
"2004","Ivory Coast","CIV","Barbados","BRB","0","0"
"2004","Ivory Coast","CIV","Dominica","DMA","0","0.007200833"
"2004","Ivory Coast","CIV","Grenada","GRD","0","0"
"2004","Ivory Coast","CIV","St. Lucia","LCA","0","0"
"2004","Ivory Coast","CIV","St. Vincent and the Grenadines","VCT","0","0.55644774"
"2004","Ivory Coast","CIV","Antigua & Barbuda","ATG","0","1.9350675"
"2004","Ivory Coast","CIV","St. Kitts and Nevis","KNA","0","0.001415997"
"2004","Ivory Coast","CIV","Mexico","MEX","1.3144524","5.655982"
"2004","Ivory Coast","CIV","Belize","BLZ","4.9512939","0.82644606"
"2004","Ivory Coast","CIV","Guatemala","GTM","0.12401421","0"
"2004","Ivory Coast","CIV","Honduras","HND","0.018397156","0.23250948"
"2004","Ivory Coast","CIV","El Salvador","SLV","0.04314607","0"
"2004","Ivory Coast","CIV","Nicaragua","NIC","0.00113712","0.003227"
"2004","Ivory Coast","CIV","Costa Rica","CRI","0.026558185","0.00295126"
"2004","Ivory Coast","CIV","Panama","PAN","0.62302953","4.7356806"
"2004","Ivory Coast","CIV","Colombia","COL","0.7578786","1.240738"
"2004","Ivory Coast","CIV","Venezuela","VEN","75.686806","0"
"2004","Ivory Coast","CIV","Guyana","GUY","0","0"
"2004","Ivory Coast","CIV","Suriname","SUR","0","0.014159071"
"2004","Ivory Coast","CIV","Ecuador","ECU","0.052707832","0.030789001"
"2004","Ivory Coast","CIV","Peru","PER","0.49950308","0.46780431"
"2004","Ivory Coast","CIV","Brazil","BRA","54.799812","16.126755"
"2004","Ivory Coast","CIV","Bolivia","BOL","0","0.009488337"
"2004","Ivory Coast","CIV","Paraguay","PRY","0.14248796","0"
"2004","Ivory Coast","CIV","Chile","CHL","0.75276685","39.924763"
"2004","Ivory Coast","CIV","Argentina","ARG","8.1852522","0.43749201"
"2004","Ivory Coast","CIV","Uruguay","URY","0.57828951","0.025455374"
"2004","Ivory Coast","CIV","United Kingdom","GBR","111.0722","158.33246"
