"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2004","Hungary","HUN","United States of America","USA","988.659","2644"
"2004","Hungary","HUN","Canada","CAN","83.943001","177.25961"
"2004","Hungary","HUN","Bahamas","BHS","3.2579999","0.27939999"
"2004","Hungary","HUN","Cuba","CUB","0.204","0.64899999"
"2004","Hungary","HUN","Haiti","HTI","0.005","0.16500001"
"2004","Hungary","HUN","Dominican Republic","DOM","0.097000003","0.69962794"
"2004","Hungary","HUN","Jamaica","JAM","1.238","0.78476"
"2004","Hungary","HUN","Trinidad and Tobago","TTO","0.046999998","0.61379999"
"2004","Hungary","HUN","Barbados","BRB","0.027000001","0.38960999"
"2004","Hungary","HUN","Dominica","DMA","0.005","0.095700003"
"2004","Hungary","HUN","Grenada","GRD","0.011","0.082500003"
"2004","Hungary","HUN","St. Lucia","LCA","0","0.30140001"
"2004","Hungary","HUN","St. Vincent and the Grenadines","VCT","0","0.002116667"
"2004","Hungary","HUN","Antigua & Barbuda","ATG","0.083999999","0.162"
"2004","Hungary","HUN","St. Kitts and Nevis","KNA","1.704","0.0341"
"2004","Hungary","HUN","Mexico","MEX","57.271999","194.28197"
"2004","Hungary","HUN","Belize","BLZ","1.658","0.57309997"
"2004","Hungary","HUN","Guatemala","GTM","0.027000001","0.40290001"
"2004","Hungary","HUN","Honduras","HND","0.56800002","1.231341"
"2004","Hungary","HUN","El Salvador","SLV","0.054000001","0.018306451"
"2004","Hungary","HUN","Nicaragua","NIC","0.093000002","2.2163515"
"2004","Hungary","HUN","Costa Rica","CRI","3.3199999","0.61874491"
"2004","Hungary","HUN","Panama","PAN","2.4649999","0.30783799"
"2004","Hungary","HUN","Colombia","COL","3.5450001","19.400511"
"2004","Hungary","HUN","Venezuela","VEN","0.086000003","3.0439999"
"2004","Hungary","HUN","Guyana","GUY","0.012","0"
"2004","Hungary","HUN","Suriname","SUR","0.083999999","0.033"
"2004","Hungary","HUN","Ecuador","ECU","2.1700001","0.27405"
"2004","Hungary","HUN","Peru","PER","1.915","2.0633745"
"2004","Hungary","HUN","Brazil","BRA","140.483","146.59824"
"2004","Hungary","HUN","Bolivia","BOL","0.022","0.30170065"
"2004","Hungary","HUN","Paraguay","PRY","0.016000001","0.92111909"
"2004","Hungary","HUN","Chile","CHL","1.582","11.697872"
"2004","Hungary","HUN","Argentina","ARG","16.9","4.2515168"
"2004","Hungary","HUN","Uruguay","URY","0.68800002","1.050007"
"2004","Hungary","HUN","United Kingdom","GBR","1575.515","2738.7354"
"2004","Hungary","HUN","Ireland","IRL","224.942","176.5303"
"2004","Hungary","HUN","Netherlands","NLD","2939.5581","1666.3419"
"2004","Hungary","HUN","Belgium","BEL","1202.916","1140.7045"
"2004","Hungary","HUN","Luxembourg","LUX","83.273003","16.527399"
"2004","Hungary","HUN","France","FRA","2776.2041","2253.6033"
"2004","Hungary","HUN","Monaco","MCO","-9","-9"
"2004","Hungary","HUN","Liechtenstein","LIE","-9","-9"
"2004","Hungary","HUN","Switzerland","CHE","963.32599","621.35333"
"2004","Hungary","HUN","Spain","ESP","830.23199","1391.4591"
"2004","Hungary","HUN","Andorra","AND","-9","-9"
"2004","Hungary","HUN","Portugal","PRT","101.323","77.796799"
"2004","Hungary","HUN","Germany","DEU","17357.486","16665.242"
"2004","Hungary","HUN","Poland","POL","1946.707","1663.5109"
"2004","Hungary","HUN","Austria","AUT","4955.7202","4632.252"
"2004","Hungary","HUN","Czech Republic","CZE","1752.6801","1475.6903"
"2004","Hungary","HUN","Slovakia","SVK","1179.35","1149.9158"
"2004","Hungary","HUN","Italy","ITA","3242.3921","3078.8687"
"2004","Hungary","HUN","San Marino","SMR","-9","-9"
"2004","Hungary","HUN","Malta","MLT","93.693001","5.3591104"
"2004","Hungary","HUN","Albania","ALB","0.266","16.573948"
