"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2004","Rwanda","RWA","United States of America","USA","12.43","5.8000002"
"2004","Rwanda","RWA","Canada","CAN","1.1733911","0.047459133"
"2004","Rwanda","RWA","Bahamas","BHS","-9","-9"
"2004","Rwanda","RWA","Cuba","CUB","0","0"
"2004","Rwanda","RWA","Haiti","HTI","-9","0"
"2004","Rwanda","RWA","Dominican Republic","DOM","-9","0.00046112"
"2004","Rwanda","RWA","Jamaica","JAM","0","-9"
"2004","Rwanda","RWA","Trinidad and Tobago","TTO","0","0"
"2004","Rwanda","RWA","Barbados","BRB","0","0"
"2004","Rwanda","RWA","Dominica","DMA","-9","-9"
"2004","Rwanda","RWA","Grenada","GRD","-9","0"
"2004","Rwanda","RWA","St. Lucia","LCA","0","0.000516344"
"2004","Rwanda","RWA","St. Vincent and the Grenadines","VCT","0","0"
"2004","Rwanda","RWA","Antigua & Barbuda","ATG","-9","-9"
"2004","Rwanda","RWA","St. Kitts and Nevis","KNA","-9","0"
"2004","Rwanda","RWA","Mexico","MEX","0","0"
"2004","Rwanda","RWA","Belize","BLZ","-9","-9"
"2004","Rwanda","RWA","Guatemala","GTM","0","0.1681"
"2004","Rwanda","RWA","Honduras","HND","0","-9"
"2004","Rwanda","RWA","El Salvador","SLV","-9","0.00959439"
"2004","Rwanda","RWA","Nicaragua","NIC","0","0"
"2004","Rwanda","RWA","Costa Rica","CRI","0","0"
"2004","Rwanda","RWA","Panama","PAN","0","0"
"2004","Rwanda","RWA","Colombia","COL","0.0053845","0"
"2004","Rwanda","RWA","Venezuela","VEN","0","0.109"
"2004","Rwanda","RWA","Guyana","GUY","-9","-9"
"2004","Rwanda","RWA","Suriname","SUR","-9","-9"
"2004","Rwanda","RWA","Ecuador","ECU","0.0258632","0"
"2004","Rwanda","RWA","Peru","PER","0","0"
"2004","Rwanda","RWA","Brazil","BRA","0.051925499","0.0032868"
"2004","Rwanda","RWA","Bolivia","BOL","-9","-9"
"2004","Rwanda","RWA","Paraguay","PRY","0","-9"
"2004","Rwanda","RWA","Chile","CHL","0","0"
"2004","Rwanda","RWA","Argentina","ARG","0.13123441","0"
"2004","Rwanda","RWA","Uruguay","URY","-9","0"
"2004","Rwanda","RWA","United Kingdom","GBR","8.8252859","0.50472856"
"2004","Rwanda","RWA","Ireland","IRL","0.55979002","0.1022"
"2004","Rwanda","RWA","Netherlands","NLD","9.6547003","4.4233999"
"2004","Rwanda","RWA","Belgium","BEL","31.368402","4.1090107"
"2004","Rwanda","RWA","Luxembourg","LUX","0.40193999","0.0101"
"2004","Rwanda","RWA","France","FRA","24.310989","1.2533"
"2004","Rwanda","RWA","Monaco","MCO","-9","-9"
"2004","Rwanda","RWA","Liechtenstein","LIE","-9","-9"
"2004","Rwanda","RWA","Switzerland","CHE","0.5277974","0.070453793"
"2004","Rwanda","RWA","Spain","ESP","1.03246","3.2744999"
"2004","Rwanda","RWA","Andorra","AND","-9","-9"
"2004","Rwanda","RWA","Portugal","PRT","0.1056","0.0012"
"2004","Rwanda","RWA","Germany","DEU","35.305599","11.601"
"2004","Rwanda","RWA","Poland","POL","0.1036596","0.086547002"
"2004","Rwanda","RWA","Austria","AUT","0.26927999","0.35600001"
"2004","Rwanda","RWA","Hungary","HUN","0.0044","0.46599999"
"2004","Rwanda","RWA","Czech Republic","CZE","0.096195891","0"
"2004","Rwanda","RWA","Slovakia","SVK","0.005754042","0.12133054"
"2004","Rwanda","RWA","Italy","ITA","5.4837198","0.3299"
"2004","Rwanda","RWA","San Marino","SMR","-9","-9"
"2004","Rwanda","RWA","Malta","MLT","0","0"
"2004","Rwanda","RWA","Albania","ALB","0","0"
"2004","Rwanda","RWA","Macedonia","MKD","0","0"
"2004","Rwanda","RWA","Croatia","HRV","0.061377998","0.000146"
"2004","Rwanda","RWA","Yugoslavia","YUG","-9","-9"
"2004","Rwanda","RWA","Bosnia and Herzegovina","BIH","-9","-9"
"2004","Rwanda","RWA","Slovenia","SVN","0","0.015331225"
"2004","Rwanda","RWA","Greece","GRC","0.21681","0.093800001"
"2004","Rwanda","RWA","Cyprus","CYP","0","0.005109045"
"2004","Rwanda","RWA","Bulgaria","BGR","0","0"
"2004","Rwanda","RWA","Moldova","MDA","0","0"
"2004","Rwanda","RWA","Romania","ROU","0","2.6800001"
"2004","Rwanda","RWA","Russia","RUS","0.443333","0.005067"
"2004","Rwanda","RWA","Estonia","EST","0","0"
"2004","Rwanda","RWA","Latvia","LVA","0","0"
"2004","Rwanda","RWA","Lithuania","LTU","0","0"
"2004","Rwanda","RWA","Ukraine","UKR","0.74436998","0"
"2004","Rwanda","RWA","Belarus","BLR","0.53306001","0"
"2004","Rwanda","RWA","Armenia","ARM","0","0"
"2004","Rwanda","RWA","Georgia","GEO","0","0"
"2004","Rwanda","RWA","Azerbaijan","AZE","0","0"
"2004","Rwanda","RWA","Finland","FIN","0.26256999","0"
"2004","Rwanda","RWA","Sweden","SWE","0.48766497","0.30696556"
"2004","Rwanda","RWA","Norway","NOR","0.073562689","0.000163132"
"2004","Rwanda","RWA","Denmark","DNK","3.9475508","1.1350251"
"2004","Rwanda","RWA","Iceland","ISL","0","0.000388346"
"2004","Rwanda","RWA","Cape Verde","CPV","-9","-9"
"2004","Rwanda","RWA","Sao Tome and Principe","STP","-9","-9"
"2004","Rwanda","RWA","Guinea-Bissau","GNB","0","-9"
"2004","Rwanda","RWA","Equatorial Guinea","GNQ","0","-9"
"2004","Rwanda","RWA","Gambia","GMB","-9","-9"
"2004","Rwanda","RWA","Mali","MLI","0","0"
"2004","Rwanda","RWA","Senegal","SEN","0.002791931","0"
"2004","Rwanda","RWA","Benin","BEN","0.002498652","0"
"2004","Rwanda","RWA","Mauritania","MRT","0","0"
"2004","Rwanda","RWA","Niger","NER","0","0.017036265"
"2004","Rwanda","RWA","Ivory Coast","CIV","0.10829447","0.033628739"
"2004","Rwanda","RWA","Guinea","GIN","0.000130396","0.023866016"
"2004","Rwanda","RWA","Burkina Faso","BFA","0","0"
"2004","Rwanda","RWA","Liberia","LBR","0","0"
"2004","Rwanda","RWA","Sierra Leone","SLE","-9","-9"
"2004","Rwanda","RWA","Ghana","GHA","0","0.012373077"
"2004","Rwanda","RWA","Togo","TGO","0","0.013250837"
"2004","Rwanda","RWA","Cameroon","CMR","0.63716453","0.000143097"
"2004","Rwanda","RWA","Nigeria","NGA","0","0.11891755"
"2004","Rwanda","RWA","Gabon","GAB","0.042103857","0"
"2004","Rwanda","RWA","Central African Republic","CAF","0","0"
"2004","Rwanda","RWA","Chad","TCD","0","0"
"2004","Rwanda","RWA","Congo","COG","0","0"
"2004","Rwanda","RWA","Democratic Republic of the Congo","COD","12.311211","2.2422583"
"2004","Rwanda","RWA","Uganda","UGA","27.151346","0.63697594"
"2004","Rwanda","RWA","Kenya","KEN","85.999741","0.20640911"
"2004","Rwanda","RWA","Tanzania","TZA","7.078649","0.074303478"
"2004","Rwanda","RWA","Burundi","BDI","4.6246161","0.73230994"
"2004","Rwanda","RWA","Somalia","SOM","0","0"
"2004","Rwanda","RWA","Djibouti","DJI","0","0"
"2004","Rwanda","RWA","Ethiopia","ETH","0","0.065183781"
"2004","Rwanda","RWA","Eritrea","ERI","-9","-9"
"2004","Rwanda","RWA","Angola","AGO","0","-9"
"2004","Rwanda","RWA","Mozambique","MOZ","0","0"
"2004","Rwanda","RWA","Zambia","ZMB","0.40742317","0.017158251"
"2004","Rwanda","RWA","Zimbabwe","ZWE","0.4868381","0"
"2004","Rwanda","RWA","Malawi","MWI","0.03546337","0"
"2004","Rwanda","RWA","South Africa","ZAF","12.652553","0.14551905"
"2004","Rwanda","RWA","Namibia","NAM","-9","-9"
"2004","Rwanda","RWA","Lesotho","LSO","-9","0"
"2004","Rwanda","RWA","Botswana","BWA","0","0"
"2004","Rwanda","RWA","Swaziland","SWZ","0","0"
"2004","Rwanda","RWA","Madagascar","MDG","0.022842893","0.015679149"
"2004","Rwanda","RWA","Comoros","COM","-9","0"
"2004","Rwanda","RWA","Mauritius","MUS","1.3622097","0"
"2004","Rwanda","RWA","Seychelles","SYC","0","0"
"2004","Rwanda","RWA","Morocco","MAR","0.10307829","0.099458538"
"2004","Rwanda","RWA","Algeria","DZA","0","0"
"2004","Rwanda","RWA","Tunisia","TUN","0","0.054282464"
"2004","Rwanda","RWA","Libya","LBY","0","0"
"2004","Rwanda","RWA","Sudan","SDN","0","0.61500001"
"2004","Rwanda","RWA","Iran","IRN","0","0"
"2004","Rwanda","RWA","Turkey","TUR","0.89260823","0.12834901"
"2004","Rwanda","RWA","Iraq","IRQ","-9","-9"
"2004","Rwanda","RWA","Egypt","EGY","0.65300399","0"
"2004","Rwanda","RWA","Syria","SYR","0","-9"
"2004","Rwanda","RWA","Lebanon","LBN","0.003254779","0.070018217"
"2004","Rwanda","RWA","Jordan","JOR","0.021565584","0"
"2004","Rwanda","RWA","Israel","ISR","2.97","0.1"
"2004","Rwanda","RWA","Saudi Arabia","SAU","1.6117073","0.000128"
"2004","Rwanda","RWA","Yemen","YEM","0","0.016461914"
"2004","Rwanda","RWA","Kuwait","KWT","0","0"
"2004","Rwanda","RWA","Bahrain","BHR","0","-9"
"2004","Rwanda","RWA","Qatar","QAT","0","-9"
"2004","Rwanda","RWA","United Arab Emirates","ARE","9.8090935","0.39016086"
"2004","Rwanda","RWA","Oman","OMN","0.74771392","0"
"2004","Rwanda","RWA","Afghanistan","AFG","0","-9"
"2004","Rwanda","RWA","Turkmenistan","TKM","-9","-9"
"2004","Rwanda","RWA","Tajikistan","TJK","-9","-9"
"2004","Rwanda","RWA","Kyrgyzstan","KGZ","-9","-9"
"2004","Rwanda","RWA","Uzbekistan","UZB","-9","-9"
"2004","Rwanda","RWA","Kazakhstan","KAZ","0","0.59547502"
"2004","Rwanda","RWA","China","CHN","6.0845032","19.869244"
"2004","Rwanda","RWA","Mongolia","MNG","-9","-9"
"2004","Rwanda","RWA","Taiwan","TWN","0.0495","0"
"2004","Rwanda","RWA","North Korea","PRK","0","0"
"2004","Rwanda","RWA","South Korea","KOR","0.50929999","0.07"
"2004","Rwanda","RWA","Japan","JPN","3.902993","0.004862817"
"2004","Rwanda","RWA","India","IND","7.3437314","0.54169124"
