"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2006","Spain","ESP","United States of America","USA","8871.5576","10401.8"
"2006","Spain","ESP","Canada","CAN","886.8476","1361.894"
"2006","Spain","ESP","Bahamas","BHS","535.59198","630.57794"
"2006","Spain","ESP","Cuba","CUB","167.5685","873.23798"
"2006","Spain","ESP","Haiti","HTI","2.7058001","15.86035"
"2006","Spain","ESP","Dominican Republic","DOM","81.123398","303.20233"
"2006","Spain","ESP","Jamaica","JAM","1.4864","41.078739"
"2006","Spain","ESP","Trinidad and Tobago","TTO","786.92731","30.25264"
"2006","Spain","ESP","Barbados","BRB","7.6111002","6.1555901"
"2006","Spain","ESP","Dominica","DMA","0.0051","0.19140001"
"2006","Spain","ESP","Grenada","GRD","0","0.76120001"
"2006","Spain","ESP","St. Lucia","LCA","0","1.0653501"
"2006","Spain","ESP","St. Vincent and the Grenadines","VCT","1.1738","54.845558"
"2006","Spain","ESP","Antigua & Barbuda","ATG","84.346199","86.016502"
"2006","Spain","ESP","St. Kitts and Nevis","KNA","0.029300001","17.66061"
"2006","Spain","ESP","Mexico","MEX","3351.238","4001.9846"
"2006","Spain","ESP","Belize","BLZ","7.0345998","11.41778"
"2006","Spain","ESP","Guatemala","GTM","66.030197","139.95061"
"2006","Spain","ESP","Honduras","HND","57.5019","68.317635"
"2006","Spain","ESP","El Salvador","SLV","54.430099","86.899254"
"2006","Spain","ESP","Nicaragua","NIC","38.3568","36.607925"
"2006","Spain","ESP","Costa Rica","CRI","41.081902","119.8205"
"2006","Spain","ESP","Panama","PAN","575.03888","71.256393"
"2006","Spain","ESP","Colombia","COL","642.021","376.70065"
"2006","Spain","ESP","Venezuela","VEN","2290.5791","598.55896"
"2006","Spain","ESP","Guyana","GUY","4.4061999","1.31989"
"2006","Spain","ESP","Suriname","SUR","2.8915","1.0533613"
"2006","Spain","ESP","Ecuador","ECU","353.7348","146.87996"
"2006","Spain","ESP","Peru","PER","830.23962","266.5939"
"2006","Spain","ESP","Brazil","BRA","2673.0408","1574.2272"
"2006","Spain","ESP","Bolivia","BOL","22.488899","39.909439"
"2006","Spain","ESP","Paraguay","PRY","54.4422","20.807358"
"2006","Spain","ESP","Chile","CHL","1545.6898","729.1701"
"2006","Spain","ESP","Argentina","ARG","2037.8323","613.15015"
"2006","Spain","ESP","Uruguay","URY","156.49561","101.09308"
"2006","Spain","ESP","United Kingdom","GBR","17045.115","18958.305"
"2006","Spain","ESP","Ireland","IRL","4831.7197","1105.6398"
"2006","Spain","ESP","Netherlands","NLD","16136.185","7236.291"
"2006","Spain","ESP","Belgium","BEL","11638.441","6459.3887"
"2006","Spain","ESP","Luxembourg","LUX","997.76898","160.4489"
"2006","Spain","ESP","France","FRA","43951.434","37826.523"
"2006","Spain","ESP","Monaco","MCO","-9","-9"
"2006","Spain","ESP","Liechtenstein","LIE","-9","-9"
"2006","Spain","ESP","Switzerland","CHE","4483.8037","3241.6931"
"2006","Spain","ESP","Andorra","AND","-9","-9"
"2006","Spain","ESP","Portugal","PRT","10914.153","21851.307"
"2006","Spain","ESP","Germany","DEU","48636.785","24117.604"
"2006","Spain","ESP","Poland","POL","2302.9956","2341.8154"
"2006","Spain","ESP","Austria","AUT","2751.5525","1540.1631"
"2006","Spain","ESP","Hungary","HUN","2062.5186","1087.7228"
"2006","Spain","ESP","Czech Republic","CZE","1902.6587","1611.9814"
"2006","Spain","ESP","Slovakia","SVK","906.92578","523.67371"
"2006","Spain","ESP","Italy","ITA","27174.568","18863.813"
"2006","Spain","ESP","San Marino","SMR","-9","-9"
"2006","Spain","ESP","Malta","MLT","22.284401","135.6544"
"2006","Spain","ESP","Albania","ALB","2.1268001","51.753246"
"2006","Spain","ESP","Montenegro","MNE","0.2261","18.444088"
"2006","Spain","ESP","Macedonia","MKD","52.271702","51.730179"
