"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2006","Mozambique","MOZ","United States of America","USA","65.100998","17.700001"
"2006","Mozambique","MOZ","Canada","CAN","12.348","0.9479326"
"2006","Mozambique","MOZ","Bahamas","BHS","-9","-9"
"2006","Mozambique","MOZ","Cuba","CUB","0","0"
"2006","Mozambique","MOZ","Haiti","HTI","0","0"
"2006","Mozambique","MOZ","Dominican Republic","DOM","0","0.09176024"
"2006","Mozambique","MOZ","Jamaica","JAM","0","0"
"2006","Mozambique","MOZ","Trinidad and Tobago","TTO","0","0.02085115"
"2006","Mozambique","MOZ","Barbados","BRB","1.00E-04","0"
"2006","Mozambique","MOZ","Dominica","DMA","0","0"
"2006","Mozambique","MOZ","Grenada","GRD","-9","0"
"2006","Mozambique","MOZ","St. Lucia","LCA","-9","-9"
"2006","Mozambique","MOZ","St. Vincent and the Grenadines","VCT","-9","0"
"2006","Mozambique","MOZ","Antigua & Barbuda","ATG","-9","-9"
"2006","Mozambique","MOZ","St. Kitts and Nevis","KNA","-9","-9"
"2006","Mozambique","MOZ","Mexico","MEX","14.843219","0.29562721"
"2006","Mozambique","MOZ","Belize","BLZ","0","0"
"2006","Mozambique","MOZ","Guatemala","GTM","0","0"
"2006","Mozambique","MOZ","Honduras","HND","0.006686233","0"
"2006","Mozambique","MOZ","El Salvador","SLV","0","0.00715665"
"2006","Mozambique","MOZ","Nicaragua","NIC","0","1.00E-08"
"2006","Mozambique","MOZ","Costa Rica","CRI","0","0"
"2006","Mozambique","MOZ","Panama","PAN","0","0"
"2006","Mozambique","MOZ","Colombia","COL","0.004304","0.002742"
"2006","Mozambique","MOZ","Venezuela","VEN","0","0"
"2006","Mozambique","MOZ","Guyana","GUY","0","0"
"2006","Mozambique","MOZ","Suriname","SUR","0","0"
"2006","Mozambique","MOZ","Ecuador","ECU","0","0"
"2006","Mozambique","MOZ","Peru","PER","0.11961822","0.017145462"
"2006","Mozambique","MOZ","Brazil","BRA","22.096001","0.0017578"
"2006","Mozambique","MOZ","Bolivia","BOL","0","0.010407"
"2006","Mozambique","MOZ","Paraguay","PRY","0.12878001","0"
"2006","Mozambique","MOZ","Chile","CHL","0.32010621","0"
"2006","Mozambique","MOZ","Argentina","ARG","11.362","0"
"2006","Mozambique","MOZ","Uruguay","URY","0.094565615","0"
"2006","Mozambique","MOZ","United Kingdom","GBR","19.134001","242.66479"
"2006","Mozambique","MOZ","Ireland","IRL","0.1727","0.059799999"
"2006","Mozambique","MOZ","Netherlands","NLD","453.39899","32.303001"
"2006","Mozambique","MOZ","Belgium","BEL","20.797001","566.15228"
"2006","Mozambique","MOZ","Luxembourg","LUX","0.3339","0.0015"
"2006","Mozambique","MOZ","France","FRA","23.145","13.5206"
"2006","Mozambique","MOZ","Monaco","MCO","-9","-9"
"2006","Mozambique","MOZ","Liechtenstein","LIE","-9","-9"
"2006","Mozambique","MOZ","Switzerland","CHE","10.942","5.8624492"
"2006","Mozambique","MOZ","Spain","ESP","25.332001","253.8136"
"2006","Mozambique","MOZ","Andorra","AND","-9","-9"
"2006","Mozambique","MOZ","Portugal","PRT","95.195","36.097"
"2006","Mozambique","MOZ","Germany","DEU","53.705002","22.261801"
"2006","Mozambique","MOZ","Poland","POL","8.4096003","5.2147999"
"2006","Mozambique","MOZ","Austria","AUT","2.0365","0.23890001"
"2006","Mozambique","MOZ","Hungary","HUN","1.691","0.14040001"
"2006","Mozambique","MOZ","Czech Republic","CZE","0.1763","3.0307"
"2006","Mozambique","MOZ","Slovakia","SVK","0.54890001","0"
"2006","Mozambique","MOZ","Italy","ITA","20.041","425.23779"
"2006","Mozambique","MOZ","San Marino","SMR","-9","-9"
"2006","Mozambique","MOZ","Malta","MLT","0","0"
"2006","Mozambique","MOZ","Albania","ALB","0","0"
"2006","Mozambique","MOZ","Montenegro","MNE","0","0"
"2006","Mozambique","MOZ","Macedonia","MKD","0","0.021970538"
"2006","Mozambique","MOZ","Croatia","HRV","0.028261","0.175163"
"2006","Mozambique","MOZ","Yugoslavia","YUG","-9","-9"
"2006","Mozambique","MOZ","Bosnia and Herzegovina","BIH","-9","-9"
"2006","Mozambique","MOZ","Slovenia","SVN","0.0032","0"
"2006","Mozambique","MOZ","Greece","GRC","0.3265","2.187"
"2006","Mozambique","MOZ","Cyprus","CYP","0.085000001","0.0003"
"2006","Mozambique","MOZ","Bulgaria","BGR","0.2132","0.0068"
"2006","Mozambique","MOZ","Moldova","MDA","-9","0"
"2006","Mozambique","MOZ","Romania","ROU","5.8344002","0.2563"
"2006","Mozambique","MOZ","Russia","RUS","4.1486478","21.896488"
"2006","Mozambique","MOZ","Estonia","EST","0.01","0"
"2006","Mozambique","MOZ","Latvia","LVA","0.015","0"
"2006","Mozambique","MOZ","Lithuania","LTU","5.0082998","0.53710002"
"2006","Mozambique","MOZ","Ukraine","UKR","8.8119001","3.5388"
"2006","Mozambique","MOZ","Belarus","BLR","0.080799997","0"
"2006","Mozambique","MOZ","Armenia","ARM","-9","0"
"2006","Mozambique","MOZ","Georgia","GEO","0","0.000833155"
"2006","Mozambique","MOZ","Azerbaijan","AZE","0","0"
"2006","Mozambique","MOZ","Finland","FIN","6.625","9.0425997"
