"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2008","Somalia","SOM","United States of America","USA","71.059998","0.1"
"2008","Somalia","SOM","Canada","CAN","4.5372486","0.070932977"
"2008","Somalia","SOM","Bahamas","BHS","0","0"
"2008","Somalia","SOM","Cuba","CUB","0","0"
"2008","Somalia","SOM","Haiti","HTI","-9","-9"
"2008","Somalia","SOM","Dominican Republic","DOM","-9","0.004500738"
"2008","Somalia","SOM","Jamaica","JAM","0","0"
"2008","Somalia","SOM","Trinidad and Tobago","TTO","9.19E-05","0"
"2008","Somalia","SOM","Barbados","BRB","0","0"
"2008","Somalia","SOM","Dominica","DMA","0","0"
"2008","Somalia","SOM","Grenada","GRD","0","0"
"2008","Somalia","SOM","St. Lucia","LCA","0","0"
"2008","Somalia","SOM","St. Vincent and the Grenadines","VCT","0","0"
"2008","Somalia","SOM","Antigua & Barbuda","ATG","-9","-9"
"2008","Somalia","SOM","St. Kitts and Nevis","KNA","-9","-9"
"2008","Somalia","SOM","Mexico","MEX","0","0"
"2008","Somalia","SOM","Belize","BLZ","0","0"
"2008","Somalia","SOM","Guatemala","GTM","0","0"
"2008","Somalia","SOM","Honduras","HND","0.0029315","0"
"2008","Somalia","SOM","El Salvador","SLV","-9","0"
"2008","Somalia","SOM","Nicaragua","NIC","-9","-9"
"2008","Somalia","SOM","Costa Rica","CRI","0","0.00006441"
"2008","Somalia","SOM","Panama","PAN","0","-9"
"2008","Somalia","SOM","Colombia","COL","0","0"
"2008","Somalia","SOM","Venezuela","VEN","0","0"
"2008","Somalia","SOM","Guyana","GUY","0","0"
"2008","Somalia","SOM","Suriname","SUR","0","0"
"2008","Somalia","SOM","Ecuador","ECU","0","0"
"2008","Somalia","SOM","Peru","PER","0","0.014082839"
"2008","Somalia","SOM","Brazil","BRA","10.040966","0.0100826"
"2008","Somalia","SOM","Bolivia","BOL","-9","-9"
"2008","Somalia","SOM","Paraguay","PRY","0","-9"
"2008","Somalia","SOM","Chile","CHL","0","0"
"2008","Somalia","SOM","Argentina","ARG","0","0.027841"
"2008","Somalia","SOM","Uruguay","URY","-9","0"
"2008","Somalia","SOM","United Kingdom","GBR","2.8185301","0.0062"
"2008","Somalia","SOM","Ireland","IRL","0.1705","0.0014"
"2008","Somalia","SOM","Netherlands","NLD","2.7649601","0.0026"
"2008","Somalia","SOM","Belgium","BEL","5.0736399","0.0006"
"2008","Somalia","SOM","Luxembourg","LUX","0","0"
"2008","Somalia","SOM","France","FRA","13.82414","0.2216"
"2008","Somalia","SOM","Monaco","MCO","-9","-9"
"2008","Somalia","SOM","Liechtenstein","LIE","-9","-9"
"2008","Somalia","SOM","Switzerland","CHE","0.013911652","0.25277987"
"2008","Somalia","SOM","Spain","ESP","0.06611","0"
"2008","Somalia","SOM","Andorra","AND","-9","-9"
"2008","Somalia","SOM","Portugal","PRT","0.087779999","0"
"2008","Somalia","SOM","Germany","DEU","1.70929","0.20209999"
"2008","Somalia","SOM","Poland","POL","0.02816","0"
"2008","Somalia","SOM","Austria","AUT","0.13145","0.0017"
"2008","Somalia","SOM","Hungary","HUN","0.0352","0.0081"
"2008","Somalia","SOM","Czech Republic","CZE","0.23023","0"
"2008","Somalia","SOM","Slovakia","SVK","0.00022","0"
"2008","Somalia","SOM","Italy","ITA","2.66486","0.50129998"
"2008","Somalia","SOM","San Marino","SMR","-9","-9"
"2008","Somalia","SOM","Malta","MLT","1.42989","0"
"2008","Somalia","SOM","Albania","ALB","0","0"
"2008","Somalia","SOM","Montenegro","MNE","0","0.002825284"
"2008","Somalia","SOM","Macedonia","MKD","-9","0"
"2008","Somalia","SOM","Croatia","HRV","0.0253","0.005"
"2008","Somalia","SOM","Yugoslavia","YUG","-9","-9"
"2008","Somalia","SOM","Bosnia and Herzegovina","BIH","-9","-9"
"2008","Somalia","SOM","Kosovo","KOS","-9","-9"
"2008","Somalia","SOM","Slovenia","SVN","0","0"
