"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2008","Tuvalu","TUV","United States of America","USA","0.1","0"
"2008","Tuvalu","TUV","Canada","CAN","-9","0"
"2008","Tuvalu","TUV","Bahamas","BHS","-9","-9"
"2008","Tuvalu","TUV","Cuba","CUB","-9","-9"
"2008","Tuvalu","TUV","Haiti","HTI","-9","-9"
"2008","Tuvalu","TUV","Dominican Republic","DOM","-9","-9"
"2008","Tuvalu","TUV","Jamaica","JAM","-9","-9"
"2008","Tuvalu","TUV","Trinidad and Tobago","TTO","-9","-9"
"2008","Tuvalu","TUV","Barbados","BRB","-9","-9"
"2008","Tuvalu","TUV","Dominica","DMA","-9","-9"
"2008","Tuvalu","TUV","Grenada","GRD","-9","-9"
"2008","Tuvalu","TUV","St. Lucia","LCA","-9","-9"
"2008","Tuvalu","TUV","St. Vincent and the Grenadines","VCT","-9","-9"
"2008","Tuvalu","TUV","Antigua & Barbuda","ATG","-9","-9"
"2008","Tuvalu","TUV","St. Kitts and Nevis","KNA","-9","-9"
"2008","Tuvalu","TUV","Mexico","MEX","0","0"
"2008","Tuvalu","TUV","Belize","BLZ","-9","-9"
"2008","Tuvalu","TUV","Guatemala","GTM","-9","-9"
"2008","Tuvalu","TUV","Honduras","HND","-9","-9"
"2008","Tuvalu","TUV","El Salvador","SLV","-9","-9"
"2008","Tuvalu","TUV","Nicaragua","NIC","-9","-9"
"2008","Tuvalu","TUV","Costa Rica","CRI","-9","0.017256221"
"2008","Tuvalu","TUV","Panama","PAN","-9","-9"
"2008","Tuvalu","TUV","Colombia","COL","0","0"
"2008","Tuvalu","TUV","Venezuela","VEN","-9","-9"
"2008","Tuvalu","TUV","Guyana","GUY","-9","-9"
"2008","Tuvalu","TUV","Suriname","SUR","-9","-9"
"2008","Tuvalu","TUV","Ecuador","ECU","-9","-9"
"2008","Tuvalu","TUV","Peru","PER","0","6.61E-05"
"2008","Tuvalu","TUV","Brazil","BRA","0.058015998","0"
"2008","Tuvalu","TUV","Bolivia","BOL","-9","0"
"2008","Tuvalu","TUV","Paraguay","PRY","-9","-9"
"2008","Tuvalu","TUV","Chile","CHL","0","0"
"2008","Tuvalu","TUV","Argentina","ARG","0","0"
"2008","Tuvalu","TUV","Uruguay","URY","-9","-9"
"2008","Tuvalu","TUV","United Kingdom","GBR","0.042800002","0.0027"
"2008","Tuvalu","TUV","Ireland","IRL","0","0"
"2008","Tuvalu","TUV","Netherlands","NLD","0.067400001","0.0037"
"2008","Tuvalu","TUV","Belgium","BEL","0.0174","0"
"2008","Tuvalu","TUV","Luxembourg","LUX","0","0"
"2008","Tuvalu","TUV","France","FRA","0","0.0116"
"2008","Tuvalu","TUV","Monaco","MCO","-9","-9"
"2008","Tuvalu","TUV","Liechtenstein","LIE","-9","-9"
"2008","Tuvalu","TUV","Switzerland","CHE","0.004133881","0.009726945"
"2008","Tuvalu","TUV","Spain","ESP","0.0167","0"
"2008","Tuvalu","TUV","Andorra","AND","-9","-9"
"2008","Tuvalu","TUV","Portugal","PRT","0","0"
"2008","Tuvalu","TUV","Germany","DEU","0.3048","0.0011"
"2008","Tuvalu","TUV","Poland","POL","0","0"
"2008","Tuvalu","TUV","Austria","AUT","0.058499999","0"
"2008","Tuvalu","TUV","Hungary","HUN","0","0.0264"
"2008","Tuvalu","TUV","Czech Republic","CZE","0","0"
"2008","Tuvalu","TUV","Slovakia","SVK","0","0"
"2008","Tuvalu","TUV","Italy","ITA","0.0087","0.22239999"
"2008","Tuvalu","TUV","San Marino","SMR","-9","-9"
"2008","Tuvalu","TUV","Malta","MLT","0","0"
"2008","Tuvalu","TUV","Albania","ALB","0","0.007995389"
"2008","Tuvalu","TUV","Montenegro","MNE","0","0"
"2008","Tuvalu","TUV","Macedonia","MKD","0","0.000808528"
"2008","Tuvalu","TUV","Croatia","HRV","0","0.001"
"2008","Tuvalu","TUV","Yugoslavia","YUG","-9","-9"
"2008","Tuvalu","TUV","Bosnia and Herzegovina","BIH","-9","-9"
"2008","Tuvalu","TUV","Kosovo","KOS","-9","-9"
"2008","Tuvalu","TUV","Slovenia","SVN","0.0229","0"
"2008","Tuvalu","TUV","Greece","GRC","0","0"
"2008","Tuvalu","TUV","Cyprus","CYP","0","0"
"2008","Tuvalu","TUV","Bulgaria","BGR","0.29719999","0"
"2008","Tuvalu","TUV","Moldova","MDA","0","0"
"2008","Tuvalu","TUV","Romania","ROU","0","0"
"2008","Tuvalu","TUV","Russia","RUS","0","0.033085998"
"2008","Tuvalu","TUV","Estonia","EST","0","0"
"2008","Tuvalu","TUV","Latvia","LVA","-9","-9"
"2008","Tuvalu","TUV","Lithuania","LTU","0","0"
"2008","Tuvalu","TUV","Ukraine","UKR","0","0"
