"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2009","China","CHN","United States of America","USA","96600.406","313488.69"
"2009","China","CHN","Canada","CAN","13153.88","38780.41"
"2009","China","CHN","Bahamas","BHS","0.29941598","461.28833"
"2009","China","CHN","Cuba","CUB","603.02759","1070.5615"
"2009","China","CHN","Haiti","HTI","3.8453143","164.16124"
"2009","China","CHN","Dominican Republic","DOM","112.1036","87.257721"
"2009","China","CHN","Jamaica","JAM","28.644075","254.89546"
"2009","China","CHN","Trinidad and Tobago","TTO","104.85589","275.29691"
"2009","China","CHN","Barbados","BRB","2.4502623","102.1127"
"2009","China","CHN","Dominica","DMA","1.1996353","24.552"
"2009","China","CHN","Grenada","GRD","0.031128932","4.5806069"
"2009","China","CHN","St. Lucia","LCA","0.19689262","9.0762892"
"2009","China","CHN","St. Vincent and the Grenadines","VCT","0.104","81.226234"
"2009","China","CHN","Antigua & Barbuda","ATG","0.096000001","493.689"
"2009","China","CHN","St. Kitts and Nevis","KNA","0.043000001","1.4972829"
"2009","China","CHN","Mexico","MEX","4237.4019","36136.758"
"2009","China","CHN","Belize","BLZ","0.014482191","36.972237"
"2009","China","CHN","Guatemala","GTM","27.224669","744.48932"
"2009","China","CHN","Honduras","HND","53.577835","309.25049"
"2009","China","CHN","El Salvador","SLV","37.253609","371.07159"
"2009","China","CHN","Nicaragua","NIC","5.8928499","265.98969"
"2009","China","CHN","Costa Rica","CRI","3269.8933","773.33386"
"2009","China","CHN","Panama","PAN","55.725361","362.31616"
"2009","China","CHN","Colombia","COL","993.29883","3777.2117"
"2009","China","CHN","Venezuela","VEN","4519.9326","3546.8958"
"2009","China","CHN","Guyana","GUY","15.340957","65.846581"
"2009","China","CHN","Suriname","SUR","14.648818","34.240917"
"2009","China","CHN","Ecuador","ECU","752.21454","1240.9338"
"2009","China","CHN","Peru","PER","4225.1299","3606.573"
"2009","China","CHN","Brazil","BRA","30273.588","18066.209"
"2009","China","CHN","Bolivia","BOL","127.72071","379.00217"
"2009","China","CHN","Paraguay","PRY","34.348984","2173.0913"
"2009","China","CHN","Chile","CHL","13051.409","6232.5874"
"2009","China","CHN","Argentina","ARG","4583.9219","4843.2583"
"2009","China","CHN","Uruguay","URY","817.28668","920.54663"
"2009","China","CHN","United Kingdom","GBR","12634.793","51290.004"
"2009","China","CHN","Ireland","IRL","4375.1851","2616.8174"
"2009","China","CHN","Netherlands","NLD","7147.9448","54678.652"
"2009","China","CHN","Belgium","BEL","8357.7637","15529.908"
"2009","China","CHN","Luxembourg","LUX","269.84888","5449.8145"
"2009","China","CHN","France","FRA","16455.924","25206.475"
"2009","China","CHN","Monaco","MCO","-9","-9"
"2009","China","CHN","Liechtenstein","LIE","-9","-9"
"2009","China","CHN","Switzerland","CHE","12576.534","5817.8228"
"2009","China","CHN","Spain","ESP","5011.1558","16930.42"
"2009","China","CHN","Andorra","AND","-9","-9"
"2009","China","CHN","Portugal","PRT","562.35358","1598.79"
"2009","China","CHN","Germany","DEU","62516.992","64726.902"
"2009","China","CHN","Poland","POL","1694.4502","7777.041"
"2009","China","CHN","Austria","AUT","3917.6143","3638.7529"
