"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2009","Myanmar","MMR","United States of America","USA","7.6999998","0.1"
"2009","Myanmar","MMR","Canada","CAN","0.13681166","0.05719357"
"2009","Myanmar","MMR","Bahamas","BHS","-9","-9"
"2009","Myanmar","MMR","Cuba","CUB","-9","0"
"2009","Myanmar","MMR","Haiti","HTI","-9","-9"
"2009","Myanmar","MMR","Dominican Republic","DOM","0.000424974","0.04614839"
"2009","Myanmar","MMR","Jamaica","JAM","0","0"
"2009","Myanmar","MMR","Trinidad and Tobago","TTO","0","0.019194361"
"2009","Myanmar","MMR","Barbados","BRB","0","0"
"2009","Myanmar","MMR","Dominica","DMA","-9","-9"
"2009","Myanmar","MMR","Grenada","GRD","-9","-9"
"2009","Myanmar","MMR","St. Lucia","LCA","0","0"
"2009","Myanmar","MMR","St. Vincent and the Grenadines","VCT","-9","-9"
"2009","Myanmar","MMR","Antigua & Barbuda","ATG","-9","-9"
"2009","Myanmar","MMR","St. Kitts and Nevis","KNA","-9","-9"
"2009","Myanmar","MMR","Mexico","MEX","0","0"
"2009","Myanmar","MMR","Belize","BLZ","-9","0"
"2009","Myanmar","MMR","Guatemala","GTM","0.069300003","0"
"2009","Myanmar","MMR","Honduras","HND","0","0"
"2009","Myanmar","MMR","El Salvador","SLV","-9","0.009381936"
"2009","Myanmar","MMR","Nicaragua","NIC","-9","-9"
"2009","Myanmar","MMR","Costa Rica","CRI","0.1238202","0.080314793"
"2009","Myanmar","MMR","Panama","PAN","-9","0"
"2009","Myanmar","MMR","Colombia","COL","0","0.057456002"
"2009","Myanmar","MMR","Venezuela","VEN","0","0"
"2009","Myanmar","MMR","Guyana","GUY","0","0"
"2009","Myanmar","MMR","Suriname","SUR","0","0"
"2009","Myanmar","MMR","Ecuador","ECU","-9","0"
"2009","Myanmar","MMR","Peru","PER","0.057115301","0.1611115"
"2009","Myanmar","MMR","Brazil","BRA","8.5751143","1.543245"
"2009","Myanmar","MMR","Bolivia","BOL","0","0"
"2009","Myanmar","MMR","Paraguay","PRY","0","0.026090899"
"2009","Myanmar","MMR","Chile","CHL","0","0.248768"
"2009","Myanmar","MMR","Argentina","ARG","0.53562301","7.6658468"
"2009","Myanmar","MMR","Uruguay","URY","0","0.22662029"
"2009","Myanmar","MMR","United Kingdom","GBR","5.5349798","49.548401"
"2009","Myanmar","MMR","Ireland","IRL","0.45023","0.1248"
"2009","Myanmar","MMR","Netherlands","NLD","4.8530898","11.0994"
"2009","Myanmar","MMR","Belgium","BEL","8.0528803","3.1396999"
"2009","Myanmar","MMR","Luxembourg","LUX","0.1287","0"
"2009","Myanmar","MMR","France","FRA","18.951349","6.6554999"
"2009","Myanmar","MMR","Monaco","MCO","-9","-9"
"2009","Myanmar","MMR","Liechtenstein","LIE","-9","-9"
"2009","Myanmar","MMR","Switzerland","CHE","6.4106159","0.80134791"
"2009","Myanmar","MMR","Spain","ESP","5.1533899","44.788799"
"2009","Myanmar","MMR","Andorra","AND","-9","-9"
"2009","Myanmar","MMR","Portugal","PRT","0.10142","0.17299999"
"2009","Myanmar","MMR","Germany","DEU","58.3055","80.310799"
"2009","Myanmar","MMR","Poland","POL","0.65944999","2.3175001"
"2009","Myanmar","MMR","Austria","AUT","5.9046898","5.9101"
"2009","Myanmar","MMR","Hungary","HUN","0.02255","0.2269"
"2009","Myanmar","MMR","Czech Republic","CZE","0.28127","1.2729"
"2009","Myanmar","MMR","Slovakia","SVK","0","0.058400001"
"2009","Myanmar","MMR","Italy","ITA","10.42305","6.9671998"
"2009","Myanmar","MMR","San Marino","SMR","-9","-9"
"2009","Myanmar","MMR","Malta","MLT","0.00011","0.1009"
"2009","Myanmar","MMR","Albania","ALB","0","0.50693375"
"2009","Myanmar","MMR","Montenegro","MNE","0","0.039489854"
"2009","Myanmar","MMR","Macedonia","MKD","-9","0.2568863"
"2009","Myanmar","MMR","Croatia","HRV","0.5819","1.199"
"2009","Myanmar","MMR","Yugoslavia","YUG","-9","-9"
"2009","Myanmar","MMR","Bosnia and Herzegovina","BIH","-9","-9"
"2009","Myanmar","MMR","Kosovo","KOS","-9","-9"
"2009","Myanmar","MMR","Slovenia","SVN","0.01364","0.19419999"
"2009","Myanmar","MMR","Greece","GRC","0.00077","0.3344"
"2009","Myanmar","MMR","Cyprus","CYP","0.39963001","0.56940001"
"2009","Myanmar","MMR","Bulgaria","BGR","0.13012999","0.1022"
"2009","Myanmar","MMR","Moldova","MDA","-9","0.059999999"
"2009","Myanmar","MMR","Romania","ROU","0","0.81699997"
"2009","Myanmar","MMR","Russia","RUS","49.96664","4.5998812"
"2009","Myanmar","MMR","Estonia","EST","0","0"
"2009","Myanmar","MMR","Latvia","LVA","0","0.1839"
"2009","Myanmar","MMR","Lithuania","LTU","0","0.060899999"
"2009","Myanmar","MMR","Ukraine","UKR","16.317289","0.1584"
"2009","Myanmar","MMR","Belarus","BLR","0.25222999","0.074699998"
"2009","Myanmar","MMR","Armenia","ARM","0","0.01205"
"2009","Myanmar","MMR","Georgia","GEO","0","-9"
"2009","Myanmar","MMR","Azerbaijan","AZE","0","0"
"2009","Myanmar","MMR","Finland","FIN","0.70608997","0.17659999"
"2009","Myanmar","MMR","Sweden","SWE","17.08872","1.3063"
"2009","Myanmar","MMR","Norway","NOR","0.070966199","0.29755569"
"2009","Myanmar","MMR","Denmark","DNK","2.4930401","1.1068"
"2009","Myanmar","MMR","Iceland","ISL","0","0.10079005"
"2009","Myanmar","MMR","Cape Verde","CPV","-9","-9"
"2009","Myanmar","MMR","Sao Tome and Principe","STP","-9","-9"
"2009","Myanmar","MMR","Guinea-Bissau","GNB","0","0"
"2009","Myanmar","MMR","Equatorial Guinea","GNQ","-9","-9"
"2009","Myanmar","MMR","Gambia","GMB","0","0"
"2009","Myanmar","MMR","Mali","MLI","0","0"
"2009","Myanmar","MMR","Senegal","SEN","0","0"
"2009","Myanmar","MMR","Benin","BEN","0","0"
"2009","Myanmar","MMR","Mauritania","MRT","-9","0"
"2009","Myanmar","MMR","Niger","NER","0","0"
"2009","Myanmar","MMR","Ivory Coast","CIV","0.1981146","64.763496"
