"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2010","Dominican Republic","DOM","United States of America","USA","6724.9517","3782.7"
"2010","Dominican Republic","DOM","Canada","CAN","212.02069","153.62242"
"2010","Dominican Republic","DOM","Bahamas","BHS","315.74786","3.0831394"
"2010","Dominican Republic","DOM","Cuba","CUB","26.359604","32.096989"
"2010","Dominican Republic","DOM","Haiti","HTI","18.596598","1280.3744"
"2010","Dominican Republic","DOM","Jamaica","JAM","2.4638469","54.755352"
"2010","Dominican Republic","DOM","Trinidad and Tobago","TTO","327.29147","16.709419"
"2010","Dominican Republic","DOM","Barbados","BRB","2.8519161","6.7343383"
"2010","Dominican Republic","DOM","Dominica","DMA","0.002164989","3.7103312"
"2010","Dominican Republic","DOM","Grenada","GRD","0.023735991","2.2869756"
"2010","Dominican Republic","DOM","St. Lucia","LCA","0.004830801","4.1846404"
"2010","Dominican Republic","DOM","St. Vincent and the Grenadines","VCT","0.19529912","1.7969959"
"2010","Dominican Republic","DOM","Antigua & Barbuda","ATG","11.265441","3.0773485"
"2010","Dominican Republic","DOM","St. Kitts and Nevis","KNA","0.005156659","3.056777"
"2010","Dominican Republic","DOM","Mexico","MEX","994.68158","138.28311"
"2010","Dominican Republic","DOM","Belize","BLZ","2.8959107","0.087908477"
"2010","Dominican Republic","DOM","Guatemala","GTM","150.20834","39.492298"
"2010","Dominican Republic","DOM","Honduras","HND","48.799942","42.139034"
"2010","Dominican Republic","DOM","El Salvador","SLV","93.130432","12.943246"
"2010","Dominican Republic","DOM","Nicaragua","NIC","33.2244","5.7262783"
"2010","Dominican Republic","DOM","Costa Rica","CRI","255.79181","26.83687"
"2010","Dominican Republic","DOM","Panama","PAN","125.36063","22.676546"
"2010","Dominican Republic","DOM","Colombia","COL","634.51062","21.32209"
"2010","Dominican Republic","DOM","Venezuela","VEN","1049.6519","30.878492"
"2010","Dominican Republic","DOM","Guyana","GUY","0.65282255","9.4104223"
"2010","Dominican Republic","DOM","Suriname","SUR","0.000221412","4.9616446"
"2010","Dominican Republic","DOM","Ecuador","ECU","45.033386","67.54689"
"2010","Dominican Republic","DOM","Peru","PER","102.76528","23.603357"
