"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2011","Seychelles","SYC","United States of America","USA","15.07","6.5"
"2011","Seychelles","SYC","Canada","CAN","7.5360894","0.64817357"
"2011","Seychelles","SYC","Bahamas","BHS","0","0"
"2011","Seychelles","SYC","Cuba","CUB","0","0"
"2011","Seychelles","SYC","Haiti","HTI","-9","-9"
"2011","Seychelles","SYC","Dominican Republic","DOM","0","0"
"2011","Seychelles","SYC","Jamaica","JAM","0","0"
"2011","Seychelles","SYC","Trinidad and Tobago","TTO","0","0"
"2011","Seychelles","SYC","Barbados","BRB","0.002007266","8.82E-05"
"2011","Seychelles","SYC","Dominica","DMA","0","0"
"2011","Seychelles","SYC","Grenada","GRD","-9","0"
"2011","Seychelles","SYC","St. Lucia","LCA","0","0"
"2011","Seychelles","SYC","St. Vincent and the Grenadines","VCT","-9","0"
"2011","Seychelles","SYC","Antigua & Barbuda","ATG","-9","-9"
"2011","Seychelles","SYC","St. Kitts and Nevis","KNA","-9","-9"
"2011","Seychelles","SYC","Mexico","MEX","0","0"
"2011","Seychelles","SYC","Belize","BLZ","-9","0"
"2011","Seychelles","SYC","Guatemala","GTM","0","0"
"2011","Seychelles","SYC","Honduras","HND","0","0"
"2011","Seychelles","SYC","El Salvador","SLV","0","0"
"2011","Seychelles","SYC","Nicaragua","NIC","-9","6.90E-05"
"2011","Seychelles","SYC","Costa Rica","CRI","0","0.11515802"
"2011","Seychelles","SYC","Panama","PAN","0","0"
"2011","Seychelles","SYC","Colombia","COL","0.098223403","0.064551003"
"2011","Seychelles","SYC","Venezuela","VEN","-9","-9"
"2011","Seychelles","SYC","Guyana","GUY","0","0"
"2011","Seychelles","SYC","Suriname","SUR","-9","-9"
"2011","Seychelles","SYC","Ecuador","ECU","0","0"
"2011","Seychelles","SYC","Peru","PER","0","0.0209132"
"2011","Seychelles","SYC","Brazil","BRA","6.9670272","0.50094771"
"2011","Seychelles","SYC","Bolivia","BOL","-9","0.233969"
"2011","Seychelles","SYC","Paraguay","PRY","1.0869188","-9"
"2011","Seychelles","SYC","Chile","CHL","0.14437082","0"
"2011","Seychelles","SYC","Argentina","ARG","0.1152877","0.031636"
"2011","Seychelles","SYC","Uruguay","URY","0.20843542","0.013311727"
"2011","Seychelles","SYC","United Kingdom","GBR","30.721239","82.331902"
"2011","Seychelles","SYC","Ireland","IRL","2.32254","0.1009"
"2011","Seychelles","SYC","Netherlands","NLD","21.66494","12.1463"
"2011","Seychelles","SYC","Belgium","BEL","10.13045","0.13689999"
"2011","Seychelles","SYC","Luxembourg","LUX","1.14818","0.027899999"
"2011","Seychelles","SYC","France","FRA","66.070396","105.6104"
"2011","Seychelles","SYC","Monaco","MCO","-9","-9"
"2011","Seychelles","SYC","Liechtenstein","LIE","-9","-9"
"2011","Seychelles","SYC","Switzerland","CHE","3.8198378","4.5676322"
"2011","Seychelles","SYC","Spain","ESP","93.716042","6.3009"
"2011","Seychelles","SYC","Andorra","AND","-9","-9"
"2011","Seychelles","SYC","Portugal","PRT","4.6312199","0.001"
"2011","Seychelles","SYC","Germany","DEU","15.38471","4.4264998"
