"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2012","Thailand","THA","United States of America","USA","12720.466","27051.5"
"2012","Thailand","THA","Canada","CAN","943.59656","2898.4351"
"2012","Thailand","THA","Bahamas","BHS","11.983708","4.9275298"
"2012","Thailand","THA","Cuba","CUB","1.8503159","1.8873136"
"2012","Thailand","THA","Haiti","HTI","14.50272","14.382412"
"2012","Thailand","THA","Dominican Republic","DOM","24.997995","63.812019"
"2012","Thailand","THA","Jamaica","JAM","0.67172343","47.706238"
"2012","Thailand","THA","Trinidad and Tobago","TTO","65.039337","105.6232"
"2012","Thailand","THA","Barbados","BRB","4.5907798","11.263935"
"2012","Thailand","THA","Dominica","DMA","0.34772247","1.5700155"
"2012","Thailand","THA","Grenada","GRD","1.538017","2.1041248"
"2012","Thailand","THA","St. Lucia","LCA","0.13479283","5.5276546"
"2012","Thailand","THA","St. Vincent and the Grenadines","VCT","0.54268146","0.56618541"
"2012","Thailand","THA","Antigua & Barbuda","ATG","-9","-9"
"2012","Thailand","THA","St. Kitts and Nevis","KNA","-9","0.40905029"
"2012","Thailand","THA","Mexico","MEX","650.2597","4186.2744"
"2012","Thailand","THA","Belize","BLZ","2.039763","5.0598783"
"2012","Thailand","THA","Guatemala","GTM","8.6146345","133.9691"
"2012","Thailand","THA","Honduras","HND","4.9033275","91.553658"
"2012","Thailand","THA","El Salvador","SLV","11.836558","49.060974"
"2012","Thailand","THA","Nicaragua","NIC","0.45246825","70.996796"
"2012","Thailand","THA","Costa Rica","CRI","68.931931","90.747009"
"2012","Thailand","THA","Panama","PAN","201.03493","122.65646"
"2012","Thailand","THA","Colombia","COL","36.894573","332.55603"
"2012","Thailand","THA","Venezuela","VEN","3.6941004","211.67593"
"2012","Thailand","THA","Guyana","GUY","9.0351572","9.6109295"
"2012","Thailand","THA","Suriname","SUR","2.3383923","3.9650166"
"2012","Thailand","THA","Ecuador","ECU","116.12354","313.14182"
"2012","Thailand","THA","Peru","PER","385.62305","499.0033"
"2012","Thailand","THA","Brazil","BRA","2460.1663","2754.3311"
"2012","Thailand","THA","Bolivia","BOL","3.4435251","69.732155"
"2012","Thailand","THA","Paraguay","PRY","12.577794","74.813095"
"2012","Thailand","THA","Chile","CHL","352.30908","715.11365"
"2012","Thailand","THA","Argentina","ARG","650.43079","871.95776"
"2012","Thailand","THA","Uruguay","URY","42.055691","102.25533"
"2012","Thailand","THA","United Kingdom","GBR","2797.439","3479.4788"
"2012","Thailand","THA","Ireland","IRL","280.65482","250.0555"
"2012","Thailand","THA","Netherlands","NLD","1158.9247","3543.6653"
"2012","Thailand","THA","Belgium","BEL","1104.6102","1596.983"
"2012","Thailand","THA","Luxembourg","LUX","35.870758","10.6079"
"2012","Thailand","THA","France","FRA","3239.4014","1934.7712"
"2012","Thailand","THA","Monaco","MCO","-9","-9"
"2012","Thailand","THA","Liechtenstein","LIE","-9","-9"
"2012","Thailand","THA","Switzerland","CHE","8805.5664","1041.2413"
"2012","Thailand","THA","Spain","ESP","634.86829","845.79602"
"2012","Thailand","THA","Andorra","AND","-9","-9"
"2012","Thailand","THA","Portugal","PRT","69.430473","126.1927"
"2012","Thailand","THA","Germany","DEU","6019.1865","3954.2612"
"2012","Thailand","THA","Poland","POL","207.08057","571.03418"
"2012","Thailand","THA","Austria","AUT","377.14841","379.48691"
"2012","Thailand","THA","Hungary","HUN","162.09016","415.1593"
"2012","Thailand","THA","Czech Republic","CZE","183.67229","879.3548"
"2012","Thailand","THA","Slovakia","SVK","30.084999","147.8112"
"2012","Thailand","THA","Italy","ITA","2227.6946","1412.3448"
"2012","Thailand","THA","San Marino","SMR","-9","-9"
"2012","Thailand","THA","Malta","MLT","28.815496","14.2697"
"2012","Thailand","THA","Albania","ALB","0.72012061","10.859097"
"2012","Thailand","THA","Montenegro","MNE","0.095710903","5.5389314"
"2012","Thailand","THA","Macedonia","MKD","0.017568594","19.066368"
"2012","Thailand","THA","Croatia","HRV","2.951","48.112"
"2012","Thailand","THA","Yugoslavia","YUG","-9","-9"
"2012","Thailand","THA","Bosnia and Herzegovina","BIH","-9","-9"
"2012","Thailand","THA","Kosovo","KOS","-9","-9"
"2012","Thailand","THA","Slovenia","SVN","34.390099","58.803299"
"2012","Thailand","THA","Greece","GRC","65.44648","133.46271"
"2012","Thailand","THA","Cyprus","CYP","3.1894131","35.2108"
"2012","Thailand","THA","Bulgaria","BGR","42.21579","27.335899"
"2012","Thailand","THA","Moldova","MDA","0.17791171","8.5747995"
"2012","Thailand","THA","Romania","ROU","51.930332","130.51379"
"2012","Thailand","THA","Russia","RUS","4080.6311","1971.0674"
"2012","Thailand","THA","Estonia","EST","23.184813","29.1001"
"2012","Thailand","THA","Latvia","LVA","8.1345615","13.6787"
