"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2013","Democratic Republic of the Congo","COD","United States of America","USA","186.45","78"
"2013","Democratic Republic of the Congo","COD","Canada","CAN","17.362185","4.0095539"
"2013","Democratic Republic of the Congo","COD","Bahamas","BHS","0","0"
"2013","Democratic Republic of the Congo","COD","Cuba","CUB","0","-9"
"2013","Democratic Republic of the Congo","COD","Haiti","HTI","0","0"
"2013","Democratic Republic of the Congo","COD","Dominican Republic","DOM","0","0.10706604"
"2013","Democratic Republic of the Congo","COD","Jamaica","JAM","0","0"
"2013","Democratic Republic of the Congo","COD","Trinidad and Tobago","TTO","0","0"
"2013","Democratic Republic of the Congo","COD","Barbados","BRB","0","0"
"2013","Democratic Republic of the Congo","COD","Dominica","DMA","-9","-9"
"2013","Democratic Republic of the Congo","COD","Grenada","GRD","-9","-9"
"2013","Democratic Republic of the Congo","COD","St. Lucia","LCA","-9","-9"
"2013","Democratic Republic of the Congo","COD","St. Vincent and the Grenadines","VCT","0","0"
"2013","Democratic Republic of the Congo","COD","Antigua & Barbuda","ATG","-9","-9"
"2013","Democratic Republic of the Congo","COD","St. Kitts and Nevis","KNA","-9","-9"
"2013","Democratic Republic of the Congo","COD","Mexico","MEX","0","0"
"2013","Democratic Republic of the Congo","COD","Belize","BLZ","0","0"
"2013","Democratic Republic of the Congo","COD","Guatemala","GTM","0.2079","0"
"2013","Democratic Republic of the Congo","COD","Honduras","HND","1.5126431","0"
"2013","Democratic Republic of the Congo","COD","El Salvador","SLV","-9","-9"
"2013","Democratic Republic of the Congo","COD","Nicaragua","NIC","-9","-9"
"2013","Democratic Republic of the Congo","COD","Costa Rica","CRI","0","0.053303"
"2013","Democratic Republic of the Congo","COD","Panama","PAN","0.0002706","0"
"2013","Democratic Republic of the Congo","COD","Colombia","COL","1.9366688","0.028418999"
"2013","Democratic Republic of the Congo","COD","Venezuela","VEN","0","0"
"2013","Democratic Republic of the Congo","COD","Guyana","GUY","0","0"
"2013","Democratic Republic of the Congo","COD","Suriname","SUR","0","0"
"2013","Democratic Republic of the Congo","COD","Ecuador","ECU","0","0.003334"
"2013","Democratic Republic of the Congo","COD","Peru","PER","0.26128849","0.0002134"
"2013","Democratic Republic of the Congo","COD","Brazil","BRA","79.84446","18.632332"
"2013","Democratic Republic of the Congo","COD","Bolivia","BOL","-9","4.60E-05"
"2013","Democratic Republic of the Congo","COD","Paraguay","PRY","0.62897891","0"
