"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2013","Italy","ITA","United States of America","USA","13451.865","40035.301"
"2013","Italy","ITA","Canada","CAN","1932.0603","6209.5234"
"2013","Italy","ITA","Bahamas","BHS","7.5574002","86.237358"
"2013","Italy","ITA","Cuba","CUB","39.676102","385.65009"
"2013","Italy","ITA","Haiti","HTI","1.6715","19.39641"
"2013","Italy","ITA","Dominican Republic","DOM","83.971397","225.26985"
"2013","Italy","ITA","Jamaica","JAM","1.8566","16.71549"
"2013","Italy","ITA","Trinidad and Tobago","TTO","4.2736001","120.78407"
"2013","Italy","ITA","Barbados","BRB","0.52939999","9.4879398"
"2013","Italy","ITA","Dominica","DMA","0.0091","0.90750003"
"2013","Italy","ITA","Grenada","GRD","0.009600001","1.28843"
"2013","Italy","ITA","St. Lucia","LCA","0.1108","3.4019699"
"2013","Italy","ITA","St. Vincent and the Grenadines","VCT","4.7150002","27.115219"
"2013","Italy","ITA","Antigua & Barbuda","ATG","0.061700001","6.5897999"
"2013","Italy","ITA","St. Kitts and Nevis","KNA","0.0047","65.414032"
"2013","Italy","ITA","Mexico","MEX","1205.0708","6182.856"
"2013","Italy","ITA","Belize","BLZ","3.0116999","17.90481"
"2013","Italy","ITA","Guatemala","GTM","62.8428","124.8482"
"2013","Italy","ITA","Honduras","HND","54.056301","46.558907"
"2013","Italy","ITA","El Salvador","SLV","23.8234","64.593857"
"2013","Italy","ITA","Nicaragua","NIC","28.247999","34.723186"
"2013","Italy","ITA","Costa Rica","CRI","241.57581","178.38608"
"2013","Italy","ITA","Panama","PAN","32.320099","151.06877"
"2013","Italy","ITA","Colombia","COL","761.61212","1010.6292"
"2013","Italy","ITA","Venezuela","VEN","112.9073","1039.0348"
"2013","Italy","ITA","Guyana","GUY","2.9374001","4.461659"
"2013","Italy","ITA","Suriname","SUR","0.3653","45.511299"
"2013","Italy","ITA","Ecuador","ECU","488.68619","292.85794"
"2013","Italy","ITA","Peru","PER","1036.7587","781.9151"
"2013","Italy","ITA","Brazil","BRA","4192.833","7394.7417"
"2013","Italy","ITA","Bolivia","BOL","85.784798","119.61219"
"2013","Italy","ITA","Paraguay","PRY","295.32089","81.108284"
"2013","Italy","ITA","Chile","CHL","1626.2478","1280.4958"
"2013","Italy","ITA","Argentina","ARG","1087.4227","1670.6758"
"2013","Italy","ITA","Uruguay","URY","249.1158","251.60344"
"2013","Italy","ITA","United Kingdom","GBR","12845.025","23525.482"
"2013","Italy","ITA","Ireland","IRL","4287.0796","1137.0283"
"2013","Italy","ITA","Netherlands","NLD","27489.336","10724.16"
"2013","Italy","ITA","Belgium","BEL","19946.457","14073.343"
"2013","Italy","ITA","Luxembourg","LUX","1453.2983","528.40552"
"2013","Italy","ITA","France","FRA","40525.227","50947.656"
"2013","Italy","ITA","Monaco","MCO","-9","-9"
"2013","Italy","ITA","Liechtenstein","LIE","-9","-9"
"2013","Italy","ITA","Switzerland","CHE","11881.561","20243.461"
"2013","Italy","ITA","Spain","ESP","21712.955","20660.068"
"2013","Italy","ITA","Andorra","AND","-9","-9"
"2013","Italy","ITA","Portugal","PRT","2015.5083","3875.075"
"2013","Italy","ITA","Germany","DEU","70767.695","62735.859"
"2013","Italy","ITA","Poland","POL","8806.2813","10779.63"
"2013","Italy","ITA","Austria","AUT","11753.075","11561.124"
"2013","Italy","ITA","Hungary","HUN","5140.8696","4392.0742"
"2013","Italy","ITA","Czech Republic","CZE","5924.3809","5497.8945"
"2013","Italy","ITA","Slovakia","SVK","3785.0449","2744.0239"
"2013","Italy","ITA","San Marino","SMR","-9","-9"
"2013","Italy","ITA","Malta","MLT","289.02899","1856.0242"
"2013","Italy","ITA","Albania","ALB","1086.7982","1780.9949"
"2013","Italy","ITA","Montenegro","MNE","34.276199","156.30563"
"2013","Italy","ITA","Macedonia","MKD","300.20959","310.90982"
"2013","Italy","ITA","Croatia","HRV","1611.7162","2975.613"
"2013","Italy","ITA","Yugoslavia","YUG","-9","-9"
"2013","Italy","ITA","Bosnia and Herzegovina","BIH","720.31268","842.87567"
"2013","Italy","ITA","Kosovo","KOS","93.882896","98.606903"
"2013","Italy","ITA","Slovenia","SVN","3354.3325","4667.3208"
"2013","Italy","ITA","Greece","GRC","3023.3657","4998.2803"
"2013","Italy","ITA","Cyprus","CYP","74.727699","444.72781"
"2013","Italy","ITA","Bulgaria","BGR","3138.6257","2551.6606"
"2013","Italy","ITA","Moldova","MDA","247.37939","345.45309"
"2013","Italy","ITA","Romania","ROU","6890.2603","8064.1948"
"2013","Italy","ITA","Russia","RUS","16645.994","14563.302"
"2013","Italy","ITA","Estonia","EST","112.6242","457.41211"
"2013","Italy","ITA","Latvia","LVA","137.2052","714.8642"
