"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1990","Benin","BEN","United States of America","USA","23.077744","21.5"
"1990","Benin","BEN","Canada","CAN","0.38942754","0.002457176"
"1990","Benin","BEN","Bahamas","BHS","0","-9"
"1990","Benin","BEN","Cuba","CUB","0","-9"
"1990","Benin","BEN","Haiti","HTI","-9","0"
"1990","Benin","BEN","Dominican Republic","DOM","0","-9"
"1990","Benin","BEN","Jamaica","JAM","-9","-9"
"1990","Benin","BEN","Trinidad and Tobago","TTO","0","0.000462824"
"1990","Benin","BEN","Barbados","BRB","0","0"
"1990","Benin","BEN","Dominica","DMA","0","0"
"1990","Benin","BEN","Grenada","GRD","-9","0"
"1990","Benin","BEN","St. Lucia","LCA","-9","-9"
"1990","Benin","BEN","St. Vincent and the Grenadines","VCT","-9","0"
"1990","Benin","BEN","Antigua & Barbuda","ATG","-9","-9"
"1990","Benin","BEN","St. Kitts and Nevis","KNA","-9","-9"
"1990","Benin","BEN","Mexico","MEX","0.005979496","2.1549001"
"1990","Benin","BEN","Belize","BLZ","0","-9"
"1990","Benin","BEN","Guatemala","GTM","-9","-9"
"1990","Benin","BEN","Honduras","HND","0","0"
"1990","Benin","BEN","El Salvador","SLV","0.002266185","-9"
"1990","Benin","BEN","Nicaragua","NIC","0.000235066","-9"
"1990","Benin","BEN","Costa Rica","CRI","0","-9"
"1990","Benin","BEN","Panama","PAN","0","0"
"1990","Benin","BEN","Colombia","COL","0.013474","0"
"1990","Benin","BEN","Venezuela","VEN","0.004778455","0"
"1990","Benin","BEN","Guyana","GUY","0","0"
"1990","Benin","BEN","Suriname","SUR","2.756151","-9"
"1990","Benin","BEN","Ecuador","ECU","0","6.0827231"
"1990","Benin","BEN","Peru","PER","0","0"
"1990","Benin","BEN","Brazil","BRA","1.8615111","0"
"1990","Benin","BEN","Bolivia","BOL","0","0"
"1990","Benin","BEN","Paraguay","PRY","0","0"
"1990","Benin","BEN","Chile","CHL","6.61E-05","0"
"1990","Benin","BEN","Argentina","ARG","0.04321545","0"
"1990","Benin","BEN","Uruguay","URY","0.001057798","-9"
"1990","Benin","BEN","United Kingdom","GBR","10.521948","2.2002201"
"1990","Benin","BEN","Ireland","IRL","0.054946721","0.011922641"
"1990","Benin","BEN","Netherlands","NLD","10.783958","3.2059085"
"1990","Benin","BEN","Belgium","BEL","2.963537","2.0858021"
"1990","Benin","BEN","Luxembourg","LUX","0.1764629","0.1241984"
"1990","Benin","BEN","France","FRA","42.688812","1.4818538"
"1990","Benin","BEN","Liechtenstein","LIE","-9","-9"
"1990","Benin","BEN","Switzerland","CHE","4.826386","0.29118448"
"1990","Benin","BEN","Spain","ESP","10.128737","11.585339"
"1990","Benin","BEN","Portugal","PRT","0.26014113","21.023962"
"1990","Benin","BEN","Germany","DEU","6.876369","0.76613241"
"1990","Benin","BEN","Poland","POL","0.062377013","0"
"1990","Benin","BEN","Austria","AUT","0.22717677","0.36098531"
"1990","Benin","BEN","Hungary","HUN","1.0658379","-9"
"1990","Benin","BEN","Czechoslovakia","CHESLO","4.600719","0"
"1990","Benin","BEN","Italy","ITA","3.4892452","10.68774"
"1990","Benin","BEN","Malta","MLT","0","3.78E-05"
"1990","Benin","BEN","Albania","ALB","0","-9"
"1990","Benin","BEN","Yugoslavia","YUG","0.03567864","0"
"1990","Benin","BEN","Greece","GRC","0.005134727","0"
"1990","Benin","BEN","Cyprus","CYP","0.03168986","0"
"1990","Benin","BEN","Bulgaria","BGR","0.01160272","0.044918943"
"1990","Benin","BEN","Romania","ROU","1.7302817","0"
"1990","Benin","BEN","Russia","RUS","0.42419162","0"
"1990","Benin","BEN","Finland","FIN","0.004198135","0.002277155"
"1990","Benin","BEN","Sweden","SWE","0.1028892","1.3360648"
"1990","Benin","BEN","Norway","NOR","0.16044001","0"
"1990","Benin","BEN","Denmark","DNK","0.13706195","0.012653591"
"1990","Benin","BEN","Iceland","ISL","5.51E-05","0"
"1990","Benin","BEN","Cape Verde","CPV","-9","-9"
"1990","Benin","BEN","Sao Tome and Principe","STP","-9","-9"
"1990","Benin","BEN","Guinea-Bissau","GNB","0","0"
"1990","Benin","BEN","Equatorial Guinea","GNQ","-9","0"
"1990","Benin","BEN","Gambia","GMB","0","0"
"1990","Benin","BEN","Mali","MLI","0.013152688","0.003252361"
"1990","Benin","BEN","Senegal","SEN","6.370903","0.11260404"
"1990","Benin","BEN","Mauritania","MRT","0.88605624","0"
"1990","Benin","BEN","Niger","NER","1.1443205","3.2321477"
"1990","Benin","BEN","Ivory Coast","CIV","8.4318867","5.3808117"
"1990","Benin","BEN","Guinea","GIN","0.009182273","0"
"1990","Benin","BEN","Burkina Faso","BFA","0.44293815","1.2818452"
"1990","Benin","BEN","Liberia","LBR","0","0.02545326"
"1990","Benin","BEN","Sierra Leone","SLE","0","0"
"1990","Benin","BEN","Ghana","GHA","15.957431","0.25957477"
"1990","Benin","BEN","Togo","TGO","12.622113","5.6929998"
"1990","Benin","BEN","Cameroon","CMR","0.008936188","1.2634808"
"1990","Benin","BEN","Nigeria","NGA","20.965773","0.47358835"
"1990","Benin","BEN","Gabon","GAB","0.21006469","0.056688044"
"1990","Benin","BEN","Central African Republic","CAF","0","0.00303015"
"1990","Benin","BEN","Chad","TCD","-9","0"
"1990","Benin","BEN","Congo","COG","0.070931219","0.20200931"
"1990","Benin","BEN","Democratic Republic of the Congo","COD","0","0.000439618"
"1990","Benin","BEN","Uganda","UGA","0","-9"
"1990","Benin","BEN","Kenya","KEN","0.000121206","0"
"1990","Benin","BEN","Tanzania","TZA","0","-9"
"1990","Benin","BEN","Burundi","BDI","0","0"
"1990","Benin","BEN","Rwanda","RWA","0","0"
"1990","Benin","BEN","Somalia","SOM","-9","-9"
"1990","Benin","BEN","Djibouti","DJI","0","-9"
"1990","Benin","BEN","Ethiopia","ETH","0","0"
"1990","Benin","BEN","Angola","AGO","0","-9"
"1990","Benin","BEN","Mozambique","MOZ","0","-9"
"1990","Benin","BEN","Zambia","ZMB","0","0"
"1990","Benin","BEN","Zimbabwe","ZWE","0.000405992","-9"
"1990","Benin","BEN","Malawi","MWI","0.053503267","-9"
"1990","Benin","BEN","South Africa","ZAF","0","-9"
"1990","Benin","BEN","Namibia","NAM","-9","-9"
"1990","Benin","BEN","Lesotho","LSO","-9","-9"
"1990","Benin","BEN","Botswana","BWA","-9","-9"
"1990","Benin","BEN","Swaziland","SWZ","0","-9"
"1990","Benin","BEN","Madagascar","MDG","0.002007835","0"
"1990","Benin","BEN","Comoros","COM","-9","-9"
"1990","Benin","BEN","Mauritius","MUS","0.009711172","0"
"1990","Benin","BEN","Seychelles","SYC","-9","-9"
"1990","Benin","BEN","Morocco","MAR","6.0426331","11.458074"
"1990","Benin","BEN","Algeria","DZA","0.14246112","0"
"1990","Benin","BEN","Tunisia","TUN","9.18E-05","0.082006581"
"1990","Benin","BEN","Libya","LBY","0.037639972","0.012"
"1990","Benin","BEN","Sudan","SDN","-9","0"
"1990","Benin","BEN","Iran","IRN","0","0"
"1990","Benin","BEN","Turkey","TUR","0.090959594","0"
"1990","Benin","BEN","Iraq","IRQ","0","0"
"1990","Benin","BEN","Egypt","EGY","0.20205407","0"
"1990","Benin","BEN","Syria","SYR","0.93716478","-9"
"1990","Benin","BEN","Lebanon","LBN","0.023991441","0"
"1990","Benin","BEN","Jordan","JOR","0","0"
"1990","Benin","BEN","Israel","ISR","0.004547061","0.22147642"
"1990","Benin","BEN","Saudi Arabia","SAU","0.002864869","0"
"1990","Benin","BEN","Yemen","YEM","0","-9"
"1990","Benin","BEN","Kuwait","KWT","0","-9"
"1990","Benin","BEN","Bahrain","BHR","-9","0"
"1990","Benin","BEN","Qatar","QAT","-9","-9"
"1990","Benin","BEN","United Arab Emirates","ARE","-9","-9"
"1990","Benin","BEN","Oman","OMN","-9","-9"
"1990","Benin","BEN","Afghanistan","AFG","0.15784694","-9"
"1990","Benin","BEN","China","CHN","9.4603081","1.2810739"
"1990","Benin","BEN","Mongolia","MNG","-9","-9"
"1990","Benin","BEN","Taiwan","TWN","4.0686393","0.18836147"
"1990","Benin","BEN","North Korea","PRK","0.25479338","0"
"1990","Benin","BEN","South Korea","KOR","5.5229936","2.4000001"
"1990","Benin","BEN","Japan","JPN","8.2915449","0.063615695"
"1990","Benin","BEN","India","IND","1.9084325","1.1107533"
"1990","Benin","BEN","Bhutan","BTN","-9","-9"
"1990","Benin","BEN","Pakistan","PAK","2.4812815","0.017924156"
"1990","Benin","BEN","Bangladesh","BGD","0.066608205","1.3521521"
"1990","Benin","BEN","Myanmar","MMR","0","-9"
"1990","Benin","BEN","Sri Lanka","LKA","0.000725","0.068482526"
"1990","Benin","BEN","Maldives","MDV","-9","-9"
"1990","Benin","BEN","Nepal","NPL","0","-9"
"1990","Benin","BEN","Thailand","THA","23.491405","2.4227724"
"1990","Benin","BEN","Cambodia","KHM","0","0"
"1990","Benin","BEN","Laos","LAO","0.000672142","-9"
"1990","Benin","BEN","Vietnam","VNM","0.66077101","0"
