"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1990","Turkey","TUR","United States of America","USA","2281.615","1155.2"
"1990","Turkey","TUR","Canada","CAN","182.686","79.575409"
"1990","Turkey","TUR","Bahamas","BHS","2.5969999","0.068999998"
"1990","Turkey","TUR","Cuba","CUB","5.6939998","0.39399999"
"1990","Turkey","TUR","Haiti","HTI","0","0.11446622"
"1990","Turkey","TUR","Dominican Republic","DOM","0.026000001","0.040093806"
"1990","Turkey","TUR","Jamaica","JAM","0.004","0.4721587"
"1990","Turkey","TUR","Trinidad and Tobago","TTO","0","2.0961428"
"1990","Turkey","TUR","Barbados","BRB","0","0.14857505"
"1990","Turkey","TUR","Dominica","DMA","0.29899999","0.001568889"
"1990","Turkey","TUR","Grenada","GRD","-9","0.010185185"
"1990","Turkey","TUR","St. Lucia","LCA","0","0"
"1990","Turkey","TUR","St. Vincent and the Grenadines","VCT","0.002","0.015555556"
"1990","Turkey","TUR","Antigua & Barbuda","ATG","1.079","0.075999998"
"1990","Turkey","TUR","St. Kitts and Nevis","KNA","0","0"
"1990","Turkey","TUR","Mexico","MEX","22.204","2.4145"
"1990","Turkey","TUR","Belize","BLZ","0","0.004"
"1990","Turkey","TUR","Guatemala","GTM","0.027000001","0.1094"
"1990","Turkey","TUR","Honduras","HND","0.278","0"
"1990","Turkey","TUR","El Salvador","SLV","0.013","0.022752982"
"1990","Turkey","TUR","Nicaragua","NIC","0.421","0.13600001"
"1990","Turkey","TUR","Costa Rica","CRI","1.008","0.13860001"
"1990","Turkey","TUR","Panama","PAN","12.134","0.172392"
"1990","Turkey","TUR","Colombia","COL","11.613","0.27538601"
"1990","Turkey","TUR","Venezuela","VEN","28.631001","2.3762023"
"1990","Turkey","TUR","Guyana","GUY","0","0.014"
"1990","Turkey","TUR","Suriname","SUR","0","0"
"1990","Turkey","TUR","Ecuador","ECU","7.7319999","0.21699999"
"1990","Turkey","TUR","Peru","PER","23.157","0.31099999"
"1990","Turkey","TUR","Brazil","BRA","173.621","15.928"
"1990","Turkey","TUR","Bolivia","BOL","0","0.008103"
"1990","Turkey","TUR","Paraguay","PRY","10.866","0.0286"
"1990","Turkey","TUR","Chile","CHL","46.937","1.097"
"1990","Turkey","TUR","Argentina","ARG","193.177","0.52999997"
"1990","Turkey","TUR","Uruguay","URY","8.3330002","4.0500002"
"1990","Turkey","TUR","United Kingdom","GBR","1013.733","979.27582"
"1990","Turkey","TUR","Ireland","IRL","61.403999","43.688683"
"1990","Turkey","TUR","Netherlands","NLD","572.93799","389.25272"
"1990","Turkey","TUR","Belgium","BEL","493.19299","234.35539"
"1990","Turkey","TUR","Luxembourg","LUX","29.367029","13.95462"
"1990","Turkey","TUR","France","FRA","1340.327","882.81696"
"1990","Turkey","TUR","Liechtenstein","LIE","-9","-9"
"1990","Turkey","TUR","Switzerland","CHE","536.17603","172.2253"
"1990","Turkey","TUR","Spain","ESP","345.48599","247.63768"
"1990","Turkey","TUR","Portugal","PRT","17.471001","33.358276"
"1990","Turkey","TUR","Germany","DEU","3525.332","3475.4937"
"1990","Turkey","TUR","Poland","POL","210.282","55.580105"
"1990","Turkey","TUR","Austria","AUT","251.649","207.03183"
"1990","Turkey","TUR","Hungary","HUN","110.357","21.263849"
"1990","Turkey","TUR","Czechoslovakia","CHESLO","143.366","57.226143"
"1990","Turkey","TUR","Italy","ITA","1727.094","1297.8799"
"1990","Turkey","TUR","Malta","MLT","1.3","12.746619"
"1990","Turkey","TUR","Albania","ALB","1.4529999","6.2733002"
"1990","Turkey","TUR","Yugoslavia","YUG","260.06799","141.571"
"1990","Turkey","TUR","Greece","GRC","128.591","144.56781"
"1990","Turkey","TUR","Cyprus","CYP","9.1789999","0.002246898"
