"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1991","Democratic Republic of the Congo","COD","United States of America","USA","67.870003","316.5"
"1991","Democratic Republic of the Congo","COD","Canada","CAN","6.2897816","38.685783"
"1991","Democratic Republic of the Congo","COD","Bahamas","BHS","0","0"
"1991","Democratic Republic of the Congo","COD","Cuba","CUB","0","-9"
"1991","Democratic Republic of the Congo","COD","Haiti","HTI","0","0"
"1991","Democratic Republic of the Congo","COD","Dominican Republic","DOM","0","-9"
"1991","Democratic Republic of the Congo","COD","Jamaica","JAM","0","0"
"1991","Democratic Republic of the Congo","COD","Trinidad and Tobago","TTO","0","0"
"1991","Democratic Republic of the Congo","COD","Barbados","BRB","0","0"
"1991","Democratic Republic of the Congo","COD","Dominica","DMA","-9","-9"
"1991","Democratic Republic of the Congo","COD","Grenada","GRD","-9","-9"
"1991","Democratic Republic of the Congo","COD","St. Lucia","LCA","-9","-9"
"1991","Democratic Republic of the Congo","COD","St. Vincent and the Grenadines","VCT","-9","-9"
"1991","Democratic Republic of the Congo","COD","Antigua & Barbuda","ATG","-9","-9"
"1991","Democratic Republic of the Congo","COD","St. Kitts and Nevis","KNA","-9","-9"
"1991","Democratic Republic of the Congo","COD","Mexico","MEX","0.60610002","0.0176"
"1991","Democratic Republic of the Congo","COD","Belize","BLZ","0","0"
"1991","Democratic Republic of the Congo","COD","Guatemala","GTM","0","0"
"1991","Democratic Republic of the Congo","COD","Honduras","HND","0","0"
"1991","Democratic Republic of the Congo","COD","El Salvador","SLV","-9","-9"
"1991","Democratic Republic of the Congo","COD","Nicaragua","NIC","-9","-9"
"1991","Democratic Republic of the Congo","COD","Costa Rica","CRI","0","0"
"1991","Democratic Republic of the Congo","COD","Panama","PAN","0","0"
"1991","Democratic Republic of the Congo","COD","Colombia","COL","0","0.035"
"1991","Democratic Republic of the Congo","COD","Venezuela","VEN","0","0"
"1991","Democratic Republic of the Congo","COD","Guyana","GUY","0","0"
"1991","Democratic Republic of the Congo","COD","Suriname","SUR","-9","0"
"1991","Democratic Republic of the Congo","COD","Ecuador","ECU","-9","0"
"1991","Democratic Republic of the Congo","COD","Peru","PER","0.1034","0"
"1991","Democratic Republic of the Congo","COD","Brazil","BRA","15.2625","0"
"1991","Democratic Republic of the Congo","COD","Bolivia","BOL","-9","-9"
"1991","Democratic Republic of the Congo","COD","Paraguay","PRY","0.15000001","0"
"1991","Democratic Republic of the Congo","COD","Chile","CHL","0","0"
"1991","Democratic Republic of the Congo","COD","Argentina","ARG","1.595","0.44"
"1991","Democratic Republic of the Congo","COD","Uruguay","URY","0.81620002","0"
"1991","Democratic Republic of the Congo","COD","United Kingdom","GBR","30.051773","22.074726"
"1991","Democratic Republic of the Congo","COD","Ireland","IRL","12.793299","0.01888537"
"1991","Democratic Republic of the Congo","COD","Netherlands","NLD","48.539242","21.718845"
"1991","Democratic Republic of the Congo","COD","Belgium","BEL","198.0177","729.56409"
"1991","Democratic Republic of the Congo","COD","Luxembourg","LUX","12.49233","46.025959"
"1991","Democratic Republic of the Congo","COD","France","FRA","122.86243","45.634445"
"1991","Democratic Republic of the Congo","COD","Liechtenstein","LIE","-9","-9"
"1991","Democratic Republic of the Congo","COD","Switzerland","CHE","13.051026","2.3570569"
"1991","Democratic Republic of the Congo","COD","Spain","ESP","10.881474","16.860489"
"1991","Democratic Republic of the Congo","COD","Portugal","PRT","1.3616282","18.67696"
"1991","Democratic Republic of the Congo","COD","Germany","DEU","115.44933","145.79163"
"1991","Democratic Republic of the Congo","COD","Poland","POL","0","0"
"1991","Democratic Republic of the Congo","COD","Austria","AUT","1.5348521","5.920856"
"1991","Democratic Republic of the Congo","COD","Hungary","HUN","0","0"
"1991","Democratic Republic of the Congo","COD","Czechoslovakia","CHESLO","0.22389959","1.4926639"
"1991","Democratic Republic of the Congo","COD","Italy","ITA","45.003353","100.45747"
"1991","Democratic Republic of the Congo","COD","Malta","MLT","0","0.006122339"
"1991","Democratic Republic of the Congo","COD","Albania","ALB","-9","-9"
"1991","Democratic Republic of the Congo","COD","Yugoslavia","YUG","2.05865","8.9209995"
"1991","Democratic Republic of the Congo","COD","Greece","GRC","1.2769562","5.8922944"
"1991","Democratic Republic of the Congo","COD","Cyprus","CYP","0.012047418","0.080578901"
"1991","Democratic Republic of the Congo","COD","Bulgaria","BGR","0.28667009","0"
"1991","Democratic Republic of the Congo","COD","Moldova","MDA","-9","-9"
"1991","Democratic Republic of the Congo","COD","Romania","ROU","0.016420906","0"
"1991","Democratic Republic of the Congo","COD","Russia","RUS","0","0"
"1991","Democratic Republic of the Congo","COD","Estonia","EST","-9","-9"
"1991","Democratic Republic of the Congo","COD","Latvia","LVA","-9","-9"
"1991","Democratic Republic of the Congo","COD","Lithuania","LTU","-9","-9"
"1991","Democratic Republic of the Congo","COD","Ukraine","UKR","-9","-9"
"1991","Democratic Republic of the Congo","COD","Belarus","BLR","-9","-9"
