"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1993","Peru","PER","United States of America","USA","1327.1281","800.09998"
"1993","Peru","PER","Canada","CAN","65.7855","54.028057"
"1993","Peru","PER","Bahamas","BHS","0.0044","3.102"
"1993","Peru","PER","Cuba","CUB","0.48179999","1.4058"
"1993","Peru","PER","Haiti","HTI","0","0.0198"
"1993","Peru","PER","Dominican Republic","DOM","0","0"
"1993","Peru","PER","Jamaica","JAM","1.0549001","0.0836"
"1993","Peru","PER","Trinidad and Tobago","TTO","1.4025","1.3868185"
"1993","Peru","PER","Barbados","BRB","0.0429","0.139"
"1993","Peru","PER","Dominica","DMA","0.31459999","1.02"
"1993","Peru","PER","Grenada","GRD","0.11","0.000201852"
"1993","Peru","PER","St. Lucia","LCA","0","0.011333333"
"1993","Peru","PER","St. Vincent and the Grenadines","VCT","0","0"
"1993","Peru","PER","Antigua & Barbuda","ATG","0.0165","0"
"1993","Peru","PER","St. Kitts and Nevis","KNA","0","0.0341"
"1993","Peru","PER","Mexico","MEX","116.897","186.94389"
"1993","Peru","PER","Belize","BLZ","0.001","0.007"
"1993","Peru","PER","Guatemala","GTM","17.760599","4.5618"
"1993","Peru","PER","Honduras","HND","0.0132","2.964"
"1993","Peru","PER","El Salvador","SLV","0.68309999","4.1139998"
"1993","Peru","PER","Nicaragua","NIC","0.091300003","0.134"
"1993","Peru","PER","Costa Rica","CRI","6.3382001","4.0503001"
"1993","Peru","PER","Panama","PAN","72.597801","6.1999602"
"1993","Peru","PER","Colombia","COL","231.3652","91.487"
"1993","Peru","PER","Venezuela","VEN","123.2715","90.987602"
"1993","Peru","PER","Guyana","GUY","0.32780001","0.0407"
"1993","Peru","PER","Suriname","SUR","0","0.000560225"
"1993","Peru","PER","Ecuador","ECU","152.5062","34.716999"
"1993","Peru","PER","Brazil","BRA","264.4675","145.86549"
"1993","Peru","PER","Bolivia","BOL","47.140499","54.091129"
"1993","Peru","PER","Paraguay","PRY","14.7081","2.1020999"
"1993","Peru","PER","Chile","CHL","207.74049","72.301003"
"1993","Peru","PER","Argentina","ARG","267.54639","24.371"
"1993","Peru","PER","Uruguay","URY","42.219101","2.5769999"
"1993","Peru","PER","United Kingdom","GBR","52.837399","189.73241"
"1993","Peru","PER","Ireland","IRL","5.1149998","2.7055621"
"1993","Peru","PER","Netherlands","NLD","46.933701","99.28447"
"1993","Peru","PER","Belgium","BEL","69.376747","41.895618"
"1993","Peru","PER","Luxembourg","LUX","4.7432451","2.864377"
"1993","Peru","PER","France","FRA","51.880402","107.77171"
"1993","Peru","PER","Monaco","MCO","-9","-9"
"1993","Peru","PER","Liechtenstein","LIE","-9","-9"
"1993","Peru","PER","Switzerland","CHE","55.072601","11.200215"
"1993","Peru","PER","Spain","ESP","48.621101","67.49939"
"1993","Peru","PER","Andorra","AND","-9","-9"
"1993","Peru","PER","Portugal","PRT","0.75459999","1.476696"
"1993","Peru","PER","Germany","DEU","186.4225","201.44756"
"1993","Peru","PER","Poland","POL","0.89319998","5.0479999"
"1993","Peru","PER","Austria","AUT","8.6405001","13.357766"
"1993","Peru","PER","Hungary","HUN","1.6269","8"
"1993","Peru","PER","Czech Republic","CZE","-9","-9"
"1993","Peru","PER","Slovakia","SVK","0.145105","3.761935"
"1993","Peru","PER","Italy","ITA","84.820999","180.47609"
