"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1997","Iraq","IRQ","United States of America","USA","90.199997","317.10001"
"1997","Iraq","IRQ","Canada","CAN","0.94147509","103.99738"
"1997","Iraq","IRQ","Bahamas","BHS","0","0"
"1997","Iraq","IRQ","Cuba","CUB","0","0"
"1997","Iraq","IRQ","Haiti","HTI","0","0"
"1997","Iraq","IRQ","Dominican Republic","DOM","0","0.234212"
"1997","Iraq","IRQ","Jamaica","JAM","0","0"
"1997","Iraq","IRQ","Trinidad and Tobago","TTO","0","0"
"1997","Iraq","IRQ","Barbados","BRB","0","0"
"1997","Iraq","IRQ","Dominica","DMA","0","0"
"1997","Iraq","IRQ","Grenada","GRD","-9","0"
"1997","Iraq","IRQ","St. Lucia","LCA","-9","-9"
"1997","Iraq","IRQ","St. Vincent and the Grenadines","VCT","-9","-9"
"1997","Iraq","IRQ","Antigua & Barbuda","ATG","-9","-9"
"1997","Iraq","IRQ","St. Kitts and Nevis","KNA","-9","-9"
"1997","Iraq","IRQ","Mexico","MEX","0.1221","0.34099999"
"1997","Iraq","IRQ","Belize","BLZ","0","0"
"1997","Iraq","IRQ","Guatemala","GTM","0","-9"
"1997","Iraq","IRQ","Honduras","HND","0","0"
"1997","Iraq","IRQ","El Salvador","SLV","0","0.025916999"
"1997","Iraq","IRQ","Nicaragua","NIC","-9","0"
"1997","Iraq","IRQ","Costa Rica","CRI","0.19205999","0"
"1997","Iraq","IRQ","Panama","PAN","0","0"
"1997","Iraq","IRQ","Colombia","COL","0.059393398","0.078296997"
"1997","Iraq","IRQ","Venezuela","VEN","0","0.047111999"
"1997","Iraq","IRQ","Guyana","GUY","0","0"
"1997","Iraq","IRQ","Suriname","SUR","-9","0"
"1997","Iraq","IRQ","Ecuador","ECU","0","0"
"1997","Iraq","IRQ","Peru","PER","0.56760001","0"
"1997","Iraq","IRQ","Brazil","BRA","27.9653","0.0187"
"1997","Iraq","IRQ","Bolivia","BOL","0","0.067429997"
"1997","Iraq","IRQ","Paraguay","PRY","0","0.008547"
"1997","Iraq","IRQ","Chile","CHL","0","0"
"1997","Iraq","IRQ","Argentina","ARG","0","0"
"1997","Iraq","IRQ","Uruguay","URY","0.0022","0"
"1997","Iraq","IRQ","United Kingdom","GBR","11.507065","0.047323711"
"1997","Iraq","IRQ","Ireland","IRL","0.050303772","0.00734151"
"1997","Iraq","IRQ","Netherlands","NLD","13.423799","172.88759"
"1997","Iraq","IRQ","Belgium","BEL","27.243814","0"
"1997","Iraq","IRQ","Luxembourg","LUX","0","0"
"1997","Iraq","IRQ","France","FRA","52.833801","525.86658"
"1997","Iraq","IRQ","Monaco","MCO","-9","-9"
"1997","Iraq","IRQ","Liechtenstein","LIE","-9","-9"
"1997","Iraq","IRQ","Switzerland","CHE","19.065447","9.1504526"
"1997","Iraq","IRQ","Spain","ESP","5.5287704","428.07013"
"1997","Iraq","IRQ","Andorra","AND","-9","-9"
"1997","Iraq","IRQ","Portugal","PRT","0","71"
"1997","Iraq","IRQ","Germany","DEU","27.058035","6.8687816"
"1997","Iraq","IRQ","Poland","POL","0.0011","0"
"1997","Iraq","IRQ","Austria","AUT","1.6438379","132.30888"
"1997","Iraq","IRQ","Hungary","HUN","0.0319","0"
"1997","Iraq","IRQ","Czech Republic","CZE","0.033417381","8.5471687"
"1997","Iraq","IRQ","Slovakia","SVK","0.00088","0.011011"
"1997","Iraq","IRQ","Italy","ITA","5.4205189","202.54115"
"1997","Iraq","IRQ","San Marino","SMR","-9","-9"
"1997","Iraq","IRQ","Malta","MLT","0","0"
"1997","Iraq","IRQ","Albania","ALB","0","0"
"1997","Iraq","IRQ","Macedonia","MKD","0","0"
"1997","Iraq","IRQ","Croatia","HRV","0","63.990002"
"1997","Iraq","IRQ","Yugoslavia","YUG","-9","-9"
"1997","Iraq","IRQ","Bosnia and Herzegovina","BIH","-9","-9"
"1997","Iraq","IRQ","Slovenia","SVN","0","0.007"
"1997","Iraq","IRQ","Greece","GRC","0.2078456","18.279058"
"1997","Iraq","IRQ","Cyprus","CYP","1.1685725","14.172091"
"1997","Iraq","IRQ","Bulgaria","BGR","0.72820002","35.362999"
"1997","Iraq","IRQ","Moldova","MDA","-9","0"
"1997","Iraq","IRQ","Romania","ROU","0","58.799999"
"1997","Iraq","IRQ","Russia","RUS","5.6991","0.002"
"1997","Iraq","IRQ","Estonia","EST","0","0"
"1997","Iraq","IRQ","Latvia","LVA","0","0"
"1997","Iraq","IRQ","Lithuania","LTU","0","-9"
"1997","Iraq","IRQ","Ukraine","UKR","0","0"
"1997","Iraq","IRQ","Belarus","BLR","0","0.011"
"1997","Iraq","IRQ","Armenia","ARM","0","0"
"1997","Iraq","IRQ","Georgia","GEO","0","0"
"1997","Iraq","IRQ","Azerbaijan","AZE","0.41844001","0"
"1997","Iraq","IRQ","Finland","FIN","0.29185638","0"
"1997","Iraq","IRQ","Sweden","SWE","1.6712739","0.013097758"
"1997","Iraq","IRQ","Norway","NOR","1.4307121","0"
"1997","Iraq","IRQ","Denmark","DNK","7.978776","0.009993249"
"1997","Iraq","IRQ","Iceland","ISL","0","0"
"1997","Iraq","IRQ","Cape Verde","CPV","-9","-9"
"1997","Iraq","IRQ","Sao Tome and Principe","STP","-9","-9"
"1997","Iraq","IRQ","Guinea-Bissau","GNB","-9","-9"
"1997","Iraq","IRQ","Equatorial Guinea","GNQ","-9","-9"
"1997","Iraq","IRQ","Gambia","GMB","0","0"
"1997","Iraq","IRQ","Mali","MLI","0","0"
"1997","Iraq","IRQ","Senegal","SEN","0","0"
"1997","Iraq","IRQ","Benin","BEN","0","0.005653886"
"1997","Iraq","IRQ","Mauritania","MRT","0","0"
"1997","Iraq","IRQ","Niger","NER","0","0.010279792"
"1997","Iraq","IRQ","Ivory Coast","CIV","0","0"
"1997","Iraq","IRQ","Guinea","GIN","0","0.007795856"
"1997","Iraq","IRQ","Burkina Faso","BFA","-9","1.37E-05"
"1997","Iraq","IRQ","Liberia","LBR","0","0"
"1997","Iraq","IRQ","Sierra Leone","SLE","-9","0"
"1997","Iraq","IRQ","Ghana","GHA","0","0"
"1997","Iraq","IRQ","Togo","TGO","0.54277307","0.009044504"
"1997","Iraq","IRQ","Cameroon","CMR","0","0"
"1997","Iraq","IRQ","Nigeria","NGA","0","0"
"1997","Iraq","IRQ","Gabon","GAB","-9","0"
"1997","Iraq","IRQ","Central African Republic","CAF","-9","0"
"1997","Iraq","IRQ","Chad","TCD","-9","0"
"1997","Iraq","IRQ","Congo","COG","0","0"
"1997","Iraq","IRQ","Democratic Republic of the Congo","COD","0","0"
"1997","Iraq","IRQ","Uganda","UGA","0","0"
"1997","Iraq","IRQ","Kenya","KEN","0","0.021603903"
"1997","Iraq","IRQ","Tanzania","TZA","0","0"
"1997","Iraq","IRQ","Burundi","BDI","0","0"
"1997","Iraq","IRQ","Rwanda","RWA","-9","-9"
"1997","Iraq","IRQ","Somalia","SOM","0","0"
"1997","Iraq","IRQ","Djibouti","DJI","-9","0"
"1997","Iraq","IRQ","Ethiopia","ETH","0","0"
"1997","Iraq","IRQ","Eritrea","ERI","-9","-9"
"1997","Iraq","IRQ","Angola","AGO","0","0"
"1997","Iraq","IRQ","Mozambique","MOZ","0","0"
"1997","Iraq","IRQ","Zambia","ZMB","0","0"
"1997","Iraq","IRQ","Zimbabwe","ZWE","0","0"
"1997","Iraq","IRQ","Malawi","MWI","0","0"
"1997","Iraq","IRQ","South Africa","ZAF","0","118.70866"
"1997","Iraq","IRQ","Namibia","NAM","-9","-9"
"1997","Iraq","IRQ","Lesotho","LSO","-9","-9"
"1997","Iraq","IRQ","Botswana","BWA","0","-9"
"1997","Iraq","IRQ","Swaziland","SWZ","0","-9"
"1997","Iraq","IRQ","Madagascar","MDG","0.001223378","0"
"1997","Iraq","IRQ","Comoros","COM","-9","-9"
"1997","Iraq","IRQ","Mauritius","MUS","0","0"
"1997","Iraq","IRQ","Seychelles","SYC","-9","-9"
"1997","Iraq","IRQ","Morocco","MAR","0.26036236","95.123528"
"1997","Iraq","IRQ","Algeria","DZA","3.4841921","0.003015214"
"1997","Iraq","IRQ","Tunisia","TUN","15.245428","0.056407459"
"1997","Iraq","IRQ","Libya","LBY","0","0"
"1997","Iraq","IRQ","Sudan","SDN","0","0"
"1997","Iraq","IRQ","Iran","IRN","0","0"
"1997","Iraq","IRQ","Turkey","TUR","0","0"
"1997","Iraq","IRQ","Egypt","EGY","22.05127","2.198103"
"1997","Iraq","IRQ","Syria","SYR","31.113586","0"
"1997","Iraq","IRQ","Lebanon","LBN","0.0286","16.087999"
"1997","Iraq","IRQ","Jordan","JOR","220.42232","513.77435"
"1997","Iraq","IRQ","Israel","ISR","-9","0"
"1997","Iraq","IRQ","Saudi Arabia","SAU","0","0"
"1997","Iraq","IRQ","Yemen","YEM","0.038836055","0.010367121"
"1997","Iraq","IRQ","Kuwait","KWT","0","0"
"1997","Iraq","IRQ","Bahrain","BHR","0.054169036","0.072897032"
"1997","Iraq","IRQ","Qatar","QAT","0","0"
"1997","Iraq","IRQ","United Arab Emirates","ARE","0","1"
"1997","Iraq","IRQ","Oman","OMN","0.102742","0"
"1997","Iraq","IRQ","Afghanistan","AFG","0","0"
"1997","Iraq","IRQ","Turkmenistan","TKM","-9","0"
"1997","Iraq","IRQ","Tajikistan","TJK","0","0"
"1997","Iraq","IRQ","Kyrgyzstan","KGZ","0","0"
"1997","Iraq","IRQ","Uzbekistan","UZB","-9","-9"
"1997","Iraq","IRQ","Kazakhstan","KAZ","0","-9"
"1997","Iraq","IRQ","China","CHN","64.8769","34.221001"
"1997","Iraq","IRQ","Mongolia","MNG","-9","-9"
"1997","Iraq","IRQ","Taiwan","TWN","0.0363","0.001818182"
"1997","Iraq","IRQ","North Korea","PRK","0","0"
"1997","Iraq","IRQ","South Korea","KOR","2.6400001","0"
"1997","Iraq","IRQ","Japan","JPN","5.4079661","117.51779"
"1997","Iraq","IRQ","India","IND","4.6146131","139.05"
"1997","Iraq","IRQ","Bhutan","BTN","-9","-9"
"1997","Iraq","IRQ","Pakistan","PAK","2.4133327","0.21264368"
"1997","Iraq","IRQ","Bangladesh","BGD","0.090691254","0"
"1997","Iraq","IRQ","Myanmar","MMR","0","0"
"1997","Iraq","IRQ","Sri Lanka","LKA","6.5999999","0"
"1997","Iraq","IRQ","Maldives","MDV","-9","0"
"1997","Iraq","IRQ","Nepal","NPL","-9","-9"
"1997","Iraq","IRQ","Thailand","THA","65.665268","0"
"1997","Iraq","IRQ","Cambodia","KHM","-9","0.01"
"1997","Iraq","IRQ","Laos","LAO","0","0"
"1997","Iraq","IRQ","Vietnam","VNM","111.254","4.5440001"
"1997","Iraq","IRQ","Malaysia","MYS","21.210146","0"
"1997","Iraq","IRQ","Singapore","SGP","0","0"
"1997","Iraq","IRQ","Brunei","BRN","0","0"
"1997","Iraq","IRQ","Philippines","PHL","0.0011","0.19305"
"1997","Iraq","IRQ","Indonesia","IDN","12.773606","37.0681"
"1997","Iraq","IRQ","Australia","AUS","241.80215","12.194628"
"1997","Iraq","IRQ","Papua New Guinea","PNG","0","0"
"1997","Iraq","IRQ","New Zealand","NZL","0","0"
"1997","Iraq","IRQ","Vanuatu","VUT","-9","-9"
"1997","Iraq","IRQ","Solomon Islands","SLB","-9","-9"
"1997","Iraq","IRQ","Fiji","FJI","0","0"
"1997","Iraq","IRQ","Marshall Islands","MHL","-9","-9"
"1997","Iraq","IRQ","Palau","PLW","-9","-9"
"1997","Iraq","IRQ","Federated States of Micronesia","FSM","-9","-9"
"1997","Iraq","IRQ","Samoa","WSM","0","-9"
