"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1997","Solomon Islands","SLB","United States of America","USA","2.3099999","1.2"
"1997","Solomon Islands","SLB","Canada","CAN","0.032394256","0.016053284"
"1997","Solomon Islands","SLB","Bahamas","BHS","0","0"
"1997","Solomon Islands","SLB","Cuba","CUB","-9","-9"
"1997","Solomon Islands","SLB","Haiti","HTI","0","0"
"1997","Solomon Islands","SLB","Dominican Republic","DOM","0","0"
"1997","Solomon Islands","SLB","Jamaica","JAM","-9","-9"
"1997","Solomon Islands","SLB","Trinidad and Tobago","TTO","-9","6.25E-05"
"1997","Solomon Islands","SLB","Barbados","BRB","0","0"
"1997","Solomon Islands","SLB","Dominica","DMA","-9","-9"
"1997","Solomon Islands","SLB","Grenada","GRD","-9","0.000647037"
"1997","Solomon Islands","SLB","St. Lucia","LCA","-9","-9"
"1997","Solomon Islands","SLB","St. Vincent and the Grenadines","VCT","-9","0"
"1997","Solomon Islands","SLB","Antigua & Barbuda","ATG","-9","-9"
"1997","Solomon Islands","SLB","St. Kitts and Nevis","KNA","-9","-9"
"1997","Solomon Islands","SLB","Mexico","MEX","0","0"
"1997","Solomon Islands","SLB","Belize","BLZ","-9","-9"
"1997","Solomon Islands","SLB","Guatemala","GTM","0","-9"
"1997","Solomon Islands","SLB","Honduras","HND","-9","0"
"1997","Solomon Islands","SLB","El Salvador","SLV","0","0"
"1997","Solomon Islands","SLB","Nicaragua","NIC","-9","-9"
"1997","Solomon Islands","SLB","Costa Rica","CRI","0","-9"
"1997","Solomon Islands","SLB","Panama","PAN","-9","-9"
"1997","Solomon Islands","SLB","Colombia","COL","0","0.001094"
"1997","Solomon Islands","SLB","Venezuela","VEN","-9","-9"
"1997","Solomon Islands","SLB","Guyana","GUY","-9","-9"
"1997","Solomon Islands","SLB","Suriname","SUR","-9","-9"
"1997","Solomon Islands","SLB","Ecuador","ECU","-9","0"
"1997","Solomon Islands","SLB","Peru","PER","1.3134","1.0109"
"1997","Solomon Islands","SLB","Brazil","BRA","0.0297","0.0011"
"1997","Solomon Islands","SLB","Bolivia","BOL","-9","0"
"1997","Solomon Islands","SLB","Paraguay","PRY","-9","-9"
"1997","Solomon Islands","SLB","Chile","CHL","0","0"
"1997","Solomon Islands","SLB","Argentina","ARG","0","0"
"1997","Solomon Islands","SLB","Uruguay","URY","-9","-9"
"1997","Solomon Islands","SLB","United Kingdom","GBR","1.3938766","14.957847"
"1997","Solomon Islands","SLB","Ireland","IRL","0.015646521","0"
"1997","Solomon Islands","SLB","Netherlands","NLD","0.31041393","2.0144873"
"1997","Solomon Islands","SLB","Belgium","BEL","0.13531066","0.26351535"
"1997","Solomon Islands","SLB","Luxembourg","LUX","0","0"
"1997","Solomon Islands","SLB","France","FRA","0.26220423","0.079325758"
"1997","Solomon Islands","SLB","Monaco","MCO","-9","-9"
"1997","Solomon Islands","SLB","Liechtenstein","LIE","-9","-9"
"1997","Solomon Islands","SLB","Switzerland","CHE","0.015912918","0"
"1997","Solomon Islands","SLB","Spain","ESP","0.021962583","0"
"1997","Solomon Islands","SLB","Andorra","AND","-9","-9"
"1997","Solomon Islands","SLB","Portugal","PRT","0","0"
"1997","Solomon Islands","SLB","Germany","DEU","1.2898288","7.6079445"
"1997","Solomon Islands","SLB","Poland","POL","0.0077","0.01"
"1997","Solomon Islands","SLB","Austria","AUT","0","0.007948055"
"1997","Solomon Islands","SLB","Hungary","HUN","0.0253","0"
"1997","Solomon Islands","SLB","Czech Republic","CZE","0","0"
"1997","Solomon Islands","SLB","Slovakia","SVK","0","0"
"1997","Solomon Islands","SLB","Italy","ITA","0.088036351","0"
"1997","Solomon Islands","SLB","San Marino","SMR","-9","-9"
"1997","Solomon Islands","SLB","Malta","MLT","0","0"
"1997","Solomon Islands","SLB","Albania","ALB","-9","-9"
"1997","Solomon Islands","SLB","Macedonia","MKD","0","0"
"1997","Solomon Islands","SLB","Croatia","HRV","0.001335355","0"
"1997","Solomon Islands","SLB","Yugoslavia","YUG","-9","-9"
"1997","Solomon Islands","SLB","Bosnia and Herzegovina","BIH","-9","-9"
"1997","Solomon Islands","SLB","Slovenia","SVN","0","0"
"1997","Solomon Islands","SLB","Greece","GRC","0","0.84034199"
"1997","Solomon Islands","SLB","Cyprus","CYP","0","0"
"1997","Solomon Islands","SLB","Bulgaria","BGR","0","-9"
"1997","Solomon Islands","SLB","Moldova","MDA","-9","-9"
"1997","Solomon Islands","SLB","Romania","ROU","0","0"
"1997","Solomon Islands","SLB","Russia","RUS","-9","0"
"1997","Solomon Islands","SLB","Estonia","EST","0","-9"
"1997","Solomon Islands","SLB","Latvia","LVA","-9","-9"
"1997","Solomon Islands","SLB","Lithuania","LTU","0","0"
"1997","Solomon Islands","SLB","Ukraine","UKR","0","0.30000001"
"1997","Solomon Islands","SLB","Belarus","BLR","-9","-9"
"1997","Solomon Islands","SLB","Armenia","ARM","-9","-9"
"1997","Solomon Islands","SLB","Georgia","GEO","-9","-9"
"1997","Solomon Islands","SLB","Azerbaijan","AZE","-9","0.1079"
"1997","Solomon Islands","SLB","Finland","FIN","0","0"
"1997","Solomon Islands","SLB","Sweden","SWE","0.057630137","0"
"1997","Solomon Islands","SLB","Norway","NOR","0.031102436","0"
"1997","Solomon Islands","SLB","Denmark","DNK","0.033477381","0.001211303"
"1997","Solomon Islands","SLB","Iceland","ISL","0","0"
"1997","Solomon Islands","SLB","Cape Verde","CPV","-9","-9"
"1997","Solomon Islands","SLB","Sao Tome and Principe","STP","-9","0"
"1997","Solomon Islands","SLB","Guinea-Bissau","GNB","-9","-9"
"1997","Solomon Islands","SLB","Equatorial Guinea","GNQ","-9","-9"
"1997","Solomon Islands","SLB","Gambia","GMB","-9","-9"
"1997","Solomon Islands","SLB","Mali","MLI","-9","-9"
"1997","Solomon Islands","SLB","Senegal","SEN","-9","-9"
"1997","Solomon Islands","SLB","Benin","BEN","-9","-9"
"1997","Solomon Islands","SLB","Mauritania","MRT","-9","-9"
"1997","Solomon Islands","SLB","Niger","NER","-9","-9"
"1997","Solomon Islands","SLB","Ivory Coast","CIV","0","0"
"1997","Solomon Islands","SLB","Guinea","GIN","-9","-9"
"1997","Solomon Islands","SLB","Burkina Faso","BFA","-9","-9"
"1997","Solomon Islands","SLB","Liberia","LBR","-9","0"
"1997","Solomon Islands","SLB","Sierra Leone","SLE","-9","-9"
"1997","Solomon Islands","SLB","Ghana","GHA","-9","-9"
"1997","Solomon Islands","SLB","Togo","TGO","-9","0"
"1997","Solomon Islands","SLB","Cameroon","CMR","-9","-9"
"1997","Solomon Islands","SLB","Nigeria","NGA","0","0"
"1997","Solomon Islands","SLB","Gabon","GAB","-9","-9"
"1997","Solomon Islands","SLB","Central African Republic","CAF","-9","0"
"1997","Solomon Islands","SLB","Chad","TCD","-9","-9"
"1997","Solomon Islands","SLB","Congo","COG","-9","0"
"1997","Solomon Islands","SLB","Democratic Republic of the Congo","COD","-9","0.005955018"
"1997","Solomon Islands","SLB","Uganda","UGA","-9","-9"
"1997","Solomon Islands","SLB","Kenya","KEN","-9","-9"
"1997","Solomon Islands","SLB","Tanzania","TZA","0","0.1338376"
"1997","Solomon Islands","SLB","Burundi","BDI","-9","-9"
"1997","Solomon Islands","SLB","Rwanda","RWA","-9","-9"
"1997","Solomon Islands","SLB","Somalia","SOM","-9","-9"
"1997","Solomon Islands","SLB","Djibouti","DJI","-9","-9"
"1997","Solomon Islands","SLB","Ethiopia","ETH","-9","-9"
"1997","Solomon Islands","SLB","Eritrea","ERI","-9","-9"
"1997","Solomon Islands","SLB","Angola","AGO","-9","-9"
"1997","Solomon Islands","SLB","Mozambique","MOZ","-9","-9"
"1997","Solomon Islands","SLB","Zambia","ZMB","-9","-9"
"1997","Solomon Islands","SLB","Zimbabwe","ZWE","0","0.002455891"
"1997","Solomon Islands","SLB","Malawi","MWI","0.40913731","0"
"1997","Solomon Islands","SLB","South Africa","ZAF","0","0"
"1997","Solomon Islands","SLB","Namibia","NAM","-9","-9"
"1997","Solomon Islands","SLB","Lesotho","LSO","-9","-9"
