"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1997","Swaziland","SWZ","United States of America","USA","5.0999999","47.299999"
"1997","Swaziland","SWZ","Canada","CAN","0.056811977","4.2333751"
"1997","Swaziland","SWZ","Bahamas","BHS","-9","-9"
"1997","Swaziland","SWZ","Cuba","CUB","-9","-9"
"1997","Swaziland","SWZ","Haiti","HTI","-9","-9"
"1997","Swaziland","SWZ","Dominican Republic","DOM","0.003392","0.072101697"
"1997","Swaziland","SWZ","Jamaica","JAM","0","0.054108169"
"1997","Swaziland","SWZ","Trinidad and Tobago","TTO","0","0.009522083"
"1997","Swaziland","SWZ","Barbados","BRB","0.001","0.016549001"
"1997","Swaziland","SWZ","Dominica","DMA","0","0"
"1997","Swaziland","SWZ","Grenada","GRD","0","0.018944444"
"1997","Swaziland","SWZ","St. Lucia","LCA","0","0.012261111"
"1997","Swaziland","SWZ","St. Vincent and the Grenadines","VCT","0","0"
"1997","Swaziland","SWZ","Antigua & Barbuda","ATG","-9","-9"
"1997","Swaziland","SWZ","St. Kitts and Nevis","KNA","-9","-9"
"1997","Swaziland","SWZ","Mexico","MEX","-9","-9"
"1997","Swaziland","SWZ","Belize","BLZ","-9","-9"
"1997","Swaziland","SWZ","Guatemala","GTM","-9","-9"
"1997","Swaziland","SWZ","Honduras","HND","-9","-9"
"1997","Swaziland","SWZ","El Salvador","SLV","-9","-9"
"1997","Swaziland","SWZ","Nicaragua","NIC","-9","-9"
"1997","Swaziland","SWZ","Costa Rica","CRI","-9","-9"
"1997","Swaziland","SWZ","Panama","PAN","-9","-9"
"1997","Swaziland","SWZ","Colombia","COL","0","0"
"1997","Swaziland","SWZ","Venezuela","VEN","-9","-9"
"1997","Swaziland","SWZ","Guyana","GUY","0","0"
"1997","Swaziland","SWZ","Suriname","SUR","-9","-9"
"1997","Swaziland","SWZ","Ecuador","ECU","-9","-9"
"1997","Swaziland","SWZ","Peru","PER","0","0"
