"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1999","Angola","AGO","United States of America","USA","278.41","2570.3"
"1999","Angola","AGO","Canada","CAN","4.5650311","0.010560505"
"1999","Angola","AGO","Bahamas","BHS","0","0"
"1999","Angola","AGO","Cuba","CUB","0","-9"
"1999","Angola","AGO","Haiti","HTI","-9","-9"
"1999","Angola","AGO","Dominican Republic","DOM","0","-9"
"1999","Angola","AGO","Jamaica","JAM","0","0"
"1999","Angola","AGO","Trinidad and Tobago","TTO","0","0"
"1999","Angola","AGO","Barbados","BRB","0.0002915","0"
"1999","Angola","AGO","Dominica","DMA","-9","-9"
"1999","Angola","AGO","Grenada","GRD","-9","0"
"1999","Angola","AGO","St. Lucia","LCA","-9","-9"
"1999","Angola","AGO","St. Vincent and the Grenadines","VCT","-9","0"
"1999","Angola","AGO","Antigua & Barbuda","ATG","-9","-9"
"1999","Angola","AGO","St. Kitts and Nevis","KNA","-9","-9"
"1999","Angola","AGO","Mexico","MEX","0","0"
"1999","Angola","AGO","Belize","BLZ","0","0"
"1999","Angola","AGO","Guatemala","GTM","0","-9"
"1999","Angola","AGO","Honduras","HND","-9","-9"
"1999","Angola","AGO","El Salvador","SLV","0","0"
"1999","Angola","AGO","Nicaragua","NIC","0","-9"
"1999","Angola","AGO","Costa Rica","CRI","0","0"
"1999","Angola","AGO","Panama","PAN","0.024145","0"
"1999","Angola","AGO","Colombia","COL","0.1719542","0"
"1999","Angola","AGO","Venezuela","VEN","0","0"
"1999","Angola","AGO","Guyana","GUY","0","0"
"1999","Angola","AGO","Suriname","SUR","0","0"
"1999","Angola","AGO","Ecuador","ECU","0.001057456","42.231274"
"1999","Angola","AGO","Peru","PER","0","1.5323"
"1999","Angola","AGO","Brazil","BRA","70.513298","29.497601"
"1999","Angola","AGO","Bolivia","BOL","0","0.00072"
"1999","Angola","AGO","Paraguay","PRY","0","0"
"1999","Angola","AGO","Chile","CHL","0.066","0"
"1999","Angola","AGO","Argentina","ARG","7.7312498","0.004074"
"1999","Angola","AGO","Uruguay","URY","0.42815739","0"
"1999","Angola","AGO","United Kingdom","GBR","117.82741","17.471848"
"1999","Angola","AGO","Ireland","IRL","3.7711301","0.0032"
"1999","Angola","AGO","Netherlands","NLD","84.029327","0.90579998"
"1999","Angola","AGO","Belgium","BEL","83.930435","530.36407"
"1999","Angola","AGO","Luxembourg","LUX","0.58288997","0"
"1999","Angola","AGO","France","FRA","167.05646","97.505203"
"1999","Angola","AGO","Monaco","MCO","-9","-9"
"1999","Angola","AGO","Liechtenstein","LIE","-9","-9"
"1999","Angola","AGO","Switzerland","CHE","7.9200001","0.010849404"
"1999","Angola","AGO","Spain","ESP","94.259987","47.323502"
"1999","Angola","AGO","Andorra","AND","-9","-9"
"1999","Angola","AGO","Portugal","PRT","323.02368","10.8476"
"1999","Angola","AGO","Germany","DEU","32.7547","104.405"
"1999","Angola","AGO","Poland","POL","2.39305","0.0002"
"1999","Angola","AGO","Austria","AUT","0.65912002","0.0063"
"1999","Angola","AGO","Hungary","HUN","0.52249998","0.003"
"1999","Angola","AGO","Czech Republic","CZE","0.37676668","0"
"1999","Angola","AGO","Slovakia","SVK","24.735006","0"
"1999","Angola","AGO","Italy","ITA","61.30201","9.882"
"1999","Angola","AGO","San Marino","SMR","-9","-9"
"1999","Angola","AGO","Malta","MLT","0","0"
"1999","Angola","AGO","Albania","ALB","-9","-9"
"1999","Angola","AGO","Macedonia","MKD","-9","-9"
"1999","Angola","AGO","Croatia","HRV","0","0"
"1999","Angola","AGO","Yugoslavia","YUG","-9","-9"
"1999","Angola","AGO","Bosnia and Herzegovina","BIH","-9","-9"
"1999","Angola","AGO","Slovenia","SVN","0.031571101","0.010002"
"1999","Angola","AGO","Greece","GRC","1.02377","0"
"1999","Angola","AGO","Cyprus","CYP","0.011823719","0"
"1999","Angola","AGO","Bulgaria","BGR","0.13860001","0.006"
"1999","Angola","AGO","Moldova","MDA","0","0"
"1999","Angola","AGO","Romania","ROU","0.011","0"
"1999","Angola","AGO","Russia","RUS","21.909321","0.000768"
"1999","Angola","AGO","Estonia","EST","0.022","0.01"
"1999","Angola","AGO","Latvia","LVA","0","0"
"1999","Angola","AGO","Lithuania","LTU","0.086900003","0"
"1999","Angola","AGO","Ukraine","UKR","23.98","0"
"1999","Angola","AGO","Belarus","BLR","95.068161","0"
"1999","Angola","AGO","Armenia","ARM","-9","-9"
"1999","Angola","AGO","Georgia","GEO","-9","-9"
"1999","Angola","AGO","Azerbaijan","AZE","1.0562201","0.0003"
"1999","Angola","AGO","Finland","FIN","1.87451","0.0095"
"1999","Angola","AGO","Sweden","SWE","4.6799765","0.053682029"
"1999","Angola","AGO","Norway","NOR","7.4681907","0"
"1999","Angola","AGO","Denmark","DNK","9.9968004","1.471"
"1999","Angola","AGO","Iceland","ISL","0","0"
"1999","Angola","AGO","Cape Verde","CPV","-9","-9"
"1999","Angola","AGO","Sao Tome and Principe","STP","0","0"
"1999","Angola","AGO","Guinea-Bissau","GNB","0.004140056","0"
"1999","Angola","AGO","Equatorial Guinea","GNQ","-9","-9"
"1999","Angola","AGO","Gambia","GMB","0","0"
"1999","Angola","AGO","Mali","MLI","-9","-9"
"1999","Angola","AGO","Senegal","SEN","0.037598722","0.2516911"
"1999","Angola","AGO","Benin","BEN","0","0"
"1999","Angola","AGO","Mauritania","MRT","0","-9"
"1999","Angola","AGO","Niger","NER","0.025986718","0"
"1999","Angola","AGO","Ivory Coast","CIV","12.829623","0.16977447"
"1999","Angola","AGO","Guinea","GIN","0","0"
"1999","Angola","AGO","Burkina Faso","BFA","0.005677183","0"
"1999","Angola","AGO","Liberia","LBR","0","0"
"1999","Angola","AGO","Sierra Leone","SLE","0","-9"
"1999","Angola","AGO","Ghana","GHA","14.548653","1.2587243"
"1999","Angola","AGO","Togo","TGO","0.022562968","0.002861787"
"1999","Angola","AGO","Cameroon","CMR","0.42878085","6.6006265"
"1999","Angola","AGO","Nigeria","NGA","0.28694287","0.066074193"
"1999","Angola","AGO","Gabon","GAB","1.1069129","0.44324431"
"1999","Angola","AGO","Central African Republic","CAF","0","0"
"1999","Angola","AGO","Chad","TCD","-9","-9"
"1999","Angola","AGO","Congo","COG","8.8886003","4.8298392"
"1999","Angola","AGO","Democratic Republic of the Congo","COD","0","0"
"1999","Angola","AGO","Uganda","UGA","-9","-9"
"1999","Angola","AGO","Kenya","KEN","0.26170796","0.004623183"
"1999","Angola","AGO","Tanzania","TZA","0.23306206","0.001759458"
"1999","Angola","AGO","Burundi","BDI","0","0"
"1999","Angola","AGO","Rwanda","RWA","-9","0"
"1999","Angola","AGO","Somalia","SOM","0","0"
"1999","Angola","AGO","Djibouti","DJI","-9","-9"
"1999","Angola","AGO","Ethiopia","ETH","-9","0"
