"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1999","Malaysia","MYS","United States of America","USA","11413.547","21754.4"
"1999","Malaysia","MYS","Canada","CAN","381.34875","1523.1204"
"1999","Malaysia","MYS","Bahamas","BHS","0.043152895","1.1236937"
"1999","Malaysia","MYS","Cuba","CUB","0","0.42895022"
"1999","Malaysia","MYS","Haiti","HTI","0","4.5771914"
"1999","Malaysia","MYS","Dominican Republic","DOM","0.12394579","2.5527041"
"1999","Malaysia","MYS","Jamaica","JAM","0.7081092","4.5701041"
"1999","Malaysia","MYS","Trinidad and Tobago","TTO","0.029661052","5.1116862"
"1999","Malaysia","MYS","Barbados","BRB","0.029826315","1.99465"
"1999","Malaysia","MYS","Dominica","DMA","0.32669657","0.10111111"
"1999","Malaysia","MYS","Grenada","GRD","0.023287104","0.068822898"
"1999","Malaysia","MYS","St. Lucia","LCA","0.002592593","0.40111113"
"1999","Malaysia","MYS","St. Vincent and the Grenadines","VCT","0","0.92751443"
"1999","Malaysia","MYS","Antigua & Barbuda","ATG","0.008222895","0.23829421"
"1999","Malaysia","MYS","St. Kitts and Nevis","KNA","0.31594157","0.055154443"
"1999","Malaysia","MYS","Mexico","MEX","77.549088","1118.5735"
"1999","Malaysia","MYS","Belize","BLZ","0.77785659","0.1505"
"1999","Malaysia","MYS","Guatemala","GTM","6.9065351","4.7535019"
"1999","Malaysia","MYS","Honduras","HND","0.11893605","1.0119811"
"1999","Malaysia","MYS","El Salvador","SLV","0.54206026","6.1125002"
"1999","Malaysia","MYS","Nicaragua","NIC","0.015263158","0.74254078"
"1999","Malaysia","MYS","Costa Rica","CRI","1.3747089","3.7851019"
"1999","Malaysia","MYS","Panama","PAN","5.9739456","1.349884"
"1999","Malaysia","MYS","Colombia","COL","0.80440712","22.824141"
"1999","Malaysia","MYS","Venezuela","VEN","1.6847203","13.114278"
"1999","Malaysia","MYS","Guyana","GUY","0.12034263","2.4677386"
"1999","Malaysia","MYS","Suriname","SUR","0.12972657","0.44349772"
"1999","Malaysia","MYS","Ecuador","ECU","14.003933","3.959224"
"1999","Malaysia","MYS","Peru","PER","25.050863","7.8088999"
"1999","Malaysia","MYS","Brazil","BRA","174.86832","338.5481"
"1999","Malaysia","MYS","Bolivia","BOL","3.0289161","1.08808"
"1999","Malaysia","MYS","Paraguay","PRY","0.00023","3.5279238"
"1999","Malaysia","MYS","Chile","CHL","129.68477","81.239998"
"1999","Malaysia","MYS","Argentina","ARG","193.55113","180.24026"
"1999","Malaysia","MYS","Uruguay","URY","1.0007952","10.005182"
"1999","Malaysia","MYS","United Kingdom","GBR","1476.6106","3309.8999"
"1999","Malaysia","MYS","Ireland","IRL","857.05963","628.72882"
"1999","Malaysia","MYS","Netherlands","NLD","474.81546","3907.7661"
"1999","Malaysia","MYS","Belgium","BEL","313.47757","606.37396"
"1999","Malaysia","MYS","Luxembourg","LUX","2.4490631","3.8038001"
"1999","Malaysia","MYS","France","FRA","1090.8141","1246.4973"
"1999","Malaysia","MYS","Monaco","MCO","-9","-9"
"1999","Malaysia","MYS","Liechtenstein","LIE","-9","-9"
"1999","Malaysia","MYS","Switzerland","CHE","918.08978","147.60001"
"1999","Malaysia","MYS","Spain","ESP","128.33055","365.86609"
"1999","Malaysia","MYS","Andorra","AND","-9","-9"
"1999","Malaysia","MYS","Portugal","PRT","20.305031","68.707397"
"1999","Malaysia","MYS","Germany","DEU","2027.6088","2704.8081"
"1999","Malaysia","MYS","Poland","POL","37.62788","198.9505"
"1999","Malaysia","MYS","Austria","AUT","78.090218","69.855301"
"1999","Malaysia","MYS","Hungary","HUN","31.919428","217.983"
"1999","Malaysia","MYS","Czech Republic","CZE","11.313035","132.39612"
"1999","Malaysia","MYS","Slovakia","SVK","0.40024421","33.03056"
"1999","Malaysia","MYS","Italy","ITA","534.79846","615.1012"
"1999","Malaysia","MYS","San Marino","SMR","-9","-9"
"1999","Malaysia","MYS","Malta","MLT","51.66386","13.204068"
"1999","Malaysia","MYS","Albania","ALB","0.43377578","0.007262661"
"1999","Malaysia","MYS","Macedonia","MKD","1.470039","1.04275"
"1999","Malaysia","MYS","Croatia","HRV","8.5355911","7.7399998"
"1999","Malaysia","MYS","Yugoslavia","YUG","-9","-9"
"1999","Malaysia","MYS","Bosnia and Herzegovina","BIH","0.019272106","0.17570473"
"1999","Malaysia","MYS","Slovenia","SVN","1.1111279","27.743937"
"1999","Malaysia","MYS","Greece","GRC","8.3058348","73.985001"
"1999","Malaysia","MYS","Cyprus","CYP","2.0782046","19.861576"
"1999","Malaysia","MYS","Bulgaria","BGR","3.050406","8.8540001"
"1999","Malaysia","MYS","Moldova","MDA","0.59067029","0.1391"
"1999","Malaysia","MYS","Romania","ROU","10.031094","20.92"
"1999","Malaysia","MYS","Russia","RUS","288.90088","57.338585"
"1999","Malaysia","MYS","Estonia","EST","2.194706","7.2399998"
"1999","Malaysia","MYS","Latvia","LVA","9.1666269","0.37400439"
"1999","Malaysia","MYS","Lithuania","LTU","3.5085425","9.0279999"
"1999","Malaysia","MYS","Ukraine","UKR","35.42548","31.4"
"1999","Malaysia","MYS","Belarus","BLR","0.015390263","6.0823002"
"1999","Malaysia","MYS","Armenia","ARM","0.003877895","0.25637028"
"1999","Malaysia","MYS","Georgia","GEO","1.7040758","2.1225834"
"1999","Malaysia","MYS","Azerbaijan","AZE","0.30126315","1.4532"
"1999","Malaysia","MYS","Finland","FIN","109.29609","90.109001"
"1999","Malaysia","MYS","Sweden","SWE","413.9382","196.0715"
"1999","Malaysia","MYS","Norway","NOR","41.249786","115.8868"
"1999","Malaysia","MYS","Denmark","DNK","87.997925","141.98199"
"1999","Malaysia","MYS","Iceland","ISL","1.8611034","4.7666798"
"1999","Malaysia","MYS","Cape Verde","CPV","-9","-9"
"1999","Malaysia","MYS","Sao Tome and Principe","STP","0.034313157","0.082570344"
"1999","Malaysia","MYS","Guinea-Bissau","GNB","0.000526316","0.13910657"
"1999","Malaysia","MYS","Equatorial Guinea","GNQ","0","0.23765789"
"1999","Malaysia","MYS","Gambia","GMB","0.74142236","0.026063854"
"1999","Malaysia","MYS","Mali","MLI","10.121669","0.27189511"
"1999","Malaysia","MYS","Senegal","SEN","0.091533683","2.5092793"
"1999","Malaysia","MYS","Benin","BEN","1.4646232","0.88046253"
"1999","Malaysia","MYS","Mauritania","MRT","0.075879738","4.0242462"
"1999","Malaysia","MYS","Niger","NER","0.146975","0.38817662"
"1999","Malaysia","MYS","Ivory Coast","CIV","18.603569","10.704481"
"1999","Malaysia","MYS","Guinea","GIN","3.1230898","1.4746994"
"1999","Malaysia","MYS","Burkina Faso","BFA","5.3410435","0.18499424"
"1999","Malaysia","MYS","Liberia","LBR","6.2758775","3.785049"
"1999","Malaysia","MYS","Sierra Leone","SLE","0.31865999","0.62720668"
"1999","Malaysia","MYS","Ghana","GHA","6.1490312","20.549915"
"1999","Malaysia","MYS","Togo","TGO","8.8873606","0.34498182"
"1999","Malaysia","MYS","Cameroon","CMR","6.2240028","2.5905509"
"1999","Malaysia","MYS","Nigeria","NGA","6.8499708","57.757797"
"1999","Malaysia","MYS","Gabon","GAB","1.497854","0.64406508"
"1999","Malaysia","MYS","Central African Republic","CAF","2.4966774","0.044590816"
"1999","Malaysia","MYS","Chad","TCD","0.001494211","0.093289554"
"1999","Malaysia","MYS","Congo","COG","0.044301316","1.7021472"
"1999","Malaysia","MYS","Democratic Republic of the Congo","COD","0.53555262","0.95216143"
"1999","Malaysia","MYS","Uganda","UGA","1.1697279","0.91915303"
"1999","Malaysia","MYS","Kenya","KEN","5.100491","33.828949"
"1999","Malaysia","MYS","Tanzania","TZA","6.0744963","23.988779"
"1999","Malaysia","MYS","Burundi","BDI","0.00131579","0.001052632"
"1999","Malaysia","MYS","Rwanda","RWA","1.2499171","0.15666084"
"1999","Malaysia","MYS","Somalia","SOM","0.54526317","4.1830921"
"1999","Malaysia","MYS","Djibouti","DJI","0.24315132","7.0885077"
"1999","Malaysia","MYS","Ethiopia","ETH","1.922485","6.6068892"
"1999","Malaysia","MYS","Eritrea","ERI","0.17538448","0.13808131"
"1999","Malaysia","MYS","Angola","AGO","0.001053158","1.45638"
"1999","Malaysia","MYS","Mozambique","MOZ","0.014141053","1.2"
"1999","Malaysia","MYS","Zambia","ZMB","23.701099","0.83064014"
"1999","Malaysia","MYS","Zimbabwe","ZWE","6.3471045","7.1760168"
"1999","Malaysia","MYS","Malawi","MWI","0.80209661","1.2911395"
"1999","Malaysia","MYS","South Africa","ZAF","164.35831","319.82144"
"1999","Malaysia","MYS","Namibia","NAM","0.32190001","2.9221289"
"1999","Malaysia","MYS","Lesotho","LSO","0","3.6033487"
"1999","Malaysia","MYS","Botswana","BWA","6.76E-05","0.57083368"
"1999","Malaysia","MYS","Swaziland","SWZ","1.4060013","0.37921554"
"1999","Malaysia","MYS","Madagascar","MDG","0.37199736","6.9049759"
"1999","Malaysia","MYS","Comoros","COM","0.30311894","0.20307477"
"1999","Malaysia","MYS","Mauritius","MUS","1.4435034","75.98259"
"1999","Malaysia","MYS","Seychelles","SYC","0.61289603","5.708849"
"1999","Malaysia","MYS","Morocco","MAR","6.4500756","18.806021"
"1999","Malaysia","MYS","Algeria","DZA","4.568471","34.16666"
"1999","Malaysia","MYS","Tunisia","TUN","14.793139","25.075315"
"1999","Malaysia","MYS","Libya","LBY","3.3132784","3.1558039"
"1999","Malaysia","MYS","Sudan","SDN","0.091424733","32.739925"
"1999","Malaysia","MYS","Iran","IRN","48.414169","100"
"1999","Malaysia","MYS","Turkey","TUR","48.857807","218.85072"
"1999","Malaysia","MYS","Iraq","IRQ","0.002851842","18.470861"
"1999","Malaysia","MYS","Egypt","EGY","12.860147","196.48227"
"1999","Malaysia","MYS","Syria","SYR","0.77605081","46.79253"
"1999","Malaysia","MYS","Lebanon","LBN","0.43855369","45.799999"
"1999","Malaysia","MYS","Jordan","JOR","35.417957","48.38237"
"1999","Malaysia","MYS","Israel","ISR","106.8","23.5"
"1999","Malaysia","MYS","Saudi Arabia","SAU","287.47183","237.5741"
"1999","Malaysia","MYS","Yemen","YEM","0.040777631","67.84005"
"1999","Malaysia","MYS","Kuwait","KWT","60.097282","102.73936"
"1999","Malaysia","MYS","Bahrain","BHR","55.374584","29.145199"
"1999","Malaysia","MYS","Qatar","QAT","18.677866","29.038462"
"1999","Malaysia","MYS","United Arab Emirates","ARE","116.61866","792.36749"
"1999","Malaysia","MYS","Oman","OMN","69.51326","59.139309"
"1999","Malaysia","MYS","Afghanistan","AFG","0.83699971","7.3573084"
"1999","Malaysia","MYS","Turkmenistan","TKM","0.014183421","0.1"
"1999","Malaysia","MYS","Tajikistan","TJK","0.01256","0.077699997"
"1999","Malaysia","MYS","Kyrgyzstan","KGZ","0.65857315","0.2"
"1999","Malaysia","MYS","Uzbekistan","UZB","2.2529504","1.6934196"
"1999","Malaysia","MYS","Kazakhstan","KAZ","0.17371079","4.9000001"
"1999","Malaysia","MYS","China","CHN","3783.812","7495.4297"
"1999","Malaysia","MYS","Mongolia","MNG","0.011756842","1.86"
"1999","Malaysia","MYS","Taiwan","TWN","3489.2048","3858.4324"
"1999","Malaysia","MYS","North Korea","PRK","2.4050426","7.5000224"
"1999","Malaysia","MYS","South Korea","KOR","3415.2014","3154.8"
"1999","Malaysia","MYS","Japan","JPN","13632.52","10943.413"
"1999","Malaysia","MYS","India","IND","530.02795","1920.1"
"1999","Malaysia","MYS","Bhutan","BTN","0.009068421","0.88441288"
"1999","Malaysia","MYS","Pakistan","PAK","47.040047","559.75"
"1999","Malaysia","MYS","Bangladesh","BGD","7.2564411","89.646385"
"1999","Malaysia","MYS","Myanmar","MMR","57.394588","257.72427"
"1999","Malaysia","MYS","Sri Lanka","LKA","5.3442044","168.35876"
"1999","Malaysia","MYS","Maldives","MDV","0.19600342","26.660748"
"1999","Malaysia","MYS","Nepal","NPL","0.069556579","11.628948"
"1999","Malaysia","MYS","Thailand","THA","2467.4041","2511.9639"
"1999","Malaysia","MYS","Cambodia","KHM","10.692369","49.860001"
"1999","Malaysia","MYS","Laos","LAO","0.04473158","1.4470706"
"1999","Malaysia","MYS","Vietnam","VNM","248.09457","304.99701"
"1999","Malaysia","MYS","Singapore","SGP","9165.499","17292.34"
"1999","Malaysia","MYS","Brunei","BRN","12.033541","224.68184"
"1999","Malaysia","MYS","Philippines","PHL","1634.9857","978.6496"
"1999","Malaysia","MYS","Indonesia","IDN","1756.6444","605.64044"
"1999","Malaysia","MYS","Australia","AUS","1492.2697","2295.4297"
"1999","Malaysia","MYS","Papua New Guinea","PNG","18.531012","45.133442"
"1999","Malaysia","MYS","New Zealand","NZL","276.97406","319.91965"
"1999","Malaysia","MYS","Vanuatu","VUT","1.0302458","0.28296834"
"1999","Malaysia","MYS","Solomon Islands","SLB","4.248735","2.8225846"
"1999","Malaysia","MYS","Kiribati","KIR","0","0.085713424"
"1999","Malaysia","MYS","Fiji","FJI","0.090098418","19.324242"
"1999","Malaysia","MYS","Tonga","TON","0.000751579","0.86338454"
"1999","Malaysia","MYS","Nauru","NRU","0.12025368","0.11763816"
"1999","Malaysia","MYS","Marshall Islands","MHL","-9","-9"
"1999","Malaysia","MYS","Palau","PLW","-9","-9"
"1999","Malaysia","MYS","Federated States of Micronesia","FSM","-9","-9"
"1999","Malaysia","MYS","Samoa","WSM","0.34761921","0.80697101"
