"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2000","Azerbaijan","AZE","United States of America","USA","117.7098","19.6"
"2000","Azerbaijan","AZE","Canada","CAN","3.8836","0.26584625"
"2000","Azerbaijan","AZE","Bahamas","BHS","0","0"
"2000","Azerbaijan","AZE","Cuba","CUB","0","0"
"2000","Azerbaijan","AZE","Haiti","HTI","0","-9"
"2000","Azerbaijan","AZE","Dominican Republic","DOM","0","0"
"2000","Azerbaijan","AZE","Jamaica","JAM","0.0101","0"
"2000","Azerbaijan","AZE","Trinidad and Tobago","TTO","0.022766607","0"
"2000","Azerbaijan","AZE","Barbados","BRB","0.0002","0"
"2000","Azerbaijan","AZE","Dominica","DMA","0.0002","0"
"2000","Azerbaijan","AZE","Grenada","GRD","0","0"
"2000","Azerbaijan","AZE","St. Lucia","LCA","-9","-9"
"2000","Azerbaijan","AZE","St. Vincent and the Grenadines","VCT","-9","-9"
"2000","Azerbaijan","AZE","Antigua & Barbuda","ATG","0","0"
"2000","Azerbaijan","AZE","St. Kitts and Nevis","KNA","0.093199998","0.22660001"
"2000","Azerbaijan","AZE","Mexico","MEX","0.40959999","0"
"2000","Azerbaijan","AZE","Belize","BLZ","0","0"
"2000","Azerbaijan","AZE","Guatemala","GTM","0.0003","0"
"2000","Azerbaijan","AZE","Honduras","HND","0","0"
"2000","Azerbaijan","AZE","El Salvador","SLV","0","-9"
"2000","Azerbaijan","AZE","Nicaragua","NIC","0","0"
"2000","Azerbaijan","AZE","Costa Rica","CRI","0.0032","0.00187144"
"2000","Azerbaijan","AZE","Panama","PAN","0.82499999","0"
"2000","Azerbaijan","AZE","Colombia","COL","1.1688","0.00044"
"2000","Azerbaijan","AZE","Venezuela","VEN","0.0744","0"
"2000","Azerbaijan","AZE","Guyana","GUY","0","-9"
"2000","Azerbaijan","AZE","Suriname","SUR","0.063299999","0"
"2000","Azerbaijan","AZE","Ecuador","ECU","0.3549","0"
"2000","Azerbaijan","AZE","Peru","PER","0","0.006727145"
"2000","Azerbaijan","AZE","Brazil","BRA","4.2694998","1.221429"
"2000","Azerbaijan","AZE","Bolivia","BOL","0","0.026828"
"2000","Azerbaijan","AZE","Paraguay","PRY","0","0"
"2000","Azerbaijan","AZE","Chile","CHL","0.025900001","0"
"2000","Azerbaijan","AZE","Argentina","ARG","0.1161","7.2648001"
"2000","Azerbaijan","AZE","Uruguay","URY","0","0"
"2000","Azerbaijan","AZE","United Kingdom","GBR","58.871601","14.862843"
"2000","Azerbaijan","AZE","Ireland","IRL","2.0041001","0.1743"
"2000","Azerbaijan","AZE","Netherlands","NLD","18.9123","3.1259999"
"2000","Azerbaijan","AZE","Belgium","BEL","4.3204999","0.35563713"
"2000","Azerbaijan","AZE","Luxembourg","LUX","0.0031","0.96829998"
"2000","Azerbaijan","AZE","France","FRA","18.9611","172.78571"
"2000","Azerbaijan","AZE","Monaco","MCO","-9","-9"
"2000","Azerbaijan","AZE","Liechtenstein","LIE","-9","-9"
"2000","Azerbaijan","AZE","Switzerland","CHE","56.239399","1.1192375"
"2000","Azerbaijan","AZE","Spain","ESP","4.6465998","2.2272"
"2000","Azerbaijan","AZE","Andorra","AND","-9","-9"
"2000","Azerbaijan","AZE","Portugal","PRT","0.4646","4.4215002"
"2000","Azerbaijan","AZE","Germany","DEU","67.552299","223.33"
"2000","Azerbaijan","AZE","Poland","POL","20.744499","3.1129999"
"2000","Azerbaijan","AZE","Austria","AUT","8.1384001","32.4641"
"2000","Azerbaijan","AZE","Hungary","HUN","4.6732998","0.60000002"
"2000","Azerbaijan","AZE","Czech Republic","CZE","4.0639","5.956203"
"2000","Azerbaijan","AZE","Slovakia","SVK","0.20119999","0.27431801"
"2000","Azerbaijan","AZE","Italy","ITA","28.0986","431.4809"
