"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2000","Myanmar","MMR","United States of America","USA","18.809999","487"
"2000","Myanmar","MMR","Canada","CAN","0.057114199","44.982342"
"2000","Myanmar","MMR","Bahamas","BHS","-9","-9"
"2000","Myanmar","MMR","Cuba","CUB","-9","0"
"2000","Myanmar","MMR","Haiti","HTI","-9","-9"
"2000","Myanmar","MMR","Dominican Republic","DOM","0","0.021782221"
"2000","Myanmar","MMR","Jamaica","JAM","0","0.00445"
"2000","Myanmar","MMR","Trinidad and Tobago","TTO","0","0"
"2000","Myanmar","MMR","Barbados","BRB","0","0"
"2000","Myanmar","MMR","Dominica","DMA","-9","-9"
"2000","Myanmar","MMR","Grenada","GRD","-9","-9"
"2000","Myanmar","MMR","St. Lucia","LCA","0","0"
"2000","Myanmar","MMR","St. Vincent and the Grenadines","VCT","-9","-9"
"2000","Myanmar","MMR","Antigua & Barbuda","ATG","-9","-9"
"2000","Myanmar","MMR","St. Kitts and Nevis","KNA","-9","-9"
"2000","Myanmar","MMR","Mexico","MEX","0","0"
"2000","Myanmar","MMR","Belize","BLZ","-9","0"
"2000","Myanmar","MMR","Guatemala","GTM","0","0"
"2000","Myanmar","MMR","Honduras","HND","0","0"
"2000","Myanmar","MMR","El Salvador","SLV","-9","0"
"2000","Myanmar","MMR","Nicaragua","NIC","-9","-9"
"2000","Myanmar","MMR","Costa Rica","CRI","0.700315","0.00906134"
"2000","Myanmar","MMR","Panama","PAN","-9","0"
"2000","Myanmar","MMR","Colombia","COL","0.10296","0.010097"
"2000","Myanmar","MMR","Venezuela","VEN","0","0"
"2000","Myanmar","MMR","Guyana","GUY","0","0"
"2000","Myanmar","MMR","Suriname","SUR","0","0"
"2000","Myanmar","MMR","Ecuador","ECU","-9","0.004102"
"2000","Myanmar","MMR","Peru","PER","0","0.006890719"
"2000","Myanmar","MMR","Brazil","BRA","1.0398026","0.0076901"
"2000","Myanmar","MMR","Bolivia","BOL","0","0"
"2000","Myanmar","MMR","Paraguay","PRY","0","0"
"2000","Myanmar","MMR","Chile","CHL","0","0"
"2000","Myanmar","MMR","Argentina","ARG","0.0176","3.3139999"
