"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2000","Togo","TGO","United States of America","USA","5.0208526","8.1999998"
"2000","Togo","TGO","Canada","CAN","9.0712404","0.71113521"
"2000","Togo","TGO","Bahamas","BHS","0.0206917","0"
"2000","Togo","TGO","Cuba","CUB","0","0"
"2000","Togo","TGO","Haiti","HTI","0.073159739","0"
"2000","Togo","TGO","Dominican Republic","DOM","0","0.002073103"
"2000","Togo","TGO","Jamaica","JAM","0.056746274","0"
"2000","Togo","TGO","Trinidad and Tobago","TTO","0.001685449","0"
"2000","Togo","TGO","Barbados","BRB","0","0"
"2000","Togo","TGO","Dominica","DMA","0","-9"
"2000","Togo","TGO","Grenada","GRD","0.006281108","0"
"2000","Togo","TGO","St. Lucia","LCA","0","0"
"2000","Togo","TGO","St. Vincent and the Grenadines","VCT","0.1193874","0"
"2000","Togo","TGO","Antigua & Barbuda","ATG","0.011052335","0"
"2000","Togo","TGO","St. Kitts and Nevis","KNA","0.004075978","-9"
"2000","Togo","TGO","Mexico","MEX","0.13164483","0"
"2000","Togo","TGO","Belize","BLZ","0","0"
"2000","Togo","TGO","Guatemala","GTM","0.015853057","0.117449"
"2000","Togo","TGO","Honduras","HND","0.003036618","0"
"2000","Togo","TGO","El Salvador","SLV","0","0"
"2000","Togo","TGO","Nicaragua","NIC","0","0"
"2000","Togo","TGO","Costa Rica","CRI","0.000842725","0"
"2000","Togo","TGO","Panama","PAN","0.5556435","0.033673875"
"2000","Togo","TGO","Colombia","COL","0.00468555","3.7461362"
"2000","Togo","TGO","Venezuela","VEN","0","0.5808"
"2000","Togo","TGO","Guyana","GUY","0","0.079436637"
"2000","Togo","TGO","Suriname","SUR","0","0"
"2000","Togo","TGO","Ecuador","ECU","0","0.008183"
"2000","Togo","TGO","Peru","PER","0","0"
"2000","Togo","TGO","Brazil","BRA","0.29842567","7.7414932"
"2000","Togo","TGO","Bolivia","BOL","0","0"
"2000","Togo","TGO","Paraguay","PRY","0","0"
"2000","Togo","TGO","Chile","CHL","0","0"
"2000","Togo","TGO","Argentina","ARG","0.003431294","0"
"2000","Togo","TGO","Uruguay","URY","0","1.86691"
"2000","Togo","TGO","United Kingdom","GBR","11.718622","2.2463965"
"2000","Togo","TGO","Ireland","IRL","0.32193628","0.013"
