"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2001","Djibouti","DJI","United States of America","USA","20.459999","0.89999998"
"2001","Djibouti","DJI","Canada","CAN","0.19218148","0.11328091"
"2001","Djibouti","DJI","Bahamas","BHS","-9","-9"
"2001","Djibouti","DJI","Cuba","CUB","-9","-9"
"2001","Djibouti","DJI","Haiti","HTI","-9","0"
"2001","Djibouti","DJI","Dominican Republic","DOM","-9","0"
"2001","Djibouti","DJI","Jamaica","JAM","0","0"
"2001","Djibouti","DJI","Trinidad and Tobago","TTO","-9","0"
"2001","Djibouti","DJI","Barbados","BRB","0","0"
"2001","Djibouti","DJI","Dominica","DMA","-9","-9"
"2001","Djibouti","DJI","Grenada","GRD","-9","-9"
"2001","Djibouti","DJI","St. Lucia","LCA","-9","-9"
"2001","Djibouti","DJI","St. Vincent and the Grenadines","VCT","-9","-9"
"2001","Djibouti","DJI","Antigua & Barbuda","ATG","-9","-9"
"2001","Djibouti","DJI","St. Kitts and Nevis","KNA","0.00224619","0.002242347"
"2001","Djibouti","DJI","Mexico","MEX","0","0"
"2001","Djibouti","DJI","Belize","BLZ","0","-9"
"2001","Djibouti","DJI","Guatemala","GTM","0","0"
"2001","Djibouti","DJI","Honduras","HND","-9","0"
"2001","Djibouti","DJI","El Salvador","SLV","-9","-9"
"2001","Djibouti","DJI","Nicaragua","NIC","-9","-9"
"2001","Djibouti","DJI","Costa Rica","CRI","0","0"
"2001","Djibouti","DJI","Panama","PAN","-9","-9"
"2001","Djibouti","DJI","Colombia","COL","0","0"
"2001","Djibouti","DJI","Venezuela","VEN","-9","-9"
"2001","Djibouti","DJI","Guyana","GUY","-9","-9"
"2001","Djibouti","DJI","Suriname","SUR","-9","-9"
"2001","Djibouti","DJI","Ecuador","ECU","0","0"
"2001","Djibouti","DJI","Peru","PER","0.096395753","0.000276563"
"2001","Djibouti","DJI","Brazil","BRA","2.2528","0"
"2001","Djibouti","DJI","Bolivia","BOL","-9","0.015683999"
"2001","Djibouti","DJI","Paraguay","PRY","0.0584496","-9"
"2001","Djibouti","DJI","Chile","CHL","0","0"
"2001","Djibouti","DJI","Argentina","ARG","0","0.000627"
"2001","Djibouti","DJI","Uruguay","URY","-9","-9"
"2001","Djibouti","DJI","United Kingdom","GBR","18.399864","0.18050151"
"2001","Djibouti","DJI","Ireland","IRL","0.12166","0.0072"
"2001","Djibouti","DJI","Netherlands","NLD","19.46406","2.6735001"
"2001","Djibouti","DJI","Belgium","BEL","7.6339998","0.23"
"2001","Djibouti","DJI","Luxembourg","LUX","0","0"
"2001","Djibouti","DJI","France","FRA","101.69115","50.9762"
"2001","Djibouti","DJI","Monaco","MCO","-9","-9"
"2001","Djibouti","DJI","Liechtenstein","LIE","-9","-9"
"2001","Djibouti","DJI","Switzerland","CHE","0.087790638","0.025176357"
"2001","Djibouti","DJI","Spain","ESP","2.2673199","0"
"2001","Djibouti","DJI","Andorra","AND","-9","-9"
"2001","Djibouti","DJI","Portugal","PRT","0.044550002","0"
"2001","Djibouti","DJI","Germany","DEU","15.8257","0.79500002"
"2001","Djibouti","DJI","Poland","POL","6.8814735","0.132607"
"2001","Djibouti","DJI","Austria","AUT","2.84339","0"
"2001","Djibouti","DJI","Hungary","HUN","0.0363","0"
"2001","Djibouti","DJI","Czech Republic","CZE","0.1446024","0.1446024"
"2001","Djibouti","DJI","Slovakia","SVK","0.002161458","0"
"2001","Djibouti","DJI","Italy","ITA","23.65847","1.7315"
"2001","Djibouti","DJI","San Marino","SMR","-9","-9"
"2001","Djibouti","DJI","Malta","MLT","3.8871217","0"
"2001","Djibouti","DJI","Albania","ALB","0","0"
"2001","Djibouti","DJI","Macedonia","MKD","0","0"
"2001","Djibouti","DJI","Croatia","HRV","0.0339339","0"
"2001","Djibouti","DJI","Yugoslavia","YUG","-9","-9"
"2001","Djibouti","DJI","Bosnia and Herzegovina","BIH","-9","-9"
"2001","Djibouti","DJI","Slovenia","SVN","1.5893977","0.00263"
"2001","Djibouti","DJI","Greece","GRC","0.1815","0.071199998"
"2001","Djibouti","DJI","Cyprus","CYP","0.61922222","0.12906094"
"2001","Djibouti","DJI","Bulgaria","BGR","0.0594","0"
"2001","Djibouti","DJI","Moldova","MDA","-9","-9"
"2001","Djibouti","DJI","Romania","ROU","0.033","0"
"2001","Djibouti","DJI","Russia","RUS","0.25762659","0"
"2001","Djibouti","DJI","Estonia","EST","0","0"
"2001","Djibouti","DJI","Latvia","LVA","-9","-9"
"2001","Djibouti","DJI","Lithuania","LTU","0.00033","0"
"2001","Djibouti","DJI","Ukraine","UKR","0.042470999","0"
"2001","Djibouti","DJI","Belarus","BLR","0.27489001","1.00E-04"
