"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2002","Cyprus","CYP","United States of America","USA","199.75606","27.299999"
"2002","Cyprus","CYP","Canada","CAN","9.7397871","1.6501651"
"2002","Cyprus","CYP","Bahamas","BHS","0.30836448","0.1328072"
"2002","Cyprus","CYP","Cuba","CUB","6.8247151","0.003771515"
"2002","Cyprus","CYP","Haiti","HTI","0","0.22075911"
"2002","Cyprus","CYP","Dominican Republic","DOM","0.093998969","0.054417912"
"2002","Cyprus","CYP","Jamaica","JAM","0.1813489","0.105119"
"2002","Cyprus","CYP","Trinidad and Tobago","TTO","0.004566614","7.7262192"
"2002","Cyprus","CYP","Barbados","BRB","0.001522205","0.28905001"
"2002","Cyprus","CYP","Dominica","DMA","0","0"
"2002","Cyprus","CYP","Grenada","GRD","0","0.012668057"
"2002","Cyprus","CYP","St. Lucia","LCA","0","0"
"2002","Cyprus","CYP","St. Vincent and the Grenadines","VCT","0","0.10804223"
"2002","Cyprus","CYP","Antigua & Barbuda","ATG","0","0.012628864"
"2002","Cyprus","CYP","St. Kitts and Nevis","KNA","0.001522205","0"
"2002","Cyprus","CYP","Mexico","MEX","2.6786692","0.008664"
"2002","Cyprus","CYP","Belize","BLZ","0","0"
"2002","Cyprus","CYP","Guatemala","GTM","0","0.003512"
"2002","Cyprus","CYP","Honduras","HND","0.028770117","0"
"2002","Cyprus","CYP","El Salvador","SLV","0.00158919","0"
"2002","Cyprus","CYP","Nicaragua","NIC","0.00342865","0"
"2002","Cyprus","CYP","Costa Rica","CRI","0.2513189","0.015162"
"2002","Cyprus","CYP","Panama","PAN","0.25778121","0.024900001"
"2002","Cyprus","CYP","Colombia","COL","0.64524543","0.037156999"
"2002","Cyprus","CYP","Venezuela","VEN","2.2394538","5.6254001"
"2002","Cyprus","CYP","Guyana","GUY","0","0.098893419"
"2002","Cyprus","CYP","Suriname","SUR","0","0.070985407"
"2002","Cyprus","CYP","Ecuador","ECU","0.16136177","0.12811577"
"2002","Cyprus","CYP","Peru","PER","0.22813265","0.1792787"
"2002","Cyprus","CYP","Brazil","BRA","13.503798","1.4036551"
"2002","Cyprus","CYP","Bolivia","BOL","0.008525149","0.00356"
"2002","Cyprus","CYP","Paraguay","PRY","0.004862709","0.010285949"
"2002","Cyprus","CYP","Chile","CHL","0.32889616","0.85075694"
"2002","Cyprus","CYP","Argentina","ARG","30.259892","0.13191301"
"2002","Cyprus","CYP","Uruguay","URY","1.0329688","0.093136244"
"2002","Cyprus","CYP","United Kingdom","GBR","342.98688","378.0954"
"2002","Cyprus","CYP","Ireland","IRL","29.641409","6.9524999"
"2002","Cyprus","CYP","Netherlands","NLD","87.112518","21.7304"
"2002","Cyprus","CYP","Belgium","BEL","62.493469","27.549999"
"2002","Cyprus","CYP","Luxembourg","LUX","0.55844915","0.0405"
"2002","Cyprus","CYP","France","FRA","209.34023","129.7077"
"2002","Cyprus","CYP","Monaco","MCO","-9","-9"
"2002","Cyprus","CYP","Liechtenstein","LIE","-9","-9"
"2002","Cyprus","CYP","Switzerland","CHE","54.343288","3.8176634"
"2002","Cyprus","CYP","Spain","ESP","143.38773","23.1859"
"2002","Cyprus","CYP","Andorra","AND","-9","-9"
"2002","Cyprus","CYP","Portugal","PRT","16.818573","0.64319998"
"2002","Cyprus","CYP","Germany","DEU","359.41855","54.187"
"2002","Cyprus","CYP","Poland","POL","9.6524096","93.882301"
"2002","Cyprus","CYP","Austria","AUT","25.915871","3.7586999"
"2002","Cyprus","CYP","Hungary","HUN","13.101336","2.7969999"
"2002","Cyprus","CYP","Czech Republic","CZE","9.5066576","12.163043"
"2002","Cyprus","CYP","Slovakia","SVK","3.9786263","4.4838181"
"2002","Cyprus","CYP","Italy","ITA","377.67548","19.326599"
"2002","Cyprus","CYP","San Marino","SMR","-9","-9"
"2002","Cyprus","CYP","Malta","MLT","2.9999492","2.130878"
"2002","Cyprus","CYP","Albania","ALB","0.035433266","3.1946173"
"2002","Cyprus","CYP","Macedonia","MKD","0.30377313","4.1710052"
"2002","Cyprus","CYP","Croatia","HRV","3.1963472","2.86712"
"2002","Cyprus","CYP","Yugoslavia","YUG","-9","-9"
"2002","Cyprus","CYP","Bosnia and Herzegovina","BIH","0.1297642","0.3376224"
"2002","Cyprus","CYP","Slovenia","SVN","3.1512413","0.90723097"
"2002","Cyprus","CYP","Greece","GRC","390.95676","77.196899"
"2002","Cyprus","CYP","Bulgaria","BGR","12.812683","2.9649999"
"2002","Cyprus","CYP","Moldova","MDA","2.545732","0.1926"
"2002","Cyprus","CYP","Romania","ROU","8.2599716","6.3600001"
"2002","Cyprus","CYP","Russia","RUS","142.87776","13.649369"
"2002","Cyprus","CYP","Estonia","EST","0.22707121","0.79000002"
"2002","Cyprus","CYP","Latvia","LVA","0.13656719","0.24911368"
"2002","Cyprus","CYP","Lithuania","LTU","0.60707486","68.815399"
"2002","Cyprus","CYP","Ukraine","UKR","59.859535","17.00028"
"2002","Cyprus","CYP","Belarus","BLR","0.006155804","4.2437"
"2002","Cyprus","CYP","Armenia","ARM","0.27052635","2.4567659"
"2002","Cyprus","CYP","Georgia","GEO","0.049296334","1.0800695"
"2002","Cyprus","CYP","Azerbaijan","AZE","0.050637525","0.22405"
"2002","Cyprus","CYP","Finland","FIN","30.2033","2.3987999"
"2002","Cyprus","CYP","Sweden","SWE","63.250256","6.7705693"
"2002","Cyprus","CYP","Norway","NOR","11.912495","3.5754669"
"2002","Cyprus","CYP","Denmark","DNK","31.145653","4.9020143"
"2002","Cyprus","CYP","Iceland","ISL","0.16221976","0.11017992"
"2002","Cyprus","CYP","Cape Verde","CPV","-9","-9"
"2002","Cyprus","CYP","Sao Tome and Principe","STP","0","0"
"2002","Cyprus","CYP","Guinea-Bissau","GNB","0","0.013200302"
"2002","Cyprus","CYP","Equatorial Guinea","GNQ","0","0.41995442"
"2002","Cyprus","CYP","Gambia","GMB","0","0.12426379"
"2002","Cyprus","CYP","Mali","MLI","0","0.043486994"
"2002","Cyprus","CYP","Senegal","SEN","0.018266456","0.021717727"
"2002","Cyprus","CYP","Benin","BEN","0.023988929","0.012544565"
"2002","Cyprus","CYP","Mauritania","MRT","0.25832579","0.089752853"
"2002","Cyprus","CYP","Niger","NER","0.001522205","5.02E-06"
"2002","Cyprus","CYP","Ivory Coast","CIV","0.44644576","0.005464319"
"2002","Cyprus","CYP","Guinea","GIN","0","0.29647854"
"2002","Cyprus","CYP","Burkina Faso","BFA","0","0"
"2002","Cyprus","CYP","Liberia","LBR","0.060389228","0"
"2002","Cyprus","CYP","Sierra Leone","SLE","0","0.15579244"
"2002","Cyprus","CYP","Ghana","GHA","0.18456191","1.4709836"
"2002","Cyprus","CYP","Togo","TGO","0","0.07221099"
"2002","Cyprus","CYP","Cameroon","CMR","0.12691192","0.10005457"
"2002","Cyprus","CYP","Nigeria","NGA","0.00158919","3.0976954"
"2002","Cyprus","CYP","Gabon","GAB","0.39310956","0"
"2002","Cyprus","CYP","Central African Republic","CAF","0.59751678","0.01518759"
"2002","Cyprus","CYP","Chad","TCD","0","0"
"2002","Cyprus","CYP","Congo","COG","0","0.001434745"
"2002","Cyprus","CYP","Democratic Republic of the Congo","COD","0.064865544","0.001809723"
"2002","Cyprus","CYP","Uganda","UGA","0.29690337","0.025754999"
"2002","Cyprus","CYP","Kenya","KEN","0.40938869","1.77669"
"2002","Cyprus","CYP","Tanzania","TZA","0.085913964","0.53703541"
"2002","Cyprus","CYP","Burundi","BDI","0","0.040588025"
"2002","Cyprus","CYP","Rwanda","RWA","0","0.001809723"
"2002","Cyprus","CYP","Somalia","SOM","0","0.08392603"
"2002","Cyprus","CYP","Djibouti","DJI","0.028899956","0.58224332"
"2002","Cyprus","CYP","Ethiopia","ETH","0.028605424","1.9599911"
"2002","Cyprus","CYP","Eritrea","ERI","0.001522205","0.38199148"
"2002","Cyprus","CYP","Angola","AGO","0","0.68631667"
"2002","Cyprus","CYP","Mozambique","MOZ","0","0.036058068"
"2002","Cyprus","CYP","Zambia","ZMB","0.046755359","0.2628611"
"2002","Cyprus","CYP","Zimbabwe","ZWE","0.003044409","0.51210302"
"2002","Cyprus","CYP","Malawi","MWI","0.04193005","0.075848475"
"2002","Cyprus","CYP","South Africa","ZAF","8.6287403","1.9968721"
"2002","Cyprus","CYP","Namibia","NAM","0.008319281","0.01882495"
"2002","Cyprus","CYP","Lesotho","LSO","0","0.081835456"
"2002","Cyprus","CYP","Botswana","BWA","0","0.5995881"
"2002","Cyprus","CYP","Swaziland","SWZ","0.001714325","0.30318794"
