"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2002","United Kingdom","GBR","United States of America","USA","39899.316","41824.898"
"2002","United Kingdom","GBR","Canada","CAN","5543.9292","6822.687"
"2002","United Kingdom","GBR","Bahamas","BHS","30.792246","59.625546"
"2002","United Kingdom","GBR","Cuba","CUB","12.06306","18.933235"
"2002","United Kingdom","GBR","Haiti","HTI","1.5252757","18.148489"
"2002","United Kingdom","GBR","Dominican Republic","DOM","79.750572","50.596279"
"2002","United Kingdom","GBR","Jamaica","JAM","157.13049","93.066315"
"2002","United Kingdom","GBR","Trinidad and Tobago","TTO","85.01757","130.76891"
"2002","United Kingdom","GBR","Barbados","BRB","37.492123","78.700897"
"2002","United Kingdom","GBR","Dominica","DMA","24.257204","15.248847"
"2002","United Kingdom","GBR","Grenada","GRD","1.9952478","9.0120497"
"2002","United Kingdom","GBR","St. Lucia","LCA","35.332924","19.271065"
"2002","United Kingdom","GBR","St. Vincent and the Grenadines","VCT","22.286406","14.952319"
"2002","United Kingdom","GBR","Antigua & Barbuda","ATG","2.7114277","27.228146"
"2002","United Kingdom","GBR","St. Kitts and Nevis","KNA","5.8061104","12.722534"
"2002","United Kingdom","GBR","Mexico","MEX","785.33392","1484.7759"
"2002","United Kingdom","GBR","Belize","BLZ","47.8078","22.745649"
"2002","United Kingdom","GBR","Guatemala","GTM","20.517036","54.532692"
"2002","United Kingdom","GBR","Honduras","HND","28.940319","8.841588"
"2002","United Kingdom","GBR","El Salvador","SLV","11.286489","15.460243"
"2002","United Kingdom","GBR","Nicaragua","NIC","9.0163279","6.3801026"
"2002","United Kingdom","GBR","Costa Rica","CRI","478.70581","80.091301"
"2002","United Kingdom","GBR","Panama","PAN","16.394157","18.590223"
"2002","United Kingdom","GBR","Colombia","COL","327.14819","144.91844"
"2002","United Kingdom","GBR","Venezuela","VEN","283.29984","304.71097"
"2002","United Kingdom","GBR","Guyana","GUY","77.617912","30.555235"
"2002","United Kingdom","GBR","Suriname","SUR","5.4153447","1.9117379"
"2002","United Kingdom","GBR","Ecuador","ECU","54.845768","60.7341"
"2002","United Kingdom","GBR","Peru","PER","236.00713","90.455894"
"2002","United Kingdom","GBR","Brazil","BRA","2126.344","1475.5659"
"2002","United Kingdom","GBR","Bolivia","BOL","17.349676","11.550529"
"2002","United Kingdom","GBR","Paraguay","PRY","3.1181207","24.229383"
"2002","United Kingdom","GBR","Chile","CHL","711.9635","184.10001"
"2002","United Kingdom","GBR","Argentina","ARG","369.4433","195.22208"
"2002","United Kingdom","GBR","Uruguay","URY","69.248299","50.93874"
"2002","United Kingdom","GBR","Ireland","IRL","12663.815","21132.291"
"2002","United Kingdom","GBR","Netherlands","NLD","21215.039","15035.137"
"2002","United Kingdom","GBR","Belgium","BEL","16647.137","14429.53"
"2002","United Kingdom","GBR","Luxembourg","LUX","659.25702","441.55301"
"2002","United Kingdom","GBR","France","FRA","26253.133","24025.736"
"2002","United Kingdom","GBR","Monaco","MCO","-9","-9"
"2002","United Kingdom","GBR","Liechtenstein","LIE","-9","-9"
"2002","United Kingdom","GBR","Switzerland","CHE","7433.0679","4236.3164"
"2002","United Kingdom","GBR","Spain","ESP","11029.87","9936.4268"
"2002","United Kingdom","GBR","Andorra","AND","-9","-9"
"2002","United Kingdom","GBR","Portugal","PRT","2307.2678","2008.5918"
"2002","United Kingdom","GBR","Germany","DEU","43373.32","31775.975"
"2002","United Kingdom","GBR","Poland","POL","1939.1039","2142.1475"
"2002","United Kingdom","GBR","Austria","AUT","3212.4697","1865.2543"
"2002","United Kingdom","GBR","Hungary","HUN","1301.64","1062.223"
"2002","United Kingdom","GBR","Czech Republic","CZE","1910.7201","1396.6332"
"2002","United Kingdom","GBR","Slovakia","SVK","324.00418","459.95776"
"2002","United Kingdom","GBR","Italy","ITA","14782.701","12169.604"
"2002","United Kingdom","GBR","San Marino","SMR","-9","-9"
"2002","United Kingdom","GBR","Malta","MLT","258.17148","294.64429"
"2002","United Kingdom","GBR","Albania","ALB","4.3837342","46.072243"
"2002","United Kingdom","GBR","Macedonia","MKD","25.599161","32.77784"
"2002","United Kingdom","GBR","Croatia","HRV","105.16595","217.74014"
"2002","United Kingdom","GBR","Yugoslavia","YUG","-9","-9"
"2002","United Kingdom","GBR","Bosnia and Herzegovina","BIH","5.7362051","26.38241"
"2002","United Kingdom","GBR","Slovenia","SVN","262.7905","263.16849"
"2002","United Kingdom","GBR","Greece","GRC","759.71606","1277.5002"
"2002","United Kingdom","GBR","Cyprus","CYP","378.0954","342.98688"
"2002","United Kingdom","GBR","Bulgaria","BGR","178.86649","205.64301"
"2002","United Kingdom","GBR","Moldova","MDA","4.4432793","9.7560997"
"2002","United Kingdom","GBR","Romania","ROU","801.04272","683.09998"
"2002","United Kingdom","GBR","Russia","RUS","2972.2693","1099.3612"
"2002","United Kingdom","GBR","Estonia","EST","510.02048","135.48"
"2002","United Kingdom","GBR","Latvia","LVA","706.65155","93.6166"
"2002","United Kingdom","GBR","Lithuania","LTU","408.94894","252.112"
"2002","United Kingdom","GBR","Ukraine","UKR","220.05612","263.01837"
"2002","United Kingdom","GBR","Belarus","BLR","51.252762","67.733902"
"2002","United Kingdom","GBR","Armenia","ARM","0.504242","28.124512"
"2002","United Kingdom","GBR","Georgia","GEO","3.9426322","27.162294"
"2002","United Kingdom","GBR","Azerbaijan","AZE","16.571047","85.239807"
"2002","United Kingdom","GBR","Finland","FIN","3979.6421","1902.1962"
"2002","United Kingdom","GBR","Sweden","SWE","6198.1489","5895.2183"
"2002","United Kingdom","GBR","Norway","NOR","8331.957","2513.696"
"2002","United Kingdom","GBR","Denmark","DNK","3825.6218","4311.3911"
"2002","United Kingdom","GBR","Iceland","ISL","467.4791","169.71725"
"2002","United Kingdom","GBR","Cape Verde","CPV","-9","-9"
"2002","United Kingdom","GBR","Sao Tome and Principe","STP","0.10172688","4.5484843"
"2002","United Kingdom","GBR","Guinea-Bissau","GNB","0","1.7891737"
"2002","United Kingdom","GBR","Equatorial Guinea","GNQ","10.137069","60.81213"
"2002","United Kingdom","GBR","Gambia","GMB","5.9947777","27.136114"
"2002","United Kingdom","GBR","Mali","MLI","5.3229327","32.183308"
"2002","United Kingdom","GBR","Senegal","SEN","15.504986","24.994774"
"2002","United Kingdom","GBR","Benin","BEN","10.581593","35.700195"
"2002","United Kingdom","GBR","Mauritania","MRT","2.5376308","24.247202"
"2002","United Kingdom","GBR","Niger","NER","0.79970682","7.407877"
"2002","United Kingdom","GBR","Ivory Coast","CIV","140.47513","64.456223"
"2002","United Kingdom","GBR","Guinea","GIN","4.2535911","44.04076"
"2002","United Kingdom","GBR","Burkina Faso","BFA","0.34359545","5.0573311"
"2002","United Kingdom","GBR","Liberia","LBR","4.6736064","10.435666"
"2002","United Kingdom","GBR","Sierra Leone","SLE","4.0089445","53.448624"
"2002","United Kingdom","GBR","Ghana","GHA","180.56374","231.83989"
"2002","United Kingdom","GBR","Togo","TGO","2.3401203","6.729754"
"2002","United Kingdom","GBR","Cameroon","CMR","97.658478","59.728477"
"2002","United Kingdom","GBR","Nigeria","NGA","144.17558","1094.991"
"2002","United Kingdom","GBR","Gabon","GAB","8.6909094","40.898476"
"2002","United Kingdom","GBR","Central African Republic","CAF","0.29491985","3.1671135"
"2002","United Kingdom","GBR","Chad","TCD","0.18014315","7.4110785"
"2002","United Kingdom","GBR","Congo","COG","8.8586521","25.02833"
"2002","United Kingdom","GBR","Democratic Republic of the Congo","COD","1.4587555","9.1485205"
"2002","United Kingdom","GBR","Uganda","UGA","15.901505","67.738365"
"2002","United Kingdom","GBR","Kenya","KEN","324.33286","268.41925"
"2002","United Kingdom","GBR","Tanzania","TZA","57.963997","94.910896"
"2002","United Kingdom","GBR","Burundi","BDI","0.66633224","1.6104231"
"2002","United Kingdom","GBR","Rwanda","RWA","1.7736019","5.5310106"
"2002","United Kingdom","GBR","Somalia","SOM","0.0484569","15.638912"
"2002","United Kingdom","GBR","Djibouti","DJI","0.1519144","21.226425"
"2002","United Kingdom","GBR","Ethiopia","ETH","104.86496","73.054817"
"2002","United Kingdom","GBR","Eritrea","ERI","0.15415591","5.4151578"
"2002","United Kingdom","GBR","Angola","AGO","40.308483","110.17738"
"2002","United Kingdom","GBR","Mozambique","MOZ","5.97859","12.038486"
"2002","United Kingdom","GBR","Zambia","ZMB","16.151115","87.998734"
"2002","United Kingdom","GBR","Zimbabwe","ZWE","127.95897","67.438919"
"2002","United Kingdom","GBR","Malawi","MWI","19.068935","22.065424"
"2002","United Kingdom","GBR","South Africa","ZAF","4207.5884","2609.8042"
"2002","United Kingdom","GBR","Namibia","NAM","270.21188","12.618186"
"2002","United Kingdom","GBR","Lesotho","LSO","1.6643217","1.545189"
"2002","United Kingdom","GBR","Botswana","BWA","1547.8423","25.197691"
"2002","United Kingdom","GBR","Swaziland","SWZ","53.25769","4.2362003"
"2002","United Kingdom","GBR","Madagascar","MDG","26.417351","4.5439825"
"2002","United Kingdom","GBR","Comoros","COM","0.31481394","1.2333069"
"2002","United Kingdom","GBR","Mauritius","MUS","508.276","79.181084"
"2002","United Kingdom","GBR","Seychelles","SYC","93.162056","27.499832"
"2002","United Kingdom","GBR","Morocco","MAR","706.00061","582.12354"
"2002","United Kingdom","GBR","Algeria","DZA","509.70975","304.07816"
"2002","United Kingdom","GBR","Tunisia","TUN","171.89481","224.77611"
"2002","United Kingdom","GBR","Libya","LBY","251.96321","354.46909"
"2002","United Kingdom","GBR","Sudan","SDN","11.565799","117.46616"
"2002","United Kingdom","GBR","Iran","IRN","53.89587","690.57111"
"2002","United Kingdom","GBR","Turkey","TUR","3486.8701","2438.2964"
"2002","United Kingdom","GBR","Iraq","IRQ","0.14428483","78.222542"
"2002","United Kingdom","GBR","Egypt","EGY","648.46942","311.12128"
"2002","United Kingdom","GBR","Syria","SYR","176.51573","139.20142"
"2002","United Kingdom","GBR","Lebanon","LBN","30.210875","252.60396"
"2002","United Kingdom","GBR","Jordan","JOR","48.216503","187.15279"
"2002","United Kingdom","GBR","Israel","ISR","1360.74","2226.8"
"2002","United Kingdom","GBR","Saudi Arabia","SAU","1086.498","1930.7925"
"2002","United Kingdom","GBR","Yemen","YEM","59.225624","84.894554"
"2002","United Kingdom","GBR","Kuwait","KWT","433.1683","515.34082"
"2002","United Kingdom","GBR","Bahrain","BHR","116.6735","220.51746"
"2002","United Kingdom","GBR","Qatar","QAT","42.874043","308.70056"
"2002","United Kingdom","GBR","United Arab Emirates","ARE","1075.9042","2235.7"
"2002","United Kingdom","GBR","Oman","OMN","129.55658","364.39871"
"2002","United Kingdom","GBR","Afghanistan","AFG","0.38345411","4.9031272"
"2002","United Kingdom","GBR","Turkmenistan","TKM","7.2032609","21.059874"
"2002","United Kingdom","GBR","Tajikistan","TJK","2.3789077","3.2"
"2002","United Kingdom","GBR","Kyrgyzstan","KGZ","0.30382615","2.78"
"2002","United Kingdom","GBR","Uzbekistan","UZB","32.66378","23.983648"
"2002","United Kingdom","GBR","Kazakhstan","KAZ","51.885841","259.72241"
"2002","United Kingdom","GBR","China","CHN","19246.984","6729.1997"
"2002","United Kingdom","GBR","Mongolia","MNG","5.2382421","2.8111"
"2002","United Kingdom","GBR","Taiwan","TWN","3715.9189","1285.0441"
"2002","United Kingdom","GBR","North Korea","PRK","1.461393","27.424889"
"2002","United Kingdom","GBR","South Korea","KOR","4307.3301","2437.384"
"2002","United Kingdom","GBR","Japan","JPN","12734.347","5395.1646"
"2002","United Kingdom","GBR","India","IND","2808.6238","2723.5723"
"2002","United Kingdom","GBR","Bhutan","BTN","0.96483737","1.908583"
"2002","United Kingdom","GBR","Pakistan","PAK","734.5766","366.90765"
"2002","United Kingdom","GBR","Bangladesh","BGD","725.63281","223.42316"
"2002","United Kingdom","GBR","Myanmar","MMR","96.572708","12.094324"
"2002","United Kingdom","GBR","Sri Lanka","LKA","633.44849","262.06262"
"2002","United Kingdom","GBR","Maldives","MDV","10.820723","6.4465127"
"2002","United Kingdom","GBR","Nepal","NPL","13.316146","36.400002"
"2002","United Kingdom","GBR","Thailand","THA","2419.7659","852.79053"
"2002","United Kingdom","GBR","Cambodia","KHM","134.28217","15.05"
"2002","United Kingdom","GBR","Laos","LAO","14.690508","2.6018999"
"2002","United Kingdom","GBR","Vietnam","VNM","733.39728","166.5"
"2002","United Kingdom","GBR","Malaysia","MYS","2701.6448","1570.6846"
"2002","United Kingdom","GBR","Singapore","SGP","3054.1289","2353.374"
"2002","United Kingdom","GBR","Brunei","BRN","53.881039","100.25536"
"2002","United Kingdom","GBR","Philippines","PHL","1464.7426","463.68796"
"2002","United Kingdom","GBR","Indonesia","IDN","1619.7861","656.22852"
"2002","United Kingdom","GBR","East Timor","TLS","-9","-9"
"2002","United Kingdom","GBR","Australia","AUS","2665.4885","3500.1172"
"2002","United Kingdom","GBR","Papua New Guinea","PNG","73.9701","20.505167"
"2002","United Kingdom","GBR","New Zealand","NZL","820.35962","555.4278"
"2002","United Kingdom","GBR","Vanuatu","VUT","0.27225778","0.65936494"
"2002","United Kingdom","GBR","Solomon Islands","SLB","0.030015957","0.63943833"
"2002","United Kingdom","GBR","Kiribati","KIR","0.25367901","0.25645512"
"2002","United Kingdom","GBR","Tuvalu","TUV","0.76522988","0.049675226"
"2002","United Kingdom","GBR","Fiji","FJI","71.961037","5.0794106"
"2002","United Kingdom","GBR","Tonga","TON","0.043593906","1.3467873"
"2002","United Kingdom","GBR","Nauru","NRU","0.1182026","0.6986177"
"2002","United Kingdom","GBR","Marshall Islands","MHL","-9","-9"
"2002","United Kingdom","GBR","Palau","PLW","0","0.076117054"
"2002","United Kingdom","GBR","Federated States of Micronesia","FSM","-9","-9"
"2002","United Kingdom","GBR","Samoa","WSM","0.12059747","2.1367824"
