"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2002","Laos","LAO","United States of America","USA","4.6199999","2.9000001"
"2002","Laos","LAO","Canada","CAN","0.027034866","2.3696423"
"2002","Laos","LAO","Bahamas","BHS","-9","-9"
"2002","Laos","LAO","Cuba","CUB","-9","-9"
"2002","Laos","LAO","Haiti","HTI","-9","-9"
"2002","Laos","LAO","Dominican Republic","DOM","0","0.010553708"
"2002","Laos","LAO","Jamaica","JAM","0","0"
"2002","Laos","LAO","Trinidad and Tobago","TTO","0","0.000154913"
"2002","Laos","LAO","Barbados","BRB","0","0.0072"
"2002","Laos","LAO","Dominica","DMA","-9","-9"
"2002","Laos","LAO","Grenada","GRD","-9","0"
"2002","Laos","LAO","St. Lucia","LCA","0","0"
"2002","Laos","LAO","St. Vincent and the Grenadines","VCT","-9","-9"
"2002","Laos","LAO","Antigua & Barbuda","ATG","-9","-9"
"2002","Laos","LAO","St. Kitts and Nevis","KNA","-9","0.00037098"
"2002","Laos","LAO","Mexico","MEX","0","0"
"2002","Laos","LAO","Belize","BLZ","-9","-9"
"2002","Laos","LAO","Guatemala","GTM","0","0"
"2002","Laos","LAO","Honduras","HND","-9","-9"
"2002","Laos","LAO","El Salvador","SLV","0","0"
"2002","Laos","LAO","Nicaragua","NIC","-9","0"
"2002","Laos","LAO","Costa Rica","CRI","0","0"
"2002","Laos","LAO","Panama","PAN","-9","0"
"2002","Laos","LAO","Colombia","COL","0","0.057126999"
"2002","Laos","LAO","Venezuela","VEN","-9","-9"
"2002","Laos","LAO","Guyana","GUY","-9","-9"
"2002","Laos","LAO","Suriname","SUR","-9","-9"
"2002","Laos","LAO","Ecuador","ECU","0","0"
"2002","Laos","LAO","Peru","PER","0.001489567","0.003723304"
"2002","Laos","LAO","Brazil","BRA","0.0077","0.044415802"
"2002","Laos","LAO","Bolivia","BOL","-9","0"
"2002","Laos","LAO","Paraguay","PRY","0","0"
"2002","Laos","LAO","Chile","CHL","0","0"
"2002","Laos","LAO","Argentina","ARG","0.002255","0.00011"
"2002","Laos","LAO","Uruguay","URY","-9","0.001606203"
"2002","Laos","LAO","United Kingdom","GBR","2.6018999","14.690508"
"2002","Laos","LAO","Ireland","IRL","1.24927","1.3608"
"2002","Laos","LAO","Netherlands","NLD","5.59339","11.6381"
"2002","Laos","LAO","Belgium","BEL","2.775929","14.91"
"2002","Laos","LAO","Luxembourg","LUX","0.01298","0.1811"
"2002","Laos","LAO","France","FRA","8.9337597","37.206699"
"2002","Laos","LAO","Monaco","MCO","-9","-9"
"2002","Laos","LAO","Liechtenstein","LIE","-9","-9"
"2002","Laos","LAO","Switzerland","CHE","0.78809476","1.6942174"
"2002","Laos","LAO","Spain","ESP","1.3135099","4.5893002"
"2002","Laos","LAO","Andorra","AND","-9","-9"
"2002","Laos","LAO","Portugal","PRT","0","0.186"
"2002","Laos","LAO","Germany","DEU","4.1118002","24.209"
"2002","Laos","LAO","Poland","POL","0.027720001","2.1826"
"2002","Laos","LAO","Austria","AUT","0.035089999","0.1105"
"2002","Laos","LAO","Hungary","HUN","0","0.92699999"
"2002","Laos","LAO","Czech Republic","CZE","0.1007987","0.40319479"
"2002","Laos","LAO","Slovakia","SVK","0.030681545","0.15840332"
"2002","Laos","LAO","Italy","ITA","1.30427","11.0686"
"2002","Laos","LAO","San Marino","SMR","-9","-9"
"2002","Laos","LAO","Malta","MLT","0.00190766","0.061226372"
"2002","Laos","LAO","Albania","ALB","0","0"
"2002","Laos","LAO","Macedonia","MKD","0","0.001640624"
"2002","Laos","LAO","Croatia","HRV","0","0.158582"
"2002","Laos","LAO","Yugoslavia","YUG","-9","-9"
"2002","Laos","LAO","Bosnia and Herzegovina","BIH","-9","-9"
"2002","Laos","LAO","Slovenia","SVN","0","0.19461"
"2002","Laos","LAO","Greece","GRC","0","0.3197"
"2002","Laos","LAO","Cyprus","CYP","0","0.051276788"
"2002","Laos","LAO","Bulgaria","BGR","0.0022","0.17900001"
"2002","Laos","LAO","Moldova","MDA","0","0"
"2002","Laos","LAO","Romania","ROU","0","0.059999999"
"2002","Laos","LAO","Russia","RUS","4.4128833","0.162697"
"2002","Laos","LAO","Estonia","EST","0","0.090000004"
"2002","Laos","LAO","Latvia","LVA","0","0.003235243"
"2002","Laos","LAO","Lithuania","LTU","0","0.0136"
"2002","Laos","LAO","Ukraine","UKR","0.23338699","0.024630001"
"2002","Laos","LAO","Belarus","BLR","0","0"
"2002","Laos","LAO","Armenia","ARM","-9","0"
"2002","Laos","LAO","Georgia","GEO","-9","0"
"2002","Laos","LAO","Azerbaijan","AZE","0.123574","0"
"2002","Laos","LAO","Finland","FIN","0.33715001","0.9989"
"2002","Laos","LAO","Sweden","SWE","9.6775999","0.7427479"
"2002","Laos","LAO","Norway","NOR","1.552367","2.6377907"
"2002","Laos","LAO","Denmark","DNK","0.45980132","0.67133528"
"2002","Laos","LAO","Iceland","ISL","0","0.03743561"
"2002","Laos","LAO","Cape Verde","CPV","-9","-9"
"2002","Laos","LAO","Sao Tome and Principe","STP","-9","-9"
"2002","Laos","LAO","Guinea-Bissau","GNB","-9","-9"
"2002","Laos","LAO","Equatorial Guinea","GNQ","-9","-9"
"2002","Laos","LAO","Gambia","GMB","0","0"
"2002","Laos","LAO","Mali","MLI","-9","-9"
"2002","Laos","LAO","Senegal","SEN","0","0.002988573"
"2002","Laos","LAO","Benin","BEN","0","0"
"2002","Laos","LAO","Mauritania","MRT","0","-9"
"2002","Laos","LAO","Niger","NER","-9","0"
"2002","Laos","LAO","Ivory Coast","CIV","0","0.003963822"
"2002","Laos","LAO","Guinea","GIN","-9","-9"
"2002","Laos","LAO","Burkina Faso","BFA","0","0"
"2002","Laos","LAO","Liberia","LBR","-9","-9"
"2002","Laos","LAO","Sierra Leone","SLE","-9","-9"
"2002","Laos","LAO","Ghana","GHA","0","0"
"2002","Laos","LAO","Togo","TGO","0","0.004444443"
"2002","Laos","LAO","Cameroon","CMR","0","0"
"2002","Laos","LAO","Nigeria","NGA","0","0.21253872"
"2002","Laos","LAO","Gabon","GAB","-9","0"
"2002","Laos","LAO","Central African Republic","CAF","0","-9"
"2002","Laos","LAO","Chad","TCD","-9","-9"
"2002","Laos","LAO","Congo","COG","-9","0"
"2002","Laos","LAO","Democratic Republic of the Congo","COD","-9","-9"
"2002","Laos","LAO","Uganda","UGA","0","0"
"2002","Laos","LAO","Kenya","KEN","-9","-9"
"2002","Laos","LAO","Tanzania","TZA","0.000615833","0"
"2002","Laos","LAO","Burundi","BDI","0","0"
"2002","Laos","LAO","Rwanda","RWA","-9","0"
"2002","Laos","LAO","Somalia","SOM","0","0"
"2002","Laos","LAO","Djibouti","DJI","0","-9"
"2002","Laos","LAO","Ethiopia","ETH","-9","-9"
"2002","Laos","LAO","Eritrea","ERI","-9","-9"
"2002","Laos","LAO","Angola","AGO","0","0"
"2002","Laos","LAO","Mozambique","MOZ","0","0"
"2002","Laos","LAO","Zambia","ZMB","0","0"
"2002","Laos","LAO","Zimbabwe","ZWE","0","0"
"2002","Laos","LAO","Malawi","MWI","-9","-9"
"2002","Laos","LAO","South Africa","ZAF","2.1333687","0.035329726"
"2002","Laos","LAO","Namibia","NAM","-9","-9"
"2002","Laos","LAO","Lesotho","LSO","0","-9"
"2002","Laos","LAO","Botswana","BWA","0","0"
"2002","Laos","LAO","Swaziland","SWZ","0","-9"
