"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2003","Afghanistan","AFG","United States of America","USA","66.660004","62.900002"
"2003","Afghanistan","AFG","Canada","CAN","6.5194039","0.49317178"
"2003","Afghanistan","AFG","Bahamas","BHS","0","0"
"2003","Afghanistan","AFG","Cuba","CUB","-9","-9"
"2003","Afghanistan","AFG","Haiti","HTI","-9","-9"
"2003","Afghanistan","AFG","Dominican Republic","DOM","0","0"
"2003","Afghanistan","AFG","Jamaica","JAM","0","0"
"2003","Afghanistan","AFG","Trinidad and Tobago","TTO","0","0.05907945"
"2003","Afghanistan","AFG","Barbados","BRB","0.015889499","0.00123"
"2003","Afghanistan","AFG","Dominica","DMA","-9","0"
"2003","Afghanistan","AFG","Grenada","GRD","-9","0"
"2003","Afghanistan","AFG","St. Lucia","LCA","0","0"
"2003","Afghanistan","AFG","St. Vincent and the Grenadines","VCT","0","0.001395556"
"2003","Afghanistan","AFG","Antigua & Barbuda","ATG","-9","-9"
"2003","Afghanistan","AFG","St. Kitts and Nevis","KNA","-9","0.026787972"
"2003","Afghanistan","AFG","Mexico","MEX","0","0"
"2003","Afghanistan","AFG","Belize","BLZ","0","0"
"2003","Afghanistan","AFG","Guatemala","GTM","0.22539","0.57690001"
"2003","Afghanistan","AFG","Honduras","HND","0.009563308","0.33891901"
"2003","Afghanistan","AFG","El Salvador","SLV","0","0.00037914"
"2003","Afghanistan","AFG","Nicaragua","NIC","-9","-9"
"2003","Afghanistan","AFG","Costa Rica","CRI","0","0.13706696"
"2003","Afghanistan","AFG","Panama","PAN","-9","-9"
"2003","Afghanistan","AFG","Colombia","COL","0.044077002","0.187521"
"2003","Afghanistan","AFG","Venezuela","VEN","0","0.016000001"
"2003","Afghanistan","AFG","Guyana","GUY","0","-9"
"2003","Afghanistan","AFG","Suriname","SUR","0","-9"
"2003","Afghanistan","AFG","Ecuador","ECU","0.0038687","0"
"2003","Afghanistan","AFG","Peru","PER","0","0.002022735"
"2003","Afghanistan","AFG","Brazil","BRA","0.37045029","0.2380081"
"2003","Afghanistan","AFG","Bolivia","BOL","-9","0"
"2003","Afghanistan","AFG","Paraguay","PRY","0","0"
"2003","Afghanistan","AFG","Chile","CHL","0","0.035232998"
"2003","Afghanistan","AFG","Argentina","ARG","0.1815","0.137218"
"2003","Afghanistan","AFG","Uruguay","URY","0.0293249","0"
"2003","Afghanistan","AFG","United Kingdom","GBR","17.720152","0.75354713"
"2003","Afghanistan","AFG","Ireland","IRL","3.17647","0.0524"
"2003","Afghanistan","AFG","Netherlands","NLD","17.65126","0.043900002"
"2003","Afghanistan","AFG","Belgium","BEL","7.137269","6.9036674"
"2003","Afghanistan","AFG","Luxembourg","LUX","0.024089999","0.0033"
"2003","Afghanistan","AFG","France","FRA","36.98904","41.261902"
"2003","Afghanistan","AFG","Monaco","MCO","-9","-9"
"2003","Afghanistan","AFG","Liechtenstein","LIE","-9","-9"
"2003","Afghanistan","AFG","Switzerland","CHE","0.88571328","0.77492768"
"2003","Afghanistan","AFG","Spain","ESP","2.8169899","0.0152"
"2003","Afghanistan","AFG","Andorra","AND","-9","-9"
"2003","Afghanistan","AFG","Portugal","PRT","0.35123","0.055500001"
"2003","Afghanistan","AFG","Germany","DEU","103.2339","4.947"
"2003","Afghanistan","AFG","Poland","POL","3.70293","0.39449999"
"2003","Afghanistan","AFG","Austria","AUT","3.9472401","0.0129"
"2003","Afghanistan","AFG","Hungary","HUN","3.2978001","0.123"
"2003","Afghanistan","AFG","Czech Republic","CZE","1.568534","0.15597859"
"2003","Afghanistan","AFG","Slovakia","SVK","1.1599336","0"
"2003","Afghanistan","AFG","Italy","ITA","21.52623","0.68809998"
"2003","Afghanistan","AFG","San Marino","SMR","-9","-9"
"2003","Afghanistan","AFG","Malta","MLT","0","0.003758947"
"2003","Afghanistan","AFG","Albania","ALB","0","0"
"2003","Afghanistan","AFG","Macedonia","MKD","0","0.013858569"
"2003","Afghanistan","AFG","Croatia","HRV","1.6886969","0.25446701"
"2003","Afghanistan","AFG","Yugoslavia","YUG","-9","-9"
"2003","Afghanistan","AFG","Bosnia and Herzegovina","BIH","-9","-9"
"2003","Afghanistan","AFG","Slovenia","SVN","0.55568254","0.1280427"
"2003","Afghanistan","AFG","Greece","GRC","0.22792","0.602"
"2003","Afghanistan","AFG","Cyprus","CYP","0.01302048","0.058920983"
"2003","Afghanistan","AFG","Bulgaria","BGR","6.2323184","0.044656619"
"2003","Afghanistan","AFG","Moldova","MDA","0.00011","0.0021"
"2003","Afghanistan","AFG","Romania","ROU","2.079","0"
"2003","Afghanistan","AFG","Russia","RUS","59.859024","6.4582648"
"2003","Afghanistan","AFG","Estonia","EST","0.098999999","0.01"
"2003","Afghanistan","AFG","Latvia","LVA","0.41866001","0.015309"
"2003","Afghanistan","AFG","Lithuania","LTU","0.087119997","0.086999997"
"2003","Afghanistan","AFG","Ukraine","UKR","8.4736738","0.15281001"
"2003","Afghanistan","AFG","Belarus","BLR","17.66688","0.6293"
"2003","Afghanistan","AFG","Armenia","ARM","0.016000001","0"
"2003","Afghanistan","AFG","Georgia","GEO","0.029857475","0"
"2003","Afghanistan","AFG","Azerbaijan","AZE","0.67638999","0.001"
"2003","Afghanistan","AFG","Finland","FIN","0.60742003","6.8884001"
"2003","Afghanistan","AFG","Sweden","SWE","0.95840919","0.077091709"
"2003","Afghanistan","AFG","Norway","NOR","3.0307889","0.14574306"
"2003","Afghanistan","AFG","Denmark","DNK","8.1485519","1.9126631"
"2003","Afghanistan","AFG","Iceland","ISL","0","0"
"2003","Afghanistan","AFG","Cape Verde","CPV","-9","-9"
"2003","Afghanistan","AFG","Sao Tome and Principe","STP","-9","-9"
"2003","Afghanistan","AFG","Guinea-Bissau","GNB","-9","-9"
"2003","Afghanistan","AFG","Equatorial Guinea","GNQ","-9","-9"
"2003","Afghanistan","AFG","Gambia","GMB","0","0"
"2003","Afghanistan","AFG","Mali","MLI","-9","-9"
"2003","Afghanistan","AFG","Senegal","SEN","0","0.005610094"
"2003","Afghanistan","AFG","Benin","BEN","0","0.092888609"
"2003","Afghanistan","AFG","Mauritania","MRT","0","0"
"2003","Afghanistan","AFG","Niger","NER","0","0"
"2003","Afghanistan","AFG","Ivory Coast","CIV","0.001569488","0"
"2003","Afghanistan","AFG","Guinea","GIN","-9","0"
"2003","Afghanistan","AFG","Burkina Faso","BFA","0","0"
"2003","Afghanistan","AFG","Liberia","LBR","-9","-9"
"2003","Afghanistan","AFG","Sierra Leone","SLE","0","0"
"2003","Afghanistan","AFG","Ghana","GHA","0","0"
"2003","Afghanistan","AFG","Togo","TGO","0","0"
"2003","Afghanistan","AFG","Cameroon","CMR","0","0.018653616"
"2003","Afghanistan","AFG","Nigeria","NGA","0","0.074255884"
"2003","Afghanistan","AFG","Gabon","GAB","0","0.001714358"
"2003","Afghanistan","AFG","Central African Republic","CAF","-9","0"
"2003","Afghanistan","AFG","Chad","TCD","-9","-9"
"2003","Afghanistan","AFG","Congo","COG","-9","0.005161732"
"2003","Afghanistan","AFG","Democratic Republic of the Congo","COD","-9","0"
"2003","Afghanistan","AFG","Uganda","UGA","0","0.093518548"
"2003","Afghanistan","AFG","Kenya","KEN","70.923859","0.000180126"
"2003","Afghanistan","AFG","Tanzania","TZA","0.39383194","0.025613092"
"2003","Afghanistan","AFG","Burundi","BDI","-9","0"
"2003","Afghanistan","AFG","Rwanda","RWA","-9","0"
"2003","Afghanistan","AFG","Somalia","SOM","0.00986423","0"
"2003","Afghanistan","AFG","Djibouti","DJI","-9","0"
"2003","Afghanistan","AFG","Ethiopia","ETH","-9","-9"
"2003","Afghanistan","AFG","Eritrea","ERI","-9","-9"
"2003","Afghanistan","AFG","Angola","AGO","-9","-9"
"2003","Afghanistan","AFG","Mozambique","MOZ","0","0"
"2003","Afghanistan","AFG","Zambia","ZMB","0","0"
"2003","Afghanistan","AFG","Zimbabwe","ZWE","0","0"
"2003","Afghanistan","AFG","Malawi","MWI","-9","-9"
"2003","Afghanistan","AFG","South Africa","ZAF","6.4358425","0.066729389"
"2003","Afghanistan","AFG","Namibia","NAM","-9","-9"
"2003","Afghanistan","AFG","Lesotho","LSO","-9","-9"
"2003","Afghanistan","AFG","Botswana","BWA","-9","-9"
"2003","Afghanistan","AFG","Swaziland","SWZ","-9","-9"
"2003","Afghanistan","AFG","Madagascar","MDG","0.082600668","5.27E-05"
"2003","Afghanistan","AFG","Comoros","COM","-9","-9"
"2003","Afghanistan","AFG","Mauritius","MUS","0","0.017129166"
"2003","Afghanistan","AFG","Seychelles","SYC","0","0"
"2003","Afghanistan","AFG","Morocco","MAR","0.069048837","0.000208891"
"2003","Afghanistan","AFG","Algeria","DZA","0.000154706","2.5511308"
"2003","Afghanistan","AFG","Tunisia","TUN","0.033381622","1.5200988"
"2003","Afghanistan","AFG","Libya","LBY","0","0"
"2003","Afghanistan","AFG","Sudan","SDN","-9","-9"
"2003","Afghanistan","AFG","Iran","IRN","0","1"
"2003","Afghanistan","AFG","Turkey","TUR","40.137825","2.6841021"
"2003","Afghanistan","AFG","Iraq","IRQ","0","0"
"2003","Afghanistan","AFG","Egypt","EGY","0.16171101","0.21603"
"2003","Afghanistan","AFG","Syria","SYR","-9","0"
"2003","Afghanistan","AFG","Lebanon","LBN","0.02976127","0.4271419"
"2003","Afghanistan","AFG","Jordan","JOR","0.23598026","0.92401409"
"2003","Afghanistan","AFG","Israel","ISR","-9","-9"
"2003","Afghanistan","AFG","Saudi Arabia","SAU","0.48158389","0.21809866"
"2003","Afghanistan","AFG","Yemen","YEM","0","0"
"2003","Afghanistan","AFG","Kuwait","KWT","0","0.18291301"
"2003","Afghanistan","AFG","Bahrain","BHR","0.23041162","0.067539737"
"2003","Afghanistan","AFG","Qatar","QAT","1.5178709","0"
"2003","Afghanistan","AFG","United Arab Emirates","ARE","3.8335462","3.3"
"2003","Afghanistan","AFG","Oman","OMN","15.63207","0"
"2003","Afghanistan","AFG","Turkmenistan","TKM","81.135452","0.245711"
"2003","Afghanistan","AFG","Tajikistan","TJK","6.3800001","1.6"
"2003","Afghanistan","AFG","Kyrgyzstan","KGZ","6.7409101","0.061062999"
"2003","Afghanistan","AFG","Uzbekistan","UZB","-9","-9"
"2003","Afghanistan","AFG","Kazakhstan","KAZ","54.390598","0.0037"
"2003","Afghanistan","AFG","China","CHN","30.94239","0.61315888"
"2003","Afghanistan","AFG","Mongolia","MNG","0","0"
"2003","Afghanistan","AFG","Taiwan","TWN","0.0682","0.029090909"
"2003","Afghanistan","AFG","North Korea","PRK","0","0"
"2003","Afghanistan","AFG","South Korea","KOR","137.0567","0.169"
"2003","Afghanistan","AFG","Japan","JPN","114.09625","1.9600892"
"2003","Afghanistan","AFG","India","IND","136.72276","34.998344"
"2003","Afghanistan","AFG","Bhutan","BTN","-9","-9"
"2003","Afghanistan","AFG","Pakistan","PAK","449.41083","31.161566"
"2003","Afghanistan","AFG","Bangladesh","BGD","3.5707288","4.0950561"
"2003","Afghanistan","AFG","Myanmar","MMR","0","0"
"2003","Afghanistan","AFG","Sri Lanka","LKA","0.528","0.27000001"
"2003","Afghanistan","AFG","Maldives","MDV","-9","-9"
"2003","Afghanistan","AFG","Nepal","NPL","0","0"
"2003","Afghanistan","AFG","Thailand","THA","11.869405","0.17620723"
"2003","Afghanistan","AFG","Cambodia","KHM","0.036793411","0"
"2003","Afghanistan","AFG","Laos","LAO","0","0"
"2003","Afghanistan","AFG","Vietnam","VNM","0","0"
"2003","Afghanistan","AFG","Malaysia","MYS","2.0181088","0.025732631"
"2003","Afghanistan","AFG","Singapore","SGP","2.1259601","0.27003589"
"2003","Afghanistan","AFG","Brunei","BRN","0.010968535","0.05800882"
"2003","Afghanistan","AFG","Philippines","PHL","0.37772349","0.089823999"
"2003","Afghanistan","AFG","Indonesia","IDN","18.778524","1.175779"
"2003","Afghanistan","AFG","East Timor","TLS","-9","-9"
"2003","Afghanistan","AFG","Australia","AUS","2.4334912","0.10390884"
"2003","Afghanistan","AFG","Papua New Guinea","PNG","0","0"
"2003","Afghanistan","AFG","New Zealand","NZL","0.71087879","0.13625316"
"2003","Afghanistan","AFG","Vanuatu","VUT","-9","-9"
"2003","Afghanistan","AFG","Solomon Islands","SLB","-9","-9"
"2003","Afghanistan","AFG","Kiribati","KIR","-9","-9"
"2003","Afghanistan","AFG","Tuvalu","TUV","-9","-9"
"2003","Afghanistan","AFG","Fiji","FJI","0","0"
"2003","Afghanistan","AFG","Tonga","TON","0","0"
"2003","Afghanistan","AFG","Nauru","NRU","-9","-9"
"2003","Afghanistan","AFG","Marshall Islands","MHL","-9","-9"
"2003","Afghanistan","AFG","Palau","PLW","-9","-9"
"2003","Afghanistan","AFG","Federated States of Micronesia","FSM","-9","-9"
"2003","Afghanistan","AFG","Samoa","WSM","0","-9"
