"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2003","India","IND","United States of America","USA","4890.3804","13752.2"
"2003","India","IND","Canada","CAN","685.98804","1118.6847"
"2003","India","IND","Bahamas","BHS","0.13952647","3.53755"
"2003","India","IND","Cuba","CUB","2.2948227","5.4052019"
"2003","India","IND","Haiti","HTI","0.37047556","7.8344355"
"2003","India","IND","Dominican Republic","DOM","1.3375579","16.057518"
"2003","India","IND","Jamaica","JAM","0.72610974","10.538066"
"2003","India","IND","Trinidad and Tobago","TTO","5.5489039","22.342243"
"2003","India","IND","Barbados","BRB","0.040332526","3.07355"
"2003","India","IND","Dominica","DMA","0.083689377","2.3684027"
"2003","India","IND","Grenada","GRD","0.15437707","0.61366552"
"2003","India","IND","St. Lucia","LCA","0","0.45348969"
"2003","India","IND","St. Vincent and the Grenadines","VCT","1.9617367","0.36067"
"2003","India","IND","Antigua & Barbuda","ATG","0.34510225","3.4752843"
"2003","India","IND","St. Kitts and Nevis","KNA","0","0.28147551"
"2003","India","IND","Mexico","MEX","71.800011","620.51477"
"2003","India","IND","Belize","BLZ","0.12037326","2.4524126"
"2003","India","IND","Guatemala","GTM","0.75405473","22.811001"
"2003","India","IND","Honduras","HND","0.019779813","10.180622"
"2003","India","IND","El Salvador","SLV","1.1105516","7.7783895"
"2003","India","IND","Nicaragua","NIC","0.37745044","11.165905"
"2003","India","IND","Costa Rica","CRI","20.530674","13.431401"
"2003","India","IND","Panama","PAN","10.88163","3.930959"
"2003","India","IND","Colombia","COL","9.3076448","110.56052"
"2003","India","IND","Venezuela","VEN","2.8100173","24.629"
"2003","India","IND","Guyana","GUY","9.4972095","4.8987412"
"2003","India","IND","Suriname","SUR","1.1967258","1.1924063"
"2003","India","IND","Ecuador","ECU","4.9082012","14.658163"
"2003","India","IND","Peru","PER","28.625736","42.214931"
"2003","India","IND","Brazil","BRA","314.33582","534.52081"
"2003","India","IND","Bolivia","BOL","1.5547744","6.9705939"
"2003","India","IND","Paraguay","PRY","0.71981221","6.0683346"
"2003","India","IND","Chile","CHL","159.37804","100.22866"
"2003","India","IND","Argentina","ARG","494.00815","136.15485"
"2003","India","IND","Uruguay","URY","8.8275242","13.052604"
"2003","India","IND","United Kingdom","GBR","3120.0007","3508.5264"
"2003","India","IND","Ireland","IRL","122.84402","132.5224"
"2003","India","IND","Netherlands","NLD","498.10593","1324.6227"
"2003","India","IND","Belgium","BEL","3909.9016","1911.3174"
"2003","India","IND","Luxembourg","LUX","38.133045","14.5383"
"2003","India","IND","France","FRA","1092.2296","1406.4139"
