"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2010","United Arab Emirates","ARE","United States of America","USA","12802.24","1195.8"
"2010","United Arab Emirates","ARE","Canada","CAN","1216.4022","161.88821"
"2010","United Arab Emirates","ARE","Bahamas","BHS","0.72107017","0"
"2010","United Arab Emirates","ARE","Cuba","CUB","2.8842807","0"
"2010","United Arab Emirates","ARE","Haiti","HTI","0","0.91601032"
"2010","United Arab Emirates","ARE","Dominican Republic","DOM","0.70896131","5.0113282"
"2010","United Arab Emirates","ARE","Jamaica","JAM","15.272226","0.98093897"
"2010","United Arab Emirates","ARE","Trinidad and Tobago","TTO","0","0.70243323"
"2010","United Arab Emirates","ARE","Barbados","BRB","0.77696526","0.27176562"
"2010","United Arab Emirates","ARE","Dominica","DMA","0","0"
"2010","United Arab Emirates","ARE","Grenada","GRD","-9","0"
"2010","United Arab Emirates","ARE","St. Lucia","LCA","0","0.6796996"
"2010","United Arab Emirates","ARE","St. Vincent and the Grenadines","VCT","-9","-9"
"2010","United Arab Emirates","ARE","Antigua & Barbuda","ATG","-9","-9"
"2010","United Arab Emirates","ARE","St. Kitts and Nevis","KNA","-9","0.004749464"
"2010","United Arab Emirates","ARE","Mexico","MEX","0","0"
"2010","United Arab Emirates","ARE","Belize","BLZ","-9","-9"
"2010","United Arab Emirates","ARE","Guatemala","GTM","59.795891","6.9822001"
"2010","United Arab Emirates","ARE","Honduras","HND","1.1687222","14.610978"
"2010","United Arab Emirates","ARE","El Salvador","SLV","0.20497774","0.39302099"
"2010","United Arab Emirates","ARE","Nicaragua","NIC","2.5345976","0.7630685"
"2010","United Arab Emirates","ARE","Costa Rica","CRI","7.456387","1.1741052"
"2010","United Arab Emirates","ARE","Panama","PAN","0.053282902","0"
"2010","United Arab Emirates","ARE","Colombia","COL","47.565907","9.5901041"
"2010","United Arab Emirates","ARE","Venezuela","VEN","1.0417","46.516666"
"2010","United Arab Emirates","ARE","Guyana","GUY","0","0"
"2010","United Arab Emirates","ARE","Suriname","SUR","111.52407","0.16649579"
"2010","United Arab Emirates","ARE","Ecuador","ECU","55.977123","15.169014"
"2010","United Arab Emirates","ARE","Peru","PER","7.8458323","6.9271002"
"2010","United Arab Emirates","ARE","Brazil","BRA","2040.5303","195.10884"
"2010","United Arab Emirates","ARE","Bolivia","BOL","0.33682221","1.4593821"
"2010","United Arab Emirates","ARE","Paraguay","PRY","22.080652","0.46534729"
"2010","United Arab Emirates","ARE","Chile","CHL","90.292007","3.3759673"
"2010","United Arab Emirates","ARE","Argentina","ARG","298.98517","26.824629"
"2010","United Arab Emirates","ARE","Uruguay","URY","2.6924279","0.52814668"
"2010","United Arab Emirates","ARE","United Kingdom","GBR","5106.6377","862.48999"
"2010","United Arab Emirates","ARE","Ireland","IRL","315.59494","139.7057"
"2010","United Arab Emirates","ARE","Netherlands","NLD","3246.2324","981.16858"
"2010","United Arab Emirates","ARE","Belgium","BEL","2199.5461","2010.1772"
"2010","United Arab Emirates","ARE","Luxembourg","LUX","100.74647","4.3765998"
"2010","United Arab Emirates","ARE","France","FRA","4970.9146","1029.941"
"2010","United Arab Emirates","ARE","Monaco","MCO","-9","-9"
"2010","United Arab Emirates","ARE","Liechtenstein","LIE","-9","-9"
"2010","United Arab Emirates","ARE","Switzerland","CHE","2388.8013","725.9884"
"2010","United Arab Emirates","ARE","Spain","ESP","1321.3939","168.28329"
"2010","United Arab Emirates","ARE","Andorra","AND","-9","-9"
"2010","United Arab Emirates","ARE","Portugal","PRT","107.80957","29.4552"
"2010","United Arab Emirates","ARE","Germany","DEU","9439.5479","475.44711"
"2010","United Arab Emirates","ARE","Poland","POL","224.40749","19.489799"
"2010","United Arab Emirates","ARE","Austria","AUT","676.39349","46.438499"
"2010","United Arab Emirates","ARE","Hungary","HUN","1000.1288","22.084"
"2010","United Arab Emirates","ARE","Czech Republic","CZE","571.38104","27.991501"
"2010","United Arab Emirates","ARE","Slovakia","SVK","29.357241","0.7809"
"2010","United Arab Emirates","ARE","Italy","ITA","5256.7407","583.27777"
"2010","United Arab Emirates","ARE","San Marino","SMR","-9","-9"
"2010","United Arab Emirates","ARE","Malta","MLT","7.1129298","14.2455"
"2010","United Arab Emirates","ARE","Albania","ALB","12.873061","1.8713945"
"2010","United Arab Emirates","ARE","Montenegro","MNE","0.37323871","0.26452836"
"2010","United Arab Emirates","ARE","Macedonia","MKD","3.8579121","0.98352784"
"2010","United Arab Emirates","ARE","Croatia","HRV","107.4227","10.735"
"2010","United Arab Emirates","ARE","Yugoslavia","YUG","-9","-9"
"2010","United Arab Emirates","ARE","Bosnia and Herzegovina","BIH","-9","-9"
"2010","United Arab Emirates","ARE","Kosovo","KOS","-9","-9"
"2010","United Arab Emirates","ARE","Slovenia","SVN","53.857761","2.1859"
"2010","United Arab Emirates","ARE","Greece","GRC","208.71764","46.3237"
"2010","United Arab Emirates","ARE","Cyprus","CYP","19.208639","38.730801"
"2010","United Arab Emirates","ARE","Bulgaria","BGR","48.15646","29.6061"
"2010","United Arab Emirates","ARE","Moldova","MDA","0.26840001","1.888"
"2010","United Arab Emirates","ARE","Romania","ROU","323.90271","37.680599"
"2010","United Arab Emirates","ARE","Russia","RUS","974.50275","35.796227"
"2010","United Arab Emirates","ARE","Estonia","EST","7.1483498","1.5232"
"2010","United Arab Emirates","ARE","Latvia","LVA","16.829121","2.3080001"
"2010","United Arab Emirates","ARE","Lithuania","LTU","20.35825","3.5727999"
"2010","United Arab Emirates","ARE","Ukraine","UKR","304.98325","50.866264"
"2010","United Arab Emirates","ARE","Belarus","BLR","8.3077497","5.4789"
