"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2011","Italy","ITA","United States of America","USA","16113.91","35093.199"
"2011","Italy","ITA","Canada","CAN","2131.9033","5679.7173"
"2011","Italy","ITA","Bahamas","BHS","2.9983001","116.93495"
"2011","Italy","ITA","Cuba","CUB","89.3526","343.19891"
"2011","Italy","ITA","Haiti","HTI","0.90420002","37.195839"
"2011","Italy","ITA","Dominican Republic","DOM","48.4207","219.9007"
"2011","Italy","ITA","Jamaica","JAM","1.1469001","22.303896"
"2011","Italy","ITA","Trinidad and Tobago","TTO","100.4039","104.61781"
"2011","Italy","ITA","Barbados","BRB","0.73400003","9.0318804"
"2011","Italy","ITA","Dominica","DMA","0.0167","1.1319"
"2011","Italy","ITA","Grenada","GRD","0.092799999","0.82621002"
"2011","Italy","ITA","St. Lucia","LCA","0.047200002","6.19487"
"2011","Italy","ITA","St. Vincent and the Grenadines","VCT","0.49059999","19.174101"
"2011","Italy","ITA","Antigua & Barbuda","ATG","0.13259999","5.6216002"
"2011","Italy","ITA","St. Kitts and Nevis","KNA","0.037900001","1.60017"
"2011","Italy","ITA","Mexico","MEX","1377.8958","5481.0239"
"2011","Italy","ITA","Belize","BLZ","0.058800001","11.3674"
"2011","Italy","ITA","Guatemala","GTM","94.886902","107.96"
"2011","Italy","ITA","Honduras","HND","73.6017","66.349487"
"2011","Italy","ITA","El Salvador","SLV","23.5814","60.644028"
"2011","Italy","ITA","Nicaragua","NIC","44.920502","32.593861"
"2011","Italy","ITA","Costa Rica","CRI","189.2345","166.18919"
"2011","Italy","ITA","Panama","PAN","49.420502","84.505867"
"2011","Italy","ITA","Colombia","COL","776.20697","794.19012"
"2011","Italy","ITA","Venezuela","VEN","470.64539","585.84503"
"2011","Italy","ITA","Guyana","GUY","3.3898001","10.83665"
"2011","Italy","ITA","Suriname","SUR","0.81120002","1.1358479"
"2011","Italy","ITA","Ecuador","ECU","562.76257","284.91919"
"2011","Italy","ITA","Peru","PER","1344.1774","650.23676"
"2011","Italy","ITA","Brazil","BRA","5737.8188","6849.0962"
"2011","Italy","ITA","Bolivia","BOL","48.3922","91.441101"
"2011","Italy","ITA","Paraguay","PRY","297.69449","79.29702"
"2011","Italy","ITA","Chile","CHL","2868.511","1145.4875"
"2011","Italy","ITA","Argentina","ARG","2153.9985","1464.6709"
"2011","Italy","ITA","Uruguay","URY","172.8653","206.95509"
"2011","Italy","ITA","United Kingdom","GBR","15242.815","22472.715"
"2011","Italy","ITA","Ireland","IRL","4337.3364","1116.3322"
"2011","Italy","ITA","Netherlands","NLD","29274.82","11033.467"
"2011","Italy","ITA","Belgium","BEL","20295.549","13429.574"
"2011","Italy","ITA","Luxembourg","LUX","1175.3798","593.14093"
"2011","Italy","ITA","France","FRA","46749.309","54392.836"
"2011","Italy","ITA","Monaco","MCO","-9","-9"
"2011","Italy","ITA","Liechtenstein","LIE","-9","-9"
"2011","Italy","ITA","Switzerland","CHE","13909.448","21642.113"
"2011","Italy","ITA","Spain","ESP","25216.516","26422.164"
"2011","Italy","ITA","Andorra","AND","-9","-9"
"2011","Italy","ITA","Portugal","PRT","2171.6895","4488.0591"
"2011","Italy","ITA","Germany","DEU","86845.508","66968.781"
