"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2012","Antigua & Barbuda","ATG","United States of America","USA","232.39999","9.6999998"
"2012","Antigua & Barbuda","ATG","Canada","CAN","18.87536","1.9056286"
"2012","Antigua & Barbuda","ATG","Bahamas","BHS","0.50860566","0.22923072"
"2012","Antigua & Barbuda","ATG","Cuba","CUB","-9","-9"
"2012","Antigua & Barbuda","ATG","Haiti","HTI","0","0"
"2012","Antigua & Barbuda","ATG","Dominican Republic","DOM","12.108288","5.2762122"
"2012","Antigua & Barbuda","ATG","Jamaica","JAM","5.9555831","0.028893"
"2012","Antigua & Barbuda","ATG","Trinidad and Tobago","TTO","103.31697","0.60024804"
"2012","Antigua & Barbuda","ATG","Barbados","BRB","21.115063","0.88473272"
"2012","Antigua & Barbuda","ATG","Dominica","DMA","17.008312","1.9493569"
"2012","Antigua & Barbuda","ATG","Grenada","GRD","9.0318851","1.3270583"
"2012","Antigua & Barbuda","ATG","St. Lucia","LCA","9.9202929","2.7785704"
"2012","Antigua & Barbuda","ATG","St. Vincent and the Grenadines","VCT","5.6042128","0.14192054"
"2012","Antigua & Barbuda","ATG","St. Kitts and Nevis","KNA","0.81806993","4.9588733"
"2012","Antigua & Barbuda","ATG","Mexico","MEX","0","0"
"2012","Antigua & Barbuda","ATG","Belize","BLZ","1.3751166","0.34377915"
"2012","Antigua & Barbuda","ATG","Guatemala","GTM","0.773","0"
"2012","Antigua & Barbuda","ATG","Honduras","HND","0.5640682","0"
"2012","Antigua & Barbuda","ATG","El Salvador","SLV","0.047427472","0"
"2012","Antigua & Barbuda","ATG","Nicaragua","NIC","-9","-9"
"2012","Antigua & Barbuda","ATG","Costa Rica","CRI","0.40313256","0.00014735"
"2012","Antigua & Barbuda","ATG","Panama","PAN","-9","-9"
"2012","Antigua & Barbuda","ATG","Colombia","COL","1.927454","0.051020999"
"2012","Antigua & Barbuda","ATG","Venezuela","VEN","0.052503888","0.10878501"
"2012","Antigua & Barbuda","ATG","Guyana","GUY","22.602716","7.1779652"
"2012","Antigua & Barbuda","ATG","Suriname","SUR","0.10459045","5.7570114"
"2012","Antigua & Barbuda","ATG","Ecuador","ECU","0.100818","0"
"2012","Antigua & Barbuda","ATG","Peru","PER","0.51196003","0"
"2012","Antigua & Barbuda","ATG","Brazil","BRA","6.3470879","0.34007931"
"2012","Antigua & Barbuda","ATG","Bolivia","BOL","0","0.000235"
"2012","Antigua & Barbuda","ATG","Paraguay","PRY","-9","0"
"2012","Antigua & Barbuda","ATG","Chile","CHL","0.98711985","0"
"2012","Antigua & Barbuda","ATG","Argentina","ARG","0.58775401","0.000148"
"2012","Antigua & Barbuda","ATG","Uruguay","URY","1.0838747","-9"
"2012","Antigua & Barbuda","ATG","United Kingdom","GBR","13.0466","0.7859"
"2012","Antigua & Barbuda","ATG","Ireland","IRL","0.0082","0.0006"
"2012","Antigua & Barbuda","ATG","Netherlands","NLD","40.3209","0.28169999"
"2012","Antigua & Barbuda","ATG","Belgium","BEL","0.82059997","0.052499998"
"2012","Antigua & Barbuda","ATG","Luxembourg","LUX","0","0"
"2012","Antigua & Barbuda","ATG","France","FRA","5.2174001","0.29010001"
"2012","Antigua & Barbuda","ATG","Monaco","MCO","-9","-9"
"2012","Antigua & Barbuda","ATG","Liechtenstein","LIE","-9","-9"
"2012","Antigua & Barbuda","ATG","Switzerland","CHE","2.328645","0.85904443"
"2012","Antigua & Barbuda","ATG","Spain","ESP","7.6044002","0.20460001"
"2012","Antigua & Barbuda","ATG","Andorra","AND","-9","-9"
"2012","Antigua & Barbuda","ATG","Portugal","PRT","1.0692","0.086300001"
"2012","Antigua & Barbuda","ATG","Germany","DEU","9.0433998","0.22"
"2012","Antigua & Barbuda","ATG","Poland","POL","0.15449999","0.2057"
"2012","Antigua & Barbuda","ATG","Austria","AUT","0.062899999","0.0197"
"2012","Antigua & Barbuda","ATG","Hungary","HUN","0.0176","0"
"2012","Antigua & Barbuda","ATG","Czech Republic","CZE","0.043099999","0.1066"
"2012","Antigua & Barbuda","ATG","Slovakia","SVK","0.0069","0"
"2012","Antigua & Barbuda","ATG","Italy","ITA","4.7319999","0.1347"
"2012","Antigua & Barbuda","ATG","San Marino","SMR","-9","-9"
"2012","Antigua & Barbuda","ATG","Malta","MLT","0.34560001","0.1882"
"2012","Antigua & Barbuda","ATG","Albania","ALB","0","0.023159599"
"2012","Antigua & Barbuda","ATG","Montenegro","MNE","0","0"
"2012","Antigua & Barbuda","ATG","Macedonia","MKD","0","0"
"2012","Antigua & Barbuda","ATG","Croatia","HRV","0.011","0"
"2012","Antigua & Barbuda","ATG","Yugoslavia","YUG","-9","-9"
"2012","Antigua & Barbuda","ATG","Bosnia and Herzegovina","BIH","-9","-9"
"2012","Antigua & Barbuda","ATG","Kosovo","KOS","-9","-9"
"2012","Antigua & Barbuda","ATG","Slovenia","SVN","0.0026","1.00E-04"
"2012","Antigua & Barbuda","ATG","Greece","GRC","0.103","0.0042"
