statename,stateabb,year,imports,exports
United States of America,USA,1992,552613.3,447385.9
Canada,CAN,1992,137327.9477,133447.2096
Bahamas,BHM,1992,2497.087996,1056.994922
Cuba,CUB,1992,1517.107051,1163.977589
Haiti,HAI,1992,392.2432964,42.14137175
Dominican Republic,DOM,1992,2726.775492,566.107
Jamaica,JAM,1992,1854.841024,1365.010402
Trinidad and Tobago,TRI,1992,1430.294012,1858.372991
Barbados,BAR,1992,552.961,164.8925722
Dominica,DMA,1992,109.3529308,54.05137037
Grenada,GRN,1992,102.3874307,59.4766461
St. Lucia,SLU,1992,306.3385926,124.0161111
St. Vincent and the Grenadines,SVG,1992,124.5559259,78.86518519
Antigua & Barbuda,AAB,1992,,33.2972158
St. Kitts and Nevis,SKN,1992,574.2926463,39.05493935
Mexico,MEX,1992,68343.3014,46200.572
Belize,BLZ,1992,279.571384,112.131441
Guatemala,GUA,1992,2562.3596,1324.5916
Honduras,HON,1992,1104.376,845.049
El Salvador,SAL,1992,1698.504,597.511
Nicaragua,NIC,1992,893.289,223.121
Costa Rica,COS,1992,2789.232,1834.369
Panama,PAN,1992,2023.594315,474.220704
Colombia,COL,1992,6693.422,7065.731
Venezuela,VEN,1992,13575.8843,14065.247
Guyana,GUY,1992,400.0081803,367.0514352
Suriname,SUR,1992,553.7591013,390.7299523
Ecuador,ECU,1992,2501.1579,3007.9185
Peru,PER,1992,4118.4198,3484.403
Brazil,BRA,1992,22609.5067,37044.832
Bolivia,BOL,1992,1131.941713,797.876643
Paraguay,PAR,1992,1399.7093,707.354
Chile,CHL,1992,9928.079,10159.816
Argentina,ARG,1992,14862.39,12228.938
Uruguay,URU,1992,2009.851,1620.203
United Kingdom,UKG,1992,221556.7905,190011.2191
Ireland,IRE,1992,22453.17099,28132.37744
Netherlands,NTH,1992,129813.0786,138620.5607
Belgium,BEL,1992,117052,115782.5
Luxembourg,LUX,1992,117052,115782.5
France,FRN,1992,241299.7714,235241.7718
Liechtenstein,LIE,1992,,
Switzerland,SWZ,1992,65732.81657,65553.03648
Spain,SPN,1992,99833.10391,64022.2492
Portugal,POR,1992,30739.03114,18801.00151
Germany,GMY,1992,403878.8107,425304.7334
Poland,POL,1992,15204.1659,13186.491
Austria,AUS,1992,54164.4802,44405.40996
Hungary,HUN,1992,11110.4,10728
Czechoslovakia,CZE,1992,13946.4105,12319.837
Italy,ITA,1992,186729.7781,177427.9809
San Marino,SNM,1992,,
Malta,MLT,1992,2344.667382,1539.251264
Albania,ALB,1992,574.4585614,114.1085749
Croatia,CRO,1992,,
Yugoslavia,YUG,1992,12467.39211,10841.20437
Bosnia and Herzegovina,BOS,1992,,
Slovenia,SLV,1992,,
Greece,GRC,1992,22818.01509,9437.491916
Cyprus,CYP,1992,3427.446209,1025.093564
Bulgaria,BUL,1992,4348.327,2443.76641
Moldova,MLD,1992,640,470
Romania,ROM,1992,6140.088888,4366.845342
Russia,RUS,1992,34981.4,39931.4
Estonia,EST,1992,533.8401086,354.5357922
Latvia,LAT,1992,907.8179187,951.2373692
Lithuania,LIT,1992,610.0614985,689.2332692
Ukraine,UKR,1992,1941.485809,1511.363797
Belarus,BLR,1992,3402.505,3445.678
Armenia,ARM,1992,51.17653492,6.584860343
Georgia,GRG,1992,58.0373076,77.27780613
Azerbaijan,AZE,1992,997.9240102,1571.24906
Finland,FIN,1992,21082.55184,23788.03658
Sweden,SWD,1992,45535.73542,51994.55658
Norway,NOR,1992,25872.15169,35116.31028
Denmark,DEN,1992,35216.61753,41138.76168
Iceland,ICE,1992,1685.017158,1527.695051
Cape Verde,CAP,1992,,
Sao Tome and Principe,STP,1992,35.25347598,5.117390528
Guinea-Bissau,GNB,1992,115.9582663,12.66976736
Equatorial Guinea,EQG,1992,62.38532477,43.08701225
Gambia,GAM,1992,397.9985802,231.6781044
Mali,MLI,1992,737.760999,216.2317898
Senegal,SEN,1992,1258.259094,741.3682546
Benin,BEN,1992,441.8816357,64.69888319
Mauritania,MAA,1992,600.1718141,448.0519179
Niger,NIR,1992,306.3449634,271.013306
Ivory Coast,CDI,1992,2409.557212,2990.555811
Guinea,GUI,1992,863.2376194,573.3866284
Burkina Faso,BFO,1992,499.7032331,75.6818874
Liberia,LBR,1992,5767.100697,780.5059215
Sierra Leone,SIE,1992,227.9886612,149.9117515
Ghana,GHA,1992,2139.348,1237.009
Togo,TOG,1992,955.7207137,255.8130786
Cameroon,CAO,1992,1162.835825,1840.374996
Nigeria,NIG,1992,9324.13449,12369.70255
Gabon,GAB,1992,968.7884468,2286.047946
Central African Republic,CEN,1992,163.2502975,107.1053113
Chad,CHA,1992,140.7077275,77.171342
Congo,CON,1992,662.3441349,1184.272084
Democratic Republic of the Congo,DRC,1992,809.6645424,1485.753255
Uganda,UGA,1992,398.0454286,179.422412
Kenya,KEN,1992,1883.186636,1333.783
Tanzania,TAZ,1992,1551.974552,474.2646997
Burundi,BUI,1992,223.5244122,73.71389068
Rwanda,RWA,1992,288.33,196.6193311
Somalia,SOM,1992,227.1490958,129.9966744
Djibouti,DJI,1992,470.0113813,95.68643701
Ethiopia,ETH,1992,709.2952721,186.7618198
Angola,ANG,1992,2632.457378,3526.519101
Mozambique,MZM,1992,884.5003662,134.174238
Zambia,ZAM,1992,836.8016962,751.8297287
Zimbabwe,ZIM,1992,2203.064834,1257.615873
