year,importer1,id1,importer2,id2,flow1,flow2
1999,United States of America,USA,Canada,CAN,198828.5,157847.27
1999,United States of America,USA,Bahamas,BHS,200.3,929.5
1999,United States of America,USA,Cuba,CUB,0.60000002,5.5
1999,United States of America,USA,Haiti,HTI,306.39999,668.90997
1999,United States of America,USA,Dominican Republic,DOM,4392.7002,5767.7075
1999,United States of America,USA,Jamaica,JAM,728.40002,1451.323
1999,United States of America,USA,Trinidad and Tobago,TTO,1407.3,1104.2314
1999,United States of America,USA,Barbados,BRB,59.900002,454.05856
1999,United States of America,USA,Dominica,DMA,22.700001,56.664074
1999,United States of America,USA,Grenada,GRD,20.200001,85.926224
1999,United States of America,USA,St. Lucia,LCA,28.4,151.81148
1999,United States of America,USA,St. Vincent and the Grenadines,VCT,7.6999998,77.088066
1999,United States of America,USA,Antigua & Barbuda,ATG,1.9,95
1999,United States of America,USA,St. Kitts and Nevis,KNA,38.700001,89.865746
1999,United States of America,USA,Mexico,MEX,109499,115794.05
1999,United States of America,USA,Belize,BLZ,90.900002,193.04201
1999,United States of America,USA,Guatemala,GTM,2422.1001,1994.1899
1999,United States of America,USA,Honduras,HND,2791.8999,2572.1299
1999,United States of America,USA,El Salvador,SLV,1639.7,1170.9386
1999,United States of America,USA,Nicaragua,NIC,497.29999,636.09998
1999,United States of America,USA,Costa Rica,CRI,4085.2,1639.1824
1999,United States of America,USA,Panama,PAN,396.10001,1237.9261
1999,United States of America,USA,Colombia,COL,6459.1001,3976.7878
1999,United States of America,USA,Venezuela,VEN,11830,5382
1999,United States of America,USA,Guyana,GUY,146,162.14
1999,United States of America,USA,Suriname,SUR,131.8,164.67
1999,United States of America,USA,Ecuador,ECU,2014,1090.76
1999,United States of America,USA,Peru,PER,2064.1001,2312.6807
1999,United States of America,USA,Brazil,BRA,11831.5,13055.902
1999,United States of America,USA,Bolivia,BOL,237.89999,678.17346
1999,United States of America,USA,Paraguay,PRY,51.299999,586.08002
1999,United States of America,USA,Chile,CHL,3250.3,3012.8301
