country,id,year,imports,exports
United States of America,USA,1996,817853.5,623063.9
Canada,CAN,1996,187048.9059,200145.961
Bahamas,BHS,1996,3810.531032,581.0808111
Cuba,CUB,1996,3033.095898,1956.000386
Haiti,HTI,1996,898.7385974,52.96515863
Dominican Republic,DOM,1996,6304.4696,3922.674
Jamaica,JAM,1996,2927.014143,1972.954509
Trinidad and Tobago,TTO,1996,2147.242702,2500.423209
Barbados,BRB,1996,828.9622473,278.961056
Dominica,DMA,1996,134.8741455,53.08556597
Grenada,GRD,1996,154.4258388,20.7785896
St. Lucia,LCA,1996,312.6019563,79.55043778
St. Vincent and the Grenadines,VCT,1996,146.2120276,52.88952213
Antigua & Barbuda,ATG,1996,,75.92684833
St. Kitts and Nevis,KNA,1996,132.6309604,38.32364837
Mexico,MEX,1996,98419.0922,96013.318
Belize,BLZ,1996,255.7695,167.97
Guatemala,GTM,1996,3146.2207,2030.7341
Honduras,HND,1996,1840,1325.120818
El Salvador,SLV,1996,2660.493621,1020.173478
Nicaragua,NIC,1996,1153.7,466.4
Costa Rica,CRI,1996,3561.068698,2779.797909
Panama,PAN,1996,2387.319349,3027.714543
Colombia,COL,1996,14355.60044,10437.09566
Venezuela,VEN,1996,10471.93885,26599.35359
Guyana,GUY,1996,622.2456455,700.5527567
Suriname,SUR,1996,501.564079,438.9282708
Ecuador,ECU,1996,3733.044668,4892.329613
Peru,PER,1996,8385.2054,5853.822
Brazil,BRA,1996,58907.62945,47757.53925
Bolivia,BOL,1996,1657.101634,1216.078343
Paraguay,PRY,1996,3135.5236,1044.449
Chile,CHL,1996,19525.57,17062.85
Argentina,ARG,1996,24427.61653,24216.99294
Uruguay,URY,1996,3322.685,2397.234
United Kingdom,GBR,1996,283605.2192,258297.3003
Ireland,IRL,1996,34960.55101,47363.42301
Netherlands,NLD,1996,160991.394,177452.3356
Belgium,BEL,1996,149683.9063,163030.0938
Luxembourg,LUX,1996,149683.9063,163030.0938
France,FRA,1996,275757.0001,285784.7442
Monaco,MCO,1996,,
Liechtenstein,LIE,1996,,
Switzerland,CHE,1996,78177.4731,79410.52054
Spain,ESP,1996,121864.4406,102055.3167
Andorra,AND,1996,,
Portugal,PRT,1996,34137.00963,23839.18324
Germany,DEU,1996,444548.2846,512760.4523
Poland,POL,1996,37136.811,24447.732
Austria,AUT,1996,67326.71333,57826.03618
Hungary,HUN,1996,16209.138,13144.659
Czech Republic,CZE,1996,30704.85483,22152.50622
Slovakia,SVK,1996,12029.97687,8830.677409
Italy,ITA,1996,206987.564,250874.0571
San Marino,SMR,1996,,
Malta,MLT,1996,2805.377319,1740.473316
Albania,ALB,1996,908.5893235,210.5399817
Macedonia,MKD,1996,1626.800955,1148.215647
Croatia,HRV,1996,7786.54051,4512.06041
Yugoslavia,YUG,1996,,
Bosnia and Herzegovina,BIH,1996,1941.388668,181.100131
Slovenia,SVN,1996,9429.384,8311.903
Greece,GRC,1996,28744.8,11949
Cyprus,CYP,1996,3983.499998,1413.756705
Bulgaria,BGR,1996,4891.372,4780.667
Moldova,MDA,1996,1072.2575,795.187
Romania,ROU,1996,9963.6,7644.4
Russia,RUS,1996,44504.1839,83979.296
Estonia,EST,1996,3209.363,2076.7279
Latvia,LVA,1996,2311.335432,1424.003546
Lithuania,LTU,1996,4404.3984,3281.1074
Ukraine,UKR,1996,17586.2,14400.7
Belarus,BLR,1996,6939.291,5680.6875
Armenia,ARM,1996,861.5083,290.3146
Georgia,GEO,1996,686.757,198.775
Azerbaijan,AZE,1996,960.6366,631.2453
Finland,FIN,1996,29263.97873,38434.01563
Sweden,SWE,1996,66584.1447,84469.89883
Norway,NOR,1996,33936.1359,48662.4278
Denmark,DNK,1996,40936.74511,47119.18965
Iceland,ISL,1996,2044.414936,1882.014406
Cape Verde,CPV,1996,,
Sao Tome and Principe,STP,1996,37.85048157,7.618344949
Guinea-Bissau,GNB,1996,110.2818187,59.72354127
Equatorial Guinea,GNQ,1996,156.9765201,179.961721
Gambia,GMB,1996,272.4103621,22.44981873
Mali,MLI,1996,1111.901813,291.7929292
Senegal,SEN,1996,1324.18129,723.6928868
Benin,BEN,1996,559.1936399,261.9148941
Mauritania,MRT,1996,612.3367549,565.6598455
Niger,NER,1996,289.4151044,219.4261885
Ivory Coast,CIV,1996,2908.845576,4995.986683
Guinea,GIN,1996,606.5923092,659.316178
Burkina Faso,BFA,1996,603.0655199,188.7026105
Liberia,LBR,1996,3819.897441,1029.17892
Sierra Leone,SLE,1996,296.0709921,46.678
Ghana,GHA,1996,3237.675157,1553.705323
Togo,TGO,1996,403.7964787,238.6660541
Cameroon,CMR,1996,1226.510097,1768.873072
Nigeria,NGA,1996,6769.942473,16142.03738
Gabon,GAB,1996,898.499963,3145.606
Central African Republic,CAF,1996,176.3886955,122.4805795
Chad,TCD,1996,175.0601148,117.0823156
Congo,COG,1996,1614.730461,1848.042522
Democratic Republic of the Congo,COD,1996,1353.198572,1463.668438
Uganda,UGA,1996,838.0014335,568.2112597
Kenya,KEN,1996,2750.597762,1994.47833
Tanzania,TZA,1996,1787.256414,763.4631329
Burundi,BDI,1996,124.9952656,37.30478728
Rwanda,RWA,1996,322.730967,168.5184201
Somalia,SOM,1996,282.8843919,192.2281616
Djibouti,DJI,1996,410.2450306,116.1873839
Ethiopia,ETH,1996,1121.896665,440.0680136
Eritrea,ERI,1996,,
Angola,AGO,1996,2078.384332,4543.834788
Mozambique,MOZ,1996,791.922,226.082
Zambia,ZMB,1996,834.2924554,1039.068543
Zimbabwe,ZWE,1996,4123.841616,2237.291959
Malawi,MWI,1996,570.1337108,460.4256462
South Africa,ZAF,1996,,26884.30025
Namibia,NAM,1996,,418.5252792
Lesotho,LSO,1996,,123.8665928
Botswana,BWA,1996,,343.9406634
Swaziland,SWZ,1996,,295.9361741
Madagascar,MDG,1996,600.8014092,299.4831874
Comoros,COM,1996,153.8413067,13.97882176
Mauritius,MUS,1996,2292.948916,1766.931257
Seychelles,SYC,1996,380.2812569,167.0629345
Morocco,MAR,1996,9305.366615,5126.725627
Algeria,DZA,1996,9105.615,11099.194
Tunisia,TUN,1996,7748.752237,5517.989538
Libya,LBY,1996,5587.378468,10154.81671
Sudan,SDN,1996,1298.452378,495.5249912
Iran,IRN,1996,15117,22391
Turkey,TUR,1996,42464.36976,23100.75053
Iraq,IRQ,1996,568.3800044,502.984072
Egypt,EGY,1996,13019.61178,3534.486462
Syria,SYR,1996,5331.545657,7534.57461
Lebanon,LBN,1996,7559.509494,1153.377097
Jordan,JOR,1996,4316.424231,1466.576164
Israel,ISR,1996,29938.4,20338.8
Saudi Arabia,SAU,1996,27764.94553,60790.12631
Yemen,YEM,1996,1852.25511,2412.865072
Kuwait,KWT,1996,8373.796963,13687.87154
Bahrain,BHR,1996,4092.563808,4601.95228
Qatar,QAT,1996,3402.869479,4398.915317
United Arab Emirates,ARE,1996,22638,27689.52455
Oman,OMN,1996,4605.180444,7225.297262
Afghanistan,AFG,1996,660.7962764,128.048777
Turkmenistan,TKM,1996,1313.457,1692.581
Tajikistan,TJK,1996,668.0901,771.5324
Kyrgyzstan,KGZ,1996,795.2,505.933
Uzbekistan,UZB,1996,4854.125058,2619.649349
Kazakhstan,KAZ,1996,4246.7206,5926.2681
China,CHN,1996,138948.63,151164.637
Mongolia,MNG,1996,450.94,424.29
Taiwan,TWN,1996,,129813.9938
