"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1991","Malawi","MWI","United States of America","USA","60.169998","77.699997"
"1991","Malawi","MWI","Canada","CAN","2.2990091","1.230324"
"1991","Malawi","MWI","Bahamas","BHS","0","0"
"1991","Malawi","MWI","Cuba","CUB","-9","-9"
"1991","Malawi","MWI","Haiti","HTI","-9","-9"
"1991","Malawi","MWI","Dominican Republic","DOM","-9","0"
"1991","Malawi","MWI","Jamaica","JAM","0","0.091233999"
"1991","Malawi","MWI","Trinidad and Tobago","TTO","0.001294118","0.12697576"
"1991","Malawi","MWI","Barbados","BRB","0","0.054274999"
"1991","Malawi","MWI","Dominica","DMA","0","0"
"1991","Malawi","MWI","Grenada","GRD","-9","0"
"1991","Malawi","MWI","St. Lucia","LCA","-9","-9"
"1991","Malawi","MWI","St. Vincent and the Grenadines","VCT","0","0.003333333"
"1991","Malawi","MWI","Antigua & Barbuda","ATG","-9","-9"
"1991","Malawi","MWI","St. Kitts and Nevis","KNA","-9","-9"
"1991","Malawi","MWI","Mexico","MEX","0","0"
"1991","Malawi","MWI","Belize","BLZ","0","0.006"
"1991","Malawi","MWI","Guatemala","GTM","-9","-9"
"1991","Malawi","MWI","Honduras","HND","0","0"
"1991","Malawi","MWI","El Salvador","SLV","-9","-9"
"1991","Malawi","MWI","Nicaragua","NIC","-9","0"
"1991","Malawi","MWI","Costa Rica","CRI","-9","0"
"1991","Malawi","MWI","Panama","PAN","-9","-9"
"1991","Malawi","MWI","Colombia","COL","0.0077","0"
"1991","Malawi","MWI","Venezuela","VEN","0","0"
"1991","Malawi","MWI","Guyana","GUY","0","0"
"1991","Malawi","MWI","Suriname","SUR","-9","-9"
"1991","Malawi","MWI","Ecuador","ECU","-9","0"
"1991","Malawi","MWI","Peru","PER","0","0"
"1991","Malawi","MWI","Brazil","BRA","0.99330002","0"
"1991","Malawi","MWI","Bolivia","BOL","-9","0"
"1991","Malawi","MWI","Paraguay","PRY","0","0"
"1991","Malawi","MWI","Chile","CHL","0","0"
"1991","Malawi","MWI","Argentina","ARG","0","0.001"
"1991","Malawi","MWI","Uruguay","URY","0","0"
"1991","Malawi","MWI","United Kingdom","GBR","61.368248","45.059052"
