"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1991","Chad","TCD","United States of America","USA","15.07","0.2"
"1991","Chad","TCD","Canada","CAN","1.0888572","0"
"1991","Chad","TCD","Bahamas","BHS","-9","-9"
"1991","Chad","TCD","Cuba","CUB","0","0"
"1991","Chad","TCD","Haiti","HTI","-9","-9"
"1991","Chad","TCD","Dominican Republic","DOM","-9","-9"
"1991","Chad","TCD","Jamaica","JAM","0","0.01305"
"1991","Chad","TCD","Trinidad and Tobago","TTO","0","0"
"1991","Chad","TCD","Barbados","BRB","-9","-9"
"1991","Chad","TCD","Dominica","DMA","-9","-9"
"1991","Chad","TCD","Grenada","GRD","-9","-9"
"1991","Chad","TCD","St. Lucia","LCA","-9","-9"
"1991","Chad","TCD","St. Vincent and the Grenadines","VCT","-9","-9"
"1991","Chad","TCD","Antigua & Barbuda","ATG","-9","-9"
"1991","Chad","TCD","St. Kitts and Nevis","KNA","-9","-9"
"1991","Chad","TCD","Mexico","MEX","0","0"
"1991","Chad","TCD","Belize","BLZ","-9","-9"
"1991","Chad","TCD","Guatemala","GTM","-9","-9"
"1991","Chad","TCD","Honduras","HND","-9","-9"
"1991","Chad","TCD","El Salvador","SLV","-9","-9"
"1991","Chad","TCD","Nicaragua","NIC","-9","0"
"1991","Chad","TCD","Costa Rica","CRI","-9","0"
"1991","Chad","TCD","Panama","PAN","-9","-9"
"1991","Chad","TCD","Colombia","COL","0","0"
"1991","Chad","TCD","Venezuela","VEN","0","-9"
"1991","Chad","TCD","Guyana","GUY","-9","-9"
"1991","Chad","TCD","Suriname","SUR","-9","-9"
"1991","Chad","TCD","Ecuador","ECU","0","0"
"1991","Chad","TCD","Peru","PER","0.0033","0.071500003"
"1991","Chad","TCD","Brazil","BRA","0.39160001","0"
"1991","Chad","TCD","Bolivia","BOL","-9","0"
"1991","Chad","TCD","Paraguay","PRY","0","0"
"1991","Chad","TCD","Chile","CHL","-9","-9"
"1991","Chad","TCD","Argentina","ARG","0","0"
"1991","Chad","TCD","Uruguay","URY","-9","0"
"1991","Chad","TCD","United Kingdom","GBR","3.383307","2.5583906"
"1991","Chad","TCD","Ireland","IRL","2.3242466","0.16253477"
"1991","Chad","TCD","Netherlands","NLD","4.1507397","0.040648956"
"1991","Chad","TCD","Belgium","BEL","7.1772122","0.67727298"
"1991","Chad","TCD","Luxembourg","LUX","0.45278829","0.042727102"
"1991","Chad","TCD","France","FRA","86.813889","6.0162206"
"1991","Chad","TCD","Liechtenstein","LIE","-9","-9"
"1991","Chad","TCD","Switzerland","CHE","0.34946761","0.016039144"
"1991","Chad","TCD","Spain","ESP","0.43788701","5.7837634"
"1991","Chad","TCD","Portugal","PRT","0.089767329","28.75391"
"1991","Chad","TCD","Germany","DEU","4.9441481","14.103867"
"1991","Chad","TCD","Poland","POL","0","0"
"1991","Chad","TCD","Austria","AUT","0.054324824","0.99076033"
"1991","Chad","TCD","Hungary","HUN","0","0"
"1991","Chad","TCD","Czechoslovakia","CHESLO","0","0"
"1991","Chad","TCD","Italy","ITA","3.9291732","2.9421763"
"1991","Chad","TCD","Malta","MLT","0","0.001274585"
"1991","Chad","TCD","Albania","ALB","-9","-9"
"1991","Chad","TCD","Yugoslavia","YUG","0.28457001","0.31850001"
"1991","Chad","TCD","Greece","GRC","0.16925429","0.000564227"
"1991","Chad","TCD","Cyprus","CYP","0","0"
"1991","Chad","TCD","Bulgaria","BGR","0","-9"
"1991","Chad","TCD","Moldova","MDA","-9","-9"
"1991","Chad","TCD","Romania","ROU","0","0"
"1991","Chad","TCD","Russia","RUS","0","-9"
"1991","Chad","TCD","Estonia","EST","-9","-9"
