"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1991","Tunisia","TUN","United States of America","USA","247.10625","35.799999"
"1991","Tunisia","TUN","Canada","CAN","80.548401","10.000875"
"1991","Tunisia","TUN","Bahamas","BHS","0.037143663","0.18517734"
"1991","Tunisia","TUN","Cuba","CUB","11.931754","4.4107947"
"1991","Tunisia","TUN","Haiti","HTI","0","0"
"1991","Tunisia","TUN","Dominican Republic","DOM","1.281976","0"
"1991","Tunisia","TUN","Jamaica","JAM","0.004472053","0.01005"
"1991","Tunisia","TUN","Trinidad and Tobago","TTO","0.069350109","0.000905647"
"1991","Tunisia","TUN","Barbados","BRB","1.2766026","0.0076035"
"1991","Tunisia","TUN","Dominica","DMA","0","0"
"1991","Tunisia","TUN","Grenada","GRD","0","0"
"1991","Tunisia","TUN","St. Lucia","LCA","-9","-9"
"1991","Tunisia","TUN","St. Vincent and the Grenadines","VCT","0","0"
"1991","Tunisia","TUN","Antigua & Barbuda","ATG","0.28904182","0.33999401"
"1991","Tunisia","TUN","St. Kitts and Nevis","KNA","-9","-9"
"1991","Tunisia","TUN","Mexico","MEX","2.2457433","0.00112429"
"1991","Tunisia","TUN","Belize","BLZ","0.001204892","0.00844801"
"1991","Tunisia","TUN","Guatemala","GTM","0.50914562","3.6778965"
"1991","Tunisia","TUN","Honduras","HND","0","0.056294654"
"1991","Tunisia","TUN","El Salvador","SLV","0.4143987","0.093167812"
"1991","Tunisia","TUN","Nicaragua","NIC","1.5122796","0"
"1991","Tunisia","TUN","Costa Rica","CRI","0.03388036","0.077399999"
"1991","Tunisia","TUN","Panama","PAN","0.18404073","0.30956137"
"1991","Tunisia","TUN","Colombia","COL","0.036259048","0.009"
"1991","Tunisia","TUN","Venezuela","VEN","0","11.34107"
"1991","Tunisia","TUN","Guyana","GUY","0","0.011745115"
"1991","Tunisia","TUN","Suriname","SUR","0.071462102","0"
"1991","Tunisia","TUN","Ecuador","ECU","0.67419869","0"
"1991","Tunisia","TUN","Peru","PER","1.8704029","0.1364"
"1991","Tunisia","TUN","Brazil","BRA","18.684877","6.0500002"
"1991","Tunisia","TUN","Bolivia","BOL","0","0"
"1991","Tunisia","TUN","Paraguay","PRY","1.7767034","0.0033"
"1991","Tunisia","TUN","Chile","CHL","17.012566","0"
"1991","Tunisia","TUN","Argentina","ARG","33.772686","0.030857878"
"1991","Tunisia","TUN","Uruguay","URY","0.014138912","1.785"
"1991","Tunisia","TUN","United Kingdom","GBR","92.647087","45.084961"
"1991","Tunisia","TUN","Ireland","IRL","5.1046596","4.9526286"
"1991","Tunisia","TUN","Netherlands","NLD","113.01962","68.95079"
"1991","Tunisia","TUN","Belgium","BEL","381.37051","208.4119"
"1991","Tunisia","TUN","Luxembourg","LUX","24.05949","13.14807"
"1991","Tunisia","TUN","France","FRA","1353.1147","993.92267"
"1991","Tunisia","TUN","Liechtenstein","LIE","-9","-9"
"1991","Tunisia","TUN","Switzerland","CHE","73.757767","10.832699"
"1991","Tunisia","TUN","Spain","ESP","159.40361","153.20717"
"1991","Tunisia","TUN","Portugal","PRT","4.5975261","6.1962428"
"1991","Tunisia","TUN","Germany","DEU","755.51172","746.90088"
"1991","Tunisia","TUN","Poland","POL","46.387653","3.5628376"
"1991","Tunisia","TUN","Austria","AUT","31.973875","24.23962"
"1991","Tunisia","TUN","Hungary","HUN","13.857538","0.60000002"
"1991","Tunisia","TUN","Czechoslovakia","CHESLO","22.844324","2.2763124"
"1991","Tunisia","TUN","Italy","ITA","904.16815","647.70721"
"1991","Tunisia","TUN","Malta","MLT","0.14764957","1.8760219"
"1991","Tunisia","TUN","Albania","ALB","0.63948643","43.615669"
"1991","Tunisia","TUN","Yugoslavia","YUG","21.21117","8.1529732"
"1991","Tunisia","TUN","Greece","GRC","41.188026","33.167843"
"1991","Tunisia","TUN","Cyprus","CYP","0.9507919","0.5499028"
"1991","Tunisia","TUN","Bulgaria","BGR","9.38381","34.228374"
"1991","Tunisia","TUN","Moldova","MDA","-9","-9"
