"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1992","Mali","MLI","United States of America","USA","12.54","1.6"
"1992","Mali","MLI","Canada","CAN","5.6809926","5.141655"
"1992","Mali","MLI","Bahamas","BHS","0","-9"
"1992","Mali","MLI","Cuba","CUB","0","0"
"1992","Mali","MLI","Haiti","HTI","0","-9"
"1992","Mali","MLI","Dominican Republic","DOM","-9","-9"
"1992","Mali","MLI","Jamaica","JAM","0","0"
"1992","Mali","MLI","Trinidad and Tobago","TTO","0","-9"
"1992","Mali","MLI","Barbados","BRB","0","0"
"1992","Mali","MLI","Dominica","DMA","-9","-9"
"1992","Mali","MLI","Grenada","GRD","-9","-9"
"1992","Mali","MLI","St. Lucia","LCA","0","0.000666667"
"1992","Mali","MLI","St. Vincent and the Grenadines","VCT","-9","-9"
"1992","Mali","MLI","Antigua & Barbuda","ATG","-9","-9"
"1992","Mali","MLI","St. Kitts and Nevis","KNA","-9","-9"
"1992","Mali","MLI","Mexico","MEX","0","0"
"1992","Mali","MLI","Belize","BLZ","0","0"
"1992","Mali","MLI","Guatemala","GTM","-9","-9"
"1992","Mali","MLI","Honduras","HND","0","-9"
"1992","Mali","MLI","El Salvador","SLV","-9","-9"
"1992","Mali","MLI","Nicaragua","NIC","0","-9"
"1992","Mali","MLI","Costa Rica","CRI","-9","-9"
"1992","Mali","MLI","Panama","PAN","-9","-9"
"1992","Mali","MLI","Colombia","COL","0.022","0"
"1992","Mali","MLI","Venezuela","VEN","0","0"
"1992","Mali","MLI","Guyana","GUY","0","-9"
"1992","Mali","MLI","Suriname","SUR","0","0"
"1992","Mali","MLI","Ecuador","ECU","0","0"
"1992","Mali","MLI","Peru","PER","2.3627999","0"
"1992","Mali","MLI","Brazil","BRA","2.0878","1.1374"
"1992","Mali","MLI","Bolivia","BOL","-9","0"
"1992","Mali","MLI","Paraguay","PRY","0.090000004","-9"
"1992","Mali","MLI","Chile","CHL","-9","0"
"1992","Mali","MLI","Argentina","ARG","0","0"
"1992","Mali","MLI","Uruguay","URY","0","-9"
"1992","Mali","MLI","United Kingdom","GBR","21.742456","3.7186172"
"1992","Mali","MLI","Ireland","IRL","1.4291849","23.671713"
"1992","Mali","MLI","Netherlands","NLD","16.382086","1.9314793"
"1992","Mali","MLI","Belgium","BEL","26.131281","35.995159"
"1992","Mali","MLI","Luxembourg","LUX","1.658718","2.2848401"
"1992","Mali","MLI","France","FRA","153.72623","10.024149"
"1992","Mali","MLI","Liechtenstein","LIE","-9","-9"
"1992","Mali","MLI","Switzerland","CHE","2.3015347","0.32365438"
"1992","Mali","MLI","Spain","ESP","10.796006","2.1589329"
"1992","Mali","MLI","Portugal","PRT","0.81702745","6.9427643"
"1992","Mali","MLI","Germany","DEU","22.707767","10.572532"
"1992","Mali","MLI","Poland","POL","0.62150002","0.2321"
"1992","Mali","MLI","Austria","AUT","1.3982517","0.058419026"
"1992","Mali","MLI","Hungary","HUN","0","0"
"1992","Mali","MLI","Czechoslovakia","CHESLO","1.1011","0.20460001"
"1992","Mali","MLI","Italy","ITA","24.148569","9.8925629"
"1992","Mali","MLI","San Marino","SMR","-9","-9"
"1992","Mali","MLI","Malta","MLT","8.28E-05","0.000304148"
"1992","Mali","MLI","Albania","ALB","-9","-9"
"1992","Mali","MLI","Croatia","HRV","-9","-9"
"1992","Mali","MLI","Yugoslavia","YUG","1.054515","0.0418"
"1992","Mali","MLI","Bosnia and Herzegovina","BIH","-9","-9"
"1992","Mali","MLI","Slovenia","SVN","-9","-9"
"1992","Mali","MLI","Greece","GRC","0.073700003","0"
"1992","Mali","MLI","Cyprus","CYP","0.002446899","0"
"1992","Mali","MLI","Bulgaria","BGR","0","0"
"1992","Mali","MLI","Moldova","MDA","-9","-9"
"1992","Mali","MLI","Romania","ROU","0","0"
"1992","Mali","MLI","Russia","RUS","0.5","0.2"
"1992","Mali","MLI","Estonia","EST","0","0"
"1992","Mali","MLI","Latvia","LVA","-9","0"
"1992","Mali","MLI","Lithuania","LTU","0","0"
"1992","Mali","MLI","Ukraine","UKR","-9","-9"
"1992","Mali","MLI","Belarus","BLR","0","-9"
"1992","Mali","MLI","Armenia","ARM","-9","-9"
"1992","Mali","MLI","Georgia","GEO","-9","-9"
"1992","Mali","MLI","Azerbaijan","AZE","-9","-9"
"1992","Mali","MLI","Finland","FIN","1.0753722","0.00714375"
"1992","Mali","MLI","Sweden","SWE","0.43123844","0.43333194"
"1992","Mali","MLI","Norway","NOR","1.297446","0.041836396"
"1992","Mali","MLI","Denmark","DNK","0.6269877","0.029820414"
"1992","Mali","MLI","Iceland","ISL","0","0"
"1992","Mali","MLI","Cape Verde","CPV","-9","-9"
"1992","Mali","MLI","Sao Tome and Principe","STP","-9","-9"
"1992","Mali","MLI","Guinea-Bissau","GNB","0","0"
"1992","Mali","MLI","Equatorial Guinea","GNQ","0","-9"
"1992","Mali","MLI","Gambia","GMB","0","0"
"1992","Mali","MLI","Senegal","SEN","44.365551","1.5951464"
"1992","Mali","MLI","Benin","BEN","0.41225305","0"
"1992","Mali","MLI","Mauritania","MRT","0.20851105","0.000450322"
"1992","Mali","MLI","Niger","NER","0.14732507","0.3929098"
"1992","Mali","MLI","Ivory Coast","CIV","133.26965","8.7699728"
"1992","Mali","MLI","Guinea","GIN","0","0"
"1992","Mali","MLI","Burkina Faso","BFA","0.61739069","1.9589961"
"1992","Mali","MLI","Liberia","LBR","0","0"
"1992","Mali","MLI","Sierra Leone","SLE","0","0"
"1992","Mali","MLI","Ghana","GHA","0.0033","0.004"
"1992","Mali","MLI","Togo","TGO","0.91718","0.1749"
"1992","Mali","MLI","Cameroon","CMR","0","0"
"1992","Mali","MLI","Nigeria","NGA","0.38940409","1.6545312"
"1992","Mali","MLI","Gabon","GAB","0","0"
"1992","Mali","MLI","Central African Republic","CAF","0","0"
"1992","Mali","MLI","Chad","TCD","0","0"
"1992","Mali","MLI","Congo","COG","0","5.916317"
"1992","Mali","MLI","Democratic Republic of the Congo","COD","0","0"
"1992","Mali","MLI","Uganda","UGA","0","-9"
"1992","Mali","MLI","Kenya","KEN","0.0055","0"
"1992","Mali","MLI","Tanzania","TZA","0","-9"
"1992","Mali","MLI","Burundi","BDI","0","-9"
"1992","Mali","MLI","Rwanda","RWA","0","0"
"1992","Mali","MLI","Somalia","SOM","0","0"
"1992","Mali","MLI","Djibouti","DJI","-9","0"
"1992","Mali","MLI","Ethiopia","ETH","0","-9"
"1992","Mali","MLI","Angola","AGO","-9","-9"
"1992","Mali","MLI","Mozambique","MOZ","-9","-9"
"1992","Mali","MLI","Zambia","ZMB","0","0"
"1992","Mali","MLI","Zimbabwe","ZWE","0.027132388","0.94384009"
"1992","Mali","MLI","Malawi","MWI","0","-9"
"1992","Mali","MLI","South Africa","ZAF","0.7707209","2.6022351"
"1992","Mali","MLI","Namibia","NAM","-9","-9"
"1992","Mali","MLI","Lesotho","LSO","-9","-9"
"1992","Mali","MLI","Botswana","BWA","-9","-9"
"1992","Mali","MLI","Swaziland","SWZ","-9","-9"
"1992","Mali","MLI","Madagascar","MDG","0.000236056","0.012339276"
"1992","Mali","MLI","Comoros","COM","-9","-9"
"1992","Mali","MLI","Mauritius","MUS","0","0"
"1992","Mali","MLI","Seychelles","SYC","0","0"
"1992","Mali","MLI","Morocco","MAR","6.5197001","0.89700001"
"1992","Mali","MLI","Algeria","DZA","0","0"
"1992","Mali","MLI","Tunisia","TUN","0.017284671","3.767"
"1992","Mali","MLI","Libya","LBY","0","0.0033"
"1992","Mali","MLI","Sudan","SDN","0","-9"
"1992","Mali","MLI","Iran","IRN","0","0"
"1992","Mali","MLI","Turkey","TUR","0","0"
"1992","Mali","MLI","Iraq","IRQ","0","0"
"1992","Mali","MLI","Egypt","EGY","0.16060001","0"
"1992","Mali","MLI","Syria","SYR","0","0"
"1992","Mali","MLI","Lebanon","LBN","0","0"
"1992","Mali","MLI","Jordan","JOR","0","0"
"1992","Mali","MLI","Israel","ISR","0","0"
"1992","Mali","MLI","Saudi Arabia","SAU","0","0"
"1992","Mali","MLI","Yemen","YEM","0","-9"
"1992","Mali","MLI","Kuwait","KWT","0","-9"
"1992","Mali","MLI","Bahrain","BHR","0","-9"
"1992","Mali","MLI","Qatar","QAT","0","0"
"1992","Mali","MLI","United Arab Emirates","ARE","0","-9"
"1992","Mali","MLI","Oman","OMN","0","-9"
"1992","Mali","MLI","Afghanistan","AFG","-9","-9"
"1992","Mali","MLI","Turkmenistan","TKM","-9","-9"
"1992","Mali","MLI","Tajikistan","TJK","-9","-9"
"1992","Mali","MLI","Kyrgyzstan","KGZ","-9","-9"
"1992","Mali","MLI","Uzbekistan","UZB","-9","-9"
"1992","Mali","MLI","Kazakhstan","KAZ","-9","-9"
"1992","Mali","MLI","China","CHN","5.9762998","34.907001"
"1992","Mali","MLI","Mongolia","MNG","-9","-9"
"1992","Mali","MLI","Taiwan","TWN","4.5412302","0.98438436"
"1992","Mali","MLI","North Korea","PRK","0","0"
"1992","Mali","MLI","South Korea","KOR","0","7.1999998"
"1992","Mali","MLI","Japan","JPN","12.527061","4.6711507"
"1992","Mali","MLI","India","IND","5.9282308","0.081575505"
"1992","Mali","MLI","Bhutan","BTN","-9","-9"
"1992","Mali","MLI","Pakistan","PAK","0.033862922","0"
"1992","Mali","MLI","Bangladesh","BGD","0","0"
"1992","Mali","MLI","Myanmar","MMR","0","0"
"1992","Mali","MLI","Sri Lanka","LKA","0","0"
"1992","Mali","MLI","Maldives","MDV","-9","0"
"1992","Mali","MLI","Nepal","NPL","-9","-9"
"1992","Mali","MLI","Thailand","THA","8.8402138","32.918255"
"1992","Mali","MLI","Cambodia","KHM","0","-9"
"1992","Mali","MLI","Laos","LAO","-9","-9"
"1992","Mali","MLI","Vietnam","VNM","0","0"
"1992","Mali","MLI","Malaysia","MYS","0.51684594","1.8237793"
"1992","Mali","MLI","Singapore","SGP","0","-9"
"1992","Mali","MLI","Brunei","BRN","-9","-9"
"1992","Mali","MLI","Philippines","PHL","0","0"
"1992","Mali","MLI","Indonesia","IDN","0.85208857","7.5888329"
"1992","Mali","MLI","Australia","AUS","0.39767247","0.018286157"
"1992","Mali","MLI","Papua New Guinea","PNG","0","0"
"1992","Mali","MLI","New Zealand","NZL","0.0022","0.000621841"
"1992","Mali","MLI","Vanuatu","VUT","-9","-9"
"1992","Mali","MLI","Solomon Islands","SLB","-9","-9"
"1992","Mali","MLI","Fiji","FJI","0","0.27700001"
"1992","Mali","MLI","Marshall Islands","MHL","-9","-9"
"1992","Mali","MLI","Federated States of Micronesia","FSM","-9","-9"
"1992","Mali","MLI","Samoa","WSM","0","-9"
