"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1992","Seychelles","SYC","United States of America","USA","4.7982264","1"
"1992","Seychelles","SYC","Canada","CAN","0.038760241","0.40781865"
"1992","Seychelles","SYC","Bahamas","BHS","0","0"
"1992","Seychelles","SYC","Cuba","CUB","0","0"
"1992","Seychelles","SYC","Haiti","HTI","-9","-9"
"1992","Seychelles","SYC","Dominican Republic","DOM","0","-9"
"1992","Seychelles","SYC","Jamaica","JAM","0","0"
"1992","Seychelles","SYC","Trinidad and Tobago","TTO","0","0"
"1992","Seychelles","SYC","Barbados","BRB","0","0"
"1992","Seychelles","SYC","Dominica","DMA","-9","0"
"1992","Seychelles","SYC","Grenada","GRD","-9","-9"
"1992","Seychelles","SYC","St. Lucia","LCA","-9","-9"
"1992","Seychelles","SYC","St. Vincent and the Grenadines","VCT","-9","0"
"1992","Seychelles","SYC","Antigua & Barbuda","ATG","-9","-9"
"1992","Seychelles","SYC","St. Kitts and Nevis","KNA","-9","-9"
"1992","Seychelles","SYC","Mexico","MEX","0","0"
"1992","Seychelles","SYC","Belize","BLZ","-9","0"
"1992","Seychelles","SYC","Guatemala","GTM","-9","-9"
"1992","Seychelles","SYC","Honduras","HND","-9","-9"
"1992","Seychelles","SYC","El Salvador","SLV","0","-9"
"1992","Seychelles","SYC","Nicaragua","NIC","-9","0"
"1992","Seychelles","SYC","Costa Rica","CRI","-9","-9"
"1992","Seychelles","SYC","Panama","PAN","0","-9"
"1992","Seychelles","SYC","Colombia","COL","0","0"
"1992","Seychelles","SYC","Venezuela","VEN","-9","-9"
"1992","Seychelles","SYC","Guyana","GUY","0","0"
"1992","Seychelles","SYC","Suriname","SUR","-9","-9"
"1992","Seychelles","SYC","Ecuador","ECU","-9","-9"
"1992","Seychelles","SYC","Peru","PER","0","0"
"1992","Seychelles","SYC","Brazil","BRA","0.264","0.0187"
"1992","Seychelles","SYC","Bolivia","BOL","-9","0"
"1992","Seychelles","SYC","Paraguay","PRY","0","-9"
"1992","Seychelles","SYC","Chile","CHL","0","40.945"
"1992","Seychelles","SYC","Argentina","ARG","0","0"
"1992","Seychelles","SYC","Uruguay","URY","0","0"
"1992","Seychelles","SYC","United Kingdom","GBR","25.000584","5.1587129"
"1992","Seychelles","SYC","Ireland","IRL","0.4297618","0.13358794"
"1992","Seychelles","SYC","Netherlands","NLD","4.640347","0.93727219"
"1992","Seychelles","SYC","Belgium","BEL","3.479156","0.17865939"
"1992","Seychelles","SYC","Luxembourg","LUX","0.220844","0.0113406"
"1992","Seychelles","SYC","France","FRA","8.6764765","7.83178"
"1992","Seychelles","SYC","Liechtenstein","LIE","-9","-9"
"1992","Seychelles","SYC","Switzerland","CHE","0.64556384","0.030272307"
"1992","Seychelles","SYC","Spain","ESP","1.8897891","0.046500664"
"1992","Seychelles","SYC","Portugal","PRT","0.11443319","0.004986082"
"1992","Seychelles","SYC","Germany","DEU","4.1685996","0.37250578"
"1992","Seychelles","SYC","Poland","POL","0.396","0.70179999"
"1992","Seychelles","SYC","Austria","AUT","0.038610436","0.019622952"
"1992","Seychelles","SYC","Hungary","HUN","0","0"
"1992","Seychelles","SYC","Czechoslovakia","CHESLO","0.037999999","0.0473"
"1992","Seychelles","SYC","Italy","ITA","6.9692307","19.741564"
"1992","Seychelles","SYC","San Marino","SMR","-9","-9"
"1992","Seychelles","SYC","Malta","MLT","0","0"
"1992","Seychelles","SYC","Albania","ALB","-9","-9"
"1992","Seychelles","SYC","Croatia","HRV","-9","-9"
"1992","Seychelles","SYC","Yugoslavia","YUG","0","0"
"1992","Seychelles","SYC","Bosnia and Herzegovina","BIH","-9","-9"
