"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1994","South Africa","ZAF","United States of America","USA","2172.7","2131.1001"
"1994","South Africa","ZAF","Canada","CAN","158.3679","239.64323"
"1994","South Africa","ZAF","Bahamas","BHS","1.2555847","0.34670866"
"1994","South Africa","ZAF","Cuba","CUB","0.056573898","14.096483"
"1994","South Africa","ZAF","Haiti","HTI","0","0"
"1994","South Africa","ZAF","Dominican Republic","DOM","0","0"
"1994","South Africa","ZAF","Jamaica","JAM","3.5840364","0"
"1994","South Africa","ZAF","Trinidad and Tobago","TTO","1.3674425","0.20844132"
"1994","South Africa","ZAF","Barbados","BRB","0.69830239","0.137603"
"1994","South Africa","ZAF","Dominica","DMA","0","0"
"1994","South Africa","ZAF","Grenada","GRD","0","0.006496667"
"1994","South Africa","ZAF","St. Lucia","LCA","0","0.001915926"
"1994","South Africa","ZAF","St. Vincent and the Grenadines","VCT","-9","0"
"1994","South Africa","ZAF","Antigua & Barbuda","ATG","-9","-9"
"1994","South Africa","ZAF","St. Kitts and Nevis","KNA","1.3865544","0.25306022"
"1994","South Africa","ZAF","Mexico","MEX","0","0"
"1994","South Africa","ZAF","Belize","BLZ","0","0.039500002"
"1994","South Africa","ZAF","Guatemala","GTM","0.4228","3.4403999"
"1994","South Africa","ZAF","Honduras","HND","0","0"
"1994","South Africa","ZAF","El Salvador","SLV","0.068000004","1.082"
"1994","South Africa","ZAF","Nicaragua","NIC","0","0"
"1994","South Africa","ZAF","Costa Rica","CRI","1.289338","1.50152"
"1994","South Africa","ZAF","Panama","PAN","0.1683","8.4501019"
"1994","South Africa","ZAF","Colombia","COL","0.99068201","65.379776"
"1994","South Africa","ZAF","Venezuela","VEN","0","26.716303"
"1994","South Africa","ZAF","Guyana","GUY","0.49260107","0"
"1994","South Africa","ZAF","Suriname","SUR","0.091725878","0"
"1994","South Africa","ZAF","Ecuador","ECU","0.1692","11.3046"
"1994","South Africa","ZAF","Peru","PER","5.6560001","11.0682"
"1994","South Africa","ZAF","Brazil","BRA","223.53999","268.43188"
"1994","South Africa","ZAF","Bolivia","BOL","0.052999999","0.96363997"
"1994","South Africa","ZAF","Paraguay","PRY","1.579","21.190399"
"1994","South Africa","ZAF","Chile","CHL","84","51.299999"
"1994","South Africa","ZAF","Argentina","ARG","180.463","100.37"
