"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1995","Democratic Republic of the Congo","COD","United States of America","USA","84.589996","273.39999"
"1995","Democratic Republic of the Congo","COD","Canada","CAN","29.524965","35.897434"
"1995","Democratic Republic of the Congo","COD","Bahamas","BHS","0","0"
"1995","Democratic Republic of the Congo","COD","Cuba","CUB","0","-9"
"1995","Democratic Republic of the Congo","COD","Haiti","HTI","0","0"
"1995","Democratic Republic of the Congo","COD","Dominican Republic","DOM","0","-9"
"1995","Democratic Republic of the Congo","COD","Jamaica","JAM","0","0"
"1995","Democratic Republic of the Congo","COD","Trinidad and Tobago","TTO","0","0"
"1995","Democratic Republic of the Congo","COD","Barbados","BRB","0","0"
"1995","Democratic Republic of the Congo","COD","Dominica","DMA","-9","-9"
"1995","Democratic Republic of the Congo","COD","Grenada","GRD","-9","-9"
"1995","Democratic Republic of the Congo","COD","St. Lucia","LCA","-9","-9"
"1995","Democratic Republic of the Congo","COD","St. Vincent and the Grenadines","VCT","-9","-9"
"1995","Democratic Republic of the Congo","COD","Antigua & Barbuda","ATG","-9","-9"
"1995","Democratic Republic of the Congo","COD","St. Kitts and Nevis","KNA","-9","-9"
"1995","Democratic Republic of the Congo","COD","Mexico","MEX","0","0.34869999"
"1995","Democratic Republic of the Congo","COD","Belize","BLZ","0","0"
"1995","Democratic Republic of the Congo","COD","Guatemala","GTM","0","0"
"1995","Democratic Republic of the Congo","COD","Honduras","HND","0","0"
"1995","Democratic Republic of the Congo","COD","El Salvador","SLV","-9","-9"
"1995","Democratic Republic of the Congo","COD","Nicaragua","NIC","-9","-9"
"1995","Democratic Republic of the Congo","COD","Costa Rica","CRI","0","0"
"1995","Democratic Republic of the Congo","COD","Panama","PAN","0","0"
"1995","Democratic Republic of the Congo","COD","Colombia","COL","0","0"
"1995","Democratic Republic of the Congo","COD","Venezuela","VEN","0","0"
"1995","Democratic Republic of the Congo","COD","Guyana","GUY","0","0"
"1995","Democratic Republic of the Congo","COD","Suriname","SUR","-9","0"
"1995","Democratic Republic of the Congo","COD","Ecuador","ECU","-9","0"
"1995","Democratic Republic of the Congo","COD","Peru","PER","0.61489999","0"
"1995","Democratic Republic of the Congo","COD","Brazil","BRA","3.6849999","3.5683999"
"1995","Democratic Republic of the Congo","COD","Bolivia","BOL","-9","0"
"1995","Democratic Republic of the Congo","COD","Paraguay","PRY","0","0"
"1995","Democratic Republic of the Congo","COD","Chile","CHL","0","0"
"1995","Democratic Republic of the Congo","COD","Argentina","ARG","0","0"
"1995","Democratic Republic of the Congo","COD","Uruguay","URY","0.42129999","0"
"1995","Democratic Republic of the Congo","COD","United Kingdom","GBR","27.191801","17.921865"
"1995","Democratic Republic of the Congo","COD","Ireland","IRL","23.709311","0.41732594"
"1995","Democratic Republic of the Congo","COD","Netherlands","NLD","50.656662","15.675648"
"1995","Democratic Republic of the Congo","COD","Belgium","BEL","195.6671","647.05188"
"1995","Democratic Republic of the Congo","COD","Luxembourg","LUX","13.68292","45.24807"
"1995","Democratic Republic of the Congo","COD","France","FRA","52.972824","41.852695"
"1995","Democratic Republic of the Congo","COD","Monaco","MCO","-9","-9"
"1995","Democratic Republic of the Congo","COD","Liechtenstein","LIE","-9","-9"
"1995","Democratic Republic of the Congo","COD","Switzerland","CHE","8.2597141","3.6750362"
"1995","Democratic Republic of the Congo","COD","Spain","ESP","11.592041","31.736015"
"1995","Democratic Republic of the Congo","COD","Andorra","AND","-9","-9"
"1995","Democratic Republic of the Congo","COD","Portugal","PRT","1.4325029","40.768879"
"1995","Democratic Republic of the Congo","COD","Germany","DEU","76.22126","65.161087"
"1995","Democratic Republic of the Congo","COD","Poland","POL","0.26179999","0.43900001"
"1995","Democratic Republic of the Congo","COD","Austria","AUT","1.5376984","3.8092561"
"1995","Democratic Republic of the Congo","COD","Hungary","HUN","0","0"
"1995","Democratic Republic of the Congo","COD","Czech Republic","CZE","5.6042652","0.5825178"
"1995","Democratic Republic of the Congo","COD","Slovakia","SVK","0.6164037","0.0027698"
"1995","Democratic Republic of the Congo","COD","Italy","ITA","42.173058","156.08743"
"1995","Democratic Republic of the Congo","COD","San Marino","SMR","-9","-9"
"1995","Democratic Republic of the Congo","COD","Malta","MLT","0.007194785","0.62706733"
"1995","Democratic Republic of the Congo","COD","Albania","ALB","-9","-9"
"1995","Democratic Republic of the Congo","COD","Macedonia","MKD","-9","-9"
"1995","Democratic Republic of the Congo","COD","Croatia","HRV","0.080608711","0.26199999"
"1995","Democratic Republic of the Congo","COD","Yugoslavia","YUG","-9","-9"
