"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1999","Philippines","PHL","United States of America","USA","6365.9111","12697.4"
"1999","Philippines","PHL","Canada","CAN","198.23737","772.63177"
"1999","Philippines","PHL","Bahamas","BHS","0","0.67462999"
"1999","Philippines","PHL","Cuba","CUB","0.008196","0.611633"
"1999","Philippines","PHL","Haiti","HTI","0.001001","3.069869"
"1999","Philippines","PHL","Dominican Republic","DOM","0.056690998","1.2618991"
"1999","Philippines","PHL","Jamaica","JAM","0.009228","0.53884602"
"1999","Philippines","PHL","Trinidad and Tobago","TTO","0","0.50948054"
"1999","Philippines","PHL","Barbados","BRB","0.070618004","0.6869145"
"1999","Philippines","PHL","Dominica","DMA","0.02345","0.040387001"
"1999","Philippines","PHL","Grenada","GRD","0","0"
"1999","Philippines","PHL","St. Lucia","LCA","0","0.57222223"
"1999","Philippines","PHL","St. Vincent and the Grenadines","VCT","0","0.000253333"
"1999","Philippines","PHL","Antigua & Barbuda","ATG","0","0.132742"
"1999","Philippines","PHL","St. Kitts and Nevis","KNA","0","1.26E-05"
"1999","Philippines","PHL","Mexico","MEX","27.526213","415.80072"
"1999","Philippines","PHL","Belize","BLZ","0.057564002","0.001"
"1999","Philippines","PHL","Guatemala","GTM","0.221039","0.460152"
"1999","Philippines","PHL","Honduras","HND","0.68419999","0.71714503"
"1999","Philippines","PHL","El Salvador","SLV","0.81145799","0.0814"
"1999","Philippines","PHL","Nicaragua","NIC","0.007371","0.26151499"
"1999","Philippines","PHL","Costa Rica","CRI","9.4401751","0.2539545"
"1999","Philippines","PHL","Panama","PAN","7.9443779","1.6304491"
"1999","Philippines","PHL","Colombia","COL","2.1726911","3.8798239"
"1999","Philippines","PHL","Venezuela","VEN","0.010232","2"
"1999","Philippines","PHL","Guyana","GUY","0.30647701","0"
"1999","Philippines","PHL","Suriname","SUR","0.058474001","0.16500001"
"1999","Philippines","PHL","Ecuador","ECU","0.237993","0.47166899"
"1999","Philippines","PHL","Peru","PER","25.186043","0.55989999"
"1999","Philippines","PHL","Brazil","BRA","112.7589","77.195801"
"1999","Philippines","PHL","Bolivia","BOL","0","0.21297"
"1999","Philippines","PHL","Paraguay","PRY","0.077290997","0.85141098"
"1999","Philippines","PHL","Chile","CHL","63.651573","28.77"
"1999","Philippines","PHL","Argentina","ARG","21.771309","25.041122"
"1999","Philippines","PHL","Uruguay","URY","2.94718","1.2411849"
"1999","Philippines","PHL","United Kingdom","GBR","340.23352","1659.6115"
"1999","Philippines","PHL","Ireland","IRL","286.75128","296.01849"
"1999","Philippines","PHL","Netherlands","NLD","246.46759","2308.3379"
"1999","Philippines","PHL","Belgium","BEL","140.50275","108.67361"
"1999","Philippines","PHL","Luxembourg","LUX","0.59997499","1.5318"
"1999","Philippines","PHL","France","FRA","305.79889","501.5907"
"1999","Philippines","PHL","Monaco","MCO","-9","-9"
"1999","Philippines","PHL","Liechtenstein","LIE","-9","-9"
"1999","Philippines","PHL","Switzerland","CHE","182.42314","60"
