"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2000","Mozambique","MOZ","United States of America","USA","36.240002","26"
"2000","Mozambique","MOZ","Canada","CAN","10.5","0.646357"
"2000","Mozambique","MOZ","Bahamas","BHS","-9","-9"
"2000","Mozambique","MOZ","Cuba","CUB","0","0.15114"
"2000","Mozambique","MOZ","Haiti","HTI","0","1.2208196"
"2000","Mozambique","MOZ","Dominican Republic","DOM","0","0.001235575"
"2000","Mozambique","MOZ","Jamaica","JAM","0","0"
"2000","Mozambique","MOZ","Trinidad and Tobago","TTO","0","0"
"2000","Mozambique","MOZ","Barbados","BRB","0","0"
"2000","Mozambique","MOZ","Dominica","DMA","0","0"
"2000","Mozambique","MOZ","Grenada","GRD","-9","0"
"2000","Mozambique","MOZ","St. Lucia","LCA","-9","-9"
"2000","Mozambique","MOZ","St. Vincent and the Grenadines","VCT","-9","0"
"2000","Mozambique","MOZ","Antigua & Barbuda","ATG","-9","-9"
"2000","Mozambique","MOZ","St. Kitts and Nevis","KNA","-9","-9"
"2000","Mozambique","MOZ","Mexico","MEX","0.023963001","0.0113905"
"2000","Mozambique","MOZ","Belize","BLZ","0","0"
"2000","Mozambique","MOZ","Guatemala","GTM","0","0"
"2000","Mozambique","MOZ","Honduras","HND","0","0.25588"
"2000","Mozambique","MOZ","El Salvador","SLV","0","0"
"2000","Mozambique","MOZ","Nicaragua","NIC","0","0"
"2000","Mozambique","MOZ","Costa Rica","CRI","0","0.00410999"
"2000","Mozambique","MOZ","Panama","PAN","0","0"
"2000","Mozambique","MOZ","Colombia","COL","0.024696","0"
"2000","Mozambique","MOZ","Venezuela","VEN","0","0"
"2000","Mozambique","MOZ","Guyana","GUY","0","0"
"2000","Mozambique","MOZ","Suriname","SUR","0","0"
"2000","Mozambique","MOZ","Ecuador","ECU","0","0"
"2000","Mozambique","MOZ","Peru","PER","0.008892767","0.000696705"
