"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2000","Sierra Leone","SLE","United States of America","USA","20.24","4"
"2000","Sierra Leone","SLE","Canada","CAN","0.49153289","2.2054379"
"2000","Sierra Leone","SLE","Bahamas","BHS","0","0"
"2000","Sierra Leone","SLE","Cuba","CUB","0","-9"
"2000","Sierra Leone","SLE","Haiti","HTI","-9","0.30767566"
"2000","Sierra Leone","SLE","Dominican Republic","DOM","0.18980061","0.0009867"
"2000","Sierra Leone","SLE","Jamaica","JAM","0","0"
"2000","Sierra Leone","SLE","Trinidad and Tobago","TTO","0.004214183","0.003083592"
"2000","Sierra Leone","SLE","Barbados","BRB","0","0.156004"
"2000","Sierra Leone","SLE","Dominica","DMA","-9","0"
"2000","Sierra Leone","SLE","Grenada","GRD","-9","0"
"2000","Sierra Leone","SLE","St. Lucia","LCA","0","0"
"2000","Sierra Leone","SLE","St. Vincent and the Grenadines","VCT","0","0.003002593"
"2000","Sierra Leone","SLE","Antigua & Barbuda","ATG","-9","0"
"2000","Sierra Leone","SLE","St. Kitts and Nevis","KNA","-9","-9"
"2000","Sierra Leone","SLE","Mexico","MEX","0","0"
"2000","Sierra Leone","SLE","Belize","BLZ","0","0"
"2000","Sierra Leone","SLE","Guatemala","GTM","0","0"
"2000","Sierra Leone","SLE","Honduras","HND","0","0"
"2000","Sierra Leone","SLE","El Salvador","SLV","-9","0"
"2000","Sierra Leone","SLE","Nicaragua","NIC","-9","-9"
"2000","Sierra Leone","SLE","Costa Rica","CRI","0","0"
"2000","Sierra Leone","SLE","Panama","PAN","-9","-9"
"2000","Sierra Leone","SLE","Colombia","COL","0","0"
"2000","Sierra Leone","SLE","Venezuela","VEN","0","0"
"2000","Sierra Leone","SLE","Guyana","GUY","0","0"
"2000","Sierra Leone","SLE","Suriname","SUR","0","0"
"2000","Sierra Leone","SLE","Ecuador","ECU","0","0"
"2000","Sierra Leone","SLE","Peru","PER","0.027951851","7.30E-05"
"2000","Sierra Leone","SLE","Brazil","BRA","1.7375193","0.0009724"
"2000","Sierra Leone","SLE","Bolivia","BOL","0","7.00E-05"
"2000","Sierra Leone","SLE","Paraguay","PRY","-9","-9"
"2000","Sierra Leone","SLE","Chile","CHL","0","0"
"2000","Sierra Leone","SLE","Argentina","ARG","0.0539","0"
"2000","Sierra Leone","SLE","Uruguay","URY","0","0.04496"
"2000","Sierra Leone","SLE","United Kingdom","GBR","128.73409","2.4177916"
"2000","Sierra Leone","SLE","Ireland","IRL","4.6819301","0.69870001"
"2000","Sierra Leone","SLE","Netherlands","NLD","19.016359","0.49200001"
"2000","Sierra Leone","SLE","Belgium","BEL","9.5699997","14.321015"
"2000","Sierra Leone","SLE","Luxembourg","LUX","0.31845","0.0053"
"2000","Sierra Leone","SLE","France","FRA","8.7891102","2.7620001"
"2000","Sierra Leone","SLE","Monaco","MCO","-9","-9"
"2000","Sierra Leone","SLE","Liechtenstein","LIE","-9","-9"
"2000","Sierra Leone","SLE","Switzerland","CHE","0.87190199","0.084402189"
"2000","Sierra Leone","SLE","Spain","ESP","2.73559","0.1354"
"2000","Sierra Leone","SLE","Andorra","AND","-9","-9"
"2000","Sierra Leone","SLE","Portugal","PRT","0.32460999","0.007"
"2000","Sierra Leone","SLE","Germany","DEU","14.4386","1.683"
"2000","Sierra Leone","SLE","Poland","POL","0.99440002","0.36700001"
"2000","Sierra Leone","SLE","Austria","AUT","4.3122201","0.155"
"2000","Sierra Leone","SLE","Hungary","HUN","0.33000001","0.2"
"2000","Sierra Leone","SLE","Czech Republic","CZE","0.4756031","0.25648719"
"2000","Sierra Leone","SLE","Slovakia","SVK","0.023672","0.009207"
"2000","Sierra Leone","SLE","Italy","ITA","5.6458602","0.064099997"
"2000","Sierra Leone","SLE","San Marino","SMR","-9","-9"
"2000","Sierra Leone","SLE","Malta","MLT","0.04436687","0.008817563"
"2000","Sierra Leone","SLE","Albania","ALB","0","0"
"2000","Sierra Leone","SLE","Macedonia","MKD","0","0.02605"
"2000","Sierra Leone","SLE","Croatia","HRV","0.047581598","0.103685"
"2000","Sierra Leone","SLE","Yugoslavia","YUG","-9","-9"
"2000","Sierra Leone","SLE","Bosnia and Herzegovina","BIH","-9","-9"
"2000","Sierra Leone","SLE","Slovenia","SVN","1.2060049","1.80E-05"
"2000","Sierra Leone","SLE","Greece","GRC","3.8406501","94.845673"
"2000","Sierra Leone","SLE","Cyprus","CYP","0.22777101","0"
"2000","Sierra Leone","SLE","Bulgaria","BGR","0.0418","0"
"2000","Sierra Leone","SLE","Moldova","MDA","0","0"
"2000","Sierra Leone","SLE","Romania","ROU","0.098999999","0"
"2000","Sierra Leone","SLE","Russia","RUS","0.073486596","0.000104"
"2000","Sierra Leone","SLE","Estonia","EST","0.044","0.31999999"
"2000","Sierra Leone","SLE","Latvia","LVA","0","0"
"2000","Sierra Leone","SLE","Lithuania","LTU","0","0"
"2000","Sierra Leone","SLE","Ukraine","UKR","0","0"
"2000","Sierra Leone","SLE","Belarus","BLR","0","0"
"2000","Sierra Leone","SLE","Armenia","ARM","0","0"
"2000","Sierra Leone","SLE","Georgia","GEO","0","0"
"2000","Sierra Leone","SLE","Azerbaijan","AZE","0","0"
"2000","Sierra Leone","SLE","Finland","FIN","0.43691999","0.021600001"
"2000","Sierra Leone","SLE","Sweden","SWE","4.0461583","0.49169689"
"2000","Sierra Leone","SLE","Norway","NOR","0.006430478","0"
"2000","Sierra Leone","SLE","Denmark","DNK","3.2310865","0"
"2000","Sierra Leone","SLE","Iceland","ISL","0","0"
"2000","Sierra Leone","SLE","Cape Verde","CPV","-9","-9"
"2000","Sierra Leone","SLE","Sao Tome and Principe","STP","-9","-9"
"2000","Sierra Leone","SLE","Guinea-Bissau","GNB","0","-9"
"2000","Sierra Leone","SLE","Equatorial Guinea","GNQ","-9","0"
"2000","Sierra Leone","SLE","Gambia","GMB","0.029418368","0.28499991"
"2000","Sierra Leone","SLE","Mali","MLI","0","0"
"2000","Sierra Leone","SLE","Senegal","SEN","3.906173","2.81E-05"
"2000","Sierra Leone","SLE","Benin","BEN","0","0"
"2000","Sierra Leone","SLE","Mauritania","MRT","0","-9"
"2000","Sierra Leone","SLE","Niger","NER","0.003089991","0.001404541"
"2000","Sierra Leone","SLE","Ivory Coast","CIV","9.404355","0.026894564"
"2000","Sierra Leone","SLE","Guinea","GIN","0.82490396","3.4186859"
"2000","Sierra Leone","SLE","Burkina Faso","BFA","0","0"
"2000","Sierra Leone","SLE","Liberia","LBR","2.6013575","0"
"2000","Sierra Leone","SLE","Ghana","GHA","0.14129123","0"
"2000","Sierra Leone","SLE","Togo","TGO","0.015891822","0"
"2000","Sierra Leone","SLE","Cameroon","CMR","0","0.01123633"
"2000","Sierra Leone","SLE","Nigeria","NGA","0","0.027430926"
"2000","Sierra Leone","SLE","Gabon","GAB","0","0"
"2000","Sierra Leone","SLE","Central African Republic","CAF","0","0"
"2000","Sierra Leone","SLE","Chad","TCD","-9","0"
"2000","Sierra Leone","SLE","Congo","COG","0","0"
"2000","Sierra Leone","SLE","Democratic Republic of the Congo","COD","0","0"
"2000","Sierra Leone","SLE","Uganda","UGA","0","0.331397"
"2000","Sierra Leone","SLE","Kenya","KEN","0.095646411","0.019717943"
