"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2002","Tajikistan","TJK","United States of America","USA","6.0999999","1.3"
"2002","Tajikistan","TJK","Canada","CAN","1","0.26710451"
"2002","Tajikistan","TJK","Bahamas","BHS","0","0"
"2002","Tajikistan","TJK","Cuba","CUB","-9","-9"
"2002","Tajikistan","TJK","Haiti","HTI","-9","0"
"2002","Tajikistan","TJK","Dominican Republic","DOM","-9","-9"
"2002","Tajikistan","TJK","Jamaica","JAM","0","0"
"2002","Tajikistan","TJK","Trinidad and Tobago","TTO","-9","-9"
"2002","Tajikistan","TJK","Barbados","BRB","-9","0.0005"
"2002","Tajikistan","TJK","Dominica","DMA","0","-9"
"2002","Tajikistan","TJK","Grenada","GRD","-9","-9"
"2002","Tajikistan","TJK","St. Lucia","LCA","-9","-9"
"2002","Tajikistan","TJK","St. Vincent and the Grenadines","VCT","-9","-9"
"2002","Tajikistan","TJK","Antigua & Barbuda","ATG","-9","-9"
"2002","Tajikistan","TJK","St. Kitts and Nevis","KNA","-9","-9"
"2002","Tajikistan","TJK","Mexico","MEX","-9","0"
"2002","Tajikistan","TJK","Belize","BLZ","0","0"
"2002","Tajikistan","TJK","Guatemala","GTM","0","0"
"2002","Tajikistan","TJK","Honduras","HND","-9","0"
"2002","Tajikistan","TJK","El Salvador","SLV","0","0"
"2002","Tajikistan","TJK","Nicaragua","NIC","0","-9"
"2002","Tajikistan","TJK","Costa Rica","CRI","-9","0"
"2002","Tajikistan","TJK","Panama","PAN","0","0"
"2002","Tajikistan","TJK","Colombia","COL","0","0.000805"
"2002","Tajikistan","TJK","Venezuela","VEN","0","0"
"2002","Tajikistan","TJK","Guyana","GUY","-9","-9"
"2002","Tajikistan","TJK","Suriname","SUR","-9","-9"
"2002","Tajikistan","TJK","Ecuador","ECU","0","0"
"2002","Tajikistan","TJK","Peru","PER","0.008026709","0.000771654"
"2002","Tajikistan","TJK","Brazil","BRA","0","0.0055176"
"2002","Tajikistan","TJK","Bolivia","BOL","-9","0"
"2002","Tajikistan","TJK","Paraguay","PRY","0.42741501","-9"
"2002","Tajikistan","TJK","Chile","CHL","0","0"
"2002","Tajikistan","TJK","Argentina","ARG","0.55000502","0"
"2002","Tajikistan","TJK","Uruguay","URY","0","0"
"2002","Tajikistan","TJK","United Kingdom","GBR","3.2","2.3789077"
"2002","Tajikistan","TJK","Ireland","IRL","0.1","0"
"2002","Tajikistan","TJK","Netherlands","NLD","0.5","3.0585001"
"2002","Tajikistan","TJK","Belgium","BEL","1.5","6.1100001"
"2002","Tajikistan","TJK","Luxembourg","LUX","0.008","0"
"2002","Tajikistan","TJK","France","FRA","0.2","9.1988001"
"2002","Tajikistan","TJK","Monaco","MCO","-9","-9"
"2002","Tajikistan","TJK","Liechtenstein","LIE","-9","-9"
"2002","Tajikistan","TJK","Switzerland","CHE","1","0.090861231"
"2002","Tajikistan","TJK","Spain","ESP","2.3","1.7249"
"2002","Tajikistan","TJK","Andorra","AND","-9","-9"
"2002","Tajikistan","TJK","Portugal","PRT","0","3.4512"
"2002","Tajikistan","TJK","Germany","DEU","3.9000001","5.303"
"2002","Tajikistan","TJK","Poland","POL","3.2","27.125099"
"2002","Tajikistan","TJK","Austria","AUT","0.5","5.7181001"
"2002","Tajikistan","TJK","Hungary","HUN","12.2","71.977997"
"2002","Tajikistan","TJK","Czech Republic","CZE","0.80000001","21.671721"
"2002","Tajikistan","TJK","Slovakia","SVK","0.21379016","24.13526"
"2002","Tajikistan","TJK","Italy","ITA","25.799999","25.872601"
"2002","Tajikistan","TJK","San Marino","SMR","-9","-9"
"2002","Tajikistan","TJK","Malta","MLT","0","0"
"2002","Tajikistan","TJK","Albania","ALB","0","0"
"2002","Tajikistan","TJK","Macedonia","MKD","0.1","0.058660131"
"2002","Tajikistan","TJK","Croatia","HRV","0.002992","0.198358"
"2002","Tajikistan","TJK","Yugoslavia","YUG","-9","-9"
"2002","Tajikistan","TJK","Bosnia and Herzegovina","BIH","0.1","0"
"2002","Tajikistan","TJK","Slovenia","SVN","0","2.242485"
"2002","Tajikistan","TJK","Greece","GRC","17.4","0.050799999"
"2002","Tajikistan","TJK","Cyprus","CYP","0.80000001","0.15738526"
"2002","Tajikistan","TJK","Bulgaria","BGR","0.30000001","19.815001"
"2002","Tajikistan","TJK","Moldova","MDA","0.0007","0.30000001"
"2002","Tajikistan","TJK","Romania","ROU","0","0.66000003"
"2002","Tajikistan","TJK","Russia","RUS","163.5","64.700058"
"2002","Tajikistan","TJK","Estonia","EST","0.1","10.62"
"2002","Tajikistan","TJK","Latvia","LVA","2.8","0.3639648"
"2002","Tajikistan","TJK","Lithuania","LTU","2.4000001","0.74070001"
"2002","Tajikistan","TJK","Ukraine","UKR","80.5","2.8802099"
"2002","Tajikistan","TJK","Belarus","BLR","2.9000001","1.5495"
"2002","Tajikistan","TJK","Armenia","ARM","1.4","0.000158"
"2002","Tajikistan","TJK","Georgia","GEO","1.1","0.00213488"
"2002","Tajikistan","TJK","Azerbaijan","AZE","41.099998","0.42324999"
"2002","Tajikistan","TJK","Finland","FIN","0.30000001","0"
"2002","Tajikistan","TJK","Sweden","SWE","0.69999999","0.001273271"
"2002","Tajikistan","TJK","Norway","NOR","0.012219666","56.139191"
"2002","Tajikistan","TJK","Denmark","DNK","1","0.51933485"
"2002","Tajikistan","TJK","Iceland","ISL","0","0"
"2002","Tajikistan","TJK","Cape Verde","CPV","-9","-9"
"2002","Tajikistan","TJK","Sao Tome and Principe","STP","-9","-9"
"2002","Tajikistan","TJK","Guinea-Bissau","GNB","-9","-9"
"2002","Tajikistan","TJK","Equatorial Guinea","GNQ","0","0"
"2002","Tajikistan","TJK","Gambia","GMB","-9","-9"
"2002","Tajikistan","TJK","Mali","MLI","-9","-9"
"2002","Tajikistan","TJK","Senegal","SEN","0","-9"
"2002","Tajikistan","TJK","Benin","BEN","0","0"
"2002","Tajikistan","TJK","Mauritania","MRT","0","0"
"2002","Tajikistan","TJK","Niger","NER","-9","-9"
"2002","Tajikistan","TJK","Ivory Coast","CIV","0.1","0.1"
