"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2003","Mauritius","MUS","United States of America","USA","62.466133","316.10001"
"2003","Mauritius","MUS","Canada","CAN","3.1788607","9.0120211"
"2003","Mauritius","MUS","Bahamas","BHS","0.042032581","0"
"2003","Mauritius","MUS","Cuba","CUB","0.078534953","0"
"2003","Mauritius","MUS","Haiti","HTI","0.033047859","0"
"2003","Mauritius","MUS","Dominican Republic","DOM","0.10547342","0.038081549"
"2003","Mauritius","MUS","Jamaica","JAM","0.001282011","0"
"2003","Mauritius","MUS","Trinidad and Tobago","TTO","0.015456638","0.004411989"
"2003","Mauritius","MUS","Barbados","BRB","0","0.012915"
"2003","Mauritius","MUS","Dominica","DMA","7.14E-05","0"
"2003","Mauritius","MUS","Grenada","GRD","0","0"
"2003","Mauritius","MUS","St. Lucia","LCA","0","0"
"2003","Mauritius","MUS","St. Vincent and the Grenadines","VCT","0","0.002034122"
"2003","Mauritius","MUS","Antigua & Barbuda","ATG","0.013591145","0"
"2003","Mauritius","MUS","St. Kitts and Nevis","KNA","0","0"
"2003","Mauritius","MUS","Mexico","MEX","0.50782931","0.74885184"
"2003","Mauritius","MUS","Belize","BLZ","0.16218813","0.82924658"
"2003","Mauritius","MUS","Guatemala","GTM","0.081514403","0.0005"
"2003","Mauritius","MUS","Honduras","HND","0.019395892","0.047621001"
"2003","Mauritius","MUS","El Salvador","SLV","7.92E-05","0.001737937"
"2003","Mauritius","MUS","Nicaragua","NIC","0","0.01551041"
"2003","Mauritius","MUS","Costa Rica","CRI","0.09609592","0.01032342"
"2003","Mauritius","MUS","Panama","PAN","0.8570888","0.7523585"
"2003","Mauritius","MUS","Colombia","COL","0.35078293","0.064383999"
"2003","Mauritius","MUS","Venezuela","VEN","0.042285219","0"
"2003","Mauritius","MUS","Guyana","GUY","7.09E-05","0"
"2003","Mauritius","MUS","Suriname","SUR","0","0"
"2003","Mauritius","MUS","Ecuador","ECU","0.052430455","0"
"2003","Mauritius","MUS","Peru","PER","0.87582618","0.16207959"
"2003","Mauritius","MUS","Brazil","BRA","11.094354","4.1467018"
"2003","Mauritius","MUS","Bolivia","BOL","0.001302261","0"
"2003","Mauritius","MUS","Paraguay","PRY","0","0.0174262"
"2003","Mauritius","MUS","Chile","CHL","1.1167046","0.12247"
"2003","Mauritius","MUS","Argentina","ARG","26.2456","0.015386"
"2003","Mauritius","MUS","Uruguay","URY","6.1119637","0.00705"
"2003","Mauritius","MUS","United Kingdom","GBR","77.99173","531.58728"
"2003","Mauritius","MUS","Ireland","IRL","6.7518353","3.8399"
"2003","Mauritius","MUS","Netherlands","NLD","17.651369","26.398399"
"2003","Mauritius","MUS","Belgium","BEL","33.924202","63.473991"
"2003","Mauritius","MUS","Luxembourg","LUX","0.3310048","0.0051"
"2003","Mauritius","MUS","France","FRA","285.96277","749.52661"
"2003","Mauritius","MUS","Monaco","MCO","-9","-9"
"2003","Mauritius","MUS","Liechtenstein","LIE","-9","-9"
"2003","Mauritius","MUS","Switzerland","CHE","33.173195","23.616018"
"2003","Mauritius","MUS","Spain","ESP","39.759415","27.347601"
"2003","Mauritius","MUS","Andorra","AND","-9","-9"
"2003","Mauritius","MUS","Portugal","PRT","5.0392537","27.9179"
"2003","Mauritius","MUS","Germany","DEU","77.577888","58.582001"
"2003","Mauritius","MUS","Poland","POL","1.0119087","2.1266"
"2003","Mauritius","MUS","Austria","AUT","4.5676665","6.2652998"
"2003","Mauritius","MUS","Hungary","HUN","9.2797775","0.46399999"
"2003","Mauritius","MUS","Czech Republic","CZE","1.3059148","0.81888759"
"2003","Mauritius","MUS","Slovakia","SVK","0.050852653","0"
"2003","Mauritius","MUS","Italy","ITA","75.616165","65.104401"
"2003","Mauritius","MUS","San Marino","SMR","-9","-9"
"2003","Mauritius","MUS","Malta","MLT","0.017568534","3.4867094"
"2003","Mauritius","MUS","Albania","ALB","0.007252484","0"
"2003","Mauritius","MUS","Macedonia","MKD","0.000550186","0.011662742"
"2003","Mauritius","MUS","Croatia","HRV","0.019893071","0.58699602"
"2003","Mauritius","MUS","Yugoslavia","YUG","-9","-9"
"2003","Mauritius","MUS","Bosnia and Herzegovina","BIH","0","0.016784525"
"2003","Mauritius","MUS","Slovenia","SVN","0.092202976","0.64827341"
"2003","Mauritius","MUS","Greece","GRC","1.0349685","0.62440002"
"2003","Mauritius","MUS","Cyprus","CYP","1.3273833","0.30623898"
"2003","Mauritius","MUS","Bulgaria","BGR","0.27261111","0.14361615"
"2003","Mauritius","MUS","Moldova","MDA","0.035352971","0.0022"
"2003","Mauritius","MUS","Romania","ROU","0.13324608","2.46"
"2003","Mauritius","MUS","Russia","RUS","4.1140776","0.27750501"
"2003","Mauritius","MUS","Estonia","EST","0.022374982","0.090000004"
"2003","Mauritius","MUS","Latvia","LVA","0.3893607","0.020705"
"2003","Mauritius","MUS","Lithuania","LTU","0.007625798","0.052900001"
"2003","Mauritius","MUS","Ukraine","UKR","4.6046743","0.064350002"
"2003","Mauritius","MUS","Belarus","BLR","0.002766664","0.0093"
"2003","Mauritius","MUS","Armenia","ARM","0","0"
"2003","Mauritius","MUS","Georgia","GEO","0.028853171","0.00143073"
"2003","Mauritius","MUS","Azerbaijan","AZE","0","0"
