"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2006","Australia","AUS","United States of America","USA","20667.563","8562.9004"
"2006","Australia","AUS","Canada","CAN","1848.3074","1543.4319"
"2006","Australia","AUS","Bahamas","BHS","3.3524172","3.3520038"
"2006","Australia","AUS","Cuba","CUB","7.3718586","6.8037667"
"2006","Australia","AUS","Haiti","HTI","1.1239239","0.40713313"
"2006","Australia","AUS","Dominican Republic","DOM","14.896194","5.6470075"
"2006","Australia","AUS","Jamaica","JAM","1.4359881","20.949265"
"2006","Australia","AUS","Trinidad and Tobago","TTO","4.4495211","18.921612"
"2006","Australia","AUS","Barbados","BRB","0.74543923","4.8950949"
"2006","Australia","AUS","Dominica","DMA","0.37201381","0.81220138"
"2006","Australia","AUS","Grenada","GRD","0.10365381","0.12601875"
"2006","Australia","AUS","St. Lucia","LCA","0.015904343","1.8757161"
"2006","Australia","AUS","St. Vincent and the Grenadines","VCT","0.009565229","0.52206957"
"2006","Australia","AUS","Antigua & Barbuda","ATG","0.098525241","0.52613312"
"2006","Australia","AUS","St. Kitts and Nevis","KNA","0.44123331","0.17621046"
"2006","Australia","AUS","Mexico","MEX","870.94025","986.1994"
"2006","Australia","AUS","Belize","BLZ","2.1603382","0.11378849"
"2006","Australia","AUS","Guatemala","GTM","4.3377066","17.226"
"2006","Australia","AUS","Honduras","HND","9.3269711","7.7617245"
"2006","Australia","AUS","El Salvador","SLV","2.8019817","19.492899"
"2006","Australia","AUS","Nicaragua","NIC","4.0467987","1.3253237"
"2006","Australia","AUS","Costa Rica","CRI","38.052254","7.7936001"
"2006","Australia","AUS","Panama","PAN","3.5323381","1.562993"
"2006","Australia","AUS","Colombia","COL","19.88986","23.864332"
"2006","Australia","AUS","Venezuela","VEN","2.2281756","14.223"
"2006","Australia","AUS","Guyana","GUY","0.57917994","1.6170382"
"2006","Australia","AUS","Suriname","SUR","0.2811279","0.065267608"
"2006","Australia","AUS","Ecuador","ECU","10.889429","5.8859768"
"2006","Australia","AUS","Peru","PER","65.158508","80.163002"
"2006","Australia","AUS","Brazil","BRA","681.47034","811.54388"
"2006","Australia","AUS","Bolivia","BOL","5.2922006","2.825484"
"2006","Australia","AUS","Paraguay","PRY","0.33363187","1.6270518"
"2006","Australia","AUS","Chile","CHL","123.1891","206.90656"
"2006","Australia","AUS","Argentina","ARG","140.72298","138.2124"
"2006","Australia","AUS","Uruguay","URY","13.093045","15.129062"
"2006","Australia","AUS","United Kingdom","GBR","5156.7412","6100.4653"
"2006","Australia","AUS","Ireland","IRL","1549.8041","154.88251"
"2006","Australia","AUS","Netherlands","NLD","1159.3702","1473.8684"
"2006","Australia","AUS","Belgium","BEL","1287.6377","1570.885"
"2006","Australia","AUS","Luxembourg","LUX","10.41193","1.7564"
"2006","Australia","AUS","France","FRA","3510.0784","1294.0852"
"2006","Australia","AUS","Monaco","MCO","-9","-9"
"2006","Australia","AUS","Liechtenstein","LIE","-9","-9"
"2006","Australia","AUS","Switzerland","CHE","1493.8715","141.50827"
"2006","Australia","AUS","Spain","ESP","1132.0743","1042.0424"
"2006","Australia","AUS","Andorra","AND","-9","-9"
"2006","Australia","AUS","Portugal","PRT","113.50758","35.217999"
"2006","Australia","AUS","Germany","DEU","7459.7729","1325.915"
"2006","Australia","AUS","Poland","POL","159.17982","74.575798"
"2006","Australia","AUS","Austria","AUT","839.24036","96.275497"
"2006","Australia","AUS","Hungary","HUN","191.28389","15.0754"
"2006","Australia","AUS","Czech Republic","CZE","162.44936","11.0392"
"2006","Australia","AUS","Slovakia","SVK","36.879784","14.2916"
"2006","Australia","AUS","Italy","ITA","3689.5959","1570.2461"
"2006","Australia","AUS","San Marino","SMR","-9","-9"
"2006","Australia","AUS","Malta","MLT","12.25251","36.154202"
"2006","Australia","AUS","Albania","ALB","0.38536441","1.2118981"
"2006","Australia","AUS","Montenegro","MNE","0.024981909","0.21922566"
"2006","Australia","AUS","Macedonia","MKD","1.2716599","1.7755651"
"2006","Australia","AUS","Croatia","HRV","14.868009","8.9061193"
"2006","Australia","AUS","Yugoslavia","YUG","-9","-9"
"2006","Australia","AUS","Bosnia and Herzegovina","BIH","1.9660513","2.1256776"
"2006","Australia","AUS","Slovenia","SVN","50.505386","11.7885"
"2006","Australia","AUS","Greece","GRC","121.89445","34.9603"
"2006","Australia","AUS","Cyprus","CYP","5.9531984","10.7861"
"2006","Australia","AUS","Bulgaria","BGR","19.327976","55.232601"
"2006","Australia","AUS","Moldova","MDA","0.3187049","0.69870001"
"2006","Australia","AUS","Romania","ROU","23.596264","90.930496"
"2006","Australia","AUS","Russia","RUS","58.234348","495.21521"
"2006","Australia","AUS","Estonia","EST","10.713817","3.4990001"
"2006","Australia","AUS","Latvia","LVA","3.7651172","3.7697001"
"2006","Australia","AUS","Lithuania","LTU","27.12674","2.4282999"
"2006","Australia","AUS","Ukraine","UKR","22.59638","88.119003"
"2006","Australia","AUS","Belarus","BLR","32.481148","2.7490001"
"2006","Australia","AUS","Armenia","ARM","0.16822207","1.84299"
"2006","Australia","AUS","Georgia","GEO","5.351099","1.6427687"
"2006","Australia","AUS","Azerbaijan","AZE","0.057092227","8.4153996"
"2006","Australia","AUS","Finland","FIN","668.5047","865.83759"
"2006","Australia","AUS","Sweden","SWE","2084.4287","394.5416"
"2006","Australia","AUS","Norway","NOR","179.41507","95.564835"
"2006","Australia","AUS","Denmark","DNK","867.87659","154.8717"
"2006","Australia","AUS","Iceland","ISL","19.695557","6.9251876"
"2006","Australia","AUS","Cape Verde","CPV","-9","-9"
"2006","Australia","AUS","Sao Tome and Principe","STP","0.005351829","1.3351806"
"2006","Australia","AUS","Guinea-Bissau","GNB","0","0.67483658"
"2006","Australia","AUS","Equatorial Guinea","GNQ","0.000248854","0.79008675"
