"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2006","Sao Tome and Principe","STP","United States of America","USA","4.0700002","0"
"2006","Sao Tome and Principe","STP","Canada","CAN","0.066106871","0.24159051"
"2006","Sao Tome and Principe","STP","Bahamas","BHS","-9","-9"
"2006","Sao Tome and Principe","STP","Cuba","CUB","-9","-9"
"2006","Sao Tome and Principe","STP","Haiti","HTI","-9","-9"
"2006","Sao Tome and Principe","STP","Dominican Republic","DOM","0","0.23101617"
"2006","Sao Tome and Principe","STP","Jamaica","JAM","-9","-9"
"2006","Sao Tome and Principe","STP","Trinidad and Tobago","TTO","0","0.000800373"
"2006","Sao Tome and Principe","STP","Barbados","BRB","0","0"
"2006","Sao Tome and Principe","STP","Dominica","DMA","-9","-9"
"2006","Sao Tome and Principe","STP","Grenada","GRD","-9","0"
"2006","Sao Tome and Principe","STP","St. Lucia","LCA","0.011228952","0"
"2006","Sao Tome and Principe","STP","St. Vincent and the Grenadines","VCT","0","0"
"2006","Sao Tome and Principe","STP","Antigua & Barbuda","ATG","-9","-9"
"2006","Sao Tome and Principe","STP","St. Kitts and Nevis","KNA","-9","-9"
"2006","Sao Tome and Principe","STP","Mexico","MEX","0","0"
"2006","Sao Tome and Principe","STP","Belize","BLZ","-9","-9"
"2006","Sao Tome and Principe","STP","Guatemala","GTM","0","0"
"2006","Sao Tome and Principe","STP","Honduras","HND","-9","0"
"2006","Sao Tome and Principe","STP","El Salvador","SLV","-9","0"
"2006","Sao Tome and Principe","STP","Nicaragua","NIC","-9","-9"
"2006","Sao Tome and Principe","STP","Costa Rica","CRI","0.031795092","0"
"2006","Sao Tome and Principe","STP","Panama","PAN","0","-9"
"2006","Sao Tome and Principe","STP","Colombia","COL","0.0025674","0.000204"
"2006","Sao Tome and Principe","STP","Venezuela","VEN","0","-9"
"2006","Sao Tome and Principe","STP","Guyana","GUY","-9","-9"
"2006","Sao Tome and Principe","STP","Suriname","SUR","-9","-9"
"2006","Sao Tome and Principe","STP","Ecuador","ECU","0","0"
"2006","Sao Tome and Principe","STP","Peru","PER","0","0"
"2006","Sao Tome and Principe","STP","Brazil","BRA","0.85781521","0.0003454"
"2006","Sao Tome and Principe","STP","Bolivia","BOL","-9","0"
"2006","Sao Tome and Principe","STP","Paraguay","PRY","0","-9"
"2006","Sao Tome and Principe","STP","Chile","CHL","0","-9"
"2006","Sao Tome and Principe","STP","Argentina","ARG","0","0"
"2006","Sao Tome and Principe","STP","Uruguay","URY","-9","-9"
"2006","Sao Tome and Principe","STP","United Kingdom","GBR","0.64657998","0.0265"
"2006","Sao Tome and Principe","STP","Ireland","IRL","0","0"
"2006","Sao Tome and Principe","STP","Netherlands","NLD","2.73317","4.6549001"
"2006","Sao Tome and Principe","STP","Belgium","BEL","4.15272","1.8448"
"2006","Sao Tome and Principe","STP","Luxembourg","LUX","0.00462","0"
"2006","Sao Tome and Principe","STP","France","FRA","15.81008","0.3813"
