"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2007","Bosnia and Herzegovina","BIH","United States of America","USA","22.219999","26.5"
"2007","Bosnia and Herzegovina","BIH","Canada","CAN","5.5197296","5.5046611"
"2007","Bosnia and Herzegovina","BIH","Bahamas","BHS","-9","-9"
"2007","Bosnia and Herzegovina","BIH","Cuba","CUB","-9","-9"
"2007","Bosnia and Herzegovina","BIH","Haiti","HTI","-9","-9"
"2007","Bosnia and Herzegovina","BIH","Dominican Republic","DOM","-9","-9"
"2007","Bosnia and Herzegovina","BIH","Jamaica","JAM","-9","-9"
"2007","Bosnia and Herzegovina","BIH","Trinidad and Tobago","TTO","-9","-9"
"2007","Bosnia and Herzegovina","BIH","Barbados","BRB","0.010660131","0.000155124"
"2007","Bosnia and Herzegovina","BIH","Dominica","DMA","-9","-9"
"2007","Bosnia and Herzegovina","BIH","Grenada","GRD","-9","-9"
"2007","Bosnia and Herzegovina","BIH","St. Lucia","LCA","-9","-9"
"2007","Bosnia and Herzegovina","BIH","St. Vincent and the Grenadines","VCT","-9","-9"
"2007","Bosnia and Herzegovina","BIH","Antigua & Barbuda","ATG","-9","-9"
"2007","Bosnia and Herzegovina","BIH","St. Kitts and Nevis","KNA","-9","-9"
"2007","Bosnia and Herzegovina","BIH","Mexico","MEX","-9","-9"
"2007","Bosnia and Herzegovina","BIH","Belize","BLZ","-9","-9"
"2007","Bosnia and Herzegovina","BIH","Guatemala","GTM","0","0.0005"
"2007","Bosnia and Herzegovina","BIH","Honduras","HND","0","0.021233"
"2007","Bosnia and Herzegovina","BIH","El Salvador","SLV","0","0.000535009"
"2007","Bosnia and Herzegovina","BIH","Nicaragua","NIC","-9","-9"
"2007","Bosnia and Herzegovina","BIH","Costa Rica","CRI","0.00486875","0.054175511"
"2007","Bosnia and Herzegovina","BIH","Panama","PAN","0","-9"
"2007","Bosnia and Herzegovina","BIH","Colombia","COL","0.0137368","0.036492001"
"2007","Bosnia and Herzegovina","BIH","Venezuela","VEN","0","0"
"2007","Bosnia and Herzegovina","BIH","Guyana","GUY","-9","-9"
"2007","Bosnia and Herzegovina","BIH","Suriname","SUR","-9","-9"
"2007","Bosnia and Herzegovina","BIH","Ecuador","ECU","0","0"
"2007","Bosnia and Herzegovina","BIH","Peru","PER","0","0.10344269"
"2007","Bosnia and Herzegovina","BIH","Brazil","BRA","0","0"
"2007","Bosnia and Herzegovina","BIH","Bolivia","BOL","-9","0.000475"
"2007","Bosnia and Herzegovina","BIH","Paraguay","PRY","-9","-9"
"2007","Bosnia and Herzegovina","BIH","Chile","CHL","0","0.119168"
"2007","Bosnia and Herzegovina","BIH","Argentina","ARG","6.5061779","0.17011601"
"2007","Bosnia and Herzegovina","BIH","Uruguay","URY","1.8465651","0.013702748"
"2007","Bosnia and Herzegovina","BIH","United Kingdom","GBR","39.853329","17.3006"
"2007","Bosnia and Herzegovina","BIH","Ireland","IRL","17.38781","1.1954"
"2007","Bosnia and Herzegovina","BIH","Netherlands","NLD","128.93474","30.018299"
